ID;EconomischeActiviteit;Geslacht;DienstverbandArbeidsrelatie;Perioden;GemiddeldAantalBanen_1;Arbeidsjaren_2;OvereengekomenArbeidsduur_3;Overuren_4;BetaaldeArbeidsduur_5;OvereengekomenArbeidsuren_6;Overuren_7;BetaaldeArbeidsuren_8;TotaalLoonkosten_9;LonenEnSalarissen_10;SocialeLasten_11;LoonkostenPerArbeidsjaar_12
18;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2004, 4e kwartaal;7450.0;5677.7;336.0;3.0;340.0;2505.0;26.0;2531.0;62.2;48.3;13.9;11.0
19;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2004;7472.0;5699.4;1311.0;15.0;1327.0;9799.0;113.0;9912.0;251.0;195.6;55.4;44.0
20;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2005, 1e kwartaal;7415.0;5631.2;321.0;4.0;326.0;2383.0;31.0;2414.0;59.2;46.2;13.0;10.5
21;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2005, 2e kwartaal;7528.0;5699.7;321.0;4.0;325.0;2413.0;30.0;2443.0;73.6;57.5;16.1;12.9
22;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2005, 3e kwartaal;7563.0;5716.9;335.0;4.0;339.0;2535.0;31.0;2567.0;58.5;45.9;12.5;10.2
23;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2005, 4e kwartaal;7482.0;5682.3;327.0;4.0;330.0;2443.0;28.0;2472.0;63.3;49.4;13.9;11.1
24;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2005;7497.0;5682.5;1304.0;16.0;1320.0;9775.0;121.0;9895.0;254.6;199.0;55.6;44.8
25;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2006, 1e kwartaal;7498.0;5690.7;;;337.0;;;2527.0;60.8;47.4;13.3;10.7
26;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2006, 2e kwartaal;7615.0;5767.1;;;321.0;;;2443.0;76.4;59.9;16.5;13.2
27;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2006, 3e kwartaal;7686.0;5805.6;;;335.0;;;2579.0;60.3;47.5;12.8;10.4
28;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2006, 4e kwartaal;7707.0;5826.8;;;325.0;;;2506.0;67.4;52.7;14.7;11.6
29;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2006;7626.0;5772.6;;;1318.0;;;10054.0;264.9;207.5;57.4;45.9
30;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2007, 1e kwartaal;7682.0;5796.1;;;330.0;;;2535.0;64.3;50.4;14.0;11.1
31;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2007, 2e kwartaal;7839.0;5916.8;;;320.0;;;2507.0;80.1;63.0;17.1;13.5
32;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2007, 3e kwartaal;7918.0;5957.3;;;335.0;;;2649.0;63.7;50.3;13.4;10.7
33;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2007, 4e kwartaal;7903.0;5948.5;;;326.0;;;2573.0;72.1;56.5;15.6;12.1
34;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2007;7837.0;5905.3;;;1310.0;;;10264.0;280.3;220.2;60.1;47.5
35;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2008, 1e kwartaal*;7858.0;5899.5;;;323.0;;;2539.0;68.1;53.1;15.0;11.5
36;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2008, 2e kwartaal*;7990.0;6015.2;;;324.0;;;2586.0;84.7;66.3;18.3;14.1
37;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2008, 3e kwartaal*;8024.0;6033.8;;;334.0;;;2681.0;67.1;52.8;14.3;11.1
38;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2008, 4e kwartaal*;8005.0;6018.2;;;324.0;;;2591.0;74.9;58.5;16.5;12.4
39;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2008*;7969.0;5991.6;;;1305.0;;;10397.0;294.7;230.6;64.1;49.2
40;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2009, 1e kwartaal*;7878.0;5917.6;;;323.0;;;2545.0;69.7;54.4;15.3;11.8
41;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2009, 2e kwartaal*;7925.0;5967.8;;;318.0;;;2524.0;86.4;67.6;18.8;14.5
42;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2009, 3e kwartaal*;7882.0;5927.3;;;334.0;;;2632.0;67.2;52.8;14.3;11.3
43;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2009, 4e kwartaal*;7861.0;5907.1;;;328.0;;;2581.0;74.8;58.3;16.5;12.7
44;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2009*;7887.0;5930.3;;;1304.0;;;10283.0;298.1;233.2;65.0;50.3
45;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2010, 1e kwartaal*;7732.0;5797.8;;;322.0;;;2492.0;68.9;53.6;15.3;11.9
46;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2010, 2e kwartaal*;7862.0;5905.8;;;313.0;;;2457.0;86.8;67.8;18.9;14.7
47;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2010, 3e kwartaal*;7869.0;5899.0;;;333.0;;;2619.0;67.7;53.2;14.6;11.5
48;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2010, 4e kwartaal*;7895.0;5914.6;;;332.0;;;2623.0;76.2;59.2;17.0;12.9
49;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2010*;7840.0;5879.7;;;1300.0;;;10191.0;299.6;233.8;65.8;51.0
50;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2011, 1e kwartaal*;7773.0;5813.5;;;;;;;;;;
51;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2001, 1e kwartaal;4174.0;4172.0;430.0;7.0;437.0;1796.0;28.0;1824.0;;33.6;;
52;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2001, 2e kwartaal;4199.0;4197.3;417.0;6.0;423.0;1750.0;27.0;1778.0;;40.4;;
53;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2001, 3e kwartaal;4214.0;4211.6;437.0;7.0;444.0;1841.0;29.0;1870.0;;33.3;;
54;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2001, 4e kwartaal;4185.0;4183.3;430.0;6.0;437.0;1801.0;26.0;1827.0;;35.1;;
55;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2001;4193.0;4191.1;1714.0;26.0;1741.0;7189.0;110.0;7299.0;;142.4;;
56;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2002, 1e kwartaal;4110.0;4118.6;426.0;6.0;431.0;1749.0;24.0;1773.0;;34.5;;
57;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2002, 2e kwartaal;4114.0;4123.0;419.0;6.0;424.0;1723.0;23.0;1746.0;;41.4;;
