ID;DecentraleOverheden;BegrootEMUSaldo2013_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2015_5
0;Totaal decentrale overheden;;-3712;-3065;-647;-2588
1;Provincies;-1377.0;-1038;-674;-364;-1290
2;Totaal gemeenten;-3608.0;-2134;-1962;-172;-873
3;Gemeenten: minder dan 20 000 inwoners;-303.0;-55;-147;92;35
4;Gemeenten:   20 000 -   50 000 inwoners;-827.0;-243;-518;275;98
5;Gemeenten:   50 000 - 100 000 inwoners;-720.0;-538;-326;-212;-238
6;Gemeenten: 100 000 - 150 000 inwoners;-391.0;-263;-188;-75;-73
7;Gemeenten: 150 000 - 250 000 inwoners;-781.0;-374;-268;-106;-194
8;Gemeenten: meer dan 250 000 inwoners;-588.0;-660;-514;-146;-501
9;Waterschappen;;-471;-429;-42;-442
10;Gemeenschappelijke regelingen;-124.0;-69;0;-69;17
