ID;MotorschepenDuwvaart;Perioden;TotaalGasolieverbruikBinnenschepen_1;GasolieverbruikNederlandseVlag_2;GasolieverbruikBuitenlandseVlag_3;GasolieverbruikInternationaleVaart_4;GasolieverbruikBinnenlandseVaart_5;GasolieverbruikVaartInNederland_6;GasolieverbruikVaartInBuitenland_7
0;Totale vaart;1990;926;553;373;854;72;419;507
1;Totale vaart;1991;935;564;372;867;69;420;515
2;Totale vaart;1992;917;560;357;851;66;408;509
3;Totale vaart;1993;811;521;290;738;73;376;435
4;Totale vaart;1994;928;612;316;856;72;411;517
5;Totale vaart;1995;1046;707;339;920;127;481;565
6;Totale vaart;1996;1124;760;364;973;151;518;606
7;Totale vaart;1997;1332;888;444;1153;179;618;714
8;Totale vaart;1998;1193;805;390;1001;194;582;611
9;Totale vaart;1999;1262;864;398;1045;218;627;635
10;Totale vaart;2000;1235;840;395;1013;223;625;610
11;Motorschepen;1990;793;483;310;728;65;352;441
12;Motorschepen;1991;797;490;307;735;62;351;446
13;Motorschepen;1992;784;489;295;725;59;341;443
14;Motorschepen;1993;694;453;241;628;65;315;379
15;Motorschepen;1994;810;542;268;744;66;349;461
16;Motorschepen;1995;914;625;289;802;112;407;507
17;Motorschepen;1996;997;683;314;859;138;448;549
18;Motorschepen;1997;1218;821;397;1053;165;554;664
19;Motorschepen;1998;1077;734;344;903;174;513;564
20;Motorschepen;1999;1142;791;350;940;202;562;580
21;Motorschepen;2000;1132;776;356;927;205;563;569
22;Duwvaart;1990;133;70;62;126;7;67;66
23;Duwvaart;1991;138;73;65;132;6;69;69
24;Duwvaart;1992;133;71;62;126;7;67;66
25;Duwvaart;1993;118;68;50;110;8;61;57
26;Duwvaart;1994;118;70;48;112;6;62;56
27;Duwvaart;1995;132;82;50;118;14;73;59
28;Duwvaart;1996;127;77;50;114;13;68;59
29;Duwvaart;1997;114;67;47;100;14;62;52
30;Duwvaart;1998;117;71;46;98;19;67;50
31;Duwvaart;1999;121;73;48;105;16;65;56
32;Duwvaart;2000;104;64;39;85;19;62;42
