ID;Regions;Periods;GDP_1;GDPPerCapita_2;RelationGDPBasicPrices_3;TotalValueAddedAtBasicPrices_4;CompensationOfEmployees_5;TaxesNotProductRelated_6;SubsidiesNotProductRelated_7;GrossOperatingSurplus_8;CorrectionOperatingSurplus_9;TotalGrossOperatingSurplus_10
0;The Netherlands;1995;302232.0;20.0;20769.0;281464.0;153729.0;3305.0;1001.0;125430.0;7710.0;117720.0
1;The Netherlands;1996;315060.0;20.0;23543.0;291517.0;159384.0;3426.0;1744.0;130450.0;7949.0;122501.0
2;The Netherlands;1997;333725.75;21.38;26320.06;307405.69;168035.27;3445.55;3240.9;139165.77;8406.02;130759.75
3;The Netherlands;1998;354194.01;22.55;28432.0;325762.01;179991.02;3586.68;3057.12;145241.43;8977.0;136264.43
4;The Netherlands;1999;374070.0;23.0;30048.0;344022.0;192347.0;4008.0;3447.0;151114.0;11235.0;139879.0
5;The Netherlands;2000;402291.0;25.0;31238.0;371053.0;205691.0;4305.0;3464.0;164521.0;13043.0;151478.0
6;The Netherlands;2001;429345.0;27.0;35155.0;394190.0;220417.0;4765.0;3898.0;172906.0;14300.0;158606.0
7;Extraterritorial region;1995;2780.0;0.0;191.0;2589.0;371.0;3.0;0.0;2215.0;71.0;2145.0
8;Extraterritorial region;1996;3152.0;0.0;236.0;2916.0;349.0;3.0;4.0;2568.0;80.0;2488.0
9;Extraterritorial region;1997;3427.79;0.0;270.34;3157.45;352.19;4.0;1.08;2802.34;86.34;2716.0
10;Extraterritorial region;1998;3072.36;0.0;246.63;2825.74;368.56;3.66;1.84;2455.35;77.87;2377.48
11;Extraterritorial region;1999;3038.0;0.0;244.0;2794.0;374.0;6.0;2.0;2416.0;91.0;2325.0
12;Extraterritorial region;2000;4426.0;0.0;344.0;4082.0;376.0;7.0;2.0;3702.0;144.0;3558.0
13;Extraterritorial region;2001;5289.0;0.0;433.0;4856.0;390.0;8.0;2.0;4461.0;176.0;4285.0
14;North Netherlands;1995;30120.0;19.0;2070.0;28050.0;13337.0;304.0;89.0;14498.0;768.0;13730.0
15;North Netherlands;1996;32153.0;20.0;2403.0;29750.0;13737.0;313.0;169.0;15869.0;811.0;15058.0
16;North Netherlands;1997;33525.32;20.47;2644.05;30881.27;14401.21;325.3;178.48;16333.24;844.45;15488.79
17;North Netherlands;1998;34234.52;20.82;2748.09;31486.43;15305.42;335.4;273.2;16118.82;867.67;15251.15
18;North Netherlands;1999;34558.0;21.0;2776.0;31782.0;16274.0;372.0;374.0;15509.0;1038.0;14472.0
19;North Netherlands;2000;38070.0;23.0;2956.0;35114.0;17306.0;396.0;352.0;17763.0;1234.0;16529.0
20;North Netherlands;2001;41698.0;25.0;3414.0;38284.0;18600.0;434.0;398.0;19648.0;1389.0;18259.0
21;East Netherlands;1995;53251.0;17.0;3659.0;49591.0;27790.0;631.0;197.0;21367.0;1358.0;20009.0
22;East Netherlands;1996;55251.0;17.0;4129.0;51122.0;28645.0;654.0;349.0;22172.0;1394.0;20778.0
23;East Netherlands;1997;58466.64;18.05;4611.11;53855.53;30098.19;666.92;398.38;23488.8;1472.68;22016.12
24;East Netherlands;1998;62010.04;18.97;4977.69;57032.35;32278.69;690.12;587.31;24650.84;1571.64;23079.2
25;East Netherlands;1999;65576.0;20.0;5268.0;60309.0;34583.0;768.0;658.0;25616.0;1970.0;23647.0
26;East Netherlands;2000;69996.0;21.0;5435.0;64561.0;37065.0;826.0;661.0;27332.0;2269.0;25062.0
27;East Netherlands;2001;74832.0;22.0;6127.0;68705.0;39855.0;912.0;764.0;28702.0;2492.0;26210.0
28;West Netherlands;1995;153781.0;21.0;10568.0;143213.0;79820.0;1671.0;513.0;62237.0;3923.0;58314.0
29;West Netherlands;1996;159524.0;22.0;11921.0;147604.0;82976.0;1718.0;857.0;63766.0;4025.0;59741.0
30;West Netherlands;1997;169889.74;23.32;13398.75;156490.99;87638.17;1724.0;1110.88;68239.7;4279.25;63960.45
31;West Netherlands;1998;181372.58;24.75;14559.21;166813.37;93975.46;1791.72;1525.44;72571.63;4596.86;67974.77
32;West Netherlands;1999;192447.0;26.0;15459.0;176989.0;100469.0;1996.0;1688.0;76212.0;5780.0;70432.0
33;West Netherlands;2000;206110.0;28.0;16004.0;190105.0;107411.0;2144.0;1720.0;82270.0;6682.0;75588.0
34;West Netherlands;2001;219285.0;29.0;17955.0;201330.0;115148.0;2375.0;1901.0;85708.0;7304.0;78404.0
35;South Netherlands;1995;62301.0;18.0;4281.0;58020.0;32412.0;697.0;202.0;25113.0;1589.0;23523.0
36;South Netherlands;1996;64980.0;19.0;4856.0;60125.0;33677.0;738.0;366.0;26075.0;1639.0;24436.0
37;South Netherlands;1997;68416.26;19.84;5395.81;63020.45;35545.51;725.33;1552.08;28301.69;1723.3;26578.39
38;South Netherlands;1998;73504.51;21.2;5900.38;67604.12;38062.89;765.78;669.33;29444.79;1862.96;27581.83
39;South Netherlands;1999;78451.0;22.0;6302.0;72150.0;40648.0;866.0;724.0;31360.0;2356.0;29004.0
40;South Netherlands;2000;83689.0;24.0;6498.0;77190.0;43533.0;933.0;730.0;33454.0;2713.0;30741.0
41;South Netherlands;2001;88239.0;25.0;7225.0;81014.0;46423.0;1036.0;833.0;34387.0;2939.0;31448.0
42;Groningen (PV);1995;12840.0;23.0;882.0;11958.0;5089.0;105.0;32.0;6796.0;328.0;6469.0
43;Groningen (PV);1996;14314.0;26.0;1070.0;13244.0;5215.0;110.0;62.0;7981.0;361.0;7620.0
44;Groningen (PV);1997;14638.86;26.23;1154.53;13484.33;5446.11;113.66;69.73;7994.3;368.73;7625.57
45;Groningen (PV);1998;14346.61;25.66;1151.64;13194.98;5738.21;115.08;97.33;7439.02;363.61;7075.4
46;Groningen (PV);1999;13977.0;25.0;1123.0;12854.0;6094.0;132.0;152.0;6781.0;420.0;6361.0
47;Groningen (PV);2000;15825.0;28.0;1229.0;14596.0;6489.0;140.0;143.0;8111.0;513.0;7597.0
48;Groningen (PV);2001;17867.0;31.0;1463.0;16404.0;6991.0;153.0;150.0;9410.0;595.0;8815.0
