ID;CategorieVerkrijger;GrootteklasseNettoVerkrijging;Perioden;Verkrijger_1;BrutoVerkrijging_2;GemiddeldeBrutoVerkrijging_3;VerschuldigdeBelasting_4;GemiddeldeVerschuldigdeBelasting_5;NettoVerkrijging_6;GemiddeldeNettoVerkrijging_7
0;Totaal;Totaal;2005;200800;11049601.0;55.0;1519155.0;8.0;9530446.0;47.0
1;Totaal;Totaal;2006;203210;11336671.0;56.0;1529304.0;8.0;9807367.0;48.0
2;Totaal;Totaal;2007;195830;11795278.0;60.0;1650145.0;8.0;10145133.0;52.0
3;Totaal;Totaal;2008;201310;12064857.0;60.0;1573800.0;8.0;10491056.0;52.0
4;Totaal;Totaal;2009;199450;11199925.0;56.0;1395655.0;7.0;9804269.0;49.0
5;Totaal;Totaal;2010;177060;12025914.0;68.0;1321270.0;7.0;10704644.0;60.0
6;Totaal;negatief of nul euro;2005;4110;-24786.0;-6.0;0.0;0.0;-24786.0;-6.0
7;Totaal;negatief of nul euro;2006;4340;-24864.0;-6.0;0.0;0.0;-24864.0;-6.0
8;Totaal;negatief of nul euro;2007;4310;-32616.0;-8.0;0.0;0.0;-32616.0;-8.0
9;Totaal;negatief of nul euro;2008;4660;-31347.0;-7.0;0.0;0.0;-31347.0;-7.0
10;Totaal;negatief of nul euro;2009;4630;-40592.0;-9.0;0.0;0.0;-40592.0;-9.0
11;Totaal;negatief of nul euro;2010;3890;-151639.0;-39.0;44.0;0.0;-151683.0;-39.0
12;Totaal;> 0  tot 5 000 euro;2005;29520;98623.0;3.0;13849.0;0.0;84774.0;3.0
13;Totaal;> 0  tot 5 000 euro;2006;29560;95657.0;3.0;12723.0;0.0;82935.0;3.0
14;Totaal;> 0  tot 5 000 euro;2007;27020;88756.0;3.0;12570.0;0.0;76187.0;3.0
15;Totaal;> 0  tot 5 000 euro;2008;27400;89473.0;3.0;12537.0;0.0;76937.0;3.0
16;Totaal;> 0  tot 5 000 euro;2009;25410;84299.0;3.0;11673.0;0.0;72626.0;3.0
17;Totaal;> 0  tot 5 000 euro;2010;20270;66610.0;3.0;7479.0;0.0;59131.0;3.0
18;Totaal;5 000 tot  10 000 euro;2005;26210;231491.0;9.0;33900.0;1.0;197590.0;8.0
19;Totaal;5 000 tot  10 000 euro;2006;25320;221305.0;9.0;31594.0;1.0;189711.0;7.0
20;Totaal;5 000 tot  10 000 euro;2007;21070;185178.0;9.0;29766.0;1.0;155413.0;7.0
21;Totaal;5 000 tot  10 000 euro;2008;21360;188837.0;9.0;31626.0;1.0;157211.0;7.0
22;Totaal;5 000 tot  10 000 euro;2009;21070;185802.0;9.0;31644.0;2.0;154158.0;7.0
23;Totaal;5 000 tot  10 000 euro;2010;16190;139287.0;9.0;21494.0;1.0;117793.0;7.0
24;Totaal;10 000 tot  25 000 euro;2005;53370;996545.0;19.0;104055.0;2.0;892490.0;17.0
25;Totaal;10 000 tot  25 000 euro;2006;54380;1005913.0;18.0;104214.0;2.0;901699.0;17.0
26;Totaal;10 000 tot  25 000 euro;2007;51990;964503.0;19.0;100624.0;2.0;863879.0;17.0
27;Totaal;10 000 tot  25 000 euro;2008;53810;1003670.0;19.0;106514.0;2.0;897156.0;17.0
28;Totaal;10 000 tot  25 000 euro;2009;54350;1006649.0;19.0;100921.0;2.0;905728.0;17.0
29;Totaal;10 000 tot  25 000 euro;2010;39910;770273.0;19.0;70505.0;2.0;699767.0;18.0
30;Totaal;25 000 tot  50 000 euro;2005;39750;1605900.0;40.0;190066.0;5.0;1415834.0;36.0
31;Totaal;25 000 tot  50 000 euro;2006;39700;1584780.0;40.0;177126.0;4.0;1407654.0;35.0
32;Totaal;25 000 tot  50 000 euro;2007;40080;1596791.0;40.0;177398.0;4.0;1419393.0;35.0
33;Totaal;25 000 tot  50 000 euro;2008;41660;1664035.0;40.0;182352.0;4.0;1481683.0;36.0
34;Totaal;25 000 tot  50 000 euro;2009;42180;1682014.0;40.0;185152.0;4.0;1496862.0;35.0
35;Totaal;25 000 tot  50 000 euro;2010;40200;1576963.0;39.0;141841.0;4.0;1435121.0;36.0
36;Totaal;50 000 tot 100 000 euro;2005;27540;2196034.0;80.0;268680.0;10.0;1927355.0;70.0
37;Totaal;50 000 tot 100 000 euro;2006;28060;2235385.0;80.0;271762.0;10.0;1963622.0;70.0
38;Totaal;50 000 tot 100 000 euro;2007;28620;2275711.0;80.0;266407.0;9.0;2009304.0;70.0
39;Totaal;50 000 tot 100 000 euro;2008;29450;2334584.0;79.0;271684.0;9.0;2062900.0;70.0
40;Totaal;50 000 tot 100 000 euro;2009;29910;2365518.0;79.0;271586.0;9.0;2093932.0;70.0
41;Totaal;50 000 tot 100 000 euro;2010;30470;2369166.0;78.0;225388.0;7.0;2143778.0;70.0
42;Totaal;100 000 tot 200 000 euro;2005;13220;2092328.0;158.0;277604.0;21.0;1814724.0;137.0
43;Totaal;100 000 tot 200 000 euro;2006;14310;2268375.0;159.0;304988.0;21.0;1963387.0;137.0
44;Totaal;100 000 tot 200 000 euro;2007;14700;2340465.0;159.0;319130.0;22.0;2021335.0;137.0
45;Totaal;100 000 tot 200 000 euro;2008;14900;2328450.0;156.0;294289.0;20.0;2034162.0;136.0
46;Totaal;100 000 tot 200 000 euro;2009;14640;2279365.0;156.0;278874.0;19.0;2000491.0;137.0
47;Totaal;100 000 tot 200 000 euro;2010;17250;2637959.0;153.0;273874.0;16.0;2364085.0;137.0
48;Totaal;200 000 tot 500 000 euro;2005;5660;1950112.0;344.0;279462.0;49.0;1670650.0;295.0
49;Totaal;200 000 tot 500 000 euro;2006;6020;2049526.0;340.0;282107.0;47.0;1767419.0;293.0
50;Totaal;200 000 tot 500 000 euro;2007;6370;2200600.0;345.0;316930.0;50.0;1883670.0;296.0
51;Totaal;200 000 tot 500 000 euro;2008;6380;2186421.0;342.0;307341.0;48.0;1879081.0;294.0
52;Totaal;200 000 tot 500 000 euro;2009;5860;1962507.0;335.0;252508.0;43.0;1710000.0;292.0
53;Totaal;200 000 tot 500 000 euro;2010;7170;2393467.0;334.0;289008.0;40.0;2104459.0;294.0
54;Totaal;500 000 euro en meer;2005;1420;1903354.0;1344.0;351540.0;248.0;1551815.0;1096.0
55;Totaal;500 000 euro en meer;2006;1530;1900594.0;1241.0;344790.0;225.0;1555804.0;1016.0
56;Totaal;500 000 euro en meer;2007;1670;2175889.0;1305.0;427320.0;256.0;1748569.0;1049.0
57;Totaal;500 000 euro en meer;2008;1690;2300732.0;1363.0;367458.0;218.0;1933275.0;1145.0
58;Totaal;500 000 euro en meer;2009;1410;1674364.0;1185.0;263299.0;186.0;1411065.0;999.0
59;Totaal;500 000 euro en meer;2010;1720;2223829.0;1291.0;291636.0;169.0;1932192.0;1122.0
60;Weduwen;Totaal;2005;18480;1818453.0;98.0;37887.0;2.0;1780566.0;96.0
61;Weduwen;Totaal;2006;19100;1848935.0;97.0;31231.0;2.0;1817704.0;95.0
62;Weduwen;Totaal;2007;18430;1906831.0;103.0;33140.0;2.0;1873691.0;102.0
63;Weduwen;Totaal;2008;18420;1915362.0;104.0;28738.0;2.0;1886624.0;102.0
64;Weduwen;Totaal;2009;19060;1947744.0;102.0;29128.0;2.0;1918617.0;101.0
65;Weduwen;Totaal;2010;16410;2094306.0;128.0;28249.0;2.0;2066057.0;126.0
66;Weduwen;negatief of nul euro;2005;740;-5688.0;-8.0;0.0;0.0;-5688.0;-8.0
67;Weduwen;negatief of nul euro;2006;720;-4846.0;-7.0;0.0;0.0;-4846.0;-7.0
68;Weduwen;negatief of nul euro;2007;650;-4562.0;-7.0;0.0;0.0;-4562.0;-7.0
69;Weduwen;negatief of nul euro;2008;880;-4189.0;-5.0;0.0;0.0;-4189.0;-5.0
70;Weduwen;negatief of nul euro;2009;760;-6737.0;-9.0;0.0;0.0;-6737.0;-9.0
