ID;Geslacht;Schooladvies;Herkomstland;GestandaardiseerdInkomen;Perioden;TotaalVoorlopigSchooladvies_1;ToetsadviesLagerOfGelijk_2;TotaalToetsadviesHoger_3;AdviesHerzienObvToets_4;AdviesNietHerzienObvToets_5;DefinitiefSchooladvies_6
0;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2014/'15;185799;123369.0;37313.0;4959.0;32354.0;185799
1;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2015/'16;181409;116208.0;61948.0;12024.0;49924.0;181409
2;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2016/'17;176548;115554.0;57513.0;13339.0;44174.0;176548
3;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2017/'18;172488;111854.0;56619.0;13163.0;43456.0;172488
4;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2018/'19;170755;98074.0;68941.0;15919.0;53022.0;170755
5;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2019/'20;172864;;;;;172864
6;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2020/'21;173997;107792.0;63353.0;16786.0;46567.0;173997
7;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2021/'22;171091;105980.0;62262.0;16787.0;45475.0;171091
8;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2022/'23;171787;110962.0;57881.0;16708.0;41173.0;171787
9;Totaal mannen en vrouwen;Totaal ;Totaal;Totaal inkomen;2023/'24;166897;111207.0;52372.0;39703.0;12669.0;166897
10;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2014/'15;32512;20242.0;7268.0;1036.0;6232.0;32512
11;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2015/'16;30970;18097.0;11721.0;2587.0;9134.0;30970
12;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2016/'17;29906;18347.0;10265.0;2727.0;7538.0;29906
13;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2017/'18;28209;16450.0;10267.0;2776.0;7491.0;28209
14;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2018/'19;27503;12905.0;13108.0;3402.0;9706.0;27503
15;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2019/'20;27559;;;;;27559
16;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2020/'21;26977;14463.0;11467.0;3475.0;7992.0;26977
17;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2021/'22;25989;13630.0;11375.0;3512.0;7863.0;25989
18;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2022/'23;25991;14351.0;10628.0;3500.0;7128.0;25991
19;Totaal mannen en vrouwen;Totaal ;Totaal;1e 20%-groep;2023/'24;24494;13928.0;9362.0;7372.0;1990.0;24494
20;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2014/'15;32157;20295.0;7345.0;903.0;6442.0;32157
21;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2015/'16;30820;18355.0;11796.0;2262.0;9534.0;30820
22;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2016/'17;29249;18063.0;10587.0;2366.0;8221.0;29249
23;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2017/'18;27871;16922.0;10200.0;2326.0;7874.0;27871
24;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2018/'19;27660;14123.0;12867.0;2876.0;9991.0;27660
25;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2019/'20;28168;;;;;28168
26;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2020/'21;27774;15799.0;11478.0;2968.0;8510.0;27774
27;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2021/'22;27330;15252.0;11538.0;3086.0;8452.0;27330
28;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2022/'23;26313;15568.0;10215.0;2832.0;7383.0;26313
29;Totaal mannen en vrouwen;Totaal ;Totaal;2e 20%-groep;2023/'24;25483;15473.0;9382.0;6948.0;2434.0;25483
30;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2014/'15;42283;27372.0;9202.0;1160.0;8042.0;42283
31;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2015/'16;41440;25770.0;15111.0;2762.0;12349.0;41440
32;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2016/'17;39600;25149.0;13836.0;2984.0;10852.0;39600
33;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2017/'18;38930;24325.0;13897.0;2945.0;10952.0;38930
34;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2018/'19;39506;21538.0;17336.0;3748.0;13588.0;39506
35;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2019/'20;39646;;;;;39646
36;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2020/'21;40588;24152.0;15900.0;3839.0;12061.0;40588
37;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2021/'22;39398;23369.0;15507.0;3887.0;11620.0;39398
38;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2022/'23;40393;24957.0;14940.0;3952.0;10988.0;40393
39;Totaal mannen en vrouwen;Totaal ;Totaal;3e 20%-groep;2023/'24;39486;25343.0;13572.0;9976.0;3596.0;39486
40;Totaal mannen en vrouwen;Totaal ;Totaal;4e 20%-groep;2014/'15;40376;27601.0;7675.0;949.0;6726.0;40376
41;Totaal mannen en vrouwen;Totaal ;Totaal;4e 20%-groep;2015/'16;40710;26742.0;13591.0;2451.0;11140.0;40710
42;Totaal mannen en vrouwen;Totaal ;Totaal;4e 20%-groep;2016/'17;39873;26408.0;13055.0;2900.0;10155.0;39873
43;Totaal mannen en vrouwen;Totaal ;Totaal;4e 20%-groep;2017/'18;39636;26538.0;12639.0;2793.0;9846.0;39636
44;Totaal mannen en vrouwen;Totaal ;Totaal;4e 20%-groep;2018/'19;38978;23783.0;14771.0;3291.0;11480.0;38978
45;Totaal mannen en vrouwen;Totaal ;Totaal;4e 20%-groep;2019/'20;39299;;;;;39299
