ID;Perioden;IndexVolumeToegevoegdeWaardeBouw_1;VolumeontwikkelingTOVEenJaarEerder_2
0;2005 januari ;90.1;-3.3
1;2005 februari;98.8;1.5
2;2005 maart;114.4;-2.0
3;2005 1e kwartaal;101.1;-1.3
4;2005 april;107.4;9.9
5;2005 mei;103.7;10.3
6;2005 juni;129.1;7.0
7;2005 2e kwartaal;113.4;8.9
8;2005 juli;84.3;0.0
9;2005 augustus;66.7;13.3
10;2005 september;124.8;6.1
11;2005 3e kwartaal;91.9;5.8
12;2005 oktober;112.9;2.8
13;2005 november;122.7;3.9
14;2005 december;80.3;3.6
15;2005 4e kwartaal;105.3;3.4
16;2005;102.9;4.2
17;2006 januari;91.6;1.6
18;2006 februari;102.3;3.5
19;2006 maart;123.7;8.1
20;2006 1e kwartaal;105.9;4.7
21;2006 april;101.3;-5.6
22;2006 mei;114.1;10.0
23;2006 juni;127.0;-1.6
24;2006 2e kwartaal;114.1;0.6
25;2006 juli;85.4;1.3
26;2006 augustus;71.3;6.9
27;2006 september;130.7;4.7
28;2006 3e kwartaal;95.8;4.2
29;2006 oktober;118.3;4.8
30;2006 november;128.0;4.3
31;2006 december;82.1;2.2
32;2006 4e kwartaal;109.5;3.9
33;2006;106.3;3.3
34;2007 januari;100.5;9.8
35;2007 februari;112.0;9.5
36;2007 maart;132.9;7.4
37;2007 1e kwartaal;115.1;8.8
38;2007 april;111.2;9.7
39;2007 mei;118.3;3.7
40;2007 juni;138.2;8.9
41;2007 2e kwartaal;122.6;7.4
42;2007 juli;90.7;6.2
43;2007 augustus;79.6;11.7
44;2007 september;131.1;0.3
45;2007 3e kwartaal;100.5;4.9
46;2007 oktober;127.7;7.9
47;2007 november;132.7;3.7
48;2007 december;79.9;-2.8
49;2007 4e kwartaal;113.4;3.6
50;2007;112.9;6.2
51;2008 januari;111.8;11.1
52;2008 februari;125.2;11.8
53;2008 maart;127.8;-3.8
54;2008 1e kwartaal;121.6;5.6
55;2008 april;127.9;15.0
56;2008 mei;120.2;1.6
57;2008 juni;142.0;2.7
58;2008 2e kwartaal;130.0;6.1
59;2008 juli;90.1;-0.6
60;2008 augustus;82.1;3.1
61;2008 september;140.7;7.3
62;2008 3e kwartaal;104.3;3.8
63;2008 oktober;133.8;4.8
64;2008 november;125.1;-5.7
65;2008 december;82.5;3.3
66;2008 4e kwartaal;113.8;0.3
67;2008;117.4;4.0
68;2009 januari;115.3;3.2
69;2009 februari;120.4;-3.8
70;2009 maart;136.9;7.1
71;2009 1e kwartaal;124.2;2.1
72;2009 april;123.3;-3.5
73;2009 mei;116.9;-2.7
74;2009 juni;133.5;-6.0
75;2009 2e kwartaal;124.6;-4.2
76;2009 juli;95.5;5.9
77;2009 augustus;70.3;-14.4
78;2009 september;129.4;-8.0
79;2009 3e kwartaal;98.4;-5.7
80;2009 oktober;119.8;-10.5
81;2009 november;114.2;-8.7
82;2009 december;71.0;-13.9
83;2009 4e kwartaal;101.7;-10.7
84;2009;112.2;-4.4
85;2010 januari;95.6;-17.1
86;2010 februari;95.1;-21.0
87;2010 maart;120.2;-12.2
88;2010 1e kwartaal;103.6;-16.6
89;2010 april;108.3;-12.2
90;2010 mei;102.1;-12.7
91;2010 juni;125.3;-6.2
92;2010 2e kwartaal;111.9;-10.2
93;2010 juli;85.0;-11.0
94;2010 augustus;68.2;-2.9
95;2010 september;115.8;-10.6
96;2010 3e kwartaal;89.7;-8.9
97;2010 oktober;108.5;-9.4
98;2010 november;112.3;-1.7
99;2010 december;63.7;-10.3
100;2010 4e kwartaal;94.8;-6.7
101;2010;100.0;-10.9
102;2011 januari;104.3;9.1
103;2011 februari;109.3;15.0
104;2011 maart;123.0;2.3
105;2011 1e kwartaal;112.2;8.3
106;2011 april;105.8;-2.4
107;2011 mei;114.9;12.6
108;2011 juni;113.3;-9.6
109;2011 2e kwartaal;111.3;-0.5
110;2011 juli;79.8;-6.1
111;2011 augustus;67.7;-0.8
112;2011 september;116.8;0.9
113;2011 3e kwartaal;88.1;-1.7
114;2011 oktober;101.9;-6.1
115;2011 november;108.2;-3.7
116;2011 december;66.4;4.2
117;2011 4e kwartaal;92.2;-2.8
118;2011;100.9;0.9
119;2012 januari;96.1;-7.8
120;2012 februari;94.1;-13.8
121;2012 maart;110.3;-10.3
122;2012 1e kwartaal;100.2;-10.7
123;2012 april;97.3;-8.0
124;2012 mei;101.2;-12.0
125;2012 juni;112.4;-0.8
126;2012 2e kwartaal;103.6;-6.9
127;2012 juli;74.3;-7.0
128;2012 augustus;66.8;-1.3
129;2012 september;105.2;-9.9
130;2012 3e kwartaal;82.1;-6.8
131;2012 oktober;97.7;-4.1
132;2012 november;100.7;-7.0
133;2012 december;56.6;-14.7
134;2012 4e kwartaal;85.0;-7.8
135;2012;92.7;-8.1
136;2013 januari;88.4;-8.0
137;2013 februari;85.0;-9.7
138;2013 maart;98.3;-10.9
139;2013 1e kwartaal;90.6;-9.6
140;2013 april;90.7;-6.8
141;2013 mei;95.8;-5.3
142;2013 juni;104.0;-7.5
143;2013 2e kwartaal;96.8;-6.5
144;2013 juli;71.5;-3.7
145;2013 augustus;63.2;-5.3
146;2013 september;99.4;-5.5
147;2013 3e kwartaal;78.1;-4.9
148;2013 oktober;100.4;2.8
149;2013 november;98.3;-2.3
150;2013 december;59.3;4.7
151;2013 4e kwartaal;86.0;1.2
152;2013 ;87.9;-5.2
153;2014 januari;97.0;9.8
154;2014 februari;94.7;11.5
155;2014 maart;98.1;-0.3
156;2014 1e kwartaal;96.6;6.7
157;2014 april;96.5;6.4
158;2014 mei;95.8;0.0
159;2014 juni;102.5;-1.5
160;2014 2e kwartaal;98.3;1.5
161;2014 juli;75.4;5.5
162;2014 augustus;57.5;-9.0
163;2014 september;100.8;1.4
164;2014 3e kwartaal;77.9;-0.2
165;2014 oktober;110.5;10.1
166;2014 november;105.7;7.5
167;2014 december;66.0;11.3
168;2014 4e kwartaal;94.1;9.4
169;2014;91.7;4.4
170;2015 januari;102.3;5.4
171;2015 februari;98.9;4.5
172;2015 maart;114.6;16.8
173;2015 1e kwartaal;105.3;9.0
174;2015 april;101.0;4.7
175;2015 mei;101.0;5.4
176;2015 juni;129.4;26.3
177;2015 2e kwartaal;110.5;12.5
178;2015 juli;81.4;7.9
179;2015 augustus;64.3;11.8
180;2015 september;110.0;9.1
181;2015 3e kwartaal;85.2;9.4
182;2015 oktober;109.8;-0.6
183;2015 november;111.4;5.4
184;2015 december;67.8;2.7
185;2015 4e kwartaal;96.3;2.4
186;2015;99.3;8.3
187;2016 januari;108.9;6.4
188;2016 februari;110.8;12.0
189;2016 maart;120.2;4.9
190;2016 1e kwartaal;113.3;7.6
191;2016 april;109.6;8.5
192;2016 mei;108.8;7.7
193;2016 juni;129.5;0.0
194;2016 2e kwartaal;116.0;4.9
195;2016 juli;92.6;13.8
196;2016 augustus;70.2;9.1
197;2016 september;118.8;8.0
198;2016 3e kwartaal;93.9;10.1
199;2016 oktober;116.9;6.4
200;2016 november;122.3;9.8
201;2016 december;74.8;10.4
202;2016 4e kwartaal;104.7;8.7
203;2016;107.0;7.7
204;2017 januari ;109.7;0.8
205;2017 februari ;114.4;3.2
206;2017 maart;135.2;12.5
207;2017 1e kwartaal;119.8;5.7
208;2017 april;110.0;0.3
209;2017 mei;123.5;13.4
210;2017 juni ;135.8;4.9
211;2017 2e kwartaal ;123.1;6.1
212;2017 juli ;96.0;3.6
213;2017 augustus;74.8;6.6
214;2017 september;121.8;2.5
215;2017 3e kwartaal;97.5;3.9
216;2017 oktober;125.5;7.3
217;2017 november;132.7;8.5
218;2017 december;77.9;4.1
219;2017 4e kwartaal ;112.0;7.0
220;2017;113.1;5.7
