ID;Zorgvormen;RegioS;Perioden;JongerenMetKostenZvwGGZ_1;GedeclareerdeEnToegekendeKosten_2
0;Totaal alle vormen;Nederland;2011;267470.0;844813.0
1;Totaal alle vormen;Nederland;2012;266170.0;807952.0
2;Totaal alle vormen;Nederland;2013;262240.0;836327.0
3;Totaal alle vormen;Nederland;2014;211885.0;527283.0
4;Totaal alle vormen;Noord-Nederland (LD);2011;32205.0;113475.0
5;Totaal alle vormen;Noord-Nederland (LD);2012;32170.0;107373.0
6;Totaal alle vormen;Noord-Nederland (LD);2013;31790.0;105805.0
7;Totaal alle vormen;Noord-Nederland (LD);2014;26605.0;66447.0
8;Totaal alle vormen;Oost-Nederland (LD);2011;57755.0;184669.0
9;Totaal alle vormen;Oost-Nederland (LD);2012;57780.0;168459.0
10;Totaal alle vormen;Oost-Nederland (LD);2013;57240.0;174188.0
11;Totaal alle vormen;Oost-Nederland (LD);2014;45995.0;108623.0
12;Totaal alle vormen;West-Nederland (LD);2011;120840.0;377067.0
13;Totaal alle vormen;West-Nederland (LD);2012;121080.0;369619.0
14;Totaal alle vormen;West-Nederland (LD);2013;119990.0;385363.0
15;Totaal alle vormen;West-Nederland (LD);2014;97610.0;244680.0
16;Totaal alle vormen;Zuid-Nederland (LD);2011;56670.0;169603.0
17;Totaal alle vormen;Zuid-Nederland (LD);2012;55140.0;162501.0
18;Totaal alle vormen;Zuid-Nederland (LD);2013;53215.0;170971.0
19;Totaal alle vormen;Zuid-Nederland (LD);2014;41670.0;107533.0
20;Totaal alle vormen;Groningen (PV);2011;11235.0;39046.0
21;Totaal alle vormen;Groningen (PV);2012;11055.0;37327.0
22;Totaal alle vormen;Groningen (PV);2013;11040.0;36858.0
23;Totaal alle vormen;Groningen (PV);2014;9310.0;22756.0
24;Totaal alle vormen;Friesland (PV);2011;10715.0;35919.0
25;Totaal alle vormen;Friesland (PV);2012;10795.0;34513.0
26;Totaal alle vormen;Friesland (PV);2013;10430.0;35022.0
27;Totaal alle vormen;Friesland (PV);2014;8925.0;23393.0
28;Totaal alle vormen;Drenthe (PV);2011;10255.0;38510.0
29;Totaal alle vormen;Drenthe (PV);2012;10320.0;35533.0
30;Totaal alle vormen;Drenthe (PV);2013;10320.0;33925.0
31;Totaal alle vormen;Drenthe (PV);2014;8370.0;20297.0
32;Totaal alle vormen;Overijssel (PV);2011;16870.0;59236.0
33;Totaal alle vormen;Overijssel (PV);2012;17140.0;53001.0
34;Totaal alle vormen;Overijssel (PV);2013;17240.0;56810.0
35;Totaal alle vormen;Overijssel (PV);2014;14235.0;34955.0
36;Totaal alle vormen;Flevoland (PV);2011;8365.0;25391.0
37;Totaal alle vormen;Flevoland (PV);2012;8050.0;23377.0
38;Totaal alle vormen;Flevoland (PV);2013;7795.0;24676.0
39;Totaal alle vormen;Flevoland (PV);2014;6395.0;14476.0
40;Totaal alle vormen;Gelderland (PV);2011;32525.0;100041.0
41;Totaal alle vormen;Gelderland (PV);2012;32590.0;92081.0
42;Totaal alle vormen;Gelderland (PV);2013;32205.0;92702.0
43;Totaal alle vormen;Gelderland (PV);2014;25370.0;59192.0
44;Totaal alle vormen;Utrecht (PV);2011;20820.0;56832.0
45;Totaal alle vormen;Utrecht (PV);2012;21145.0;60228.0
46;Totaal alle vormen;Utrecht (PV);2013;20615.0;56936.0
47;Totaal alle vormen;Utrecht (PV);2014;16105.0;37074.0
48;Totaal alle vormen;Noord-Holland (PV);2011;40930.0;128234.0
49;Totaal alle vormen;Noord-Holland (PV);2012;40740.0;126669.0
50;Totaal alle vormen;Noord-Holland (PV);2013;41645.0;130207.0
51;Totaal alle vormen;Noord-Holland (PV);2014;33360.0;80907.0
52;Totaal alle vormen;Zuid-Holland (PV);2011;54115.0;176043.0
53;Totaal alle vormen;Zuid-Holland (PV);2012;53895.0;167699.0
54;Totaal alle vormen;Zuid-Holland (PV);2013;52295.0;180837.0
55;Totaal alle vormen;Zuid-Holland (PV);2014;44205.0;116329.0
56;Totaal alle vormen;Zeeland (PV);2011;4980.0;15957.0
57;Totaal alle vormen;Zeeland (PV);2012;5305.0;15023.0
58;Totaal alle vormen;Zeeland (PV);2013;5440.0;17383.0
59;Totaal alle vormen;Zeeland (PV);2014;3940.0;10369.0
60;Totaal alle vormen;Noord-Brabant (PV);2011;39315.0;109622.0
61;Totaal alle vormen;Noord-Brabant (PV);2012;38355.0;105740.0
62;Totaal alle vormen;Noord-Brabant (PV);2013;37130.0;111108.0
63;Totaal alle vormen;Noord-Brabant (PV);2014;29055.0;69036.0
64;Totaal alle vormen;Limburg (PV);2011;17355.0;59981.0
65;Totaal alle vormen;Limburg (PV);2012;16785.0;56760.0
66;Totaal alle vormen;Limburg (PV);2013;16085.0;59863.0
67;Totaal alle vormen;Limburg (PV);2014;12620.0;38497.0
