ID;Periods;Voters_1;Turnout_2;TotalVotesCast_3;InvalidVotes_4;Total_5;AR_6;CHU_7;RKSt_8;KVP_9;CDA_10;GPV_11;RPF_12;CU_13;SGP_14;D66_15;DS70_16;CPN_17;PSP_18;PPR_19;EVP_20;GL_21;CDU_22;SDAP_23;VD_24;PvdA_25;BP_26;SP_27;PvdV_28;VVD_29;AOV_30;CD_31;LN_32;LPF_33;GWPvdV_34;PvdD_35;Other_36;Total_37;AR_38;CHU_39;RKSt_40;KVP_41;CDA_42;GPV_43;RPF_44;CU_45;SGP_46;D66_47;DS70_48;CPN_49;PSP_50;PPR_51;EVP_52;GL_53;CDU_54;SDAP_55;VD_56;PvdA_57;BP_58;SP_59;PvdV_60;VVD_61;AOV_62;CD_63;LN_64;LPF_65;GWPvdV_66;PvdD_67;Other_68
0;1918;1517380;;;;1344209;13.4;6.5;30.0;;;;;;0.4;;;2.3;;;;;0.8;22.0;5.3;;;;14.6;;;;;;;;4.7;100;13.0;7.0;30.0;;;;;;0;;;2.0;;;;;1.0;22.0;5.0;;;;15.0;;;;;;;;5
1;1922;3299672;;;;2929569;13.7;10.9;29.9;;;;;;0.9;;;1.8;;;;;0.7;19.4;4.6;;;;9.3;;;;;;;;8.8;100;16.0;11.0;32.0;;;;;;1;;;2.0;;;;;0.0;20.0;5.0;;;;10.0;;;;;;;;3
2;1925;3543058;91.4;3236591.0;150729.0;3085862;12.2;9.9;28.6;;;;;;2.0;;;1.2;;;;;0.5;22.9;6.1;;;;8.7;;;;;;;;7.9;100;13.0;11.0;30.0;;;;;;2;;;1.0;;;;;0.0;24.0;7.0;;;;9.0;;;;;;;;3
3;1929;3821612;92.7;3541985.0;162482.0;3379503;11.6;10.5;29.6;;;;;;2.3;;;2.0;;;;;0.4;23.8;6.2;;;;7.4;;;;;;;;6.3;100;12.0;11.0;30.0;;;;;;3;;;2.0;;;;;0.0;24.0;7.0;;;;8.0;;;;;;;;3
4;1933;4126490;94.5;3899655.0;177827.0;3721828;13.4;9.1;27.9;;;;;;2.5;;;3.2;;;;;1.0;21.5;5.1;;;;7.0;;;;;;;;9.4;100;14.0;10.0;28.0;;;;;;3;;;4.0;;;;;1.0;22.0;6.0;;;;7.0;;;;;;;;5
5;1937;4462859;94.4;4212903.0;154826.0;4058077;16.4;7.5;28.8;;;;;;1.9;;;3.4;;;;;2.1;21.9;5.9;;;;3.9;;;;;;;;8.1;100;17.0;8.0;31.0;;;;;;2;;;3.0;;;;;2.0;23.0;6.0;;;;4.0;;;;;;;;4
6;1946;5275888;93.1;4912015.0;151304.0;4760711;12.9;7.8;;30.8;;;;;2.1;;;10.6;;;;;;;;28.3;;;6.4;;;;;;;;1.0;100;13.0;8.0;;32.0;;;;;2;;;10.0;;;;;;;;29.0;;;6.0;;;;;;;;0
7;1948;5433663;93.7;5089582.0;156623.0;4932959;13.2;9.2;;31.0;;;;;2.4;;;7.7;;;;;;;;25.6;;;;7.9;;;;;;;2.9;100;13.0;9.0;;32.0;;;;;2;;;8.0;;;;;;;;27.0;;;;8.0;;;;;;;1
8;1952;5792679;95.0;5501726.0;165981.0;5335745;11.3;8.9;;28.7;;0.7;;;2.4;;;6.2;;;;;;;;29.0;;;;8.8;;;;;;;4.1;100;12.0;9.0;;30.0;;0.0;;;2;;;6.0;;;;;;;;30.0;;;;9.0;;;;;;;2
9;1956;6125210;95.5;5849652.0;121910.0;5727742;9.9;8.4;;31.7;;0.6;;;2.3;;;4.7;;;;;;;;32.7;;;;8.8;;;;;;;0.8;100;10.0;8.0;;33.0;;0.0;;;2;;;4.0;;;;;;;;34.0;;;;9.0;;;;;;;0
