ID;Vermogensklassen;KenmerkenVanHetHuishouden;Perioden;Aantal_1;AantalPersonen_2;Totaal_3;Gemiddeld_4;k_50ePercentielMediaan_5
0;1;1;2002;6862;2.3;914.0;133.0;33.0
1;1;1;2003;6919;2.3;976.6;141.0;37.0
2;1;1;2004;6948;2.3;980.7;141.0;35.0
3;1;1;2005;6990;2.3;1046.8;150.0;39.0
4;1;1;2006;7063;2.3;1113.6;158.0;38.0
5;1;1;2007;7109;2.3;1223.8;172.0;43.0
6;1;1;2008;7166;2.2;1299.6;181.0;47.0
7;1;1;2009;7242;2.2;1248.5;172.0;42.0
8;1;1;2010;7303;2.2;1213.4;166.0;33.0
9;1;1;2011 voor methodewijziging;7337;2.2;1168.4;159.0;30.0
10;1;1;2011 na methodewijziging;7337;2.2;1191.1;162.0;30.0
11;1;1;2012;7406;2.2;1180.0;159.0;27.0
12;1;1;2013;7458;2.2;1085.0;145.0;19.0
13;1;1;2014;7481;2.2;1189.5;159.0;19.0
14;1;22;2002;2288;1.0;159.7;70.0;8.0
15;1;22;2003;2325;1.0;180.5;78.0;9.0
16;1;22;2004;2342;1.0;187.8;80.0;8.0
17;1;22;2005;2368;1.0;204.2;86.0;9.0
18;1;22;2006;2436;1.0;219.6;90.0;9.0
19;1;22;2007;2473;1.0;245.8;99.0;10.0
20;1;22;2008;2511;1.0;249.6;99.0;11.0
21;1;22;2009;2561;1.0;253.5;99.0;11.0
22;1;22;2010;2599;1.0;255.3;98.0;10.0
23;1;22;2011 voor methodewijziging;2617;1.0;250.5;96.0;9.0
24;1;22;2011 na methodewijziging;2617;1.0;253.7;97.0;9.0
25;1;22;2012;2670;1.0;252.7;95.0;8.0
26;1;22;2013;2707;1.0;237.4;88.0;6.0
27;1;22;2014;2710;1.0;251.8;93.0;6.0
28;1;23;2002;1028;1.0;63.6;62.0;6.0
29;1;23;2003;1050;1.0;71.8;68.0;7.0
30;1;23;2004;1063;1.0;71.5;67.0;6.0
31;1;23;2005;1072;1.0;78.1;73.0;6.0
32;1;23;2006;1106;1.0;88.5;80.0;7.0
33;1;23;2007;1126;1.0;99.1;88.0;6.0
34;1;23;2008;1149;1.0;95.0;83.0;8.0
35;1;23;2009;1183;1.0;105.3;89.0;8.0
36;1;23;2010;1203;1.0;108.4;90.0;7.0
37;1;23;2011 voor methodewijziging;1217;1.0;104.2;86.0;6.0
38;1;23;2011 na methodewijziging;1222;1.0;105.9;87.0;5.0
39;1;23;2012;1254;1.0;106.6;85.0;5.0
40;1;23;2013;1274;1.0;98.9;78.0;3.0
41;1;23;2014;1281;1.0;109.7;86.0;3.0
42;1;24;2002;868;1.0;44.9;52.0;4.0
43;1;24;2003;886;1.0;50.7;57.0;4.0
44;1;24;2004;896;1.0;47.7;53.0;4.0
45;1;24;2005;900;1.0;51.7;57.0;4.0
46;1;24;2006;927;1.0;58.6;63.0;4.0
47;1;24;2007;941;1.0;65.5;70.0;4.0
48;1;24;2008;958;1.0;60.1;63.0;5.0
49;1;24;2009;985;1.0;67.6;69.0;5.0
50;1;24;2010;994;1.0;66.0;66.0;4.0
51;1;24;2011 voor methodewijziging;1007;1.0;62.2;62.0;3.0
52;1;24;2011 na methodewijziging;1009;1.0;63.7;63.0;3.0
53;1;24;2012;1027;1.0;62.1;60.0;2.0
54;1;24;2013;1034;1.0;54.0;52.0;2.0
55;1;24;2014;1034;1.0;60.9;59.0;2.0
