ID;Geslacht;Leeftijd;Nationaliteit;CaribischNederland;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2011;21087
1;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2012;22304
2;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2013;23296
3;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2014;24279
4;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2015;24593
5;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2016;24548
6;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2017;24439
7;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2018;25052
8;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2019;25157
9;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2020;25987
10;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2021;26805
11;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2022;27726
12;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2023;29418
13;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2011;15679
14;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2012;16541
15;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2013;17408
16;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2014;18413
17;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2015;18905
18;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2016;19408
19;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2017;19179
20;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2018;19549
21;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2019;20104
22;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2020;20915
23;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2021;21745
24;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2022;22573
25;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2023;24090
26;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2011;3611
27;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2012;3792
28;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2013;3897
29;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2014;4020
30;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2015;3877
31;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2016;3193
32;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2017;3250
33;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2018;3348
34;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2019;3138
35;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2020;3139
36;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2021;3142
37;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2022;3242
38;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2023;3293
39;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2011;1797
40;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2012;1971
41;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2013;1991
42;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2014;1846
43;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2015;1811
44;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2016;1947
45;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2017;2010
46;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2018;2155
47;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2019;1915
48;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2020;1933
49;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2021;1918
50;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2022;1911
51;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2023;2035
52;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2011;4668
53;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2012;5248
54;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2013;5719
55;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2014;5959
56;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2015;5872
57;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2016;5506
58;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2017;4996
59;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2018;5322
60;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2019;5269
61;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2020;5683
62;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2021;5831
63;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2022;6220
64;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Caribisch Nederland;2023;7128
65;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2011;2704
66;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2012;3032
67;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2013;3371
68;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2014;3722
69;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2015;3845
70;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2016;4051
71;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2017;3441
72;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2018;3597
73;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2019;3909
74;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2020;4281
75;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2021;4484
76;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2022;4823
77;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Bonaire;2023;5553
78;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2011;1228
79;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2012;1319
80;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2013;1427
81;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2014;1468
82;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2015;1333
83;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2016;669
84;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2017;712
85;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2018;755
86;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2019;638
87;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2020;641
88;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2021;612
89;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2022;664
90;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Sint Eustatius;2023;712
91;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Saba;2011;736
92;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Saba;2012;897
93;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Saba;2013;921
94;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlands;Saba;2014;769
