ID;FietsnetwerkNaarWegtype;RegioS;Perioden;LengteVanFietsnetwerk_1
0;Totale fietsnetwerklengte;Nederland;2022;152698.4
1;Totale fietsnetwerklengte;Nederland;2023;153023.1
2;Totale fietsnetwerklengte;Nederland;2024;153514.1
3;Totale fietsnetwerklengte;Noord-Nederland (LD);2022;24856.6
4;Totale fietsnetwerklengte;Noord-Nederland (LD);2023;24894.4
5;Totale fietsnetwerklengte;Noord-Nederland (LD);2024;24961.0
6;Totale fietsnetwerklengte;Oost-Nederland (LD);2022;41745.9
7;Totale fietsnetwerklengte;Oost-Nederland (LD);2023;41836.4
8;Totale fietsnetwerklengte;Oost-Nederland (LD);2024;41996.6
9;Totale fietsnetwerklengte;West-Nederland (LD);2022;49554.7
10;Totale fietsnetwerklengte;West-Nederland (LD);2023;49686.8
11;Totale fietsnetwerklengte;West-Nederland (LD);2024;49843.2
12;Totale fietsnetwerklengte;Zuid-Nederland (LD);2022;36540.7
13;Totale fietsnetwerklengte;Zuid-Nederland (LD);2023;36605.3
14;Totale fietsnetwerklengte;Zuid-Nederland (LD);2024;36713.2
15;Totale fietsnetwerklengte;Groningen (PV);2022;7198.6
16;Totale fietsnetwerklengte;Groningen (PV);2023;7209.8
17;Totale fietsnetwerklengte;Groningen (PV);2024;7231.1
18;Totale fietsnetwerklengte;Fryslân (PV);2022;9573.8
19;Totale fietsnetwerklengte;Fryslân (PV);2023;9591.3
20;Totale fietsnetwerklengte;Fryslân (PV);2024;9598.8
21;Totale fietsnetwerklengte;Drenthe (PV);2022;8084.3
22;Totale fietsnetwerklengte;Drenthe (PV);2023;8093.1
23;Totale fietsnetwerklengte;Drenthe (PV);2024;8131.1
24;Totale fietsnetwerklengte;Overijssel (PV);2022;14644.3
25;Totale fietsnetwerklengte;Overijssel (PV);2023;14669.4
26;Totale fietsnetwerklengte;Overijssel (PV);2024;14711.1
27;Totale fietsnetwerklengte;Flevoland (PV);2022;4345.3
28;Totale fietsnetwerklengte;Flevoland (PV);2023;4361.6
29;Totale fietsnetwerklengte;Flevoland (PV);2024;4370.5
30;Totale fietsnetwerklengte;Gelderland (PV);2022;22757.0
31;Totale fietsnetwerklengte;Gelderland (PV);2023;22805.3
32;Totale fietsnetwerklengte;Gelderland (PV);2024;22914.6
33;Totale fietsnetwerklengte;Utrecht (PV);2022;7939.1
34;Totale fietsnetwerklengte;Utrecht (PV);2023;7950.2
35;Totale fietsnetwerklengte;Utrecht (PV);2024;7944.4
36;Totale fietsnetwerklengte;Noord-Holland (PV);2022;15536.2
37;Totale fietsnetwerklengte;Noord-Holland (PV);2023;15601.8
38;Totale fietsnetwerklengte;Noord-Holland (PV);2024;15656.7
39;Totale fietsnetwerklengte;Zuid-Holland (PV);2022;18803.1
40;Totale fietsnetwerklengte;Zuid-Holland (PV);2023;18861.0
41;Totale fietsnetwerklengte;Zuid-Holland (PV);2024;18958.6
42;Totale fietsnetwerklengte;Zeeland (PV);2022;7276.1
43;Totale fietsnetwerklengte;Zeeland (PV);2023;7273.8
44;Totale fietsnetwerklengte;Zeeland (PV);2024;7283.7
45;Totale fietsnetwerklengte;Noord-Brabant (PV);2022;24530.5
46;Totale fietsnetwerklengte;Noord-Brabant (PV);2023;24582.9
47;Totale fietsnetwerklengte;Noord-Brabant (PV);2024;24672.7
48;Totale fietsnetwerklengte;Limburg (PV);2022;12010.2
49;Totale fietsnetwerklengte;Limburg (PV);2023;12022.6
50;Totale fietsnetwerklengte;Limburg (PV);2024;12040.6
51;Totale fietsnetwerklengte;Aa en Hunze;2022;664.7
52;Totale fietsnetwerklengte;Aa en Hunze;2023;665.0
53;Totale fietsnetwerklengte;Aa en Hunze;2024;664.9
54;Totale fietsnetwerklengte;Aalsmeer;2022;167.7
55;Totale fietsnetwerklengte;Aalsmeer;2023;167.4
56;Totale fietsnetwerklengte;Aalsmeer;2024;169.6
57;Totale fietsnetwerklengte;Aalten;2022;466.5
58;Totale fietsnetwerklengte;Aalten;2023;466.8
59;Totale fietsnetwerklengte;Aalten;2024;467.4
60;Totale fietsnetwerklengte;Achtkarspelen;2022;355.3
61;Totale fietsnetwerklengte;Achtkarspelen;2023;355.0
62;Totale fietsnetwerklengte;Achtkarspelen;2024;355.9
63;Totale fietsnetwerklengte;Alblasserdam;2022;100.9
64;Totale fietsnetwerklengte;Alblasserdam;2023;101.3
65;Totale fietsnetwerklengte;Alblasserdam;2024;101.2
66;Totale fietsnetwerklengte;Albrandswaard;2022;173.7
67;Totale fietsnetwerklengte;Albrandswaard;2023;174.8
68;Totale fietsnetwerklengte;Albrandswaard;2024;179.1
69;Totale fietsnetwerklengte;Alkmaar;2022;648.2
70;Totale fietsnetwerklengte;Alkmaar;2023;648.6
71;Totale fietsnetwerklengte;Alkmaar;2024;654.1
72;Totale fietsnetwerklengte;Almelo;2022;564.3
73;Totale fietsnetwerklengte;Almelo;2023;563.8
74;Totale fietsnetwerklengte;Almelo;2024;568.3
75;Totale fietsnetwerklengte;Almere;2022;1266.5
76;Totale fietsnetwerklengte;Almere;2023;1273.3
77;Totale fietsnetwerklengte;Almere;2024;1275.1
78;Totale fietsnetwerklengte;Alphen aan den Rijn;2022;657.0
79;Totale fietsnetwerklengte;Alphen aan den Rijn;2023;655.4
80;Totale fietsnetwerklengte;Alphen aan den Rijn;2024;657.4
81;Totale fietsnetwerklengte;Alphen-Chaam;2022;267.1
82;Totale fietsnetwerklengte;Alphen-Chaam;2023;267.6
83;Totale fietsnetwerklengte;Alphen-Chaam;2024;268.3
84;Totale fietsnetwerklengte;Altena;2022;731.3
85;Totale fietsnetwerklengte;Altena;2023;735.0
86;Totale fietsnetwerklengte;Altena;2024;733.2
87;Totale fietsnetwerklengte;Ameland;2022;189.2
88;Totale fietsnetwerklengte;Ameland;2023;189.2
89;Totale fietsnetwerklengte;Ameland;2024;189.2
90;Totale fietsnetwerklengte;Amersfoort;2022;723.1
91;Totale fietsnetwerklengte;Amersfoort;2023;723.0
92;Totale fietsnetwerklengte;Amersfoort;2024;723.5
93;Totale fietsnetwerklengte;Amstelveen;2022;428.9
94;Totale fietsnetwerklengte;Amstelveen;2023;432.7
95;Totale fietsnetwerklengte;Amstelveen;2024;433.1
96;Totale fietsnetwerklengte;Amsterdam;2022;2370.4
97;Totale fietsnetwerklengte;Amsterdam;2023;2505.0
98;Totale fietsnetwerklengte;Amsterdam;2024;2521.5
99;Totale fietsnetwerklengte;Apeldoorn;2022;1479.6
100;Totale fietsnetwerklengte;Apeldoorn;2023;1479.8
101;Totale fietsnetwerklengte;Apeldoorn;2024;1483.6
102;Totale fietsnetwerklengte;Arnhem;2022;901.0
103;Totale fietsnetwerklengte;Arnhem;2023;902.0
104;Totale fietsnetwerklengte;Arnhem;2024;910.5
105;Totale fietsnetwerklengte;Assen;2022;552.9
