ID;Woningtype;Bouwjaarklasse;RegioS;Perioden;BeginstandWoningvoorraad_1;GemiddeldeOppervlakte_2
0;Totaal;Totaal;Nederland;2012;7386743.0;119.0
1;Totaal;Totaal;Nederland;2013;7449298.0;120.0
2;Totaal;Totaal;Nederland;2014;7535316.0;119.0
3;Totaal;Totaal;Nederland;2015;7587964.0;119.0
4;Totaal;Totaal;Nederland;2016;7641323.0;119.0
5;Totaal;Totaal;Nederland;2017;7686178.0;119.0
6;Totaal;Totaal;Nederland;2018;7740984.0;119.0
7;Totaal;Totaal;Nederland;2019;7814912.0;119.0
8;Totaal;Totaal;Nederland;2020;7891786.0;119.0
9;Totaal;Totaal;Nederland;2021;7966331.0;119.0
10;Totaal;Totaal;Nederland;2022;8045580.0;120.0
11;Totaal;Totaal;Nederland;2023;8125229.0;120.0
12;Totaal;Totaal;Nederland;2024;8204049.0;120.0
13;Totaal;Totaal;Nederland;2025;8274478.0;120.0
14;Totaal;Totaal;Noord-Nederland (LD);2012;772104.0;134.0
15;Totaal;Totaal;Noord-Nederland (LD);2013;771736.0;135.0
16;Totaal;Totaal;Noord-Nederland (LD);2014;781292.0;134.0
17;Totaal;Totaal;Noord-Nederland (LD);2015;785326.0;134.0
18;Totaal;Totaal;Noord-Nederland (LD);2016;788884.0;134.0
19;Totaal;Totaal;Noord-Nederland (LD);2017;792430.0;134.0
20;Totaal;Totaal;Noord-Nederland (LD);2018;796356.0;134.0
21;Totaal;Totaal;Noord-Nederland (LD);2019;802097.0;134.0
22;Totaal;Totaal;Noord-Nederland (LD);2020;807876.0;134.0
23;Totaal;Totaal;Noord-Nederland (LD);2021;814261.0;134.0
24;Totaal;Totaal;Noord-Nederland (LD);2022;820520.0;135.0
25;Totaal;Totaal;Noord-Nederland (LD);2023;827237.0;136.0
26;Totaal;Totaal;Noord-Nederland (LD);2024;832867.0;136.0
27;Totaal;Totaal;Noord-Nederland (LD);2025;836850.0;136.0
28;Totaal;Totaal;Oost-Nederland (LD);2012;1485826.0;129.0
29;Totaal;Totaal;Oost-Nederland (LD);2013;1504734.0;130.0
30;Totaal;Totaal;Oost-Nederland (LD);2014;1518500.0;129.0
31;Totaal;Totaal;Oost-Nederland (LD);2015;1530620.0;129.0
32;Totaal;Totaal;Oost-Nederland (LD);2016;1542330.0;129.0
33;Totaal;Totaal;Oost-Nederland (LD);2017;1549652.0;129.0
34;Totaal;Totaal;Oost-Nederland (LD);2018;1560427.0;129.0
35;Totaal;Totaal;Oost-Nederland (LD);2019;1577836.0;129.0
36;Totaal;Totaal;Oost-Nederland (LD);2020;1594895.0;129.0
37;Totaal;Totaal;Oost-Nederland (LD);2021;1612176.0;128.0
38;Totaal;Totaal;Oost-Nederland (LD);2022;1628674.0;128.0
39;Totaal;Totaal;Oost-Nederland (LD);2023;1644939.0;129.0
40;Totaal;Totaal;Oost-Nederland (LD);2024;1662092.0;129.0
41;Totaal;Totaal;Oost-Nederland (LD);2025;1677444.0;128.0
42;Totaal;Totaal;West-Nederland (LD);2012;3568335.0;106.0
43;Totaal;Totaal;West-Nederland (LD);2013;3596393.0;106.0
44;Totaal;Totaal;West-Nederland (LD);2014;3636076.0;105.0
45;Totaal;Totaal;West-Nederland (LD);2015;3661234.0;105.0
46;Totaal;Totaal;West-Nederland (LD);2016;3689052.0;105.0
47;Totaal;Totaal;West-Nederland (LD);2017;3712700.0;105.0
48;Totaal;Totaal;West-Nederland (LD);2018;3738798.0;106.0
49;Totaal;Totaal;West-Nederland (LD);2019;3775050.0;106.0
50;Totaal;Totaal;West-Nederland (LD);2020;3815173.0;106.0
51;Totaal;Totaal;West-Nederland (LD);2021;3851851.0;106.0
52;Totaal;Totaal;West-Nederland (LD);2022;3891537.0;106.0
53;Totaal;Totaal;West-Nederland (LD);2023;3930019.0;107.0
54;Totaal;Totaal;West-Nederland (LD);2024;3969640.0;107.0
55;Totaal;Totaal;West-Nederland (LD);2025;4007042.0;107.0
56;Totaal;Totaal;Zuid-Nederland (LD);2012;1560443.0;135.0
57;Totaal;Totaal;Zuid-Nederland (LD);2013;1576411.0;134.0
58;Totaal;Totaal;Zuid-Nederland (LD);2014;1599446.0;134.0
59;Totaal;Totaal;Zuid-Nederland (LD);2015;1610784.0;133.0
60;Totaal;Totaal;Zuid-Nederland (LD);2016;1621032.0;133.0
61;Totaal;Totaal;Zuid-Nederland (LD);2017;1631393.0;133.0
62;Totaal;Totaal;Zuid-Nederland (LD);2018;1645403.0;133.0
63;Totaal;Totaal;Zuid-Nederland (LD);2019;1659929.0;133.0
64;Totaal;Totaal;Zuid-Nederland (LD);2020;1673842.0;133.0
65;Totaal;Totaal;Zuid-Nederland (LD);2021;1688043.0;133.0
66;Totaal;Totaal;Zuid-Nederland (LD);2022;1704849.0;134.0
67;Totaal;Totaal;Zuid-Nederland (LD);2023;1723034.0;134.0
68;Totaal;Totaal;Zuid-Nederland (LD);2024;1739450.0;134.0
69;Totaal;Totaal;Zuid-Nederland (LD);2025;1753142.0;133.0
70;Totaal;Totaal;Niet in te delen (LD);2012;35.0;156.0
71;Totaal;Totaal;Niet in te delen (LD);2013;24.0;143.0
72;Totaal;Totaal;Niet in te delen (LD);2014;2.0;
73;Totaal;Totaal;Niet in te delen (LD);2015;0.0;
74;Totaal;Totaal;Niet in te delen (LD);2016;25.0;46.0
75;Totaal;Totaal;Niet in te delen (LD);2017;3.0;
76;Totaal;Totaal;Niet in te delen (LD);2018;0.0;
77;Totaal;Totaal;Niet in te delen (LD);2019;0.0;
78;Totaal;Totaal;Niet in te delen (LD);2020;0.0;
79;Totaal;Totaal;Niet in te delen (LD);2021;0.0;
80;Totaal;Totaal;Niet in te delen (LD);2022;0.0;
81;Totaal;Totaal;Niet in te delen (LD);2023;0.0;
82;Totaal;Totaal;Niet in te delen (LD);2024;;
83;Totaal;Totaal;Niet in te delen (LD);2025;;
84;Totaal;Totaal;Groningen (PV);2012;265332.0;134.0
85;Totaal;Totaal;Groningen (PV);2013;267466.0;133.0
86;Totaal;Totaal;Groningen (PV);2014;271087.0;131.0
87;Totaal;Totaal;Groningen (PV);2015;272774.0;130.0
88;Totaal;Totaal;Groningen (PV);2016;274719.0;130.0
89;Totaal;Totaal;Groningen (PV);2017;276727.0;129.0
90;Totaal;Totaal;Groningen (PV);2018;277113.0;129.0
91;Totaal;Totaal;Groningen (PV);2019;279662.0;129.0
92;Totaal;Totaal;Groningen (PV);2020;282047.0;128.0
93;Totaal;Totaal;Groningen (PV);2021;285012.0;128.0
94;Totaal;Totaal;Groningen (PV);2022;287568.0;129.0
95;Totaal;Totaal;Groningen (PV);2023;290562.0;129.0
96;Totaal;Totaal;Groningen (PV);2024;292812.0;129.0
97;Totaal;Totaal;Groningen (PV);2025;294248.0;129.0
98;Totaal;Totaal;Fryslân (PV);2012;287340.0;132.0
99;Totaal;Totaal;Fryslân (PV);2013;289380.0;134.0
100;Totaal;Totaal;Fryslân (PV);2014;292180.0;135.0
101;Totaal;Totaal;Fryslân (PV);2015;294169.0;135.0
102;Totaal;Totaal;Fryslân (PV);2016;295540.0;136.0
103;Totaal;Totaal;Fryslân (PV);2017;296463.0;136.0
104;Totaal;Totaal;Fryslân (PV);2018;298425.0;136.0
105;Totaal;Totaal;Fryslân (PV);2019;300238.0;136.0
106;Totaal;Totaal;Fryslân (PV);2020;302578.0;136.0
107;Totaal;Totaal;Fryslân (PV);2021;304693.0;137.0
108;Totaal;Totaal;Fryslân (PV);2022;306633.0;139.0
109;Totaal;Totaal;Fryslân (PV);2023;308768.0;139.0
110;Totaal;Totaal;Fryslân (PV);2024;310787.0;139.0
111;Totaal;Totaal;Fryslân (PV);2025;312294.0;139.0
112;Totaal;Totaal;Drenthe (PV);2012;219432.0;137.0
113;Totaal;Totaal;Drenthe (PV);2013;214890.0;138.0
114;Totaal;Totaal;Drenthe (PV);2014;218025.0;137.0
115;Totaal;Totaal;Drenthe (PV);2015;218383.0;137.0
116;Totaal;Totaal;Drenthe (PV);2016;218625.0;137.0
117;Totaal;Totaal;Drenthe (PV);2017;219240.0;137.0
118;Totaal;Totaal;Drenthe (PV);2018;220818.0;137.0
119;Totaal;Totaal;Drenthe (PV);2019;222197.0;137.0
120;Totaal;Totaal;Drenthe (PV);2020;223251.0;137.0
121;Totaal;Totaal;Drenthe (PV);2021;224556.0;137.0
122;Totaal;Totaal;Drenthe (PV);2022;226319.0;139.0
123;Totaal;Totaal;Drenthe (PV);2023;227907.0;140.0
124;Totaal;Totaal;Drenthe (PV);2024;229268.0;140.0
125;Totaal;Totaal;Drenthe (PV);2025;230308.0;140.0
126;Totaal;Totaal;Overijssel (PV);2012;482572.0;127.0
127;Totaal;Totaal;Overijssel (PV);2013;485391.0;128.0
128;Totaal;Totaal;Overijssel (PV);2014;487577.0;128.0
129;Totaal;Totaal;Overijssel (PV);2015;490227.0;128.0
130;Totaal;Totaal;Overijssel (PV);2016;493757.0;128.0
131;Totaal;Totaal;Overijssel (PV);2017;497361.0;128.0
132;Totaal;Totaal;Overijssel (PV);2018;499951.0;128.0
133;Totaal;Totaal;Overijssel (PV);2019;505343.0;128.0
134;Totaal;Totaal;Overijssel (PV);2020;510296.0;129.0
135;Totaal;Totaal;Overijssel (PV);2021;514993.0;129.0
136;Totaal;Totaal;Overijssel (PV);2022;518558.0;129.0
137;Totaal;Totaal;Overijssel (PV);2023;522916.0;130.0
138;Totaal;Totaal;Overijssel (PV);2024;527085.0;131.0
139;Totaal;Totaal;Overijssel (PV);2025;531840.0;131.0
140;Totaal;Totaal;Flevoland (PV);2012;158061.0;126.0
141;Totaal;Totaal;Flevoland (PV);2013;159496.0;126.0
142;Totaal;Totaal;Flevoland (PV);2014;161512.0;126.0
143;Totaal;Totaal;Flevoland (PV);2015;162731.0;125.0
144;Totaal;Totaal;Flevoland (PV);2016;162918.0;125.0
145;Totaal;Totaal;Flevoland (PV);2017;164229.0;127.0
146;Totaal;Totaal;Flevoland (PV);2018;166487.0;127.0
