ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;2929569;100.0;100;94;6
1;1;6001;0.2;0;0;0
2;2;402277;13.7;16;16;0
3;3;8193;0.3;0;0;0
4;4;20760;0.7;0;0;0
5;5;19540;0.7;0;0;0
6;6;318669;10.9;11;10;1
7;7;53664;1.8;2;2;0
8;8;9209;0.3;0;0;0
9;9;142;0.0;0;0;0
10;Groep Van der Zwaag;3723;0.1;0;0;0
11;Grondpartij;1384;0.0;0;0;0
12;Hervormd Gereformeerde Staatspartij;20431;0.7;0;0;0
13;Huiseigenarenpartij;1642;0.1;0;0;0
14;Kiesvereniging Algemeen Belang;741;0.0;0;0;0
15;Kleine Middenstandspartij;544;0.0;0;0;0
16;Kunstenaarspartij;3499;0.1;0;0;0
17;Liberale groep;18124;0.6;1;1;0
18;Liberale Staatspartij;271358;9.3;10;9;1
19;Lijst Bleeker;548;0.0;0;0;0
20;Lijst Brinkman;167;0.0;0;0;0
21;Lijst Busch;67;0.0;0;0;0
22;Lijst Coppenolle;1061;0.0;0;0;0
23;Lijst De Ruiter;194;0.0;0;0;0
24;Lijst Groenendaal;1902;0.1;0;0;0
25;Lijst Schouten;89;0.0;0;0;0
26;Lijst v.d. Werf;544;0.0;0;0;0
27;Lijst Verweij;291;0.0;0;0;0
28;Lijsten Arts;15830;0.5;0;0;0
29;NBB;10501;0.4;0;0;0
30;Neutraal blok Middenstanders;7963;0.3;0;0;0
31;Nieuwe Katholieke Partij;13499;0.5;0;0;0
32;Onafhankelijke Partij;15227;0.5;0;0;0
33;Partij voor Pensioenbelangen;588;0.0;0;0;0
34;Patriciërsbond;3495;0.1;0;0;0
35;Plattelandersbond (links);36668;1.3;2;2;0
36;Plattelandersbond (rechts);9148;0.3;0;0;0
37;Plattelandspartij;10628;0.4;0;0;0
38;Protestantse Volkspartij;1556;0.1;0;0;0
39;Rapaille-partij;11458;0.4;0;0;0
40;Revolutionaire Partij;142;0.0;0;0;0
41;Rooms-Katholieke Staatspartij;874745;29.9;32;31;1
42;SDAP;567769;19.4;20;18;2
43;SGP;26744;0.9;1;1;0
44;Socialistische Partij;12411;0.4;0;0;0
45;Vaderlandsche Partij;354;0.0;0;0;0
46;Volkswelvaartspartij;9784;0.3;0;0;0
47;Vrijdenkers;1123;0.0;0;0;0
48;Vrije Middenstandspartij;577;0.0;0;0;0
49;Vrijzinnig Democratische Bond;134595;4.6;5;4;1
