ID;Leeftijd;Geslacht;Perioden;Autochtonen_1;Allochtonen_2;k_1eGeneratie_3;Totaal2eGeneratie_4;k_2eGeneratieMet1BuitenlandseOuder_5;k_2eGeneratieMet2BuitenlandseOuders_6;NietWesterseAllochtonen_7;WesterseAllochtonen_8
0;Totaal over alle leeftijden;Totaal mannen en vrouwen;2000;13088648;2775302;1431122;1344180;825837;518343;1408791;1366511
1;Totaal over alle leeftijden;Totaal mannen en vrouwen;2001;13118480;2863287;1481665;1381622;837971;543651;1475579;1387708
2;Totaal over alle leeftijden;Totaal mannen en vrouwen;2002;13147563;2950204;1530304;1419900;850612;569288;1540563;1409641
3;Totaal over alle leeftijden;Totaal mannen en vrouwen;2003;13173959;3037077;1577957;1459120;863850;595270;1605176;1431901
4;Totaal over alle leeftijden;Totaal mannen en vrouwen;2004;13196807;3123268;1624230;1499038;877628;621410;1668964;1454304
5;Totaal over alle leeftijden;Totaal mannen en vrouwen;2005;13215866;3208836;1669179;1539657;891926;647731;1731969;1476867
6;Totaal over alle leeftijden;Totaal mannen en vrouwen;2006;13230250;3293386;1712487;1580899;906685;674214;1794123;1499263
7;Totaal over alle leeftijden;Totaal mannen en vrouwen;2007;13240035;3376738;1754142;1622596;921790;700806;1855337;1521401
8;Totaal over alle leeftijden;Totaal mannen en vrouwen;2008;13245343;3458934;1794237;1664697;937272;727425;1915622;1543312
9;Totaal over alle leeftijden;Totaal mannen en vrouwen;2009;13246831;3539875;1832841;1707034;953025;754009;1974986;1564889
10;Totaal over alle leeftijden;Totaal mannen en vrouwen;2010;13244750;3619722;1870154;1749568;969057;780511;2033635;1586087
11;Totaal over alle leeftijden;Totaal mannen en vrouwen;2011;13239963;3698513;1906289;1792224;985295;806929;2091751;1606762
12;Totaal over alle leeftijden;Totaal mannen en vrouwen;2012;13233036;3776160;1941293;1834867;1001643;833224;2149372;1626788
13;Totaal over alle leeftijden;Totaal mannen en vrouwen;2013;13224342;3852609;1975155;1877454;1018105;859349;2206498;1646111
14;Totaal over alle leeftijden;Totaal mannen en vrouwen;2014;13214309;3927751;2007825;1919926;1034622;885304;2263103;1664648
15;Totaal over alle leeftijden;Totaal mannen en vrouwen;2015;13203261;4001644;2039382;1962262;1051202;911060;2319206;1682438
16;Totaal over alle leeftijden;Totaal mannen en vrouwen;2016;13191647;4074116;2069759;2004357;1067750;936607;2374702;1699414
17;Totaal over alle leeftijden;Totaal mannen en vrouwen;2017;13179495;4145292;2099061;2046231;1084134;962097;2429697;1715595
18;Totaal over alle leeftijden;Totaal mannen en vrouwen;2018;13167056;4215078;2127285;2087793;1100355;987438;2484096;1730982
19;Totaal over alle leeftijden;Totaal mannen en vrouwen;2019;13154354;4283562;2154479;2129083;1116377;1012706;2537950;1745612
20;Totaal over alle leeftijden;Totaal mannen en vrouwen;2020;13141348;4350752;2180751;2170001;1132170;1037831;2591201;1759551
21;Totaal over alle leeftijden;Totaal mannen en vrouwen;2021;13127945;4416731;2206118;2210613;1147778;1062835;2643894;1772837
22;Totaal over alle leeftijden;Totaal mannen en vrouwen;2022;13113901;4481546;2230703;2250843;1163119;1087724;2695921;1785625
23;Totaal over alle leeftijden;Totaal mannen en vrouwen;2023;13099056;4545254;2254512;2290742;1178258;1112484;2747358;1797896
24;Totaal over alle leeftijden;Totaal mannen en vrouwen;2024;13083201;4607884;2277562;2330322;1193213;1137109;2798187;1809697
25;Totaal over alle leeftijden;Totaal mannen en vrouwen;2025;13066086;4669454;2299868;2369586;1207948;1161638;2848410;1821044
26;Totaal over alle leeftijden;Totaal mannen en vrouwen;2026;13047709;4729953;2321409;2408544;1222501;1186043;2898027;1831926
27;Totaal over alle leeftijden;Totaal mannen en vrouwen;2027;13027747;4789418;2342217;2447201;1236884;1210317;2947025;1842393
28;Totaal over alle leeftijden;Totaal mannen en vrouwen;2028;13006078;4847859;2362286;2485573;1251095;1234478;2995413;1852446
29;Totaal over alle leeftijden;Totaal mannen en vrouwen;2029;12982547;4905326;2381637;2523689;1265160;1258529;3043232;1862094
30;Totaal over alle leeftijden;Totaal mannen en vrouwen;2030;12957096;4961770;2400248;2561522;1279084;1282438;3090401;1871369
31;Totaal over alle leeftijden;Totaal mannen en vrouwen;2031;12929597;5017303;2418170;2599133;1292929;1306204;3136965;1880338
32;Totaal over alle leeftijden;Totaal mannen en vrouwen;2032;12899979;5071861;2435389;2636472;1306592;1329880;3182933;1888928
33;Totaal over alle leeftijden;Totaal mannen en vrouwen;2033;12868143;5125476;2451927;2673549;1320166;1353383;3228253;1897223
34;Totaal over alle leeftijden;Totaal mannen en vrouwen;2034;12833957;5178177;2467783;2710394;1333641;1376753;3272936;1905241
35;Totaal over alle leeftijden;Totaal mannen en vrouwen;2035;12797488;5229946;2482978;2746968;1347024;1399944;3316967;1912979
36;Totaal over alle leeftijden;Totaal mannen en vrouwen;2036;12758549;5280815;2497494;2783321;1360353;1422968;3360371;1920444
37;Totaal over alle leeftijden;Totaal mannen en vrouwen;2037;12717331;5330797;2511349;2819448;1373590;1445858;3403113;1927684
38;Totaal over alle leeftijden;Totaal mannen en vrouwen;2038;12674191;5379878;2524557;2855321;1386769;1468552;3445160;1934718
39;Totaal over alle leeftijden;Totaal mannen en vrouwen;2039;12629129;5428061;2537098;2890963;1399883;1491080;3486527;1941534
40;Totaal over alle leeftijden;Totaal mannen en vrouwen;2040;12582626;5475426;2549029;2926397;1412980;1513417;3527217;1948209
41;Totaal over alle leeftijden;Totaal mannen en vrouwen;2041;12535009;5521954;2560369;2961585;1426005;1535580;3567169;1954785
42;Totaal over alle leeftijden;Totaal mannen en vrouwen;2042;12486437;5567681;2571095;2996586;1439044;1557542;3606447;1961234
43;Totaal over alle leeftijden;Totaal mannen en vrouwen;2043;12437332;5612550;2581217;3031333;1452037;1579296;3644949;1967601
44;Totaal over alle leeftijden;Totaal mannen en vrouwen;2044;12387741;5656626;2590769;3065857;1464968;1600889;3682752;1973874
45;Totaal over alle leeftijden;Totaal mannen en vrouwen;2045;12338233;5699935;2599766;3100169;1477899;1622270;3719819;1980116
46;Totaal over alle leeftijden;Totaal mannen en vrouwen;2046;12289107;5742436;2608191;3134245;1490806;1643439;3756150;1986286
47;Totaal over alle leeftijden;Totaal mannen en vrouwen;2047;12240481;5784084;2616087;3167997;1503568;1664429;3791697;1992387
48;Totaal over alle leeftijden;Totaal mannen en vrouwen;2048;12192678;5824988;2623445;3201543;1516326;1685217;3826500;1998488
49;Totaal over alle leeftijden;Totaal mannen en vrouwen;2049;12145949;5865110;2630298;3234812;1529033;1705779;3860593;2004517
50;Totaal over alle leeftijden;Totaal mannen en vrouwen;2050;12100520;5904410;2636615;3267795;1541684;1726111;3893893;2010517
51;Totaal over alle leeftijden;Mannen;2000;6461857;1384460;705295;679165;415012;264153;727031;657429
52;Totaal over alle leeftijden;Mannen;2001;6478901;1427583;729411;698172;421073;277099;759376;668207
53;Totaal over alle leeftijden;Mannen;2002;6494929;1470258;752717;717541;427338;290203;791060;679198
54;Totaal over alle leeftijden;Mannen;2003;6509851;1512866;775503;737363;433896;303467;822536;690330
55;Totaal over alle leeftijden;Mannen;2004;6523170;1555205;797619;757586;440738;316848;853621;701584
56;Totaal over alle leeftijden;Mannen;2005;6534711;1597325;819143;778182;447879;330303;884364;712961
57;Totaal over alle leeftijden;Mannen;2006;6543986;1638889;839777;799112;455292;343820;914684;724205
58;Totaal over alle leeftijden;Mannen;2007;6550875;1679856;859603;820253;462858;357395;944539;735317
59;Totaal over alle leeftijden;Mannen;2008;6555491;1720206;878586;841620;470609;371011;973944;746262
60;Totaal over alle leeftijden;Mannen;2009;6558109;1759961;896824;863137;478538;384599;1002956;757005
61;Totaal over alle leeftijden;Mannen;2010;6558902;1799164;914418;884746;486599;398147;1031600;767564
62;Totaal over alle leeftijden;Mannen;2011;6558282;1837962;931551;906411;494757;411654;1059961;778001
63;Totaal over alle leeftijden;Mannen;2012;6556442;1876253;948172;928081;502981;425100;1088116;788137
64;Totaal over alle leeftijden;Mannen;2013;6553632;1914011;964262;949749;511305;438444;1116043;797968
65;Totaal over alle leeftijden;Mannen;2014;6550020;1951146;979799;971347;519677;451670;1143696;807450
66;Totaal over alle leeftijden;Mannen;2015;6545721;1987740;994834;992906;528064;464842;1171158;816582
67;Totaal over alle leeftijden;Mannen;2016;6540980;2023701;1009336;1014365;536475;477890;1198369;825332
