ID;CaribischNederland;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3;Invoerwaarde_4;Uitvoerwaarde_5
0;Bonaire;2011 3e kwartaal;38683.0;4330.0;-34353.0;;
1;Bonaire;2011 4e kwartaal;49131.0;2134.0;-46997.0;;
2;Bonaire;2011;;;;;
3;Bonaire;2012 1e kwartaal;39025.0;2361.0;-36664.0;;
4;Bonaire;2012 2e kwartaal;43353.0;2054.0;-41299.0;;
5;Bonaire;2012 3e kwartaal;39676.0;3631.0;-36045.0;2.6;-16.1
6;Bonaire;2012 4e kwartaal;46678.0;3511.0;-43167.0;-5.0;64.5
7;Bonaire;2012;168732.0;11557.0;-157175.0;;
8;Bonaire;2013 1e kwartaal;41207.0;6038.0;-35169.0;5.6;155.7
9;Bonaire;2013 2e kwartaal;35212.0;1493.0;-33719.0;-18.8;-27.3
10;Bonaire;2013 3e kwartaal;40399.0;2682.0;-37717.0;1.8;-26.1
11;Bonaire;2013 4e kwartaal;48468.0;3811.0;-44657.0;3.8;8.5
12;Bonaire;2013;165286.0;14024.0;-151262.0;-2.0;21.3
13;Bonaire;2014 1e kwartaal;38150.0;3176.0;-34974.0;-7.4;-47.4
14;Bonaire;2014 2e kwartaal;35885.0;2081.0;-33804.0;1.9;39.4
15;Bonaire;2014 3e kwartaal;42489.0;3141.0;-39348.0;5.2;17.1
16;Bonaire;2014 4e kwartaal;47249.0;5435.0;-41814.0;-2.5;42.6
17;Bonaire;2014;163774.0;13834.0;-149940.0;-0.9;-1.4
18;Bonaire;2015 1e kwartaal;47686.0;3063.0;-44623.0;25.0;-3.6
19;Bonaire;2015 2e kwartaal;46430.0;2118.0;-44312.0;29.4;1.8
20;Bonaire;2015 3e kwartaal;46909.0;2194.0;-44715.0;10.4;-30.1
21;Bonaire;2015 4e kwartaal;52907.0;2120.0;-50787.0;12.0;-61.0
22;Bonaire;2015;193932.0;9496.0;-184436.0;18.4;-31.4
23;Bonaire;2016 1e kwartaal;44253.0;2902.0;-41351.0;-7.2;-5.3
24;Bonaire;2016 2e kwartaal;49611.0;2010.0;-47601.0;6.9;-5.1
25;Bonaire;2016 3e kwartaal;49829.0;1731.0;-48098.0;6.2;-21.1
26;Bonaire;2016 4e kwartaal;56940.0;2061.0;-54879.0;7.6;-2.8
27;Bonaire;2016;200633.0;8704.0;-191929.0;3.5;-8.3
28;Bonaire;2017 1e kwartaal;46603.0;2627.0;-43976.0;5.3;-9.5
29;Bonaire;2017 2e kwartaal;51934.0;4558.0;-47376.0;4.7;126.8
30;Bonaire;2017 3e kwartaal;54213.0;2119.0;-52094.0;8.8;22.4
31;Bonaire;2017 4e kwartaal;60078.0;1611.0;-58467.0;5.5;-21.8
32;Bonaire;2017;212827.0;10914.0;-201913.0;6.1;25.4
