ID;Periods;OutputPriceIndex_1;ChangesComparedToOneYearEarlier_2;OutputPriceIndex_3;ChangesComparedToOneYearEarlier_4
0;2018 1st quarter;87.2;;87.2;
1;2018 2nd quarter;88.5;;88.5;
2;2018 3rd quarter;89.5;;89.5;
3;2018 4th quarter;92.1;;92.1;
4;2018;89.3;;89.3;
5;2019 1st quarter;91.7;5.2;91.7;5.2
6;2019 2nd quarter;92.9;5.0;92.9;5.0
7;2019 3rd quarter;95.0;6.1;95.0;6.1
8;2019 4th quarter;96.0;4.2;96.0;4.2
9;2019;93.9;5.1;93.9;5.1
10;2020 1st quarter;95.9;4.6;95.9;4.6
11;2020 2nd quarter;96.7;4.1;96.7;4.1
12;2020 3rd quarter;98.8;4.0;98.8;4.0
13;2020 4th quarter;97.8;1.9;97.8;1.9
14;2020;97.3;3.6;97.3;3.6
15;2021 1st quarter;96.7;0.8;96.7;0.8
16;2021 2nd quarter;99.5;2.9;99.5;2.9
17;2021 3rd quarter;101.5;2.7;101.5;2.7
18;2021 4th quarter;102.3;4.6;102.3;4.6
19;2021;100.0;2.8;100.0;2.8
20;2022 1st quarter;104.1;7.7;104.1;7.7
21;2022 2nd quarter;105.0;5.5;105.0;5.5
22;2022 3rd quarter;112.2;10.5;112.2;10.5
23;2022 4th quarter;114.0;11.4;114.0;11.4
24;2022;108.8;8.8;108.8;8.8
25;2023 1st quarter;118.7;14.0;118.7;14.0
26;2023 2nd quarter;120.7;15.0;120.7;15.0
27;2023 3rd quarter;125.8;12.1;125.8;12.1
28;2023 4th quarter;125.3;9.9;125.3;9.9
29;2023;122.6;12.7;122.6;12.7
30;2024 1st quarter;124.7;5.1;124.7;5.1
31;2024 2nd quarter;127.6;5.7;127.6;5.7
32;2024 3rd quarter;126.6;0.7;126.6;0.7
33;2024 4th quarter;128.0;2.1;128.0;2.1
34;2024;126.7;3.3;126.7;3.3
