ID;Periods;TotalPronouncedBankruptcies_1;TotalPronouncedBankruptcies_2;SingleOwnerCompanies_3;TradingPartnerships_4;TotalPronouncedBankruptcies_5;Partners_6;OtherNaturalPersons_7;Legacies_8;TotalSingleOwnerAndTradingCompanies_9;SingleOwnerCompanies_10;TradingPartnerships_11;TotalPronouncedBankruptcies_12;SingleOwnerCompanies_13;TradingPartnerships_14;TotalPronouncedBankruptcies_15;SingleOwnerCompanies_16;TradingPartnerships_17;TotalPronouncedBankruptcies_18;SingleOwnerCompanies_19;TradingPartnerships_20;TotalPronouncedBankruptcies_21;SingleOwnerCompanies_22;TradingPartnerships_23;TotalPronouncedBankruptcies_24;SingleOwnerCompanies_25;TradingPartnerships_26;TotalPronouncedBankruptcies_27;SingleOwnerCompanies_28;TradingPartnerships_29;TotalPronouncedBankruptcies_30;SingleOwnerCompanies_31;TradingPartnerships_32;TotalPronouncedBankruptcies_33;SingleOwnerCompanies_34;TradingPartnerships_35;TotalPronouncedBankruptcies_36;SingleOwnerCompanies_37;TradingPartnerships_38
0;1993 January;454;380;159;221;74;39;35;;380;159;221;11.0;8.0;3.0;46.0;14.0;32.0;46.0;28.0;18.0;121.0;56.0;65.0;15.0;7.0;8.0;26.0;5.0;21.0;88.0;29.0;59.0;15.0;9.0;6.0;12.0;3.0;9.0
1;1993 February;461;371;138;233;90;41;49;;371;138;233;13.0;6.0;7.0;52.0;19.0;33.0;58.0;29.0;29.0;93.0;32.0;61.0;22.0;12.0;10.0;20.0;8.0;12.0;88.0;21.0;67.0;16.0;7.0;9.0;9.0;4.0;5.0
2;1993 March;639;572;218;354;67;32;35;;572;218;354;11.0;10.0;1.0;92.0;25.0;67.0;75.0;37.0;38.0;164.0;61.0;103.0;39.0;27.0;12.0;22.0;7.0;15.0;135.0;38.0;97.0;20.0;9.0;11.0;14.0;4.0;10.0
3;1993 1st Quarter;1554;1323;515;808;231;112;119;;1323;515;808;35.0;24.0;11.0;190.0;58.0;132.0;179.0;94.0;85.0;378.0;149.0;229.0;76.0;46.0;30.0;68.0;20.0;48.0;311.0;88.0;223.0;51.0;25.0;26.0;35.0;11.0;24.0
4;1993 April;507;440;182;258;67;29;38;;440;182;258;7.0;6.0;1.0;59.0;21.0;38.0;64.0;24.0;40.0;139.0;64.0;75.0;28.0;21.0;7.0;18.0;8.0;10.0;94.0;24.0;70.0;21.0;10.0;11.0;10.0;4.0;6.0
5;1993 May;496;418;135;283;78;30;48;;418;135;283;10.0;7.0;3.0;64.0;14.0;50.0;47.0;16.0;31.0;117.0;45.0;72.0;24.0;16.0;8.0;22.0;8.0;14.0;110.0;21.0;89.0;15.0;7.0;8.0;9.0;1.0;8.0
6;1993 June;557;485;183;302;72;37;35;;485;183;302;12.0;9.0;3.0;74.0;17.0;57.0;65.0;30.0;35.0;148.0;66.0;82.0;25.0;21.0;4.0;32.0;14.0;18.0;106.0;19.0;87.0;20.0;6.0;14.0;3.0;1.0;2.0
7;1993 2nd Quarter;1560;1343;500;843;217;96;121;;1343;500;843;29.0;22.0;7.0;197.0;52.0;145.0;176.0;70.0;106.0;404.0;175.0;229.0;77.0;58.0;19.0;72.0;30.0;42.0;310.0;64.0;246.0;56.0;23.0;33.0;22.0;6.0;16.0
8;1993 July;569;499;183;316;70;24;46;;499;183;316;14.0;10.0;4.0;79.0;26.0;53.0;59.0;28.0;31.0;133.0;51.0;82.0;41.0;32.0;9.0;30.0;5.0;25.0;117.0;20.0;97.0;25.0;11.0;14.0;1.0;0.0;1.0
9;1993 August;508;434;163;271;74;36;38;1.0;434;163;271;12.0;6.0;6.0;54.0;9.0;45.0;48.0;25.0;23.0;146.0;60.0;86.0;31.0;23.0;8.0;19.0;4.0;15.0;94.0;21.0;73.0;29.0;14.0;15.0;1.0;1.0;0.0
10;1993 September;586;507;185;322;79;34;45;1.0;507;185;322;10.0;6.0;4.0;68.0;10.0;58.0;59.0;33.0;26.0;162.0;69.0;93.0;25.0;18.0;7.0;36.0;16.0;20.0;121.0;22.0;99.0;24.0;11.0;13.0;2.0;0.0;2.0
11;1993 3rd Quarter;1663;1440;531;909;223;94;129;2.0;1440;531;909;36.0;22.0;14.0;201.0;45.0;156.0;166.0;86.0;80.0;441.0;180.0;261.0;97.0;73.0;24.0;85.0;25.0;60.0;332.0;63.0;269.0;78.0;36.0;42.0;4.0;1.0;3.0
12;1993 October;504;426;190;236;78;33;45;1.0;426;190;236;12.0;6.0;6.0;56.0;17.0;39.0;53.0;27.0;26.0;123.0;64.0;59.0;29.0;21.0;8.0;30.0;13.0;17.0;100.0;32.0;68.0;20.0;9.0;11.0;3.0;1.0;2.0
13;1993 November;596;506;224;282;90;38;52;;506;224;282;20.0;17.0;3.0;69.0;20.0;49.0;54.0;30.0;24.0;153.0;77.0;76.0;38.0;27.0;11.0;38.0;14.0;24.0;114.0;31.0;83.0;18.0;6.0;12.0;2.0;2.0;0.0
14;1993 December;551;474;188;286;77;25;52;2.0;474;188;286;17.0;11.0;6.0;77.0;21.0;56.0;74.0;41.0;33.0;127.0;56.0;71.0;18.0;15.0;3.0;40.0;8.0;32.0;96.0;24.0;72.0;22.0;11.0;11.0;3.0;1.0;2.0
15;1993 4th Quarter;1651;1406;602;804;245;96;149;3.0;1406;602;804;49.0;34.0;15.0;202.0;58.0;144.0;181.0;98.0;83.0;403.0;197.0;206.0;85.0;63.0;22.0;108.0;35.0;73.0;310.0;87.0;223.0;60.0;26.0;34.0;8.0;4.0;4.0
16;1993;6428;5512;2148;3364;916;398;518;5.0;5512;2148;3364;149.0;102.0;47.0;790.0;213.0;577.0;702.0;348.0;354.0;1626.0;701.0;925.0;335.0;240.0;95.0;333.0;110.0;223.0;1263.0;302.0;961.0;245.0;110.0;135.0;69.0;22.0;47.0
17;1994 January;535;443;180;263;92;47;45;;443;180;263;16.0;11.0;5.0;50.0;13.0;37.0;68.0;28.0;40.0;134.0;57.0;77.0;25.0;18.0;7.0;32.0;10.0;22.0;101.0;34.0;67.0;17.0;9.0;8.0;0.0;0.0;0.0
18;1994 February;534;433;171;262;101;49;52;1.0;433;171;262;11.0;6.0;5.0;52.0;19.0;33.0;60.0;24.0;36.0;139.0;58.0;81.0;35.0;25.0;10.0;21.0;7.0;14.0;91.0;25.0;66.0;24.0;7.0;17.0;0.0;0.0;0.0
19;1994 March;686;551;227;324;135;63;72;;551;227;324;10.0;7.0;3.0;72.0;23.0;49.0;76.0;35.0;41.0;172.0;80.0;92.0;36.0;24.0;12.0;39.0;11.0;28.0;117.0;31.0;86.0;22.0;11.0;11.0;7.0;5.0;2.0
20;1994 1st Quarter;1755;1427;578;849;328;159;169;1.0;1427;578;849;37.0;24.0;13.0;174.0;55.0;119.0;204.0;87.0;117.0;445.0;195.0;250.0;96.0;67.0;29.0;92.0;28.0;64.0;309.0;90.0;219.0;63.0;27.0;36.0;7.0;5.0;2.0
21;1994 April;497;406;167;239;91;22;69;1.0;406;167;239;3.0;3.0;0.0;67.0;16.0;51.0;46.0;18.0;28.0;118.0;63.0;55.0;33.0;25.0;8.0;22.0;9.0;13.0;85.0;22.0;63.0;27.0;10.0;17.0;5.0;1.0;4.0
22;1994 May;432;376;162;214;56;18;38;;376;162;214;12.0;10.0;2.0;59.0;16.0;43.0;58.0;36.0;22.0;108.0;45.0;63.0;27.0;24.0;3.0;20.0;11.0;9.0;74.0;12.0;62.0;16.0;8.0;8.0;2.0;0.0;2.0
23;1994 June;621;513;172;341;108;45;63;;513;172;341;11.0;8.0;3.0;96.0;22.0;74.0;73.0;34.0;39.0;122.0;50.0;72.0;26.0;16.0;10.0;26.0;6.0;20.0;131.0;23.0;108.0;26.0;13.0;13.0;2.0;0.0;2.0
24;1994 2nd Quarter;1550;1295;501;794;255;85;170;1.0;1295;501;794;26.0;21.0;5.0;222.0;54.0;168.0;177.0;88.0;89.0;348.0;158.0;190.0;86.0;65.0;21.0;68.0;26.0;42.0;290.0;57.0;233.0;69.0;31.0;38.0;9.0;1.0;8.0
25;1994 July;463;380;147;233;83;36;47;;380;147;233;12.0;8.0;4.0;54.0;15.0;39.0;36.0;21.0;15.0;124.0;53.0;71.0;22.0;13.0;9.0;31.0;14.0;17.0;81.0;15.0;66.0;17.0;7.0;10.0;3.0;1.0;2.0
26;1994 August;602;506;219;287;96;47;49;;506;219;287;16.0;12.0;4.0;61.0;30.0;31.0;57.0;32.0;25.0;152.0;75.0;77.0;26.0;21.0;5.0;36.0;14.0;22.0;129.0;24.0;105.0;28.0;11.0;17.0;1.0;0.0;1.0
27;1994 September;548;451;192;259;97;42;55;;451;192;259;9.0;4.0;5.0;53.0;16.0;37.0;67.0;39.0;28.0;136.0;63.0;73.0;29.0;23.0;6.0;21.0;5.0;16.0;92.0;25.0;67.0;37.0;16.0;21.0;7.0;1.0;6.0
28;1994 3rd Quarter;1613;1337;558;779;276;125;151;;1337;558;779;37.0;24.0;13.0;168.0;61.0;107.0;160.0;92.0;68.0;412.0;191.0;221.0;77.0;57.0;20.0;88.0;33.0;55.0;302.0;64.0;238.0;82.0;34.0;48.0;11.0;2.0;9.0
29;1994 October;473;397;164;233;76;28;48;1.0;397;164;233;5.0;2.0;3.0;54.0;17.0;37.0;57.0;29.0;28.0;119.0;54.0;65.0;25.0;17.0;8.0;24.0;8.0;16.0;93.0;29.0;64.0;16.0;6.0;10.0;4.0;2.0;2.0
30;1994 November;622;505;207;298;117;52;65;1.0;505;207;298;15.0;11.0;4.0;59.0;19.0;40.0;52.0;27.0;25.0;174.0;76.0;98.0;24.0;14.0;10.0;29.0;11.0;18.0;126.0;33.0;93.0;25.0;15.0;10.0;1.0;1.0;0.0
31;1994 December;451;372;165;207;79;25;54;;372;165;207;14.0;9.0;5.0;41.0;16.0;25.0;38.0;16.0;22.0;127.0;62.0;65.0;32.0;23.0;9.0;19.0;6.0;13.0;81.0;27.0;54.0;20.0;6.0;14.0;0.0;0.0;0.0
32;1994 4th Quarter;1546;1274;536;738;272;105;167;2.0;1274;536;738;34.0;22.0;12.0;154.0;52.0;102.0;147.0;72.0;75.0;420.0;192.0;228.0;81.0;54.0;27.0;72.0;25.0;47.0;300.0;89.0;211.0;61.0;27.0;34.0;5.0;3.0;2.0
33;1994;6464;5333;2173;3160;1131;474;657;4.0;5333;2173;3160;134.0;91.0;43.0;718.0;222.0;496.0;688.0;339.0;349.0;1625.0;736.0;889.0;340.0;243.0;97.0;320.0;112.0;208.0;1201.0;300.0;901.0;275.0;119.0;156.0;32.0;11.0;21.0
34;1995 January;514;416;192;224;98;43;55;;416;192;224;10.0;5.0;5.0;49.0;23.0;26.0;47.0;27.0;20.0;129.0;62.0;67.0;29.0;21.0;8.0;30.0;15.0;15.0;106.0;33.0;73.0;14.0;6.0;8.0;2.0;0.0;2.0
35;1995 February;453;378;174;204;75;28;47;;378;174;204;9.0;7.0;2.0;33.0;12.0;21.0;63.0;25.0;38.0;131.0;70.0;61.0;34.0;21.0;13.0;21.0;9.0;12.0;68.0;23.0;45.0;19.0;7.0;12.0;0.0;0.0;0.0
36;1995 March;565;458;212;246;107;54;53;;458;212;246;12.0;6.0;6.0;51.0;16.0;35.0;66.0;36.0;30.0;127.0;63.0;64.0;45.0;34.0;11.0;29.0;19.0;10.0;107.0;26.0;81.0;19.0;10.0;9.0;2.0;2.0;0.0
37;1995 1st Quarter;1532;1252;578;674;280;125;155;;1252;578;674;31.0;18.0;13.0;133.0;51.0;82.0;176.0;88.0;88.0;387.0;195.0;192.0;108.0;76.0;32.0;80.0;43.0;37.0;281.0;82.0;199.0;52.0;23.0;29.0;4.0;2.0;2.0
38;1995 April;478;379;166;213;99;40;59;;379;166;213;10.0;7.0;3.0;54.0;17.0;37.0;57.0;30.0;27.0;125.0;56.0;69.0;20.0;14.0;6.0;17.0;9.0;8.0;73.0;19.0;54.0;22.0;14.0;8.0;1.0;0.0;1.0
39;1995 May;443;376;150;226;67;30;37;;376;150;226;6.0;5.0;1.0;46.0;14.0;32.0;45.0;16.0;29.0;120.0;53.0;67.0;41.0;27.0;14.0;13.0;7.0;6.0;83.0;22.0;61.0;20.0;5.0;15.0;2.0;1.0;1.0
40;1995 June;455;397;161;236;58;22;36;;397;161;236;6.0;4.0;2.0;48.0;12.0;36.0;40.0;27.0;13.0;120.0;53.0;67.0;36.0;25.0;11.0;19.0;7.0;12.0;103.0;22.0;81.0;23.0;11.0;12.0;2.0;0.0;2.0
41;1995 2nd Quarter;1376;1152;477;675;224;92;132;;1152;477;675;22.0;16.0;6.0;148.0;43.0;105.0;142.0;73.0;69.0;365.0;162.0;203.0;97.0;66.0;31.0;49.0;23.0;26.0;259.0;63.0;196.0;65.0;30.0;35.0;5.0;1.0;4.0
42;1995 July;476;393;153;240;83;44;39;;393;153;240;4.0;3.0;1.0;39.0;8.0;31.0;44.0;25.0;19.0;126.0;57.0;69.0;28.0;19.0;9.0;21.0;9.0;12.0;101.0;21.0;80.0;18.0;9.0;9.0;12.0;2.0;10.0
43;1995 August;506;401;164;237;105;51;54;2.0;401;164;237;7.0;6.0;1.0;48.0;18.0;30.0;41.0;20.0;21.0;127.0;61.0;66.0;35.0;22.0;13.0;27.0;9.0;18.0;87.0;19.0;68.0;26.0;9.0;17.0;3.0;0.0;3.0
44;1995 September;510;407;145;262;103;43;60;1.0;407;145;262;12.0;6.0;6.0;47.0;13.0;34.0;42.0;24.0;18.0;123.0;49.0;74.0;31.0;19.0;12.0;21.0;4.0;17.0;105.0;20.0;85.0;20.0;9.0;11.0;6.0;1.0;5.0
45;1995 3rd Quarter;1492;1201;462;739;291;138;153;3.0;1201;462;739;23.0;15.0;8.0;134.0;39.0;95.0;127.0;69.0;58.0;376.0;167.0;209.0;94.0;60.0;34.0;69.0;22.0;47.0;293.0;60.0;233.0;64.0;27.0;37.0;21.0;3.0;18.0
46;1995 October;528;441;183;258;87;39;48;1.0;441;183;258;21.0;15.0;6.0;47.0;12.0;35.0;54.0;25.0;29.0;136.0;61.0;75.0;37.0;25.0;12.0;29.0;10.0;19.0;85.0;28.0;57.0;21.0;6.0;15.0;11.0;1.0;10.0
47;1995 November;515;407;168;239;108;47;61;;407;168;239;11.0;6.0;5.0;41.0;13.0;28.0;48.0;25.0;23.0;146.0;62.0;84.0;27.0;21.0;6.0;26.0;10.0;16.0;83.0;18.0;65.0;21.0;13.0;8.0;4.0;0.0;4.0
48;1995 December;404;330;143;187;74;30;44;;330;143;187;10.0;5.0;5.0;28.0;9.0;19.0;33.0;18.0;15.0;113.0;52.0;61.0;20.0;13.0;7.0;21.0;10.0;11.0;83.0;26.0;57.0;16.0;9.0;7.0;6.0;1.0;5.0
49;1995 4th Quarter;1447;1178;494;684;269;116;153;1.0;1178;494;684;42.0;26.0;16.0;116.0;34.0;82.0;135.0;68.0;67.0;395.0;175.0;220.0;84.0;59.0;25.0;76.0;30.0;46.0;251.0;72.0;179.0;58.0;28.0;30.0;21.0;2.0;19.0
50;1995;5847;4783;2011;2772;1064;471;593;4.0;4783;2011;2772;118.0;75.0;43.0;531.0;167.0;364.0;580.0;298.0;282.0;1523.0;699.0;824.0;383.0;261.0;122.0;274.0;118.0;156.0;1084.0;277.0;807.0;239.0;108.0;131.0;51.0;8.0;43.0
51;1996 January;494;415;198;217;79;33;46;;415;198;217;8.0;6.0;2.0;51.0;17.0;34.0;56.0;26.0;30.0;158.0;80.0;78.0;34.0;26.0;8.0;22.0;12.0;10.0;67.0;22.0;45.0;18.0;8.0;10.0;1.0;1.0;0.0
52;1996 February;440;366;162;204;74;33;41;;366;162;204;7.0;3.0;4.0;41.0;11.0;30.0;54.0;30.0;24.0;129.0;64.0;65.0;25.0;16.0;9.0;20.0;6.0;14.0;72.0;23.0;49.0;15.0;7.0;8.0;3.0;2.0;1.0
