ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;D66_7;GL_8;PvdA_9;SGP_10;SP_11;VVD_12;OverigeLandelijkeGroeperingEn_13;LokaleConfessioneleGroeperingEn_14;LokaleOnafhankelijkeGroeperingEn_15;LokaleProgressieveGroeperingEn_16;CDA_17;CU_18;D66_19;GL_20;PvdA_21;SGP_22;SP_23;VVD_24;OverigeLandelijkeGroeperingEn_25;LokaleConfessioneleGroeperingEn_26;LokaleOnafhankelijkeGroeperingEn_27;LokaleProgressieveGroeperingEn_28;TotaalPolitiekeGroeperingen_29;CDA_30;CU_31;D66_32;GL_33;PvdA_34;SGP_35;SP_36;VVD_37;OverigeLandelijkeGroeperingEn_38;LokaleConfessioneleGroeperingEn_39;LokaleOnafhankelijkeGroeperingEn_40;LokaleProgressieveGroeperingEn_41;TotaalPolitiekeGroeperingen_42;CDA_43;CU_44;D66_45;GL_46;PvdA_47;SGP_48;SP_49;VVD_50;OverigeLandelijkeGroeperingEn_51;LokaleConfessioneleGroeperingEn_52;LokaleOnafhankelijkeGroeperingEn_53;LokaleProgressieveGroeperingEn_54;TotaalPolitiekeGroeperingen_55;CDA_56;CU_57;D66_58;GL_59;PvdA_60;SGP_61;SP_62;VVD_63;OverigeLandelijkeGroeperingEn_64;LokaleConfessioneleGroeperingEn_65;LokaleOnafhankelijkeGroeperingEn_66;LokaleProgressieveGroeperingEn_67;TotaalPolitiekeGroeperingen_68;CDA_69;CU_70;D66_71;GL_72;PvdA_73;SGP_74;SP_75;VVD_76;OverigeLandelijkeGroeperingEn_77;LokaleConfessioneleGroeperingEn_78;LokaleOnafhankelijkeGroeperingEn_79;LokaleProgressieveGroeperingEn_80;TotaalPolitiekeGroeperingen_81;CDA_82;CU_83;D66_84;GL_85;PvdA_86;SGP_87;SP_88;VVD_89;OverigeLandelijkeGroeperingEn_90;LokaleConfessioneleGroeperingEn_91;LokaleOnafhankelijkeGroeperingEn_92;LokaleProgressieveGroeperingEn_93;TotaalPolitiekeGroeperingen_94;CDA_95;CU_96;D66_97;GL_98;PvdA_99;SGP_100;SP_101;VVD_102;OverigeLandelijkeGroeperingEn_103;LokaleConfessioneleGroeperingEn_104;LokaleOnafhankelijkeGroeperingEn_105;LokaleProgressieveGroeperingEn_106;TotaalPolitiekeGroeperingen_107;CDA_108;CU_109;D66_110;GL_111;PvdA_112;SGP_113;SP_114;VVD_115;OverigeLandelijkeGroeperingEn_116;LokaleConfessioneleGroeperingEn_117;LokaleOnafhankelijkeGroeperingEn_118;LokaleProgressieveGroeperingEn_119;TotaalPolitiekeGroeperingen_120;CDA_121;CU_122;D66_123;GL_124;PvdA_125;SGP_126;SP_127;VVD_128;OverigeLandelijkeGroeperingEn_129;LokaleConfessioneleGroeperingEn_130;LokaleOnafhankelijkeGroeperingEn_131;LokaleProgressieveGroeperingEn_132;TotaalPolitiekeGroeperingen_133;CDA_134;CU_135;D66_136;GL_137;PvdA_138;SGP_139;SP_140;VVD_141;OverigeLandelijkeGroeperingEn_142;LokaleConfessioneleGroeperingEn_143;LokaleOnafhankelijkeGroeperingEn_144;LokaleProgressieveGroeperingEn_145;Mannen_146;Vrouwen_147;LandsdeelCode_148;ProvincieCode_149;KamerkieskringCode_150;CoropCode_151;GemeenteCode_152
0;Aa en Hunze;19516;63.2;12332;12320;1181;0;0;1301;3258;0;0;2727;0;0;3853;0;9.6;0.0;0.0;10.6;26.4;0.0;0.0;22.1;0.0;0.0;31.3;0.0;21;2;0;0;2;5;0;0;5;0;0;7;0;16;2;0;0;1;3;0;0;3;0;0;7;0;5;0;0;0;1;2;0;0;2;0;0;0;0;3;0;0;0;0;1;0;0;1;0;0;1;0;3;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PvdA ;     ;1;22;3;7;1680
1;Aalburg;8652;75.0;6492;6486;1108;710;0;0;597;1461;0;870;0;0;1740;0;17.1;10.9;0.0;0.0;9.2;22.5;0.0;13.4;0.0;0.0;26.8;0.0;15;3;2;0;0;1;3;0;2;0;0;4;0;12;2;2;0;0;0;3;0;1;0;0;4;0;3;1;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CDA  ;     ;4;30;17;34;738
2;Aalsmeer;17756;60.5;10737;10726;3318;0;0;0;0;0;0;2343;0;0;2194;2871;30.9;0.0;0.0;0.0;0.0;0.0;0.0;21.8;0.0;0.0;20.5;26.8;19;6;0;0;0;0;0;0;4;0;0;4;5;13;4;0;0;0;0;0;0;3;0;0;3;3;6;2;0;0;0;0;0;0;1;0;0;1;2;4;2;0;0;0;0;0;0;1;0;0;1;0;3;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VVD  ;     ;3;27;10;23;358
3;Aalten;14143;67.8;9586;9576;4575;719;0;0;1054;0;0;867;0;509;420;1432;47.8;7.5;0.0;0.0;11.0;0.0;0.0;9.1;0.0;5.3;4.4;15.0;17;8;1;0;0;2;0;0;2;0;1;0;3;11;5;1;0;0;1;0;0;1;0;1;0;2;6;3;0;0;0;1;0;0;1;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CDA  ;     ;2;25;7;14;197
4;Ter Aar;6682;62.4;4168;4156;1640;0;0;0;0;0;0;940;0;0;1576;0;39.5;0.0;0.0;0.0;0.0;0.0;0.0;22.6;0.0;0.0;37.9;0.0;13;5;0;0;0;0;0;0;3;0;0;5;0;12;4;0;0;0;0;0;0;3;0;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VVD  ;     ;3;28;15;28;480
5;Abcoude;6324;72.4;4578;4569;889;0;787;0;1094;0;0;1086;0;0;713;0;19.5;0.0;17.2;0.0;23.9;0.0;0.0;23.8;0.0;0.0;15.6;0.0;13;3;0;2;0;3;0;0;3;0;0;2;0;10;2;0;2;0;3;0;0;1;0;0;2;0;3;1;0;0;0;0;0;0;2;0;0;0;0;3;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;VVD  ;3;26;8;17;305
6;Achtkarspelen;21330;67.3;14363;14348;4334;0;0;0;2161;0;0;681;0;1844;5328;0;30.2;0.0;0.0;0.0;15.1;0.0;0.0;4.7;0.0;12.9;37.1;0.0;21;7;0;0;0;3;0;0;1;0;3;7;0;17;6;0;0;0;2;0;0;1;0;3;5;0;4;1;0;0;0;1;0;0;0;0;0;2;0;4;2;0;0;0;1;0;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CDA  ;     ;1;21;2;4;59
7;Alblasserdam;13669;62.9;8593;8579;2103;895;0;0;0;1412;0;1345;0;0;0;2824;24.5;10.4;0.0;0.0;0.0;16.5;0.0;15.7;0.0;0.0;0.0;32.9;17;4;2;0;0;0;3;0;3;0;0;0;5;14;3;2;0;0;0;3;0;2;0;0;0;4;3;1;0;0;0;0;0;0;1;0;0;0;1;3;1;0;0;0;0;1;0;1;0;0;0;0;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CDA  ;     ;3;28;14;30;482
8;Albrandswaard;13918;62.5;8705;8686;2068;0;371;0;1261;0;0;1964;0;415;2607;0;23.8;0.0;4.3;0.0;14.5;0.0;0.0;22.6;0.0;4.8;30.0;0.0;17;4;0;0;0;3;0;0;4;0;1;5;0;14;3;0;0;0;3;0;0;4;0;1;3;0;3;1;0;0;0;0;0;0;0;0;0;2;0;3;1;0;0;0;1;0;0;1;0;0;0;0;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;VVD  ;3;28;14;29;613
9;Alkemade;10826;69.9;7566;7552;1625;0;0;0;1166;0;0;1076;0;0;3685;0;21.5;0.0;0.0;0.0;15.4;0.0;0.0;14.2;0.0;0.0;48.8;0.0;15;3;0;0;0;2;0;0;2;0;0;8;0;11;2;0;0;0;2;0;0;2;0;0;5;0;4;1;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;1;0;0;0;0;0;2;0;3;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PvdA ;     ;3;28;15;25;483
