ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
0;Total sales;B-E Industry (except construction);2018 January;90.0;;
1;Total sales;B-E Industry (except construction);2018 February;89.7;-0.3;
2;Total sales;B-E Industry (except construction);2018 March;89.9;0.3;
3;Total sales;B-E Industry (except construction);2018 April;90.4;0.5;
4;Total sales;B-E Industry (except construction);2018 May;91.6;1.3;
5;Total sales;B-E Industry (except construction);2018 June;92.1;0.6;
6;Total sales;B-E Industry (except construction);2018 July;92.3;0.2;
7;Total sales;B-E Industry (except construction);2018 August;92.4;0.2;
8;Total sales;B-E Industry (except construction);2018 September;92.9;0.5;
9;Total sales;B-E Industry (except construction);2018 October;93.5;0.6;
10;Total sales;B-E Industry (except construction);2018 November;91.9;-1.7;
11;Total sales;B-E Industry (except construction);2018 December;90.2;-1.9;
12;Total sales;B-E Industry (except construction);2018;91.4;;
13;Total sales;B-E Industry (except construction);2019 January;90.9;0.8;1.0
14;Total sales;B-E Industry (except construction);2019 February;91.3;0.3;1.7
15;Total sales;B-E Industry (except construction);2019 March;91.5;0.3;1.8
16;Total sales;B-E Industry (except construction);2019 April;92.7;1.2;2.5
17;Total sales;B-E Industry (except construction);2019 May;92.7;0.0;1.2
18;Total sales;B-E Industry (except construction);2019 June;91.4;-1.4;-0.8
19;Total sales;B-E Industry (except construction);2019 July;91.3;-0.1;-1.1
20;Total sales;B-E Industry (except construction);2019 August;90.6;-0.7;-1.9
21;Total sales;B-E Industry (except construction);2019 September;91.0;0.4;-2.1
22;Total sales;B-E Industry (except construction);2019 October;91.1;0.1;-2.5
23;Total sales;B-E Industry (except construction);2019 November;91.3;0.2;-0.7
24;Total sales;B-E Industry (except construction);2019 December;91.6;0.4;1.6
25;Total sales;B-E Industry (except construction);2019;91.5;;0.0
26;Total sales;B-E Industry (except construction);2020 January;91.9;0.3;1.1
27;Total sales;B-E Industry (except construction);2020 February;91.2;-0.8;0.0
28;Total sales;B-E Industry (except construction);2020 March;87.7;-3.8;-4.2
29;Total sales;B-E Industry (except construction);2020 April;84.9;-3.2;-8.4
30;Total sales;B-E Industry (except construction);2020 May;85.2;0.3;-8.1
31;Total sales;B-E Industry (except construction);2020 June;86.1;1.1;-5.7
32;Total sales;B-E Industry (except construction);2020 July;86.5;0.5;-5.2
33;Total sales;B-E Industry (except construction);2020 August;86.5;0.0;-4.5
34;Total sales;B-E Industry (except construction);2020 September;86.5;0.0;-4.9
35;Total sales;B-E Industry (except construction);2020 October;86.8;0.3;-4.8
36;Total sales;B-E Industry (except construction);2020 November;87.3;0.6;-4.4
37;Total sales;B-E Industry (except construction);2020 December;88.2;1.1;-3.7
38;Total sales;B-E Industry (except construction);2020;87.4;;-4.4
39;Total sales;B-E Industry (except construction);2021 January;90.7;2.7;-1.4
40;Total sales;B-E Industry (except construction);2021 February;92.4;1.9;1.3
41;Total sales;B-E Industry (except construction);2021 March;94.2;2.0;7.4
42;Total sales;B-E Industry (except construction);2021 April;95.8;1.6;12.8
43;Total sales;B-E Industry (except construction);2021 May;97.0;1.3;13.9
44;Total sales;B-E Industry (except construction);2021 June;98.0;1.0;13.7
45;Total sales;B-E Industry (except construction);2021 July;100.4;2.5;16.0
46;Total sales;B-E Industry (except construction);2021 August;101.6;1.1;17.4
47;Total sales;B-E Industry (except construction);2021 September;103.4;1.8;19.5
48;Total sales;B-E Industry (except construction);2021 October;107.4;3.9;23.8
49;Total sales;B-E Industry (except construction);2021 November;109.1;1.6;25.0
50;Total sales;B-E Industry (except construction);2021 December;110.1;0.9;24.8
51;Total sales;B-E Industry (except construction);2021;100.0;;14.4
52;Total sales;B-E Industry (except construction);2022 January;115.0;4.4;26.9
53;Total sales;B-E Industry (except construction);2022 February;116.4;1.2;26.0
54;Total sales;B-E Industry (except construction);2022 March;122.4;5.1;29.9
55;Total sales;B-E Industry (except construction);2022 April;127.7;4.3;33.3
56;Total sales;B-E Industry (except construction);2022 May;128.1;0.4;32.1
57;Total sales;B-E Industry (except construction);2022 June;130.4;1.7;33.1
58;Total sales;B-E Industry (except construction);2022 July;133.2;2.2;32.7
59;Total sales;B-E Industry (except construction);2022 August;134.9;1.3;32.8
60;Total sales;B-E Industry (except construction);2022 September;134.6;-0.3;30.2
61;Total sales;B-E Industry (except construction);2022 October;135.0;0.3;25.7
62;Total sales;B-E Industry (except construction);2022 November;132.2;-2.1;21.1
63;Total sales;B-E Industry (except construction);2022 December;129.1;-2.3;17.3
64;Total sales;B-E Industry (except construction);2022;128.3;;28.3
65;Total sales;B-E Industry (except construction);2023 January;130.6;1.1;13.5
66;Total sales;B-E Industry (except construction);2023 February;130.1;-0.4;11.8
67;Total sales;B-E Industry (except construction);2023 March;127.9;-1.7;4.5
68;Total sales;B-E Industry (except construction);2023 April;125.4;-1.9;-1.8
69;Total sales;B-E Industry (except construction);2023 May;123.1;-1.9;-4.0
70;Total sales;B-E Industry (except construction);2023 June;122.7;-0.3;-5.9
71;Total sales;B-E Industry (except construction);2023 July;121.2;-1.2;-9.0
72;Total sales;B-E Industry (except construction);2023 August;122.5;1.1;-9.2
73;Total sales;B-E Industry (except construction);2023 September;124.4;1.6;-7.5
74;Total sales;B-E Industry (except construction);2023 October;123.0;-1.1;-8.9
75;Total sales;B-E Industry (except construction);2023 November;122.6;-0.4;-7.3
76;Total sales;B-E Industry (except construction);2023 December;121.0;-1.3;-6.3
77;Total sales;B-E Industry (except construction);2023;124.6;;-2.9
78;Total sales;B-E Industry (except construction);2024 January;120.7;-0.3;-7.6
79;Total sales;B-E Industry (except construction);2024 February;120.8;0.1;-7.2
80;Total sales;B-E Industry (except construction);2024 March;121.6;0.7;-4.9
81;Total sales;B-E Industry (except construction);2024 April;122.2;0.5;-2.6
82;Total sales;B-E Industry (except construction);2024 May;121.2;-0.8;-1.5
83;Total sales;B-E Industry (except construction);2024 June;121.6;0.3;-0.9
