ID;Celbestemming;Geslacht;Perioden;AantalPlaatsen_1
0;Totale capaciteit;Totaal plaatsen;2000;12433.0
1;Totale capaciteit;Totaal plaatsen;2001;12752.0
2;Totale capaciteit;Totaal plaatsen;2002;13115.0
3;Totale capaciteit;Totaal plaatsen;2003;13977.0
4;Totale capaciteit;Totaal plaatsen;2004;16251.0
5;Totale capaciteit;Totaal plaatsen;2005;16803.0
6;Totale capaciteit;Plaatsen voor mannen;2000;
7;Totale capaciteit;Plaatsen voor mannen;2001;
8;Totale capaciteit;Plaatsen voor mannen;2002;
9;Totale capaciteit;Plaatsen voor mannen;2003;
10;Totale capaciteit;Plaatsen voor mannen;2004;
11;Totale capaciteit;Plaatsen voor mannen;2005;
12;Totale capaciteit;Plaatsen voor vrouwen;2000;
13;Totale capaciteit;Plaatsen voor vrouwen;2001;
14;Totale capaciteit;Plaatsen voor vrouwen;2002;
15;Totale capaciteit;Plaatsen voor vrouwen;2003;
16;Totale capaciteit;Plaatsen voor vrouwen;2004;
17;Totale capaciteit;Plaatsen voor vrouwen;2005;
18;Huizen van bewaring;Totaal plaatsen;2000;9005.0
19;Huizen van bewaring;Totaal plaatsen;2001;9152.0
20;Huizen van bewaring;Totaal plaatsen;2002;9481.0
21;Huizen van bewaring;Totaal plaatsen;2003;10260.0
22;Huizen van bewaring;Totaal plaatsen;2004;12095.0
23;Huizen van bewaring;Totaal plaatsen;2005;12615.0
24;Huizen van bewaring;Plaatsen voor mannen;2000;8482.0
25;Huizen van bewaring;Plaatsen voor mannen;2001;8590.0
26;Huizen van bewaring;Plaatsen voor mannen;2002;8853.0
27;Huizen van bewaring;Plaatsen voor mannen;2003;9466.0
28;Huizen van bewaring;Plaatsen voor mannen;2004;11365.0
29;Huizen van bewaring;Plaatsen voor mannen;2005;11901.0
30;Huizen van bewaring;Plaatsen voor vrouwen;2000;523.0
31;Huizen van bewaring;Plaatsen voor vrouwen;2001;562.0
32;Huizen van bewaring;Plaatsen voor vrouwen;2002;628.0
33;Huizen van bewaring;Plaatsen voor vrouwen;2003;794.0
34;Huizen van bewaring;Plaatsen voor vrouwen;2004;730.0
35;Huizen van bewaring;Plaatsen voor vrouwen;2005;714.0
36;Gevangenissen, gesloten inrichtingen;Totaal plaatsen;2000;1979.0
37;Gevangenissen, gesloten inrichtingen;Totaal plaatsen;2001;2229.0
38;Gevangenissen, gesloten inrichtingen;Totaal plaatsen;2002;2286.0
39;Gevangenissen, gesloten inrichtingen;Totaal plaatsen;2003;2418.0
40;Gevangenissen, gesloten inrichtingen;Totaal plaatsen;2004;2744.0
41;Gevangenissen, gesloten inrichtingen;Totaal plaatsen;2005;2702.0
42;Gevangenissen, gesloten inrichtingen;Plaatsen voor mannen;2000;1929.0
43;Gevangenissen, gesloten inrichtingen;Plaatsen voor mannen;2001;2139.0
44;Gevangenissen, gesloten inrichtingen;Plaatsen voor mannen;2002;2191.0
45;Gevangenissen, gesloten inrichtingen;Plaatsen voor mannen;2003;2319.0
46;Gevangenissen, gesloten inrichtingen;Plaatsen voor mannen;2004;2590.0
47;Gevangenissen, gesloten inrichtingen;Plaatsen voor mannen;2005;2593.0
48;Gevangenissen, gesloten inrichtingen;Plaatsen voor vrouwen;2000;50.0
49;Gevangenissen, gesloten inrichtingen;Plaatsen voor vrouwen;2001;90.0
50;Gevangenissen, gesloten inrichtingen;Plaatsen voor vrouwen;2002;95.0
51;Gevangenissen, gesloten inrichtingen;Plaatsen voor vrouwen;2003;99.0
52;Gevangenissen, gesloten inrichtingen;Plaatsen voor vrouwen;2004;154.0
53;Gevangenissen, gesloten inrichtingen;Plaatsen voor vrouwen;2005;109.0
54;Gevangenissen, beperkt beveiligd;Totaal plaatsen;2000;940.0
55;Gevangenissen, beperkt beveiligd;Totaal plaatsen;2001;872.0
56;Gevangenissen, beperkt beveiligd;Totaal plaatsen;2002;823.0
57;Gevangenissen, beperkt beveiligd;Totaal plaatsen;2003;823.0
58;Gevangenissen, beperkt beveiligd;Totaal plaatsen;2004;863.0
59;Gevangenissen, beperkt beveiligd;Totaal plaatsen;2005;930.0
60;Gevangenissen, beperkt beveiligd;Plaatsen voor mannen;2000;859.0
61;Gevangenissen, beperkt beveiligd;Plaatsen voor mannen;2001;783.0
