ID;Celbestemming;Geslacht;Perioden;AantalPlaatsen_1
62;Gevangenissen, beperkt beveiligd;Plaatsen voor mannen;2002;739.0
63;Gevangenissen, beperkt beveiligd;Plaatsen voor mannen;2003;739.0
64;Gevangenissen, beperkt beveiligd;Plaatsen voor mannen;2004;791.0
65;Gevangenissen, beperkt beveiligd;Plaatsen voor mannen;2005;867.0
66;Gevangenissen, beperkt beveiligd;Plaatsen voor vrouwen;2000;81.0
67;Gevangenissen, beperkt beveiligd;Plaatsen voor vrouwen;2001;89.0
68;Gevangenissen, beperkt beveiligd;Plaatsen voor vrouwen;2002;84.0
69;Gevangenissen, beperkt beveiligd;Plaatsen voor vrouwen;2003;84.0
70;Gevangenissen, beperkt beveiligd;Plaatsen voor vrouwen;2004;72.0
71;Gevangenissen, beperkt beveiligd;Plaatsen voor vrouwen;2005;63.0
72;Gevangenissen, zeer beperkt beveiligd;Totaal plaatsen;2000;255.0
73;Gevangenissen, zeer beperkt beveiligd;Totaal plaatsen;2001;295.0
74;Gevangenissen, zeer beperkt beveiligd;Totaal plaatsen;2002;283.0
75;Gevangenissen, zeer beperkt beveiligd;Totaal plaatsen;2003;263.0
76;Gevangenissen, zeer beperkt beveiligd;Totaal plaatsen;2004;320.0
77;Gevangenissen, zeer beperkt beveiligd;Totaal plaatsen;2005;317.0
78;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor mannen;2000;234.0
79;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor mannen;2001;274.0
80;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor mannen;2002;262.0
81;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor mannen;2003;242.0
82;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor mannen;2004;293.0
83;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor mannen;2005;291.0
84;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor vrouwen;2000;21.0
85;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor vrouwen;2001;21.0
86;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor vrouwen;2002;21.0
87;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor vrouwen;2003;21.0
88;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor vrouwen;2004;27.0
89;Gevangenissen, zeer beperkt beveiligd;Plaatsen voor vrouwen;2005;26.0
90;Overige capaciteit;Totaal plaatsen;2000;254.0
91;Overige capaciteit;Totaal plaatsen;2001;216.0
92;Overige capaciteit;Totaal plaatsen;2002;242.0
93;Overige capaciteit;Totaal plaatsen;2003;213.0
94;Overige capaciteit;Totaal plaatsen;2004;229.0
95;Overige capaciteit;Totaal plaatsen;2005;239.0
96;Overige capaciteit;Plaatsen voor mannen;2000;
97;Overige capaciteit;Plaatsen voor mannen;2001;
98;Overige capaciteit;Plaatsen voor mannen;2002;
99;Overige capaciteit;Plaatsen voor mannen;2003;
100;Overige capaciteit;Plaatsen voor mannen;2004;
101;Overige capaciteit;Plaatsen voor mannen;2005;
102;Overige capaciteit;Plaatsen voor vrouwen;2000;
103;Overige capaciteit;Plaatsen voor vrouwen;2001;
104;Overige capaciteit;Plaatsen voor vrouwen;2002;
105;Overige capaciteit;Plaatsen voor vrouwen;2003;
106;Overige capaciteit;Plaatsen voor vrouwen;2004;
107;Overige capaciteit;Plaatsen voor vrouwen;2005;
108;Extramuraal;Totaal plaatsen;2000;182.0
109;Extramuraal;Totaal plaatsen;2001;163.0
110;Extramuraal;Totaal plaatsen;2002;222.0
111;Extramuraal;Totaal plaatsen;2003;375.0
112;Extramuraal;Totaal plaatsen;2004;767.0
113;Extramuraal;Totaal plaatsen;2005;858.0
114;Extramuraal;Plaatsen voor mannen;2000;
115;Extramuraal;Plaatsen voor mannen;2001;
116;Extramuraal;Plaatsen voor mannen;2002;
117;Extramuraal;Plaatsen voor mannen;2003;
118;Extramuraal;Plaatsen voor mannen;2004;
119;Extramuraal;Plaatsen voor mannen;2005;
120;Extramuraal;Plaatsen voor vrouwen;2000;
121;Extramuraal;Plaatsen voor vrouwen;2001;
122;Extramuraal;Plaatsen voor vrouwen;2002;
123;Extramuraal;Plaatsen voor vrouwen;2003;
124;Extramuraal;Plaatsen voor vrouwen;2004;
125;Extramuraal;Plaatsen voor vrouwen;2005;
