ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;BanenVanWerknemers_1;BanenVanWerknemersMutatie_2
0;A-U Alle economische activiteiten;Nederland;2008 december;7891.9;
1;A-U Alle economische activiteiten;Nederland;2009 december;7812.4;-79.5
2;A-U Alle economische activiteiten;Nederland;2010 december;7828.2;15.8
3;A-U Alle economische activiteiten;Nederland;2010 december;7888.2;
4;A-U Alle economische activiteiten;Nederland;2011 december;7904.6;16.4
5;A-U Alle economische activiteiten;Nederland;2011 december;7937.71;
6;A-U Alle economische activiteiten;Nederland;2012 december;7833.19;-104.52
7;A-U Alle economische activiteiten;Nederland;2012 december;7820.07;
8;A-U Alle economische activiteiten;Nederland;2013 december;7711.62;-108.45
9;A-U Alle economische activiteiten;Nederland;2013 december;7701.02;
10;A-U Alle economische activiteiten;Nederland;2014 december;7735.24;34.23
11;A-U Alle economische activiteiten;Noord-Nederland (LD);2008 december;700.3;
12;A-U Alle economische activiteiten;Noord-Nederland (LD);2009 december;692.9;-7.4
13;A-U Alle economische activiteiten;Noord-Nederland (LD);2010 december;694.3;1.4
14;A-U Alle economische activiteiten;Noord-Nederland (LD);2010 december;701.1;
15;A-U Alle economische activiteiten;Noord-Nederland (LD);2011 december;701.1;0.0
16;A-U Alle economische activiteiten;Noord-Nederland (LD);2011 december;703.45;
17;A-U Alle economische activiteiten;Noord-Nederland (LD);2012 december;691.02;-12.43
18;A-U Alle economische activiteiten;Noord-Nederland (LD);2012 december;687.4;
19;A-U Alle economische activiteiten;Noord-Nederland (LD);2013 december;673.09;-14.31
20;A-U Alle economische activiteiten;Noord-Nederland (LD);2013 december;671.21;
21;A-U Alle economische activiteiten;Noord-Nederland (LD);2014 december;672.84;1.62
22;A-U Alle economische activiteiten;Oost-Nederland (LD);2008 december;1584.1;
23;A-U Alle economische activiteiten;Oost-Nederland (LD);2009 december;1573.9;-10.2
24;A-U Alle economische activiteiten;Oost-Nederland (LD);2010 december;1575.9;2.0
25;A-U Alle economische activiteiten;Oost-Nederland (LD);2010 december;1585.7;
26;A-U Alle economische activiteiten;Oost-Nederland (LD);2011 december;1597.3;11.6
27;A-U Alle economische activiteiten;Oost-Nederland (LD);2011 december;1605.5;
28;A-U Alle economische activiteiten;Oost-Nederland (LD);2012 december;1581.9;-23.6
29;A-U Alle economische activiteiten;Oost-Nederland (LD);2012 december;1576.7;
30;A-U Alle economische activiteiten;Oost-Nederland (LD);2013 december;1547.02;-29.68
31;A-U Alle economische activiteiten;Oost-Nederland (LD);2013 december;1533.26;
32;A-U Alle economische activiteiten;Oost-Nederland (LD);2014 december;1542.4;9.14
33;A-U Alle economische activiteiten;West-Nederland (LD);2008 december;3887.6;
34;A-U Alle economische activiteiten;West-Nederland (LD);2009 december;3855.6;-32.0
35;A-U Alle economische activiteiten;West-Nederland (LD);2010 december;3865.3;9.7
36;A-U Alle economische activiteiten;West-Nederland (LD);2010 december;3884.3;
37;A-U Alle economische activiteiten;West-Nederland (LD);2011 december;3880.3;-4.0
38;A-U Alle economische activiteiten;West-Nederland (LD);2011 december;3899.28;
39;A-U Alle economische activiteiten;West-Nederland (LD);2012 december;3855.44;-43.84
40;A-U Alle economische activiteiten;West-Nederland (LD);2012 december;3838.81;
41;A-U Alle economische activiteiten;West-Nederland (LD);2013 december;3783.88;-54.93
42;A-U Alle economische activiteiten;West-Nederland (LD);2013 december;3798.35;
43;A-U Alle economische activiteiten;West-Nederland (LD);2014 december;3828.32;29.97
44;A-U Alle economische activiteiten;Zuid-Nederland (LD);2008 december;1714.7;
45;A-U Alle economische activiteiten;Zuid-Nederland (LD);2009 december;1688.5;-26.2
46;A-U Alle economische activiteiten;Zuid-Nederland (LD);2010 december;1688.3;-0.2
47;A-U Alle economische activiteiten;Zuid-Nederland (LD);2010 december;1713.4;
48;A-U Alle economische activiteiten;Zuid-Nederland (LD);2011 december;1717.4;4.0
49;A-U Alle economische activiteiten;Zuid-Nederland (LD);2011 december;1724.74;
50;A-U Alle economische activiteiten;Zuid-Nederland (LD);2012 december;1696.38;-28.35
51;A-U Alle economische activiteiten;Zuid-Nederland (LD);2012 december;1695.94;
52;A-U Alle economische activiteiten;Zuid-Nederland (LD);2013 december;1673.77;-22.18
53;A-U Alle economische activiteiten;Zuid-Nederland (LD);2013 december;1667.46;
54;A-U Alle economische activiteiten;Zuid-Nederland (LD);2014 december;1677.35;9.89
55;A-U Alle economische activiteiten;Niet in te delen (LD);2008 december;5.3;
56;A-U Alle economische activiteiten;Niet in te delen (LD);2009 december;1.5;-3.8
57;A-U Alle economische activiteiten;Niet in te delen (LD);2010 december;4.5;3.0
58;A-U Alle economische activiteiten;Niet in te delen (LD);2010 december;3.7;
59;A-U Alle economische activiteiten;Niet in te delen (LD);2011 december;8.5;4.8
60;A-U Alle economische activiteiten;Niet in te delen (LD);2011 december;4.75;
61;A-U Alle economische activiteiten;Niet in te delen (LD);2012 december;8.45;3.7
62;A-U Alle economische activiteiten;Niet in te delen (LD);2012 december;;
63;A-U Alle economische activiteiten;Niet in te delen (LD);2013 december;;
64;A-U Alle economische activiteiten;Niet in te delen (LD);2013 december;;
65;A-U Alle economische activiteiten;Niet in te delen (LD);2014 december;;
66;A-U Alle economische activiteiten;Groningen (PV);2008 december;249.9;
67;A-U Alle economische activiteiten;Groningen (PV);2009 december;249.2;-0.7
68;A-U Alle economische activiteiten;Groningen (PV);2010 december;245.2;-4.0
69;A-U Alle economische activiteiten;Groningen (PV);2010 december;249.2;
70;A-U Alle economische activiteiten;Groningen (PV);2011 december;248.6;-0.6
71;A-U Alle economische activiteiten;Groningen (PV);2011 december;248.98;
72;A-U Alle economische activiteiten;Groningen (PV);2012 december;242.51;-6.47
73;A-U Alle economische activiteiten;Groningen (PV);2012 december;240.69;
74;A-U Alle economische activiteiten;Groningen (PV);2013 december;237.15;-3.54
75;A-U Alle economische activiteiten;Groningen (PV);2013 december;238.62;
76;A-U Alle economische activiteiten;Groningen (PV);2014 december;239.35;0.73
77;A-U Alle economische activiteiten;Friesland (PV);2008 december;254.6;
78;A-U Alle economische activiteiten;Friesland (PV);2009 december;250.6;-4.0
79;A-U Alle economische activiteiten;Friesland (PV);2010 december;255.2;4.6
80;A-U Alle economische activiteiten;Friesland (PV);2010 december;258.2;
81;A-U Alle economische activiteiten;Friesland (PV);2011 december;256.4;-1.8
82;A-U Alle economische activiteiten;Friesland (PV);2011 december;258.39;
83;A-U Alle economische activiteiten;Friesland (PV);2012 december;253.59;-4.8
84;A-U Alle economische activiteiten;Friesland (PV);2012 december;253.07;
85;A-U Alle economische activiteiten;Friesland (PV);2013 december;243.82;-9.25
86;A-U Alle economische activiteiten;Friesland (PV);2013 december;242.12;
87;A-U Alle economische activiteiten;Friesland (PV);2014 december;241.29;-0.83
88;A-U Alle economische activiteiten;Drenthe (PV);2008 december;195.8;
89;A-U Alle economische activiteiten;Drenthe (PV);2009 december;193.1;-2.7
90;A-U Alle economische activiteiten;Drenthe (PV);2010 december;193.8;0.7
91;A-U Alle economische activiteiten;Drenthe (PV);2010 december;193.7;
92;A-U Alle economische activiteiten;Drenthe (PV);2011 december;196.0;2.3
93;A-U Alle economische activiteiten;Drenthe (PV);2011 december;196.08;
94;A-U Alle economische activiteiten;Drenthe (PV);2012 december;194.92;-1.16
95;A-U Alle economische activiteiten;Drenthe (PV);2012 december;193.64;
96;A-U Alle economische activiteiten;Drenthe (PV);2013 december;192.12;-1.53
