ID;InstitutionalSectors;NotConsolidatedOrConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossProfitsBeforeTaxes_144;NetProfitsBeforeTaxes_145;GrossNationalIncome_146;NetNationalIncome_147;GrossDisposableIncome_148;NetDisposableIncome_149;GrossSaving_150;NetSaving_151;NetTransactionsOfGoodAndServices_152;SurplusNationOnCurrentTransactions_153;NetSavingAndCapitalTransfers_154;NetLendingOrNetBorrowing_155;TotalFinancialTransactionsInAssets_156;TotalFinancialTransactionsLiabilities_157;NetFinancialTransactions_158;StatisticalDiscrepancy_159
0;Total domestic sectors;Not consolidated;1995;1260345.0;;;;;;592653.0;513788.0;11408.0;502380.0;21168.0;7584.0;13584.0;57697.0;5864.0;51833.0;165549.0;138699.0;26850.0;34343.0;31211.0;19832.0;0.0;11379.0;3132.0;4781.0;2466.0;2315.0;139835.0;91437.0;-1100.0;92537.0;23783.0;23440.0;343.0;738.0;22085.0;4748.0;15018.0;2319.0;1792.0;37474.0;33520.0;3954.0;152309.0;86536.0;16807.0;9831.0;48632.0;15112.0;-3846.0;65773.0;33068.0;22253.0;10452.0;73822.0;10717.0;10861.0;45583.0;313.0;6348.0;;12871.0;49174.0;1051.0;3787.0;44336.0;1244336.0;;;;;;292906.0;165560.0;138950.0;26610.0;35916.0;32751.0;3165.0;2712.0;695.0;2017.0;142607.0;87916.0;-2541.0;90457.0;22130.0;22036.0;94.0;9528.0;21241.0;4782.0;15038.0;1421.0;1792.0;37313.0;33359.0;3954.0;153022.0;86627.0;17019.0;9831.0;48502.0;15092.0;-3817.0;66395.0;33538.0;22309.0;10548.0;78604.0;10782.0;10796.0;45583.0;1618.0;7265.0;2560.0;12903.0;234688.0;204797.0;45300.0;21942.0;23358.0;159497.0;29891.0;50156.0;1049.0;4082.0;45025.0;70700.0;69001.0;52832.0;16169.0;1699.0;1606.0;93.0;0.0;330032.0;299747.0;277200.0;246915.0;133337.0;80505.0;;;327745.0;274913.0;322411.0;269579.0;87691.0;34859.0;;;33877.0;16009.0;159939.0;143088.0;16851.0;-842.0
1;Total domestic sectors;Not consolidated;1996;1284362.0;;;;;;628103.0;547089.0;11612.0;535477.0;22225.0;7565.0;14660.0;58789.0;6484.0;52305.0;172067.0;144097.0;27970.0;36825.0;33612.0;21315.0;0.0;12297.0;3213.0;4965.0;1786.0;3179.0;141128.0;87067.0;-2609.0;89676.0;28621.0;28251.0;370.0;705.0;22768.0;5098.0;15245.0;2425.0;1967.0;40615.0;36112.0;4503.0;154724.0;88123.0;17376.0;10384.0;48951.0;15334.0;-3922.0;66601.0;33165.0;23147.0;10289.0;76322.0;11266.0;11812.0;46067.0;401.0;6776.0;;13479.0;17920.0;1156.0;3958.0;12806.0;1267892.0;;;;;;316110.0;171981.0;144255.0;27726.0;38332.0;35093.0;3239.0;3234.0;503.0;2731.0;141826.0;84517.0;-3671.0;88188.0;24953.0;24890.0;63.0;8500.0;21889.0;5100.0;15266.0;1523.0;1967.0;40489.0;35986.0;4503.0;155452.0;88210.0;17586.0;10384.0;48815.0;15313.0;-3888.0;67242.0;33654.0;23218.0;10370.0;81367.0;11370.0;11696.0;46067.0;1765.0;7730.0;2739.0;13505.0;244591.0;214659.0;45305.0;22373.0;22932.0;169354.0;29932.0;19324.0;1159.0;4241.0;13924.0;76774.0;74334.0;54638.0;19696.0;2440.0;2342.0;98.0;0.0;345300.0;311993.0;290662.0;257355.0;139952.0;85314.0;;;344912.0;290274.0;339265.0;284627.0;94648.0;40010.0;;;38606.0;16470.0;223423.0;207778.0;15645.0;825.0
2;Total domestic sectors;Not consolidated;1997;1373782.0;;;;;;677228.0;592480.0;11672.0;580808.0;23669.0;7875.0;15794.0;61079.0;6699.0;54380.0;181661.0;153349.0;28312.0;39442.0;36227.0;22410.0;0.0;13817.0;3215.0;5556.0;1739.0;3817.0;157485.0;95338.0;-2356.0;97694.0;36812.0;36440.0;372.0;110.0;23351.0;5392.0;15250.0;2709.0;1874.0;41469.0;37093.0;4376.0;159303.0;91985.0;17310.0;10792.0;52960.0;15303.0;-4380.0;67318.0;33048.0;24362.0;9908.0;80904.0;11895.0;13018.0;48471.0;412.0;7108.0;;13550.0;18923.0;1237.0;3651.0;14035.0;1356085.0;;;;;;343699.0;181634.0;153571.0;28063.0;41105.0;37870.0;3235.0;3882.0;557.0;3325.0;159163.0;91460.0;-3457.0;94917.0;31117.0;31045.0;72.0;12130.0;22582.0;5390.0;15282.0;1910.0;1874.0;41151.0;36775.0;4376.0;160057.0;92056.0;17520.0;10792.0;52812.0;15271.0;-4339.0;68001.0;33578.0;24447.0;9976.0;86653.0;12055.0;12825.0;48471.0;1791.0;8401.0;3110.0;13583.0;259536.0;228301.0;47959.0;23145.0;24814.0;180342.0;31235.0;20126.0;1231.0;3934.0;14961.0;83373.0;80036.0;57023.0;23013.0;3337.0;3227.0;110.0;-7.0;369660.0;333529.0;312637.0;276506.0;152477.0;95454.0;;;368020.0;310997.0;361835.0;304812.0;102266.0;45243.0;;;44040.0;17697.0;306572.0;287311.0;19261.0;-1564.0
3;Total domestic sectors;Not consolidated;1998;1456044.0;;;;;;721160.0;630987.0;11850.0;619137.0;26006.0;8998.0;17008.0;64167.0;6804.0;57363.0;194496.0;154687.0;39809.0;42415.0;39058.0;24147.0;0.0;14911.0;3357.0;6278.0;1672.0;4606.0;166007.0;102815.0;-2460.0;105275.0;38891.0;38505.0;386.0;-815.0;23812.0;5848.0;15242.0;2722.0;1304.0;43070.0;38405.0;4665.0;166446.0;97034.0;28741.0;10900.0;47036.0;15299.0;-4942.0;69412.0;32912.0;25857.0;10643.0;83840.0;12464.0;13878.0;49152.0;310.0;8036.0;;13920.0;20084.0;1392.0;4101.0;14591.0;1443151.0;;;;;;365278.0;194666.0;155070.0;39596.0;44003.0;40629.0;3374.0;4685.0;582.0;4103.0;173333.0;99519.0;-3415.0;102934.0;36312.0;36237.0;75.0;13066.0;23132.0;5862.0;15282.0;1988.0;1304.0;42589.0;37924.0;4665.0;167184.0;97062.0;28909.0;10900.0;46890.0;15259.0;-4896.0;70122.0;33471.0;25954.0;10697.0;89821.0;12680.0;13625.0;49152.0;1758.0;9164.0;3442.0;13975.0;277615.0;245029.0;51330.0;24777.0;26553.0;193699.0;32586.0;20860.0;1388.0;4225.0;15247.0;89797.0;86100.0;59843.0;26257.0;3697.0;3600.0;97.0;-26.0;394839.0;355882.0;334996.0;296039.0;162448.0;102605.0;;;387348.0;327505.0;381110.0;321267.0;103440.0;43597.0;;;42821.0;12893.0;339569.0;325681.0;13888.0;-995.0
4;Total domestic sectors;Not consolidated;1999 1st quarter;370357.0;;;;;;185625.0;;;;;;;;;;49268.0;38759.0;10509.0;11009.0;10036.0;6036.0;0.0;4000.0;973.0;1907.0;411.0;1496.0;40431.0;25781.0;-642.0;26423.0;7522.0;;;877.0;6080.0;;;;171.0;10453.0;9266.0;1187.0;41370.0;25047.0;;;;;;16323.0;;;;22852.0;3032.0;3533.0;13604.0;81.0;2602.0;;3528.0;4325.0;331.0;984.0;3010.0;366201.0;;;;;;94467.0;49295.0;38821.0;10474.0;11337.0;10360.0;977.0;1556.0;155.0;1401.0;41687.0;25366.0;-879.0;26245.0;6362.0;;;4265.0;5523.0;;;;171.0;10108.0;;;41535.0;25026.0;;;;;;16509.0;;;;24631.0;3025.0;3511.0;13604.0;468.0;2864.0;1159.0;3544.0;71425.0;64380.0;13866.0;6507.0;7359.0;50514.0;7045.0;4435.0;326.0;992.0;3117.0;22544.0;23163.0;15847.0;7316.0;-619.0;;;-3.0;101107.0;91158.0;85260.0;75311.0;42382.0;26535.0;;;99847.0;84000.0;98248.0;82401.0;26807.0;10960.0;;;10850.0;4156.0;88084.0;85823.0;2261.0;1895.0
5;Total domestic sectors;Not consolidated;1999 2nd quarter;403461.0;;;;;;191868.0;;;;;;;;;;58154.0;47295.0;10859.0;11829.0;10890.0;6645.0;0.0;4245.0;939.0;1772.0;426.0;1346.0;50492.0;26425.0;-659.0;27084.0;15669.0;;;701.0;7493.0;;;;204.0;10774.0;9476.0;1298.0;48309.0;28370.0;;;;;;19939.0;;;;21332.0;3341.0;3628.0;12353.0;79.0;1931.0;;4056.0;5301.0;388.0;1131.0;3782.0;398750.0;;;;;;97956.0;58175.0;47357.0;10818.0;12176.0;11233.0;943.0;1432.0;178.0;1254.0;51111.0;25777.0;-884.0;26661.0;13950.0;;;4278.0;6902.0;;;;204.0;10539.0;;;48481.0;28350.0;;;;;;20131.0;;;;22556.0;3334.0;3603.0;12353.0;468.0;2179.0;619.0;4070.0;75483.0;66272.0;13956.0;7100.0;6856.0;52316.0;9211.0;5584.0;389.0;1138.0;4057.0;22423.0;23981.0;15910.0;8071.0;-1558.0;;;-3.0;104719.0;93912.0;88809.0;78002.0;36140.0;20230.0;;;104072.0;88162.0;102911.0;87001.0;27414.0;11504.0;;;11221.0;4711.0;111392.0;104502.0;6890.0;-2179.0
6;Total domestic sectors;Not consolidated;1999 3rd quarter;378081.0;;;;;;185981.0;;;;;;;;;;49653.0;38940.0;10713.0;11433.0;10501.0;6388.0;0.0;4113.0;932.0;1645.0;380.0;1265.0;44615.0;27283.0;-683.0;27966.0;10536.0;;;72.0;6407.0;;;;317.0;11199.0;10068.0;1131.0;42751.0;25484.0;;;;;;17267.0;;;;22272.0;3434.0;3722.0;13059.0;78.0;1979.0;;3928.0;4984.0;380.0;1143.0;3461.0;374671.0;;;;;;93610.0;49666.0;38990.0;10676.0;12101.0;11164.0;937.0;1183.0;22.0;1161.0;44638.0;26573.0;-901.0;27474.0;11299.0;;;494.0;5955.0;;;;317.0;10973.0;;;42916.0;25464.0;;;;;;17452.0;;;;23740.0;3432.0;3696.0;13059.0;467.0;2243.0;843.0;3945.0;74103.0;66017.0;12899.0;6106.0;6793.0;53118.0;8086.0;5323.0;381.0;1151.0;3791.0;23640.0;22558.0;15932.0;6626.0;1082.0;;;-3.0;103155.0;92371.0;87223.0;76439.0;43033.0;27101.0;;;102913.0;86981.0;101506.0;85574.0;27386.0;11454.0;;;11115.0;3410.0;75372.0;72166.0;3206.0;204.0
7;Total domestic sectors;Not consolidated;1999 4th quarter;410351.0;;;;;;205336.0;;;;;;;;;;52489.0;41561.0;10928.0;13110.0;12181.0;7871.0;0.0;4310.0;929.0;1754.0;376.0;1378.0;46887.0;28780.0;-694.0;29474.0;11806.0;;;-284.0;6409.0;;;;176.0;13066.0;11761.0;1305.0;45299.0;27054.0;;;;;;18245.0;;;;23122.0;3576.0;3831.0;13653.0;81.0;1981.0;;3529.0;6135.0;412.0;955.0;4768.0;405565.0;;;;;;106237.0;52510.0;41622.0;10888.0;13372.0;12439.0;933.0;1348.0;67.0;1281.0;47579.0;28561.0;-943.0;29504.0;8678.0;;;4368.0;5796.0;;;;176.0;12877.0;;;45468.0;27036.0;;;;;;18432.0;;;;24598.0;3581.0;3798.0;13653.0;467.0;2240.0;859.0;3546.0;76302.0;66564.0;13678.0;6486.0;7192.0;52886.0;9738.0;6265.0;408.0;964.0;4893.0;27905.0;26369.0;15959.0;10410.0;1536.0;;;-3.0;111162.0;99099.0;95203.0;83140.0;47034.0;31075.0;;;110593.0;94634.0;109137.0;93178.0;32818.0;16859.0;;;16729.0;4786.0;107371.0;102892.0;4479.0;307.0
8;Total domestic sectors;Not consolidated;1999;1562250.0;;;;;;768810.0;673020.0;13635.0;659385.0;28323.0;10066.0;18257.0;67467.0;7188.0;60279.0;209564.0;166555.0;43009.0;47381.0;43608.0;26940.0;0.0;16668.0;3773.0;7078.0;1593.0;5485.0;182425.0;108269.0;-2678.0;110947.0;45533.0;45099.0;434.0;1366.0;26389.0;5840.0;15810.0;4739.0;868.0;45492.0;40571.0;4921.0;177729.0;105955.0;31045.0;11855.0;51645.0;15885.0;-4475.0;71774.0;33587.0;27839.0;10348.0;89578.0;13383.0;14714.0;52669.0;319.0;8493.0;;15041.0;20745.0;1511.0;4213.0;15021.0;1545187.0;;;;;;392270.0;209646.0;166790.0;42856.0;48986.0;45196.0;3790.0;5519.0;422.0;5097.0;185015.0;106277.0;-3607.0;109884.0;40289.0;40065.0;224.0;13405.0;24176.0;5894.0;15861.0;2421.0;868.0;44497.0;39576.0;4921.0;178400.0;105876.0;31154.0;11855.0;51462.0;15834.0;-4429.0;72524.0;34174.0;27960.0;10390.0;95525.0;13372.0;14608.0;52669.0;1870.0;9526.0;3480.0;15105.0;297313.0;263233.0;54399.0;26199.0;28200.0;208834.0;34080.0;21607.0;1504.0;4245.0;15858.0;96512.0;96071.0;63648.0;32423.0;441.0;322.0;119.0;-12.0;420143.0;376540.0;356495.0;312892.0;168589.0;104941.0;;;417425.0;353777.0;411802.0;348154.0;114425.0;50777.0;;;49915.0;17063.0;382219.0;365383.0;16836.0;227.0
9;Total domestic sectors;Not consolidated;2000 1st quarter;406895.0;;;;;;204180.0;;;;;;;;;;53725.0;41912.0;11813.0;11448.0;10407.0;5872.0;0.0;4535.0;1041.0;1939.0;390.0;1549.0;50467.0;31672.0;183.0;31489.0;8966.0;;;3518.0;6156.0;;;;155.0;10676.0;9404.0;1272.0;43569.0;26519.0;;;;;;17050.0;;;;22808.0;3363.0;3992.0;13291.0;73.0;2089.0;;3911.0;4562.0;333.0;1201.0;3028.0;404009.0;;;;;;105627.0;53769.0;41999.0;11770.0;12011.0;10966.0;1045.0;1565.0;128.0;1437.0;52574.0;32361.0;-162.0;32523.0;8880.0;;;5611.0;5567.0;;;;155.0;10495.0;;;43751.0;26499.0;;;;;;17252.0;;;;24671.0;3347.0;3977.0;13291.0;570.0;2447.0;1039.0;3922.0;77040.0;69466.0;15116.0;7099.0;8017.0;54350.0;7574.0;4645.0;327.0;1220.0;3098.0;24904.0;24787.0;17201.0;7586.0;117.0;;;1.0;109129.0;98553.0;91928.0;81352.0;45288.0;28087.0;;;106789.0;89588.0;104925.0;87724.0;27874.0;10673.0;;;10590.0;2886.0;110016.0;106500.0;3516.0;-630.0
