ID;LeeftijdJongsteKind;LeeftijdReferentiepersoon;Perioden;HuishoudensMetKinderen_1
0;Totaal over alle leeftijden ;Totaal;2016;2574848
1;Totaal over alle leeftijden ;Totaal;2017;2581423
2;Totaal over alle leeftijden ;Totaal;2018;2589305
3;Totaal over alle leeftijden ;Totaal;2019;2596508
4;Totaal over alle leeftijden ;Totaal;2020;2604356
5;Totaal over alle leeftijden ;Totaal;2021;2610423
6;Totaal over alle leeftijden ;Totaal;2022;2614735
7;Totaal over alle leeftijden ;Totaal;2023;2617964
8;Totaal over alle leeftijden ;Totaal;2024;2620250
9;Totaal over alle leeftijden ;Totaal;2025;2621898
10;Totaal over alle leeftijden ;Totaal;2026;2622699
11;Totaal over alle leeftijden ;Totaal;2027;2623575
12;Totaal over alle leeftijden ;Totaal;2028;2624587
13;Totaal over alle leeftijden ;Totaal;2029;2626813
14;Totaal over alle leeftijden ;Totaal;2030;2629403
15;Totaal over alle leeftijden ;Totaal;2031;2632604
16;Totaal over alle leeftijden ;Totaal;2032;2635543
17;Totaal over alle leeftijden ;Totaal;2033;2639030
18;Totaal over alle leeftijden ;Totaal;2034;2642830
19;Totaal over alle leeftijden ;Totaal;2035;2647007
20;Totaal over alle leeftijden ;Totaal;2036;2651542
21;Totaal over alle leeftijden ;Totaal;2037;2656405
22;Totaal over alle leeftijden ;Totaal;2038;2661442
23;Totaal over alle leeftijden ;Totaal;2039;2667213
24;Totaal over alle leeftijden ;Totaal;2040;2673461
25;Totaal over alle leeftijden ;Totaal;2041;2679167
26;Totaal over alle leeftijden ;Totaal;2042;2684713
27;Totaal over alle leeftijden ;Totaal;2043;2688746
28;Totaal over alle leeftijden ;Totaal;2044;2692072
29;Totaal over alle leeftijden ;Totaal;2045;2694554
30;Totaal over alle leeftijden ;Totaal;2046;2696254
31;Totaal over alle leeftijden ;Totaal;2047;2697304
32;Totaal over alle leeftijden ;Totaal;2048;2697760
33;Totaal over alle leeftijden ;Totaal;2049;2698416
34;Totaal over alle leeftijden ;Totaal;2050;2698031
35;Totaal over alle leeftijden ;Totaal;2051;2697455
36;Totaal over alle leeftijden ;Totaal;2052;2696772
37;Totaal over alle leeftijden ;Totaal;2053;2696036
38;Totaal over alle leeftijden ;Totaal;2054;2695337
39;Totaal over alle leeftijden ;Totaal;2055;2694757
40;Totaal over alle leeftijden ;Totaal;2056;2694294
41;Totaal over alle leeftijden ;Totaal;2057;2694003
42;Totaal over alle leeftijden ;Totaal;2058;2693889
43;Totaal over alle leeftijden ;Totaal;2059;2693973
44;Totaal over alle leeftijden ;Totaal;2060;2694283
45;Totaal over alle leeftijden ;15 tot 20 jaar;2016;1001
46;Totaal over alle leeftijden ;15 tot 20 jaar;2017;1071
47;Totaal over alle leeftijden ;15 tot 20 jaar;2018;1125
48;Totaal over alle leeftijden ;15 tot 20 jaar;2019;1160
49;Totaal over alle leeftijden ;15 tot 20 jaar;2020;1155
50;Totaal over alle leeftijden ;15 tot 20 jaar;2021;1124
51;Totaal over alle leeftijden ;15 tot 20 jaar;2022;1095
52;Totaal over alle leeftijden ;15 tot 20 jaar;2023;1073
53;Totaal over alle leeftijden ;15 tot 20 jaar;2024;1045
54;Totaal over alle leeftijden ;15 tot 20 jaar;2025;1022
55;Totaal over alle leeftijden ;15 tot 20 jaar;2026;1011
56;Totaal over alle leeftijden ;15 tot 20 jaar;2027;1004
57;Totaal over alle leeftijden ;15 tot 20 jaar;2028;1010
58;Totaal over alle leeftijden ;15 tot 20 jaar;2029;1006
59;Totaal over alle leeftijden ;15 tot 20 jaar;2030;995
60;Totaal over alle leeftijden ;15 tot 20 jaar;2031;974
61;Totaal over alle leeftijden ;15 tot 20 jaar;2032;960
62;Totaal over alle leeftijden ;15 tot 20 jaar;2033;952
63;Totaal over alle leeftijden ;15 tot 20 jaar;2034;959
64;Totaal over alle leeftijden ;15 tot 20 jaar;2035;958
65;Totaal over alle leeftijden ;15 tot 20 jaar;2036;970
66;Totaal over alle leeftijden ;15 tot 20 jaar;2037;980
67;Totaal over alle leeftijden ;15 tot 20 jaar;2038;992
68;Totaal over alle leeftijden ;15 tot 20 jaar;2039;1005
69;Totaal over alle leeftijden ;15 tot 20 jaar;2040;1013
70;Totaal over alle leeftijden ;15 tot 20 jaar;2041;1020
71;Totaal over alle leeftijden ;15 tot 20 jaar;2042;1029
72;Totaal over alle leeftijden ;15 tot 20 jaar;2043;1035
73;Totaal over alle leeftijden ;15 tot 20 jaar;2044;1040
74;Totaal over alle leeftijden ;15 tot 20 jaar;2045;1044
75;Totaal over alle leeftijden ;15 tot 20 jaar;2046;1047
76;Totaal over alle leeftijden ;15 tot 20 jaar;2047;1050
77;Totaal over alle leeftijden ;15 tot 20 jaar;2048;1051
78;Totaal over alle leeftijden ;15 tot 20 jaar;2049;1052
79;Totaal over alle leeftijden ;15 tot 20 jaar;2050;1052
80;Totaal over alle leeftijden ;15 tot 20 jaar;2051;1052
81;Totaal over alle leeftijden ;15 tot 20 jaar;2052;1049
82;Totaal over alle leeftijden ;15 tot 20 jaar;2053;1047
83;Totaal over alle leeftijden ;15 tot 20 jaar;2054;1044
84;Totaal over alle leeftijden ;15 tot 20 jaar;2055;1039
85;Totaal over alle leeftijden ;15 tot 20 jaar;2056;1034
86;Totaal over alle leeftijden ;15 tot 20 jaar;2057;1028
87;Totaal over alle leeftijden ;15 tot 20 jaar;2058;1025
88;Totaal over alle leeftijden ;15 tot 20 jaar;2059;1020
89;Totaal over alle leeftijden ;15 tot 20 jaar;2060;1016
90;Totaal over alle leeftijden ;20 tot 25 jaar;2016;16810
91;Totaal over alle leeftijden ;20 tot 25 jaar;2017;16475
92;Totaal over alle leeftijden ;20 tot 25 jaar;2018;16377
93;Totaal over alle leeftijden ;20 tot 25 jaar;2019;16372
94;Totaal over alle leeftijden ;20 tot 25 jaar;2020;16331
95;Totaal over alle leeftijden ;20 tot 25 jaar;2021;16347
96;Totaal over alle leeftijden ;20 tot 25 jaar;2022;16344
97;Totaal over alle leeftijden ;20 tot 25 jaar;2023;16488
98;Totaal over alle leeftijden ;20 tot 25 jaar;2024;16519
99;Totaal over alle leeftijden ;20 tot 25 jaar;2025;16467
100;Totaal over alle leeftijden ;20 tot 25 jaar;2026;16264
101;Totaal over alle leeftijden ;20 tot 25 jaar;2027;16056
102;Totaal over alle leeftijden ;20 tot 25 jaar;2028;15825
103;Totaal over alle leeftijden ;20 tot 25 jaar;2029;15580
104;Totaal over alle leeftijden ;20 tot 25 jaar;2030;15409
105;Totaal over alle leeftijden ;20 tot 25 jaar;2031;15337
106;Totaal over alle leeftijden ;20 tot 25 jaar;2032;15277
107;Totaal over alle leeftijden ;20 tot 25 jaar;2033;15254
108;Totaal over alle leeftijden ;20 tot 25 jaar;2034;15130
109;Totaal over alle leeftijden ;20 tot 25 jaar;2035;14981
110;Totaal over alle leeftijden ;20 tot 25 jaar;2036;14790
111;Totaal over alle leeftijden ;20 tot 25 jaar;2037;14676
112;Totaal over alle leeftijden ;20 tot 25 jaar;2038;14653
113;Totaal over alle leeftijden ;20 tot 25 jaar;2039;14744
114;Totaal over alle leeftijden ;20 tot 25 jaar;2040;14811
115;Totaal over alle leeftijden ;20 tot 25 jaar;2041;14968
116;Totaal over alle leeftijden ;20 tot 25 jaar;2042;15127
117;Totaal over alle leeftijden ;20 tot 25 jaar;2043;15278
118;Totaal over alle leeftijden ;20 tot 25 jaar;2044;15421
119;Totaal over alle leeftijden ;20 tot 25 jaar;2045;15542
120;Totaal over alle leeftijden ;20 tot 25 jaar;2046;15657
121;Totaal over alle leeftijden ;20 tot 25 jaar;2047;15760
122;Totaal over alle leeftijden ;20 tot 25 jaar;2048;15847
123;Totaal over alle leeftijden ;20 tot 25 jaar;2049;15924
124;Totaal over alle leeftijden ;20 tot 25 jaar;2050;15983
125;Totaal over alle leeftijden ;20 tot 25 jaar;2051;16029
126;Totaal over alle leeftijden ;20 tot 25 jaar;2052;16063
127;Totaal over alle leeftijden ;20 tot 25 jaar;2053;16083
128;Totaal over alle leeftijden ;20 tot 25 jaar;2054;16091
129;Totaal over alle leeftijden ;20 tot 25 jaar;2055;16085
130;Totaal over alle leeftijden ;20 tot 25 jaar;2056;16062
131;Totaal over alle leeftijden ;20 tot 25 jaar;2057;16028
132;Totaal over alle leeftijden ;20 tot 25 jaar;2058;15977
133;Totaal over alle leeftijden ;20 tot 25 jaar;2059;15920
134;Totaal over alle leeftijden ;20 tot 25 jaar;2060;15854
135;Totaal over alle leeftijden ;25 tot 30 jaar;2016;92210
136;Totaal over alle leeftijden ;25 tot 30 jaar;2017;92633
137;Totaal over alle leeftijden ;25 tot 30 jaar;2018;93591
138;Totaal over alle leeftijden ;25 tot 30 jaar;2019;94729
139;Totaal over alle leeftijden ;25 tot 30 jaar;2020;95515
140;Totaal over alle leeftijden ;25 tot 30 jaar;2021;95775
141;Totaal over alle leeftijden ;25 tot 30 jaar;2022;95788
142;Totaal over alle leeftijden ;25 tot 30 jaar;2023;95835
143;Totaal over alle leeftijden ;25 tot 30 jaar;2024;96055
144;Totaal over alle leeftijden ;25 tot 30 jaar;2025;96340
145;Totaal over alle leeftijden ;25 tot 30 jaar;2026;96975
146;Totaal over alle leeftijden ;25 tot 30 jaar;2027;97587
147;Totaal over alle leeftijden ;25 tot 30 jaar;2028;98072
148;Totaal over alle leeftijden ;25 tot 30 jaar;2029;98075
149;Totaal over alle leeftijden ;25 tot 30 jaar;2030;97657
150;Totaal over alle leeftijden ;25 tot 30 jaar;2031;96659
151;Totaal over alle leeftijden ;25 tot 30 jaar;2032;95586
152;Totaal over alle leeftijden ;25 tot 30 jaar;2033;94429
153;Totaal over alle leeftijden ;25 tot 30 jaar;2034;93347
154;Totaal over alle leeftijden ;25 tot 30 jaar;2035;92593
155;Totaal over alle leeftijden ;25 tot 30 jaar;2036;92150
156;Totaal over alle leeftijden ;25 tot 30 jaar;2037;91697
157;Totaal over alle leeftijden ;25 tot 30 jaar;2038;91260
158;Totaal over alle leeftijden ;25 tot 30 jaar;2039;90520
159;Totaal over alle leeftijden ;25 tot 30 jaar;2040;89809
160;Totaal over alle leeftijden ;25 tot 30 jaar;2041;89124
161;Totaal over alle leeftijden ;25 tot 30 jaar;2042;88840
162;Totaal over alle leeftijden ;25 tot 30 jaar;2043;88965
163;Totaal over alle leeftijden ;25 tot 30 jaar;2044;89529
164;Totaal over alle leeftijden ;25 tot 30 jaar;2045;90130
165;Totaal over alle leeftijden ;25 tot 30 jaar;2046;90973
166;Totaal over alle leeftijden ;25 tot 30 jaar;2047;91823
167;Totaal over alle leeftijden ;25 tot 30 jaar;2048;92635
