ID;CoalAndCoalProducts;Periods;TotalEnergySupply_1;Production_2;RecoveredProducts_3;ImportsTotal_4;OfWhichFromOutsideEU_5;Exports_6;StocksBeginningOfPeriod_7;StocksEndOfPeriod_8;StockChange_9;StatisticalDifferences_10;TotalConsumption_11;TotalEnergyCompanies_12;CokeOvenPlants_13;IndustryTotal_14;OfWhichIronAndSteel_15;TotalOtherConsumers_16
0;Hard coal;2015 January;1601;;;1141;1134.0;;1538.0;1078.0;460.0;;1601;1220.0;251.0;130.0;128.0;0.0
1;Hard coal;2015 February;1412;;;1444;1435.0;;1078.0;1110.0;-32.0;;1412;1078.0;213.0;121.0;119.0;0.0
2;Hard coal;2015 March;1505;;;1624;1615.0;;1110.0;1229.0;-119.0;;1505;1128.0;241.0;137.0;135.0;0.0
3;Hard coal;2015 1st quarter;4518;;;4209;4184.0;;1538.0;1229.0;309.0;;4518;3426.0;704.0;388.0;382.0;0.0
4;Hard coal;2015 April;1630;;;1745;1736.0;;1229.0;1344.0;-116.0;;1630;1264.0;240.0;126.0;123.0;0.0
5;Hard coal;2015 May;1482;;;1497;1488.0;;1344.0;1359.0;-15.0;;1482;1104.0;254.0;124.0;121.0;0.0
6;Hard coal;2015 June;1371;;;1398;1390.0;;1359.0;1386.0;-27.0;;1371;991.0;249.0;131.0;129.0;0.0
7;Hard coal;2015 2nd quarter;4483;;;4640;4614.0;;1229.0;1386.0;-157.0;;4483;3359.0;743.0;381.0;373.0;0.0
8;Hard coal;2015 July;1441;;;1435;1427.0;;1386.0;1380.0;7.0;;1441;1059.0;259.0;122.0;119.0;0.0
9;Hard coal;2015 August;1389;;;1188;1181.0;;1380.0;1178.0;201.0;;1389;1007.0;255.0;128.0;125.0;0.0
10;Hard coal;2015 September;1717;;;1466;1458.0;;1178.0;927.0;251.0;;1717;1332.0;251.0;134.0;131.0;0.0
11;Hard coal;2015 3rd quarter;4548;;;4089;4066.0;;1386.0;927.0;459.0;;4548;3398.0;765.0;385.0;375.0;0.0
12;Hard coal;2015 October;1605;;;1903;1893.0;;927.0;1225.0;-298.0;;1605;1213.0;253.0;139.0;135.0;0.0
13;Hard coal;2015 November;1314;;;1155;1148.0;;1225.0;1066.0;159.0;;1314;947.0;241.0;125.0;121.0;0.0
14;Hard coal;2015 December;1509;;;1387;1379.0;;1066.0;944.0;122.0;;1509;1133.0;262.0;115.0;111.0;0.0
15;Hard coal;2015 4th quarter;4428;;;4445;4420.0;;927.0;944.0;-17.0;;4428;3294.0;756.0;379.0;368.0;0.0
16;Hard coal;2015;17977;;;17383;17284.0;;1538.0;944.0;594.0;;17977;13476.0;2968.0;1533.0;1498.0;0.0
17;Hard coal;2016 January;1356;;;1353;1352.0;;944.0;941.0;3.0;;1356;982.0;249.0;125.0;125.0;0.0
18;Hard coal;2016 February;1359;;;1198;1197.0;;941.0;779.0;162.0;;1359;997.0;242.0;120.0;119.0;0.0
19;Hard coal;2016 March;1486;;;1401;1401.0;;779.0;695.0;84.0;;1486;1111.0;248.0;127.0;127.0;0.0
20;Hard coal;2016 1st quarter;4201;;;3952;3950.0;;944.0;695.0;249.0;;4201;3090.0;739.0;372.0;371.0;0.0
