ID;Perioden;ToerismeToegevoegdeWaardeBasisprijs_1;ToerismeBestedingenNLEconomieTotaal_2;RecreatieveBestedingenVanHuishoudens_3;ToerismeToegevoegdeWaardeBasisprijs_4;ToerismeBestedingenNLEconomieTotaal_5;RecreatieveBestedingenVanHuishoudens_6;ToerismeToegevoegdeWaardeBasisprijs_7;RecreatieveBestedingenVanHuishoudens_8;ToerismeBanen_9;ToerismeWerkzamePersonen_10;ToerismeArbeidsvolume_11;ToerismeBanen_12;ToerismeWerkzamePersonen_13;ToerismeArbeidsvolume_14
0;2010;17928;60287;56194;123.2;118.8;146.2;3.1;19.3;614;526;372;6.2;6.0;5.3
1;2011;18438;63034;58253;128.3;121.8;147.6;3.1;19.4;635;542;379;6.4;6.1;5.4
2;2012;19257;65290;59482;130.6;123.2;146.4;3.2;19.8;642;550;382;6.5;6.2;5.4
3;2013;20181;66337;59156;133.5;124.7;144.1;3.4;19.4;648;555;387;6.6;6.4;5.6
4;2014;22090;69471;60088;142.3;130.9;146.1;3.6;19.4;673;577;400;6.9;6.6;5.8
5;2015;24304;73179;62164;149.5;138.1;150.2;3.9;19.6;687;589;409;6.9;6.7;5.8
6;2016;26237;76144;62855;157.2;144.8;152.6;4.1;19.5;705;604;424;7.0;6.8;5.9
7;2017;28154;81075;65693;165.2;152.1;156.0;4.2;19.5;732;627;444;7.1;6.9;6.1
8;2018;29978;85124;67669;172.9;157.0;157.7;4.3;19.2;751;639;463;7.1;6.8;6.1
9;2019;31534;89186;69894;178.5;160.6;158.7;4.3;19.2;777;661;480;7.2;6.9;6.2
10;2020;16387;53424;40661;87.0;92.8;91.6;2.3;11.7;654;555;390;6.1;5.8;5.1
11;2021;18865;59379;46271;100.0;100.0;100.0;2.4;12.2;627;532;365;5.8;5.5;4.6
12;2022;30876;92062;75059;160.9;142.7;146.4;3.5;17.2;726;621;425;6.4;6.2;5.2
13;2023;36732;104934;83961;175.6;155.0;156.4;3.8;17.8;768;666;449;6.7;6.5;5.4
