ID;Perioden;Consumentenvertrouwen_1;EconomischKlimaat_2;Koopbereidheid_3;EconomischeSituatieLaatste12Maanden_4;EconomischeSituatieKomende12Maanden_5;FinancieleSituatieLaatste12Maanden_6;FinancieleSituatieKomende12Maanden_7;GunstigeTijdVoorGroteAankopen_8
406;2020 februari;-2;-5;1;5;-15;-5;4;4
407;2020 maart;-3;-10;2;10;-29;0;5;1
408;2020 april;-23;-31;-17;6;-69;4;-16;-38
409;2020 mei;-31;-52;-17;-38;-66;5;-17;-39
410;2020 juni;-27;-52;-11;-56;-47;6;-10;-29
411;2020 juli;-26;-51;-10;-67;-35;-2;-6;-22
412;2020 augustus;-29;-58;-10;-73;-44;-3;-2;-23
413;2020 september;-28;-58;-9;-75;-40;-5;0;-22
414;2020 oktober;-30;-61;-9;-76;-46;-7;1;-22
415;2020 november;-26;-53;-7;-71;-35;-7;3;-18
416;2020 december;-19;-40;-6;-70;-9;-7;5;-16
417;2021 januari;-19;-39;-6;-71;-8;-6;6;-18
418;2021 februari;-19;-41;-5;-72;-9;-5;8;-17
419;2021 maart;-18;-39;-4;-77;-1;-6;8;-15
420;2021 april;-14;-31;-2;-71;8;-3;9;-11
421;2021 mei;-9;-24;1;-62;14;0;10;-6
422;2021 juni;-3;-12;3;-54;31;2;12;-4
423;2021 juli;-4;-10;0;-45;25;0;10;-9
424;2021 augustus;-6;-11;-2;-38;15;-2;8;-12
425;2021 september;-5;-8;-3;-30;14;-4;8;-12
426;2021 oktober;-10;-15;-7;-31;0;-7;2;-15
427;2021 november;-20;-29;-14;-38;-21;-14;-3;-24
428;2021 december;-26;-39;-17;-50;-29;-16;-6;-28
429;2022 januari;-28;-43;-18;-55;-32;-18;-7;-28
430;2022 februari;-30;-46;-20;-61;-30;-22;-8;-30
431;2022 maart;-39;-58;-26;-60;-57;-23;-18;-36
432;2022 april;-48;-69;-34;-73;-65;-33;-24;-44
433;2022 mei;-47;-68;-33;-78;-58;-33;-16;-51
434;2022 juni;-50;-69;-37;-77;-61;-37;-20;-53
435;2022 juli;-51;-71;-38;-81;-61;-37;-21;-56
436;2022 augustus;-54;-74;-40;-86;-63;-41;-24;-56
437;2022 september;-59;-79;-46;-90;-68;-48;-30;-61
438;2022 oktober;-59;-75;-48;-89;-62;-50;-31;-62
439;2022 november;-56;-72;-46;-88;-56;-49;-27;-62
440;2022 december;-52;-65;-43;-84;-46;-47;-21;-60
441;2023 januari;-49;-62;-41;-84;-39;-47;-16;-60
442;2023 februari;-44;-54;-37;-81;-26;-44;-9;-57
443;2023 maart;-39;-48;-33;-74;-22;-39;-7;-54
444;2023 april;-37;-48;-30;-74;-23;-35;-4;-51
445;2023 mei;-38;-53;-28;-74;-31;-31;-3;-50
446;2023 juni;-39;-54;-29;-74;-33;-31;-5;-51
447;2023 juli;-39;-54;-29;-73;-36;-30;-5;-52
448;2023 augustus;-40;-56;-29;-75;-36;-29;-5;-54
449;2023 september;-39;-57;-28;-76;-39;-29;-5;-49
450;2023 oktober;-38;-56;-27;-74;-37;-30;-4;-46
451;2023 november;-33;-47;-24;-66;-28;-28;-1;-42
452;2023 december;-29;-41;-21;-62;-19;-24;2;-40
453;2024 januari;-28;-39;-20;-59;-20;-22;2;-39
