ID;GeslachtEnBedrijf;TypeEnOpleidendeInstantie;Perioden;GevolgdeCursussenOfOpleidingen_1;GevolgdeInterneOpleidingen_2;GevolgdeExterneOpleidingen_3;VerdelingCursussenOfOpleidingen_4;VerdelingInterneCursussenOpleidingen_5;VerdelingExterneCursussenOpleidingen_6;InterneEnExterneOpleidingsuren_7;GevolgdeInterneOpleidingsuren_8;GevolgdeExterneOpleidingsuren_9;VerdelingInterneEnExterneUren_10;VerdelingInterneOpleidingsuren_11;VerdelingExterneOpleidingsuren_12
0;Totaal werknemers;Totaal van de opleidingen;1999;2896.0;1306.0;1590.0;100.0;100.0;100.0;75011.0;29752.0;45259.0;100.0;100.0;100.0
1;Totaal werknemers;Totaal van de opleidingen;2005;;;;;;;46954.0;;;100.0;;
2;Totaal werknemers;Talen;1999;52.0;10.0;42.0;2.0;1.0;3.0;1677.0;327.0;1350.0;2.0;1.0;3.0
3;Totaal werknemers;Talen;2005;;;;;;;1150.0;;;2.0;;
4;Totaal werknemers;Verkoop en marketing;1999;257.0;150.0;107.0;9.0;11.0;7.0;7276.0;4136.0;3141.0;10.0;14.0;7.0
5;Totaal werknemers;Verkoop en marketing;2005;;;;;;;4770.0;;;10.0;;
6;Totaal werknemers;Boekhouding/financiën/management/kantoor;1999;;;;;;;;;;;;
7;Totaal werknemers;Boekhouding/financiën/management/kantoor;2005;;;;;;;7675.0;;;16.0;;
8;Totaal werknemers;Boekhouding en financiën;1999;246.0;131.0;115.0;8.0;10.0;7.0;12234.0;6200.0;6034.0;16.0;21.0;13.0
9;Totaal werknemers;Boekhouding en financiën;2005;;;;;;;;;;;;
10;Totaal werknemers;Management;1999;181.0;76.0;105.0;6.0;6.0;7.0;6310.0;2021.0;4289.0;8.0;7.0;9.0
11;Totaal werknemers;Management;2005;;;;;;;;;;;;
12;Totaal werknemers;Kantoorwerk;1999;41.0;14.0;27.0;1.0;1.0;2.0;710.0;187.0;523.0;1.0;1.0;1.0
13;Totaal werknemers;Kantoorwerk;2005;;;;;;;;;;;;
14;Totaal werknemers;Persoonlijke vaardigheden;1999;431.0;250.0;180.0;15.0;19.0;11.0;8722.0;4452.0;4270.0;12.0;15.0;9.0
15;Totaal werknemers;Persoonlijke vaardigheden;2005;;;;;;;6481.0;;;14.0;;
16;Totaal werknemers;Informatica;1999;577.0;233.0;343.0;20.0;18.0;22.0;11609.0;4265.0;7344.0;15.0;14.0;16.0
17;Totaal werknemers;Informatica;2005;;;;;;;4435.0;;;9.0;;
18;Totaal werknemers;Techniek, bouw en productie;1999;416.0;166.0;250.0;14.0;13.0;16.0;12994.0;3996.0;8997.0;17.0;13.0;20.0
19;Totaal werknemers;Techniek, bouw en productie;2005;;;;;;;8708.0;;;19.0;;
20;Totaal werknemers;Milieu en arbeidsomstandigheden;1999;454.0;175.0;279.0;16.0;13.0;18.0;7773.0;2668.0;5105.0;10.0;9.0;11.0
21;Totaal werknemers;Milieu en arbeidsomstandigheden;2005;;;;;;;2695.0;;;6.0;;
22;Totaal werknemers;Diensten;1999;176.0;81.0;95.0;6.0;6.0;6.0;3465.0;1048.0;2417.0;5.0;4.0;5.0
23;Totaal werknemers;Diensten;2005;;;;;;;2044.0;;;4.0;;
24;Totaal werknemers;Overige typen;1999;67.0;20.0;48.0;2.0;2.0;3.0;2240.0;452.0;1788.0;3.0;2.0;4.0
25;Totaal werknemers;Overige typen;2005;;;;;;;8996.0;;;19.0;;
26;Totaal werknemers;Hogescholen en universiteiten;1999;;;;;;;;;;;;
27;Totaal werknemers;Hogescholen en universiteiten;2005;;;;;;;;;3361.0;;;12.0
