ID;Cijfersoort;PolitieregioS;Perioden;Aanwezig_1;BijnaAltijdGebruikt_2;Aanwezig_3;BijnaAltijdGebruikt_4;Aanwezig_5;BijnaAltijdGebruikt_6;Aanwezig_7;BijnaAltijdGebruikt_8;TechnoPreventieSomscore_9;SAvondsLichtBrandenBijAfwezigheid_10;FietsInBewaakteFietsenstalling_11;WaardevolleSpullenMeenemenUitAuto_12;WaardevolleSpullenThuisLaten_13;SocioPreventieSomscore_14;PreventieTotaalSomscore_15;TechnoPreventieSomscore_16;SocioPreventieSomscore_17
0;Waarde;Nederland;2009;71.7;61.8;15.8;12.5;80.5;59.7;11.7;8.1;1.4;45.5;40.5;74.6;44.8;2.1;3.5;1.4;2.1
1;Waarde;Nederland;2010;69.9;60.1;15.5;12.4;79.1;59.2;11.6;8.2;1.4;44.9;39.0;73.6;40.1;2.0;3.4;1.4;2.0
2;Waarde;Nederland;2011;69.5;59.8;16.2;12.9;79.1;59.3;11.7;8.2;1.4;44.8;39.4;74.2;41.1;2.0;3.5;1.4;2.0
3;Waarde;Groningen (PO);2009;65.2;55.2;6.8;4.0;78.3;55.4;9.9;6.9;1.2;41.7;35.7;63.9;38.0;1.8;3.0;1.2;1.8
4;Waarde;Groningen (PO);2010;59.2;49.6;5.3;3.5;75.2;52.2;7.2;4.7;1.1;38.7;30.5;66.3;36.3;1.7;2.9;1.1;1.7
5;Waarde;Groningen (PO);2011;59.3;47.9;7.1;5.0;73.8;50.9;8.7;5.3;1.1;39.8;31.9;65.1;35.8;1.7;2.9;1.1;1.7
6;Waarde;Friesland (PO);2009;66.5;55.9;4.2;2.1;84.4;56.8;9.5;5.7;1.2;41.3;30.3;66.0;41.5;1.8;3.0;1.2;1.8
7;Waarde;Friesland (PO);2010;67.9;56.1;4.0;2.9;82.7;56.2;8.9;6.0;1.2;37.9;27.9;66.1;39.2;1.7;3.0;1.2;1.7
8;Waarde;Friesland (PO);2011;66.8;55.9;5.8;3.2;83.9;56.4;10.3;6.8;1.2;39.9;29.2;66.1;41.6;1.8;3.1;1.2;1.8
9;Waarde;Drenthe (PO);2009;69.8;56.4;10.1;7.1;90.5;64.8;9.1;6.2;1.3;44.8;33.2;70.4;43.1;1.9;3.3;1.3;1.9
10;Waarde;Drenthe (PO);2010;66.6;56.7;11.1;8.3;90.6;65.8;10.8;6.9;1.4;43.6;31.9;67.7;39.2;1.8;3.2;1.4;1.8
11;Waarde;Drenthe (PO);2011;66.5;59.6;13.0;9.5;90.9;65.9;9.3;6.3;1.4;43.0;28.7;73.1;40.0;1.8;3.3;1.4;1.8
12;Waarde;IJsselland (PO);2009;69.7;59.4;11.9;8.1;85.5;62.6;7.9;5.4;1.4;43.3;37.0;73.1;45.2;2.0;3.4;1.4;2.0
13;Waarde;IJsselland (PO);2010;68.2;59.3;12.7;7.5;81.5;57.8;8.4;5.9;1.3;41.0;35.8;73.9;39.7;1.9;3.3;1.3;1.9
14;Waarde;IJsselland (PO);2011;64.3;54.4;12.0;8.5;87.0;56.7;7.9;5.3;1.2;38.3;32.7;71.7;37.3;1.8;3.1;1.2;1.8
15;Waarde;Twente (PO);2009;72.1;62.7;18.9;14.2;87.1;61.7;11.8;8.2;1.5;45.6;39.2;70.8;41.2;2.0;3.5;1.5;2.0
16;Waarde;Twente (PO);2010;69.8;57.4;20.5;16.2;85.9;64.0;11.9;8.2;1.5;47.5;34.1;72.7;41.8;2.0;3.5;1.5;2.0
17;Waarde;Twente (PO);2011;69.9;59.5;22.5;16.1;84.6;61.4;9.8;6.6;1.4;49.9;40.0;70.0;42.4;2.0;3.5;1.4;2.0
18;Waarde;Noord- en Oost Gelderland (PO);2009;73.0;64.2;23.6;18.9;89.5;65.7;9.8;6.2;1.5;50.8;40.4;75.0;49.3;2.2;3.7;1.5;2.2
19;Waarde;Noord- en Oost Gelderland (PO);2010;73.7;65.3;23.6;16.2;89.9;67.1;7.8;5.6;1.5;52.4;40.2;78.6;42.0;2.1;3.7;1.5;2.1
20;Waarde;Noord- en Oost Gelderland (PO);2011;73.9;63.8;22.9;17.0;88.0;63.8;12.0;9.6;1.5;47.1;42.5;75.8;41.5;2.1;3.7;1.5;2.1
21;Waarde;Gelderland-Midden (PO);2009;74.0;64.5;19.1;14.9;85.6;62.7;10.4;7.0;1.5;49.3;43.4;78.1;51.3;2.2;3.7;1.5;2.2
22;Waarde;Gelderland-Midden (PO);2010;76.4;66.1;17.2;12.7;81.6;62.5;11.3;7.3;1.5;47.4;40.2;75.5;39.4;2.0;3.6;1.5;2.0
23;Waarde;Gelderland-Midden (PO);2011;70.7;61.5;19.5;16.9;83.9;64.5;10.0;6.8;1.5;46.4;40.0;78.5;41.0;2.1;3.6;1.5;2.1
24;Waarde;Gelderland-Zuid (PO);2009;72.6;65.2;22.6;17.3;85.3;62.7;12.4;8.6;1.5;48.1;40.7;78.0;44.8;2.1;3.7;1.5;2.1
25;Waarde;Gelderland-Zuid (PO);2010;70.5;59.7;18.7;14.0;83.6;65.8;17.9;11.2;1.5;49.4;41.1;77.0;39.4;2.1;3.7;1.5;2.1
26;Waarde;Gelderland-Zuid (PO);2011;67.5;58.5;22.4;19.0;81.0;62.7;10.6;7.8;1.5;48.4;41.5;77.8;37.8;2.1;3.6;1.5;2.1
27;Waarde;Utrecht (PO);2009;74.6;64.5;8.0;6.9;81.6;60.3;13.6;9.8;1.4;43.2;36.4;76.0;39.4;1.9;3.3;1.4;1.9
28;Waarde;Utrecht (PO);2010;68.4;58.7;7.0;5.3;78.5;57.0;11.2;7.7;1.3;43.6;40.4;79.1;38.6;2.0;3.4;1.3;2.0
29;Waarde;Utrecht (PO);2011;74.1;62.9;8.4;5.7;75.1;59.0;10.5;7.6;1.4;46.1;35.6;78.9;39.5;2.0;3.5;1.4;2.0
30;Waarde;Noord-Holland Noord (PO);2009;73.0;63.6;8.2;5.5;84.9;61.8;10.2;6.9;1.4;47.5;39.3;76.7;48.7;2.1;3.5;1.4;2.1
31;Waarde;Noord-Holland Noord (PO);2010;73.9;62.7;7.1;5.7;83.9;63.0;12.6;8.5;1.4;47.5;37.1;75.0;41.0;2.0;3.5;1.4;2.0
32;Waarde;Noord-Holland Noord (PO);2011;72.2;63.4;8.7;6.0;83.9;60.2;11.3;8.3;1.4;45.2;40.2;75.9;40.8;2.0;3.5;1.4;2.0
33;Waarde;Zaanstreek-Waterland (PO);2009;71.5;61.4;8.4;6.2;83.6;61.7;11.5;8.8;1.4;40.4;35.0;73.7;41.6;1.9;3.3;1.4;1.9
34;Waarde;Zaanstreek-Waterland (PO);2010;68.3;59.9;9.9;8.1;82.7;61.5;11.6;7.2;1.4;42.4;33.7;75.6;42.8;1.9;3.4;1.4;1.9
35;Waarde;Zaanstreek-Waterland (PO);2011;68.7;60.8;10.1;8.3;83.3;63.4;13.0;8.9;1.4;42.7;35.8;75.9;39.3;1.9;3.4;1.4;1.9
36;Waarde;Kennemerland (PO);2009;69.9;59.4;6.7;4.5;76.6;57.4;11.6;8.1;1.3;39.0;36.9;73.4;41.5;1.9;3.2;1.3;1.9
37;Waarde;Kennemerland (PO);2010;68.2;59.0;7.6;5.7;76.8;57.6;11.1;7.8;1.3;39.2;37.7;75.1;40.9;1.9;3.3;1.3;1.9
38;Waarde;Kennemerland (PO);2011;68.4;58.9;8.8;6.7;76.0;57.2;11.2;8.0;1.3;40.0;36.3;75.0;41.4;1.9;3.3;1.3;1.9
39;Waarde;Amsterdam-Amstelland (PO);2009;63.0;53.4;4.3;2.2;52.3;40.4;8.4;5.8;1.0;25.0;32.1;68.7;35.1;1.6;2.6;1.0;1.6
40;Waarde;Amsterdam-Amstelland (PO);2010;61.0;50.3;5.1;4.7;54.4;44.3;8.5;5.5;1.0;28.5;29.9;64.2;34.0;1.6;2.7;1.0;1.6
41;Waarde;Amsterdam-Amstelland (PO);2011;58.1;47.6;5.3;4.0;57.9;48.2;10.2;5.2;1.1;29.8;31.3;67.3;34.0;1.6;2.7;1.1;1.6
42;Waarde;Gooi- en Vechtstreek (PO);2009;75.2;64.1;7.6;5.1;83.2;64.4;16.5;11.4;1.5;53.7;37.8;77.5;43.4;2.1;3.6;1.5;2.1
43;Waarde;Gooi- en Vechtstreek (PO);2010;73.4;62.0;6.9;4.9;82.5;62.9;16.4;12.1;1.4;50.7;35.2;77.9;38.9;2.0;3.5;1.4;2.0
44;Waarde;Gooi- en Vechtstreek (PO);2011;75.4;62.9;9.5;6.9;83.3;63.0;17.4;12.9;1.5;50.5;36.2;78.6;39.9;2.1;3.6;1.5;2.1
45;Waarde;Haaglanden (PO);2009;74.2;62.6;7.0;4.8;70.8;55.0;12.4;8.5;1.3;44.2;43.6;75.8;48.1;2.1;3.4;1.3;2.1
46;Waarde;Haaglanden (PO);2010;74.1;62.9;8.7;5.8;69.6;54.8;11.9;8.4;1.3;44.0;42.8;71.8;38.6;2.0;3.3;1.3;2.0
47;Waarde;Haaglanden (PO);2011;71.9;60.0;8.1;5.8;70.2;54.1;12.4;8.4;1.3;42.2;43.6;73.6;40.9;2.0;3.3;1.3;2.0
48;Waarde;Hollands Midden (PO);2009;74.2;63.0;8.1;6.0;80.3;59.6;10.6;7.0;1.4;41.5;43.4;77.1;40.1;2.0;3.4;1.4;2.0
49;Waarde;Hollands Midden (PO);2010;68.9;58.8;8.6;5.8;82.2;62.3;11.7;8.3;1.4;42.7;39.3;73.3;39.4;1.9;3.4;1.4;1.9
50;Waarde;Hollands Midden (PO);2011;71.6;62.4;10.1;7.1;79.3;59.7;11.3;8.0;1.4;46.2;42.0;77.6;42.2;2.1;3.5;1.4;2.1
51;Waarde;Rotterdam-Rijnmond (PO);2009;71.5;59.7;7.5;5.5;72.8;59.6;12.5;8.6;1.3;41.0;38.4;72.7;40.4;1.9;3.3;1.3;1.9
52;Waarde;Rotterdam-Rijnmond (PO);2010;72.6;62.2;7.8;6.8;72.4;58.9;13.0;9.6;1.4;41.1;40.0;68.7;35.2;1.8;3.3;1.4;1.8
53;Waarde;Rotterdam-Rijnmond (PO);2011;69.2;59.7;7.9;6.7;66.0;54.2;12.0;8.7;1.3;38.2;34.3;67.1;37.9;1.8;3.1;1.3;1.8
54;Waarde;Zuid-Holland Zuid (PO);2009;76.7;68.1;15.5;11.5;78.9;59.7;11.5;7.1;1.5;50.8;39.1;74.5;40.8;2.1;3.6;1.5;2.1
55;Waarde;Zuid-Holland Zuid (PO);2010;72.6;64.7;17.6;13.6;80.8;59.9;11.9;9.6;1.5;47.1;36.9;77.6;38.1;2.0;3.5;1.5;2.0
56;Waarde;Zuid-Holland Zuid (PO);2011;73.1;62.5;17.9;13.8;82.9;61.7;11.9;7.9;1.5;44.9;37.5;75.9;39.2;2.0;3.5;1.5;2.0
57;Waarde;Zeeland (PO);2009;66.1;57.0;32.7;24.8;84.2;54.4;10.4;7.1;1.4;42.8;34.8;68.9;44.0;1.9;3.4;1.4;1.9
58;Waarde;Zeeland (PO);2010;64.4;53.7;30.1;24.6;78.7;52.6;11.0;8.1;1.4;37.3;29.4;70.4;39.7;1.8;3.2;1.4;1.8
59;Waarde;Zeeland (PO);2011;70.3;60.9;32.6;26.9;83.5;57.3;8.6;5.4;1.5;40.9;32.9;74.6;42.5;1.9;3.4;1.5;1.9
60;Waarde;Midden- en West-Brabant (PO);2009;75.9;67.7;28.4;24.5;84.9;62.9;14.3;10.0;1.7;51.3;51.5;80.4;53.3;2.4;4.1;1.7;2.4
61;Waarde;Midden- en West-Brabant (PO);2010;73.5;66.3;29.5;24.9;81.6;60.7;12.8;10.2;1.6;52.1;49.4;77.7;42.8;2.2;3.9;1.6;2.2
62;Waarde;Midden- en West-Brabant (PO);2011;73.3;65.3;26.9;22.2;84.1;62.2;13.9;10.3;1.6;51.1;51.9;79.3;45.8;2.2;3.9;1.6;2.2
63;Waarde;Brabant-Noord (PO);2009;74.2;65.0;25.1;20.9;86.9;66.0;13.4;10.4;1.6;53.1;46.6;80.6;54.8;2.4;4.0;1.6;2.4
64;Waarde;Brabant-Noord (PO);2010;70.4;64.2;23.8;20.6;87.7;65.2;13.8;10.0;1.6;51.7;45.5;80.1;44.7;2.2;3.9;1.6;2.2
65;Waarde;Brabant-Noord (PO);2011;73.3;64.1;24.8;20.2;86.7;65.7;15.0;11.3;1.6;52.1;47.2;79.9;46.3;2.3;3.9;1.6;2.3
66;Waarde;Brabant-Zuid-Oost (PO);2009;74.3;65.4;23.5;19.4;87.3;66.6;13.4;10.0;1.6;56.9;49.5;78.6;53.2;2.4;4.1;1.6;2.4
67;Waarde;Brabant-Zuid-Oost (PO);2010;71.1;60.5;24.5;19.5;83.6;64.4;11.7;8.5;1.5;52.8;46.0;74.1;43.1;2.2;3.8;1.5;2.2
68;Waarde;Brabant-Zuid-Oost (PO);2011;73.6;63.9;24.9;21.1;86.8;67.0;14.0;9.9;1.6;54.9;50.2;77.0;46.0;2.3;4.0;1.6;2.3
69;Waarde;Limburg-Noord (PO);2009;72.1;64.3;49.6;43.4;89.9;68.1;17.7;12.8;1.9;56.6;49.6;78.9;52.0;2.4;4.3;1.9;2.4
70;Waarde;Limburg-Noord (PO);2010;73.1;63.6;49.8;43.1;89.1;63.7;16.7;13.3;1.8;56.4;48.3;75.7;48.4;2.3;4.2;1.8;2.3
71;Waarde;Limburg-Noord (PO);2011;71.1;62.1;48.6;41.7;88.0;65.1;14.4;10.7;1.8;56.4;48.0;75.6;48.7;2.3;4.2;1.8;2.3
72;Waarde;Limburg-zuid (PO);2009;70.5;61.7;47.6;42.6;85.2;62.4;11.6;8.2;1.7;55.9;47.6;78.2;49.0;2.3;4.1;1.7;2.3
73;Waarde;Limburg-zuid (PO);2010;70.1;61.8;41.3;36.0;80.2;56.2;12.6;9.0;1.6;50.4;45.2;77.3;47.9;2.2;3.9;1.6;2.2
74;Waarde;Limburg-zuid (PO);2011;66.6;59.3;41.8;38.1;82.6;60.0;14.7;11.6;1.7;54.2;47.5;77.5;47.8;2.3;4.1;1.7;2.3
75;Waarde;Flevoland (PO);2009;71.9;61.9;8.5;6.0;86.3;61.2;14.6;10.0;1.4;41.6;41.8;74.5;40.0;2.0;3.4;1.4;2.0
76;Waarde;Flevoland (PO);2010;68.5;59.1;8.1;6.3;85.5;63.4;12.4;8.1;1.4;43.4;38.7;74.8;40.4;2.0;3.4;1.4;2.0
