ID;PBOS;Perioden;TotaalLopendeUitgaven_1;TotaalApparaatskosten_2;Lonen_3;Huisvestingskosten_4;Bureaukosten_5;ReisEnVerblijfskosten_6;Commissiekosten_7;Kapitaallasten_8;OverigeApparaatskosten_9;TotaalBeleidsuitgaven_10;Voorlichtingskosten_11;Onderzoek_12;TotaalBetaaldeSubsidies_13;Vakopleidingen_14;Bedrijven_15;Gezinnen_16;AndereOverheden_17;BetalingenAanAnderePBOS_18;TotaalLopendeInkomsten_19;Verkopen_20;Rente_21;TotaalHeffingen_22;Marktregulatie_23;AdministratieveHeffingen_24;Bestemmingsheffingen_25;TotaalOntvangenSubsidies_26;BedrijvenEnGezinnen_27;AndereOverheden_28;BijdragenVanAnderePBOS_29;TotaalActiva_30;KasBankEnGirosaldo_31;DebiteurenEnVooruitbetaaldeKosten_32;Effecten_33;LanglopendeLeningen_34;BankdepositoS_35;RoerendeGoederen_36;OnroerendeGoederen_37;TotaalPassiva_38;CrediteurenEnVoorafOntvangenBedragen_39;LanglopendeLeningen_40;KortlopendeLeningen_41;ReservesEnFondsen_42
0;Alle PBO's;1995;408.0;118.0;70.0;6.0;23.0;4.0;4.0;5.0;6.0;257.0;11.0;29.0;216.0;2.0;204.0;7.0;3.0;33.0;424.0;33.0;18.0;325.0;5.0;115.0;205.0;15.0;14.0;2.0;33.0;632.0;72.0;274.0;80.0;49.0;137.0;5.0;15.0;635.0;309.0;;;326.0
1;Alle PBO's;1996;405.0;116.0;70.0;5.0;24.0;3.0;4.0;4.0;6.0;263.0;14.0;29.0;221.0;2.0;209.0;7.0;3.0;26.0;444.0;34.0;16.0;353.0;14.0;120.0;219.0;15.0;10.0;5.0;26.0;661.0;71.0;277.0;87.0;50.0;154.0;5.0;17.0;662.0;307.0;;;355.0
2;Alle PBO's;1997;413.0;122.0;74.0;5.0;25.0;3.0;3.0;4.0;6.0;280.0;15.0;27.0;238.0;2.0;219.0;15.0;2.0;11.0;383.0;6.0;7.0;333.0;3.0;115.0;215.0;20.0;19.0;1.0;17.0;640.0;79.0;238.0;88.0;43.0;169.0;5.0;18.0;642.0;289.0;;;353.0
3;Alle PBO's;1998;392.0;120.0;71.0;6.0;27.0;4.0;4.0;4.0;5.0;250.0;17.0;29.0;206.0;3.0;185.0;14.0;4.0;22.0;419.0;46.0;17.0;316.0;0.0;110.0;206.0;18.0;0.0;17.0;22.0;620.0;90.0;208.0;92.0;55.0;158.0;4.0;13.0;619.0;246.0;;;373.0
4;Alle PBO's;1999;425.0;133.0;78.0;6.0;31.0;3.0;3.0;5.0;6.0;253.0;18.0;31.0;204.0;3.0;185.0;14.0;2.0;39.0;431.0;50.0;24.0;301.0;0.0;115.0;186.0;22.0;0.0;22.0;34.0;688.0;122.0;257.0;80.0;35.0;165.0;5.0;24.0;688.0;324.0;9.0;;355.0
5;Alle PBO's;2000;370.0;127.0;73.0;7.0;30.0;3.0;3.0;4.0;7.0;220.0;22.0;32.0;166.0;1.0;149.0;14.0;2.0;23.0;398.0;43.0;18.0;290.0;0.0;116.0;175.0;24.0;20.0;4.0;23.0;642.0;132.0;242.0;77.0;37.0;126.0;5.0;23.0;642.0;280.0;9.0;;353.0
6;Alle PBO's;2001;513.0;132.0;77.0;8.0;30.0;3.0;3.0;5.0;6.0;336.0;19.0;31.0;286.0;1.0;151.0;12.0;122.0;45.0;487.0;48.0;17.0;358.0;0.0;123.0;235.0;19.0;17.0;2.0;45.0;628.0;100.0;239.0;85.0;28.0;147.0;7.0;22.0;629.0;304.0;8.0;;317.0
7;Alle PBO's;2002;388.0;132.0;81.0;8.0;28.0;3.0;3.0;4.0;5.0;224.0;19.0;29.0;176.0;1.0;148.0;9.0;18.0;32.0;440.0;47.0;12.0;334.0;0.0;122.0;212.0;15.0;13.0;2.0;32.0;625.0;142.0;227.0;91.0;27.0;111.0;9.0;18.0;625.0;262.0;7.0;;356.0
8;SER en bedrijfschappen;1995;143.0;57.0;36.0;3.0;9.0;2.0;2.0;2.0;3.0;73.0;6.0;2.0;65.0;2.0;53.0;7.0;3.0;13.0;127.0;5.0;8.0;104.0;5.0;69.0;30.0;1.0;0.0;1.0;9.0;249.0;25.0;60.0;28.0;26.0;93.0;3.0;14.0;252.0;59.0;;;193.0
9;SER en bedrijfschappen;1996;143.0;57.0;36.0;3.0;9.0;1.0;2.0;2.0;3.0;75.0;8.0;2.0;65.0;2.0;54.0;7.0;2.0;11.0;141.0;6.0;7.0;117.0;14.0;72.0;32.0;4.0;0.0;4.0;7.0;275.0;36.0;69.0;29.0;28.0;97.0;3.0;13.0;276.0;66.0;;;210.0
10;SER en bedrijfschappen;1997;149.0;59.0;38.0;3.0;10.0;2.0;2.0;2.0;3.0;86.0;9.0;1.0;76.0;2.0;57.0;15.0;2.0;4.0;113.0;1.0;3.0;103.0;3.0;69.0;31.0;1.0;0.0;1.0;5.0;279.0;34.0;51.0;30.0;23.0;123.0;3.0;15.0;280.0;76.0;;;204.0
11;SER en bedrijfschappen;1998;139.0;59.0;37.0;3.0;11.0;2.0;2.0;2.0;2.0;72.0;10.0;2.0;61.0;2.0;42.0;14.0;3.0;8.0;133.0;9.0;8.0;94.0;0.0;66.0;28.0;16.0;0.0;16.0;6.0;241.0;31.0;29.0;33.0;25.0;111.0;2.0;10.0;240.0;43.0;;;197.0
12;SER en bedrijfschappen;1999;154.0;63.0;39.0;4.0;12.0;2.0;2.0;2.0;3.0;79.0;11.0;1.0;77.0;3.0;58.0;14.0;2.0;12.0;133.0;6.0;7.0;98.0;0.0;69.0;29.0;15.0;0.0;15.0;7.0;194.0;35.0;40.0;30.0;8.0;69.0;3.0;9.0;195.0;35.0;0.0;0.0;160.0
13;SER en bedrijfschappen;2000;126.0;54.0;;;;;;;;68.0;;;;;;;;4.0;135.0;6.0;6.0;95.0;;;;20.0;;;8.0;148.0;26.0;36.0;18.0;5.0;52.0;3.0;8.0;148.0;28.0;0.0;0.0;120.0
14;SER en bedrijfschappen;2001;137.0;56.0;;;;;;;;66.0;;;;;;;;15.0;137.0;5.0;6.0;101.0;;;;18.0;;;7.0;147.0;24.0;26.0;18.0;3.0;64.0;3.0;9.0;148.0;30.0;;;118.0
15;SER en bedrijfschappen;2002;119.0;52.0;;;;;;;;64.0;;;;;;;;3.0;127.0;5.0;3.0;98.0;;;;14.0;;;7.0;151.0;23.0;37.0;16.0;3.0;61.0;3.0;8.0;151.0;30.0;;;121.0
16;SER;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;SER;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;SER;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;SER;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;SER;1999;37.0;15.0;;;;;;;;22.0;;;;;;;;0.0;39.0;2.0;2.0;35.0;;;;0.0;;;0.0;41.0;;5.0;;7.0;20.0;2.0;7.0;41.0;9.0;;;32.0
21;SER;2000;35.0;15.0;;;;;;;;20.0;;;;;;;;0.0;41.0;2.0;2.0;37.0;;;;0.0;;;0.0;41.0;;4.0;;4.0;25.0;2.0;6.0;41.0;8.0;;;33.0
22;SER;2001;40.0;15.0;;;;;;;;25.0;;;;;;;;0.0;49.0;2.0;2.0;45.0;;;;0.0;;;0.0;47.0;0.0;4.0;;2.0;33.0;2.0;6.0;48.0;6.0;;;42.0
23;SER;2002;43.0;15.0;;;;;;;;28.0;;;;;;;;0.0;51.0;2.0;1.0;48.0;;;;0.0;;;0.0;57.0;4.0;9.0;;1.0;35.0;2.0;6.0;57.0;8.0;;;49.0
24;Bedrijfschappen;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Bedrijfschappen;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Bedrijfschappen;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Bedrijfschappen;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Bedrijfschappen;1999;117.0;48.0;;;;;;;;57.0;;;;;;;;12.0;94.0;4.0;5.0;63.0;;;;15.0;;;7.0;153.0;35.0;35.0;30.0;1.0;49.0;1.0;2.0;154.0;26.0;;;128.0
29;Bedrijfschappen;2000;91.0;39.0;;;;;;;;48.0;;;;;;;;4.0;94.0;4.0;4.0;58.0;;;;20.0;;;8.0;107.0;26.0;32.0;18.0;1.0;27.0;1.0;2.0;107.0;20.0;;;87.0
30;Bedrijfschappen;2001;97.0;41.0;;;;;;;;41.0;;;;;;;;15.0;88.0;3.0;4.0;56.0;;;;18.0;;;7.0;100.0;24.0;22.0;18.0;1.0;31.0;1.0;3.0;100.0;24.0;;;76.0
31;Bedrijfschappen;2002;76.0;37.0;;;;;;;;36.0;;;;;;;;3.0;76.0;3.0;2.0;50.0;;;;14.0;;;7.0;94.0;19.0;28.0;16.0;2.0;26.0;1.0;2.0;94.0;22.0;;;72.0
32;Productschappen;1995;264.0;60.0;34.0;3.0;14.0;2.0;2.0;2.0;3.0;184.0;4.0;27.0;152.0;0.0;151.0;0.0;1.0;20.0;296.0;27.0;10.0;221.0;;46.0;175.0;14.0;14.0;0.0;24.0;384.0;47.0;214.0;52.0;23.0;44.0;2.0;2.0;383.0;250.0;;;133.0
33;Productschappen;1996;264.0;60.0;34.0;2.0;15.0;1.0;2.0;2.0;3.0;188.0;6.0;27.0;154.0;0.0;154.0;0.0;0.0;16.0;303.0;29.0;9.0;235.0;;48.0;187.0;11.0;10.0;1.0;19.0;387.0;35.0;208.0;58.0;23.0;57.0;2.0;4.0;386.0;241.0;;;145.0
34;Productschappen;1997;262.0;62.0;36.0;2.0;15.0;1.0;2.0;2.0;3.0;194.0;6.0;25.0;162.0;0.0;162.0;0.0;0.0;6.0;271.0;5.0;4.0;230.0;;46.0;184.0;19.0;19.0;0.0;13.0;362.0;45.0;187.0;58.0;20.0;46.0;2.0;4.0;362.0;213.0;;;149.0
35;Productschappen;1998;253.0;61.0;34.0;3.0;16.0;2.0;2.0;2.0;2.0;178.0;7.0;27.0;143.0;0.0;143.0;0.0;0.0;14.0;285.0;37.0;9.0;222.0;0.0;44.0;179.0;2.0;0.0;1.0;15.0;377.0;59.0;178.0;59.0;30.0;47.0;1.0;3.0;378.0;203.0;;;175.0
36;Productschappen;1999;259.0;69.0;39.0;3.0;20.0;1.0;1.0;2.0;4.0;175.0;7.0;29.0;137.0;0.0;137.0;0.0;0.0;15.0;278.0;38.0;10.0;203.0;0.0;46.0;157.0;7.0;0.0;7.0;20.0;494.0;87.0;218.0;50.0;26.0;96.0;2.0;15.0;494.0;289.0;9.0;;196.0
37;Productschappen;2000;244.0;72.0;;;;;;;;153.0;;;;;;;;19.0;265.0;38.0;12.0;196.0;;;;4.0;;;15.0;494.0;106.0;206.0;59.0;32.0;75.0;2.0;14.0;494.0;252.0;9.0;;233.0
38;Productschappen;2001;376.0;76.0;;;;;;;;270.0;;;;;;;;30.0;350.0;43.0;11.0;257.0;;;;1.0;;;38.0;481.0;76.0;213.0;67.0;25.0;83.0;4.0;13.0;481.0;274.0;8.0;;199.0
39;Productschappen;2002;269.0;80.0;;;;;;;;160.0;;;;;;;;29.0;313.0;42.0;9.0;236.0;;;;1.0;;;25.0;474.0;119.0;190.0;75.0;24.0;50.0;6.0;10.0;474.0;232.0;7.0;;235.0
