ID;Landen;Perioden;Ondernemersquote_1;AankomendEnJongOndernemerschap_2;Absoluut_3;Relatief_4;BedrijfsgrootteBijOprichting_5;Absoluut_6;Relatief_7;Absoluut_8;Relatief_9;Absoluut_10;Relatief_11;OverlevingskansenVanBedrijven_12;AandeelSnelGroeiendeOndernemingen_13;HoudingTenOpzichteVanOndernemerschap_14;Mannen_15;Vrouwen_16
0;Australië;1990;16.3;;;;;;;;;;;;;;16.4;11.6
1;Australië;1991;;;;;;;;;;;;;;;17.4;12.3
2;Australië;1992;16.9;;;;;;;;;;;;;;17.7;12.2
3;Australië;1993;;;;;;;;;;;;;;;18.1;12.5
4;Australië;1994;17.1;;;;;;;;;;;;;;17.5;12.1
5;Australië;1995;;;;;;;;;;;;;;;17.2;11.8
6;Australië;1996;15.5;;;;;;;;;;;;;;16.9;11.5
7;Australië;1997;;;;;;;;;;;;;;;16.6;11.8
8;Australië;1998;15.6;;;;;;;;;;;;;;16.2;10.8
9;Australië;1999;;;;;;;;;;;;;;;16.3;10.7
10;Australië;2000;15.8;;;;;;;;;;;;;;16.1;10.4
11;Australië;2001;;15.5;;;;;;;;;;;;;16.2;10.2
12;Australië;2002;15.8;8.7;;;;;;;;;;;;;16.3;10.3
13;Australië;2003;15.9;11.6;;;;;;;;;;;;;16.0;9.8
14;Australië;2004;15.8;13.4;;;;;;;;;;;;;15.5;9.7
15;Australië;2005;15.6;10.9;;;;;;;;;;;;;15.2;9.7
16;Australië;2006;15.0;12.0;;;;;;;;;;;;;14.7;9.2
17;Australië;2007;14.6;;;;;;;;;;;;;;14.2;8.9
18;Australië;2008;14.5;;;;;;;;;;;;;;13.9;8.9
19;Australië;2009;14.4;;;;;;;;;;;;;;14.1;8.8
20;Australië;2010;;7.8;;;;;;;;;;;;;13.9;8.9
21;Australië;2011;;10.5;;;;;;;;;;;;;13.3;8.6
22;Australië;2012;;;;;;;;;;;;;;;;
23;België;1990;11.2;;;;;;;;;;;;;;18.5;17.5
24;België;1991;;;;;;;;;;;;;;;18.8;17.7
25;België;1992;11.4;;;;;;;;;;;;;;18.9;17.7
26;België;1993;;;;;;;;;;;;;;;19.4;18.1
27;België;1994;11.6;;;;;;;;;;;;;;19.6;17.7
28;België;1995;;;47500.0;8.0;;37100.0;6.2;84600.0;14.2;10400.0;1.8;;;;19.7;17.6
29;België;1996;11.9;;44100.0;7.4;;40000.0;6.7;84100.0;14.1;4100.0;0.7;;;;19.9;17.4
30;België;1997;;;42500.0;7.2;;39800.0;6.7;82300.0;13.9;2700.0;0.5;;;;19.9;16.9
31;België;1998;11.8;;44400.0;7.5;;39000.0;6.6;83400.0;14.0;5400.0;0.9;;13.0;;19.6;16.2
32;België;1999;;;38100.0;6.5;2.1;41600.0;7.1;79700.0;13.6;-3500.0;-0.6;;;;17.8;14.7
33;België;2000;11.7;;38900.0;6.7;2.0;39500.0;6.8;78400.0;13.5;-600.0;-0.1;;;36.0;17.5;13.5
34;België;2001;;4.5;37600.0;6.5;1.9;38000.0;6.6;75600.0;13.1;-400.0;-0.1;;15.0;36.0;17.0;12.7
35;België;2002;11.5;3.0;36800.0;6.5;1.9;36000.0;6.3;72800.0;12.8;800.0;0.2;;11.2;34.0;17.2;12.9
36;België;2003;11.2;3.9;36400.0;6.5;1.9;34600.0;6.1;71000.0;12.6;1800.0;0.4;;8.6;34.0;16.7;12.6
