ID;Perioden;TotaalParen_1;ManHogerOpgeleidDanVrouw_2;GelijkOnderwijsniveau_3;VrouwHogerOpgeleidDanMan_4;Onbekend_5;ManLaagVrouwLaag_6;ManLaagVrouwMiddelbaar_7;ManLaagVrouwHoog_8;ManMiddelbaarVrouwLaag_9;ManMiddelbaarVrouwMiddelbaar_10;ManMiddelbaarVrouwHoog_11;ManHoogVrouwLaag_12;ManHoogVrouwMiddelbaar_13;ManHoogVrouwHoog_14;Onbekend_15;ManBasisonderwijsVrouwBasisonderwijs_16;ManBasisonderwijsVrouwVmboMbo1Avo_17;ManBasisonderwijsVrouwHavoVwo_18;ManBasisonderwijsVrouwMbo_19;ManBasisonderwijsVrouwHbo_20;ManBasisonderwijsVrouwWo_21;ManVmboMbo1AvoVrouwBasisonderwijs_22;ManVmboMbo1AvoVrouwVmboMbo1Avo_23;ManVmboMbo1AvoVrouwHavoVwo_24;ManVmboMbo1AvoVrouwMbo_25;ManVmboMbo1AvoVrouwHbo_26;ManVmboMbo1AvoVrouwWo_27;ManHavoVwoVrouwBasisonderwijs_28;ManHavoVwoVrouwVmboMbo1Avo_29;ManHavoVwoVrouwHavoVwo_30;ManHavoVwoVrouwMbo_31;ManHavoVwoVrouwHbo_32;ManHavoVwoVrouwWo_33;ManMboVrouwBasisonderwijs_34;ManMboVrouwVmboMbo1Avo_35;ManMboVrouwHavoVwo_36;ManMboVrouwMbo_37;ManMboVrouwHbo_38;ManMboVrouwWo_39;ManHboVrouwBasisonderwijs_40;ManHboVrouwVmboMbo1Avo_41;ManHboVrouwHavoVwo_42;ManHboVrouwMbo_43;ManHboVrouwHbo_44;ManHboVrouwWo_45;ManWoVrouwBasisonderwijs_46;ManWoVrouwVmboMbo1Avo_47;ManWoVrouwHavoVwo_48;ManWoVrouwMbo_49;ManWoVrouwHbo_50;ManWoVrouwWo_51;Onbekend_52
0;1992;3655;1501;1478;666;10;1102;287;38;725;565;139;147;292;350;10;356;184;7;68;6;;230;332;17;195;31;;11;26;10;36;21;3;233;455;43;475;107;8;30;94;30;185;161;18;5;18;17;60;107;64;10
1;1993;3712;1520;1513;671;8;1050;292;44;735;604;145;157;312;365;8;342;170;5;70;8;;207;331;20;198;32;3.0;11;23;15;34;20;4;224;476;51;505;114;8;29;105;34;197;169;20;4;20;20;61;108;68;8
2;1994;3756;1526;1513;704;13;1038;315;42;721;623;153;157;330;365;13;318;173;7;75;7;;207;340;22;210;32;;10;26;13;33;21;4;211;474;59;518;118;11;30;104;42;201;159;22;5;17;22;65;111;73;13
3;1995;3807;1536;1541;715;15;981;319;40;741;666;158;167;327;394;15;296;173;7;71;6;;185;327;24;217;30;3.0;11;28;16;38;23;5;219;484;62;550;118;11;35;106;40;202;172;26;6;20;21;65;117;80;15
4;1996;3844;1553;1565;702;25;931;333;39;744;717;158;155;363;380;25;191;144;9;57;6;;180;416;40;227;30;3.0;17;61;40;75;42;11;168;498;96;506;93;12;23;102;65;186;152;29;6;24;53;59;110;89;25
5;1997;3876;1535;1595;718;27;910;329;43;737;743;166;160;363;399;27;187;148;12;59;4;;167;407;36;223;34;4.0;15;52;41;76;39;11;164;507;99;528;100;15;26;104;66;178;157;33;4;26;54;64;109;101;27
6;1998;3936;1531;1623;750;32;907;349;42;697;738;181;159;392;440;32;188;144;8;63;7;;164;411;39;239;29;6.0;17;53;41;80;44;11;157;470;96;521;111;14;24;103;66;195;165;35;8;24;56;76;120;121;32
7;1999;3947;1531;1611;772;33;908;349;48;672;737;191;158;389;463;33;185;144;11;61;9;;178;401;34;243;31;7.0;14;53;41;76;41;13;152;453;93;527;122;15;21;105;70;194;175;41;8;24;49;75;134;112;33
8;2000;3973;1549;1602;787;34;897;360;51;667;722;190;159;409;484;34;179;148;10;69;10;;182;387;42;238;35;6.0;14;54;38;83;44;15;149;451;92;509;114;17;27;103;75;198;187;39;5;25;58;77;132;127;34
9;2001;3913;1473;1596;806;38;890;363;50;663;738;212;146;379;434;38;190;139;10;63;7;;171;390;40;250;37;6.0;12;52;37;75;48;15;133;467;97;530;131;17;19;97;67;202;166;42;6;25;49;61;113;112;38
