ID;Perioden;TotaalParen_1;ManHogerOpgeleidDanVrouw_2;GelijkOnderwijsniveau_3;VrouwHogerOpgeleidDanMan_4;Onbekend_5;ManLaagVrouwLaag_6;ManLaagVrouwMiddelbaar_7;ManLaagVrouwHoog_8;ManMiddelbaarVrouwLaag_9;ManMiddelbaarVrouwMiddelbaar_10;ManMiddelbaarVrouwHoog_11;ManHoogVrouwLaag_12;ManHoogVrouwMiddelbaar_13;ManHoogVrouwHoog_14;Onbekend_15;ManBasisonderwijsVrouwBasisonderwijs_16;ManBasisonderwijsVrouwVmboMbo1Avo_17;ManBasisonderwijsVrouwHavoVwo_18;ManBasisonderwijsVrouwMbo_19;ManBasisonderwijsVrouwHbo_20;ManBasisonderwijsVrouwWo_21;ManVmboMbo1AvoVrouwBasisonderwijs_22;ManVmboMbo1AvoVrouwVmboMbo1Avo_23;ManVmboMbo1AvoVrouwHavoVwo_24;ManVmboMbo1AvoVrouwMbo_25;ManVmboMbo1AvoVrouwHbo_26;ManVmboMbo1AvoVrouwWo_27;ManHavoVwoVrouwBasisonderwijs_28;ManHavoVwoVrouwVmboMbo1Avo_29;ManHavoVwoVrouwHavoVwo_30;ManHavoVwoVrouwMbo_31;ManHavoVwoVrouwHbo_32;ManHavoVwoVrouwWo_33;ManMboVrouwBasisonderwijs_34;ManMboVrouwVmboMbo1Avo_35;ManMboVrouwHavoVwo_36;ManMboVrouwMbo_37;ManMboVrouwHbo_38;ManMboVrouwWo_39;ManHboVrouwBasisonderwijs_40;ManHboVrouwVmboMbo1Avo_41;ManHboVrouwHavoVwo_42;ManHboVrouwMbo_43;ManHboVrouwHbo_44;ManHboVrouwWo_45;ManWoVrouwBasisonderwijs_46;ManWoVrouwVmboMbo1Avo_47;ManWoVrouwHavoVwo_48;ManWoVrouwMbo_49;ManWoVrouwHbo_50;ManWoVrouwWo_51;Onbekend_52
10;2002;3939;1488;1615;806;30;850;361;52;652;764;207;158;402;462;30;163;142;11;67;7;;154;391;42;240;40;5.0;15;52;39;71;40;17;143;442;97;556;131;19;19;107;72;209;180;44;6;27;54;68;122;117;30
11;2003;3986;1491;1610;845;40;828;379;51;655;764;220;154;404;492;40;173;145;10;75;8;;152;357;44;250;37;5.0;14;48;39;76;42;19;148;446;100;549;136;22;22;100;75;208;192;50;5;26;52;70;126;124;40
12;2004;3998;1489;1585;859;64;775;359;63;622;741;248;172;416;539;64;154;131;11;68;10;3.0;143;347;43;238;42;8.0;15;48;41;79;47;21;134;425;99;522;147;33;25;111;73;212;207;58;7;29;51;80;137;137;64
13;2005;3997;1484;1589;857;68;733;350;63;609;759;254;181;422;559;68;131;127;11;59;8;;135;341;45;234;44;9.0;16;51;40;75;44;20;129;413;107;537;153;36;23;119;68;223;205;64;7;31;50;81;138;153;68
14;2006;4023;1482;1610;866;65;704;354;63;616;775;258;168;433;588;65;120;123;12;58;8;3.0;123;338;43;240;45;8.0;17;44;35;73;39;22;126;429;106;561;158;39;20;110;69;235;212;68;7;30;47;82;143;165;65
15;2007;4010;1451;1622;873;65;675;357;61;590;795;265;166;433;604;65;113;122;12;60;7;4.0;119;321;41;244;43;8.0;15;44;34;73;41;21;113;419;107;580;162;41;19;110;72;229;223;67;7;29;44;87;143;170;65
16;2008;4075;1501;1611;916;46;681;371;71;603;759;275;175;444;649;46;113;119;10;65;8;3.0;129;320;39;257;49;11.0;13;43;30;72;47;20;123;424;94;562;175;34;22;117;69;245;237;80;7;30;48;83;150;182;46
17;2009;4089;1504;1600;945;40;676;369;80;589;752;292;172;449;669;40;107;124;9;69;10;3.0;128;317;34;257;53;13.0;11;44;27;72;50;22;121;413;82;572;185;34;25;113;65;259;246;80;6;29;43;81;165;178;40
18;2010;4093;1490;1595;957;52;669;370;87;571;731;301;176;451;685;52;117;119;9;68;11;4.0;124;309;35;258;59;14.0;12;46;26;66;52;25;121;392;84;555;186;38;25;116;70;255;258;81;7;29;44;82;167;180;52
19;2011;4095;1452;1597;993;53;714;389;88;541;712;303;185;438;671;53;121;126;12;71;13;3.0;133;334;40;267;60;13.0;15;46;31;78;57;24;118;363;84;518;185;37;26;119;76;244;263;86;9;30;41;77;155;167;53
20;2012;4081;1436;1596;986;62;670;367;97;533;713;309;192;433;704;62;104;122;8;66;13;4.0;120;324;37;255;67;13.0;17;45;31;70;57;24;107;364;80;531;190;37;31;121;70;249;273;91;12;29;39;75;158;183;62
