ID;CPA2008;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
0;Dienstenprijsindex (DPI);2002 4e kwartaal;;;
1;Dienstenprijsindex (DPI);2003 1e kwartaal;;;
2;Dienstenprijsindex (DPI);2003 2e kwartaal;;;
3;Dienstenprijsindex (DPI);2003 3e kwartaal;;;
4;Dienstenprijsindex (DPI);2003 4e kwartaal;;;
5;Dienstenprijsindex (DPI);2003;;;
6;Dienstenprijsindex (DPI);2004 1e kwartaal;;;
7;Dienstenprijsindex (DPI);2004 2e kwartaal;;;
8;Dienstenprijsindex (DPI);2004 3e kwartaal;;;
9;Dienstenprijsindex (DPI);2004 4e kwartaal;;;
10;Dienstenprijsindex (DPI);2004;;;
11;Dienstenprijsindex (DPI);2005 1e kwartaal;;;
12;Dienstenprijsindex (DPI);2005 2e kwartaal;;;
13;Dienstenprijsindex (DPI);2005 3e kwartaal;;;
14;Dienstenprijsindex (DPI);2005 4e kwartaal;;;
15;Dienstenprijsindex (DPI);2005;;;
16;Dienstenprijsindex (DPI);2006 1e kwartaal;91.5;;
17;Dienstenprijsindex (DPI);2006 2e kwartaal;91.6;0.1;
18;Dienstenprijsindex (DPI);2006 3e kwartaal;92.3;0.8;
19;Dienstenprijsindex (DPI);2006 4e kwartaal;93.0;0.8;
20;Dienstenprijsindex (DPI);2006;92.1;;
21;Dienstenprijsindex (DPI);2007 1e kwartaal;93.4;0.4;2.1
22;Dienstenprijsindex (DPI);2007 2e kwartaal;93.9;0.6;2.6
23;Dienstenprijsindex (DPI);2007 3e kwartaal;94.3;0.4;2.1
24;Dienstenprijsindex (DPI);2007 4e kwartaal;94.9;0.7;2.1
25;Dienstenprijsindex (DPI);2007;94.1;;2.2
26;Dienstenprijsindex (DPI);2008 1e kwartaal;95.6;0.7;2.4
27;Dienstenprijsindex (DPI);2008 2e kwartaal;96.0;0.4;2.2
28;Dienstenprijsindex (DPI);2008 3e kwartaal;96.7;0.8;2.6
29;Dienstenprijsindex (DPI);2008 4e kwartaal;97.0;0.3;2.1
30;Dienstenprijsindex (DPI);2008;96.3;;2.3
31;Dienstenprijsindex (DPI);2009 1e kwartaal;96.8;-0.1;1.3
32;Dienstenprijsindex (DPI);2009 2e kwartaal;96.3;-0.6;0.3
33;Dienstenprijsindex (DPI);2009 3e kwartaal;96.5;0.2;-0.3
34;Dienstenprijsindex (DPI);2009 4e kwartaal;96.9;0.4;-0.1
35;Dienstenprijsindex (DPI);2009;96.6;;0.3
36;Dienstenprijsindex (DPI);2010 1e kwartaal;97.2;0.3;0.4
37;Dienstenprijsindex (DPI);2010 2e kwartaal;97.5;0.4;1.3
38;Dienstenprijsindex (DPI);2010 3e kwartaal;97.2;-0.3;0.8
39;Dienstenprijsindex (DPI);2010 4e kwartaal;97.7;0.5;0.9
40;Dienstenprijsindex (DPI);2010;97.4;;0.8
41;Dienstenprijsindex (DPI);2011 1e kwartaal;98.0;0.3;0.8
42;Dienstenprijsindex (DPI);2011 2e kwartaal;98.3;0.3;0.8
43;Dienstenprijsindex (DPI);2011 3e kwartaal;98.2;-0.1;0.9
44;Dienstenprijsindex (DPI);2011 4e kwartaal;98.0;-0.2;0.2
45;Dienstenprijsindex (DPI);2011;98.1;;0.7
46;Dienstenprijsindex (DPI);2012 1e kwartaal;97.8;-0.1;-0.2
47;Dienstenprijsindex (DPI);2012 2e kwartaal;98.3;0.5;0.1
48;Dienstenprijsindex (DPI);2012 3e kwartaal;98.1;-0.3;-0.1
49;Dienstenprijsindex (DPI);2012 4e kwartaal;98.4;0.4;0.5
50;Dienstenprijsindex (DPI);2012;98.2;;0.1
51;Dienstenprijsindex (DPI);2013 1e kwartaal;98.6;0.2;0.8
52;Dienstenprijsindex (DPI);2013 2e kwartaal;98.7;0.1;0.4
53;Dienstenprijsindex (DPI);2013 3e kwartaal;98.9;0.2;0.9
54;Dienstenprijsindex (DPI);2013 4e kwartaal;99.0;0.1;0.6
55;Dienstenprijsindex (DPI);2013;98.8;;0.7
56;Dienstenprijsindex (DPI);2014 1e kwartaal;98.8;-0.3;0.1
57;Dienstenprijsindex (DPI);2014 2e kwartaal;99.0;0.3;0.3
58;Dienstenprijsindex (DPI);2014 3e kwartaal;99.6;0.5;0.6
59;Dienstenprijsindex (DPI);2014 4e kwartaal;99.1;-0.5;0.0
60;Dienstenprijsindex (DPI);2014;99.1;;0.3
61;Dienstenprijsindex (DPI);2015 1e kwartaal;100.0;1.0;1.3
62;Dienstenprijsindex (DPI);2015 2e kwartaal;100.1;0.1;1.1
63;Dienstenprijsindex (DPI);2015 3e kwartaal;99.7;-0.4;0.1
64;Dienstenprijsindex (DPI);2015 4e kwartaal;100.2;0.4;1.1
65;Dienstenprijsindex (DPI);2015;100.0;;0.9
66;Dienstenprijsindex (DPI);2016 1e kwartaal;99.9;-0.3;-0.1
67;Dienstenprijsindex (DPI);2016 2e kwartaal;99.9;0.0;-0.2
68;Dienstenprijsindex (DPI);2016 3e kwartaal;100.1;0.1;0.4
69;Dienstenprijsindex (DPI);2016 4e kwartaal;100.0;-0.1;-0.2
70;Dienstenprijsindex (DPI);2016;100.0;;0.0
71;Dienstenprijsindex (DPI);2017 1e kwartaal;100.4;0.4;0.5
72;Dienstenprijsindex (DPI);2017 2e kwartaal;100.7;0.3;0.8
73;Dienstenprijsindex (DPI);2017 3e kwartaal;100.7;0.0;0.6
74;Dienstenprijsindex (DPI);2017 4e kwartaal;101.3;0.6;1.3
75;Dienstenprijsindex (DPI);2017;100.8;;0.8
76;Dienstenprijsindex (DPI);2018 1e kwartaal;101.9;0.6;1.5
77;Dienstenprijsindex (DPI);2018 2e kwartaal;102.6;0.7;1.9
78;Dienstenprijsindex (DPI);2018 3e kwartaal;103.4;0.8;2.7
79;Dienstenprijsindex (DPI);2018 4e kwartaal;104.3;0.8;2.9
80;Dienstenprijsindex (DPI);2018;103.1;;2.3
81;Dienstenprijsindex (DPI);2019 1e kwartaal;105.0;0.6;3.0
82;Dienstenprijsindex (DPI);2019 2e kwartaal;105.6;0.6;2.9
83;Dienstenprijsindex (DPI);2019 3e kwartaal;105.6;0.1;2.1
84;Dienstenprijsindex (DPI);2019 4e kwartaal;106.0;0.3;1.6
85;Dienstenprijsindex (DPI);2019;105.5;;2.4
86;Dienstenprijsindex (DPI);2020 1e kwartaal;106.9;0.8;1.8
87;Dienstenprijsindex (DPI);2020 2e kwartaal;107.4;0.5;1.7
88;Dienstenprijsindex (DPI);2020 3e kwartaal;107.1;-0.3;1.3
89;Dienstenprijsindex (DPI);2020 4e kwartaal;107.3;0.2;1.2
90;Dienstenprijsindex (DPI);2020;107.2;;1.5
91;Dienstenprijsindex (DPI);2021 1e kwartaal;108.1;0.8;1.2
92;Dienstenprijsindex (DPI);2021 2e kwartaal;108.9;0.7;1.3
93;Dienstenprijsindex (DPI);2021 3e kwartaal;109.5;0.6;2.3
94;Dienstenprijsindex (DPI);2021 4e kwartaal;110.8;1.2;3.3
95;Dienstenprijsindex (DPI);2021;109.3;;2.0
96;Dienstenprijsindex (DPI);2022 1e kwartaal;112.8;1.8;4.3
97;Dienstenprijsindex (DPI);2022 2e kwartaal;115.3;2.3;6.0
98;Dienstenprijsindex (DPI);2022 3e kwartaal;117.4;1.8;7.2
99;Dienstenprijsindex (DPI);2022 4e kwartaal;118.6;1.0;7.0
100;Dienstenprijsindex (DPI);2022;116.0;;6.1
101;Dienstenprijsindex (DPI);2023 1e kwartaal;121.6;2.5;7.8
102;Dienstenprijsindex (DPI);2023 2e kwartaal;122.6;0.8;6.3
103;Dienstenprijsindex (DPI);2023 3e kwartaal;122.7;0.1;4.5
104;Dienstenprijsindex (DPI);2023 4e kwartaal;123.5;0.7;4.1
105;Dienstenprijsindex (DPI);2023;122.6;;5.7
106;H Vervoer en opslag;2002 4e kwartaal;;;
107;H Vervoer en opslag;2003 1e kwartaal;;;
108;H Vervoer en opslag;2003 2e kwartaal;;;
109;H Vervoer en opslag;2003 3e kwartaal;;;
110;H Vervoer en opslag;2003 4e kwartaal;;;
