ID;BelastingenEnWettelijkePremies;Perioden;OntvangenBelastingenEnWettPremies_1
0;Totaal belastingen en wettelijke premies;1995;122590.0
1;Totaal belastingen en wettelijke premies;1996;128452.0
2;Totaal belastingen en wettelijke premies;1997;134809.0
3;Totaal belastingen en wettelijke premies;1998;143015.0
4;Totaal belastingen en wettelijke premies;1999 1e kwartaal;36972.0
5;Totaal belastingen en wettelijke premies;1999 2e kwartaal;39598.0
6;Totaal belastingen en wettelijke premies;1999 3e kwartaal;37369.0
7;Totaal belastingen en wettelijke premies;1999 4e kwartaal;42287.0
8;Totaal belastingen en wettelijke premies;1999;156226.0
9;Totaal belastingen en wettelijke premies;2000 1e kwartaal;38224.0
10;Totaal belastingen en wettelijke premies;2000 2e kwartaal;43671.0
11;Totaal belastingen en wettelijke premies;2000 3e kwartaal;38969.0
12;Totaal belastingen en wettelijke premies;2000 4e kwartaal;45957.0
13;Totaal belastingen en wettelijke premies;2000;166821.0
14;Totaal belastingen en wettelijke premies;2001 1e kwartaal;41193.0
15;Totaal belastingen en wettelijke premies;2001 2e kwartaal;43961.0
16;Totaal belastingen en wettelijke premies;2001 3e kwartaal;41205.0
17;Totaal belastingen en wettelijke premies;2001 4e kwartaal;46302.0
18;Totaal belastingen en wettelijke premies;2001;172661.0
19;Totaal belastingen en wettelijke premies;2002 1e kwartaal;43208.0
20;Totaal belastingen en wettelijke premies;2002 2e kwartaal;45663.0
21;Totaal belastingen en wettelijke premies;2002 3e kwartaal;41424.0
22;Totaal belastingen en wettelijke premies;2002 4e kwartaal;47092.0
23;Totaal belastingen en wettelijke premies;2002;177387.0
24;Totaal belastingen en wettelijke premies;2003 1e kwartaal;44361.0
25;Totaal belastingen en wettelijke premies;2003 2e kwartaal;46428.0
26;Totaal belastingen en wettelijke premies;2003 3e kwartaal;41519.0
27;Totaal belastingen en wettelijke premies;2003 4e kwartaal;48351.0
28;Totaal belastingen en wettelijke premies;2003;180659.0
29;Totaal belastingen en wettelijke premies;2004 1e kwartaal;44367.0
30;Totaal belastingen en wettelijke premies;2004 2e kwartaal;46966.0
31;Totaal belastingen en wettelijke premies;2004 3e kwartaal;43804.0
32;Totaal belastingen en wettelijke premies;2004 4e kwartaal;51132.0
33;Totaal belastingen en wettelijke premies;2004;186269.0
34;Totaal belastingen en wettelijke premies;2005 1e kwartaal;46360.0
35;Totaal belastingen en wettelijke premies;2005 2e kwartaal;48683.0
36;Totaal belastingen en wettelijke premies;2005 3e kwartaal;46311.0
37;Totaal belastingen en wettelijke premies;2005 4e kwartaal;53782.0
38;Totaal belastingen en wettelijke premies;2005;195136.0
39;Totaal belastingen en wettelijke premies;2006 1e kwartaal;50678.0
40;Totaal belastingen en wettelijke premies;2006 2e kwartaal;52462.0
41;Totaal belastingen en wettelijke premies;2006 3e kwartaal;50336.0
42;Totaal belastingen en wettelijke premies;2006 4e kwartaal;59139.0
43;Totaal belastingen en wettelijke premies;2006;212615.0
44;Totaal belastingen en wettelijke premies;2007 1e kwartaal;53709.0
45;Totaal belastingen en wettelijke premies;2007 2e kwartaal;55425.0
46;Totaal belastingen en wettelijke premies;2007 3e kwartaal;50542.0
47;Totaal belastingen en wettelijke premies;2007 4e kwartaal;62080.0
48;Totaal belastingen en wettelijke premies;2007;221756.0
49;Totaal belastingen en wettelijke premies;2008 1e kwartaal;57942.0
50;Totaal belastingen en wettelijke premies;2008 2e kwartaal;59243.0
51;Totaal belastingen en wettelijke premies;2008 3e kwartaal;54644.0
52;Totaal belastingen en wettelijke premies;2008 4e kwartaal;63172.0
53;Totaal belastingen en wettelijke premies;2008;235001.0
54;Totaal belastingen en wettelijke premies;2009 1e kwartaal;57113.0
55;Totaal belastingen en wettelijke premies;2009 2e kwartaal;55169.0
56;Totaal belastingen en wettelijke premies;2009 3e kwartaal;51689.0
57;Totaal belastingen en wettelijke premies;2009 4e kwartaal;58572.0
58;Totaal belastingen en wettelijke premies;2009;222543.0
59;Totaal belastingen en wettelijke premies;2010 1e kwartaal;56608.0
60;Totaal belastingen en wettelijke premies;2010 2e kwartaal;59582.0
61;Totaal belastingen en wettelijke premies;2010 3e kwartaal;51826.0
62;Totaal belastingen en wettelijke premies;2010 4e kwartaal;62084.0
63;Totaal belastingen en wettelijke premies;2010;230100.0
64;Totaal belastingen en wettelijke premies;2011 1e kwartaal;59304.0
65;Totaal belastingen en wettelijke premies;2011 2e kwartaal;58467.0
66;Totaal belastingen en wettelijke premies;2011 3e kwartaal;54953.0
67;Totaal belastingen en wettelijke premies;2011 4e kwartaal;60778.0
68;Totaal belastingen en wettelijke premies;2011;233502.0
69;Totaal belastingen en wettelijke premies;2012 1e kwartaal;59189.0
70;Totaal belastingen en wettelijke premies;2012 2e kwartaal;60111.0
71;Totaal belastingen en wettelijke premies;2012 3e kwartaal;53821.0
72;Totaal belastingen en wettelijke premies;2012 4e kwartaal;62216.0
73;Totaal belastingen en wettelijke premies;2012;235337.0
74;Totaal belastingen en wettelijke premies;2013 1e kwartaal;61052.0
75;Totaal belastingen en wettelijke premies;2013 2e kwartaal;62342.0
76;Totaal belastingen en wettelijke premies;2013 3e kwartaal;57099.0
77;Totaal belastingen en wettelijke premies;2013 4e kwartaal;61521.0
78;Totaal belastingen en wettelijke premies;2013;242014.0
79;Totaal belastingen en wettelijke premies;2014 1e kwartaal;63318.0
80;Totaal belastingen en wettelijke premies;2014 2e kwartaal;64775.0
81;Totaal belastingen en wettelijke premies;2014 3e kwartaal;58688.0
82;Totaal belastingen en wettelijke premies;2014 4e kwartaal;65439.0
83;Totaal belastingen en wettelijke premies;2014;252220.0
84;Totaal belastingen en wettelijke premies;2015 1e kwartaal;66267.0
85;Totaal belastingen en wettelijke premies;2015 2e kwartaal;64704.0
86;Totaal belastingen en wettelijke premies;2015 3e kwartaal;59183.0
87;Totaal belastingen en wettelijke premies;2015 4e kwartaal;67533.0
88;Totaal belastingen en wettelijke premies;2015;257687.0
89;Totaal belastingen en wettelijke premies;2016 1e kwartaal;70191.0
90;Totaal belastingen en wettelijke premies;2016 2e kwartaal;70479.0
91;Totaal belastingen en wettelijke premies;2016 3e kwartaal;64515.0
92;Totaal belastingen en wettelijke premies;2016 4e kwartaal;69660.0
93;Totaal belastingen en wettelijke premies;2016;274845.0
94;Totaal belastingen en wettelijke premies;2017 1e kwartaal;75477.0
95;Totaal belastingen en wettelijke premies;2017 2e kwartaal;72184.0
96;Totaal belastingen en wettelijke premies;2017 3e kwartaal;67027.0
97;Totaal belastingen en wettelijke premies;2017 4e kwartaal;73573.0
98;Totaal belastingen en wettelijke premies;2017;288261.0
99;Totaal belastingen en wettelijke premies;2018 1e kwartaal;80812.0
100;Totaal belastingen en wettelijke premies;2018 2e kwartaal;75555.0
101;Totaal belastingen en wettelijke premies;2018 3e kwartaal;70430.0
102;Totaal belastingen en wettelijke premies;2018 4e kwartaal;75903.0
103;Totaal belastingen en wettelijke premies;2018;302700.0
104;Totaal belastingen en wettelijke premies;2019 1e kwartaal;86558.0
105;Totaal belastingen en wettelijke premies;2019 2e kwartaal;79764.0
106;Totaal belastingen en wettelijke premies;2019 3e kwartaal;73957.0
107;Totaal belastingen en wettelijke premies;2019 4e kwartaal;80986.0
