ID;SBISGroothandel;Jaren;Bedrijven_1;WerkzamePersonen_2;NettoOmzet_3;BrutoWinst_4;Totaal_5;Personeelskosten_6;OverigeKosten_7;Bedrijfsresultaat_8
0;512 t/m 517 Totaal groothandel;1993;49.4;402.2;149.1;19.3;16.3;7.7;8.6;3.5
1;512 t/m 517 Totaal groothandel;1994;50.4;391.2;146.6;19.4;16.2;7.6;8.6;3.8
2;512 t/m 517 Totaal groothandel;1995;52.4;408.5;152.9;19.3;15.6;7.3;8.3;4.5
3;512 t/m 517 Totaal groothandel;1996;55.5;426.5;169.7;19.1;16.0;7.0;9.0;3.8
4;512 t/m 517 Totaal groothandel;1997;58.2;448.9;184.7;18.9;15.8;7.0;8.8;3.9
5;512 t/m 517 Totaal groothandel;1998;61.0;473.7;201.8;19.2;15.9;6.9;9.0;4.0
6;512 t/m 517 Totaal groothandel;1999;58.8;495.5;220.7;20.2;16.4;7.3;9.1;4.5
7;512 + 515 (excl.5153/54 ) Grondstoffen;1993;9.8;64.4;36.8;13.3;10.1;4.7;5.4;3.5
8;512 + 515 (excl.5153/54 ) Grondstoffen;1994;9.3;64.7;38.2;13.4;11.2;4.7;6.5;2.7
9;512 + 515 (excl.5153/54 ) Grondstoffen;1995;9.0;65.8;40.3;13.3;10.7;4.4;6.3;3.2
10;512 + 515 (excl.5153/54 ) Grondstoffen;1996;9.7;69.2;41.8;13.4;11.3;4.6;6.7;2.6
11;512 + 515 (excl.5153/54 ) Grondstoffen;1997;10.0;71.2;43.6;13.4;11.0;4.6;6.4;2.9
12;512 + 515 (excl.5153/54 ) Grondstoffen;1998;10.4;75.4;44.5;12.8;10.8;4.5;6.3;2.7
13;512 + 515 (excl.5153/54 ) Grondstoffen;1999;10.1;73.6;49.1;13.3;11.1;4.8;6.3;2.9
14;512 Landbouwproducten en dieren;1993;5.7;32.6;18.7;11.4;9.1;4.0;5.1;2.8
15;512 Landbouwproducten en dieren;1994;5.5;32.7;19.5;11.6;10.0;4.0;6.0;2.0
16;512 Landbouwproducten en dieren;1995;5.4;33.5;19.9;11.6;9.6;3.8;5.8;2.6
17;512 Landbouwproducten en dieren;1996;5.9;35.2;20.6;11.5;10.1;3.9;6.2;2.1
18;512 Landbouwproducten en dieren;1997;6.0;38.0;21.1;11.5;10.1;4.1;6.0;2.1
19;512 Landbouwproducten en dieren;1998;6.1;39.1;21.5;11.5;10.3;4.2;6.1;2.0
20;512 Landbouwproducten en dieren;1999;6.0;39.4;21.9;12.3;11.0;4.7;6.3;2.3
21;51211 + 51212 Granen, zaai- en pootgoed;1993;0.3;4.2;2.9;10.4;9.3;4.5;4.8;2.1
22;51211 + 51212 Granen, zaai- en pootgoed;1994;0.3;3.8;2.4;12.7;12.4;5.5;6.9;1.7
23;51211 + 51212 Granen, zaai- en pootgoed;1995;0.3;3.6;2.4;13.8;12.3;5.2;7.1;2.7
24;51211 + 51212 Granen, zaai- en pootgoed;1996;0.3;3.9;2.1;16.7;15.4;6.8;8.6;2.7
25;51211 + 51212 Granen, zaai- en pootgoed;1997;0.3;4.2;2.0;16.6;15.8;7.0;8.8;3.3
26;51211 + 51212 Granen, zaai- en pootgoed;1998;0.3;4.1;1.8;15.9;20.3;8.4;11.9;1.6
27;51211 + 51212 Granen, zaai- en pootgoed;1999;0.3;4.1;1.9;14.3;18.7;8.3;10.4;3.6
28;51213 t/m 51215 Veevoeders;1993;0.7;2.3;1.6;9.2;7.0;2.9;4.1;2.8
29;51213 t/m 51215 Veevoeders;1994;0.6;2.3;3.1;5.8;4.7;1.8;2.9;1.2
30;51213 t/m 51215 Veevoeders;1995;0.6;2.3;2.7;7.2;5.7;1.8;3.9;1.8
31;51213 t/m 51215 Veevoeders;1996;0.6;2.3;2.7;4.7;3.8;1.6;2.2;1.5
32;51213 t/m 51215 Veevoeders;1997;0.6;2.3;2.8;5.5;4.9;1.7;3.2;0.7
33;51213 t/m 51215 Veevoeders;1998;0.5;2.1;2.6;5.8;4.4;1.7;2.7;1.7
34;51213 t/m 51215 Veevoeders;1999;0.5;2.2;2.7;7.1;5.4;2.2;3.1;2.2
35;51216 + 51218 Overige akkerbouwproducten;1993;0.1;0.4;3.3;1.5;0.7;0.4;0.3;0.7
36;51216 + 51218 Overige akkerbouwproducten;1994;0.1;0.9;3.5;2.5;1.6;0.8;0.8;1.0
37;51216 + 51218 Overige akkerbouwproducten;1995;0.1;1.0;3.9;2.7;1.9;0.9;1.0;0.9
38;51216 + 51218 Overige akkerbouwproducten;1996;0.2;0.9;4.0;2.7;1.7;0.8;0.9;1.0
39;51216 + 51218 Overige akkerbouwproducten;1997;0.2;1.0;4.3;2.8;1.8;0.9;0.9;1.2
40;51216 + 51218 Overige akkerbouwproducten;1998;0.2;1.1;4.5;2.9;1.7;0.9;0.8;1.4
41;51216 + 51218 Overige akkerbouwproducten;1999;0.1;1.0;4.7;3.0;1.8;0.9;0.9;1.3
42;51217 Akkerbouwproducten alg.assortiment;1993;0.5;3.1;1.6;12.6;9.9;5.0;4.9;3.3
43;51217 Akkerbouwproducten alg.assortiment;1994;0.5;3.3;2.0;12.2;10.6;4.5;6.1;2.1
44;51217 Akkerbouwproducten alg.assortiment;1995;0.6;3.1;1.7;10.8;8.8;4.2;4.6;3.2
45;51217 Akkerbouwproducten alg.assortiment;1996;0.6;2.9;1.7;11.4;10.2;4.2;6.0;2.3
46;51217 Akkerbouwproducten alg.assortiment;1997;0.6;3.5;1.9;11.1;10.1;4.7;5.4;1.6
47;51217 Akkerbouwproducten alg.assortiment;1998;0.6;3.6;2.0;12.0;11.0;5.0;6.0;1.7
48;51217 Akkerbouwproducten alg.assortiment;1999;0.6;3.1;1.8;11.5;10.2;4.8;5.4;1.8
49;5122 Bloemen en planten;1993;2.3;18.1;4.8;24.0;19.3;8.1;11.2;5.2
50;5122 Bloemen en planten;1994;2.3;18.1;4.8;24.6;21.7;8.3;13.4;3.4
51;5122 Bloemen en planten;1995;2.1;18.8;5.0;23.9;20.7;7.9;12.8;3.7
52;5122 Bloemen en planten;1996;2.4;20.2;5.4;21.8;18.9;7.6;11.3;3.3
53;5122 Bloemen en planten;1997;2.5;22.1;6.2;22.2;19.2;7.6;11.6;3.4
54;5122 Bloemen en planten;1998;2.7;23.8;6.7;21.5;18.8;7.5;11.3;3.3
55;5122 Bloemen en planten;1999;2.6;24.1;6.9;23.0;19.9;8.4;11.5;3.5
56;5123 Levende dieren;1993;1.6;3.5;3.8;5.2;3.5;1.3;2.2;1.8
57;5123 Levende dieren;1994;1.5;3.5;3.0;6.1;4.6;1.4;3.2;1.8
58;5123 Levende dieren;1995;1.5;3.7;3.6;6.4;4.0;1.3;2.7;3.1
59;5123 Levende dieren;1996;1.7;4.0;4.2;7.0;7.0;1.4;5.6;1.5
60;5123 Levende dieren;1997;1.7;4.0;3.3;5.0;4.2;1.2;3.0;1.1
61;5123 Levende dieren;1998;1.7;3.9;3.4;4.7;4.1;1.2;2.9;1.0
62;5123 Levende dieren;1999;1.7;4.5;3.5;6.3;6.0;2.3;3.7;0.7
63;5124 +5125 Huiden, vellen, leder, tabak;1993;0.1;0.8;0.6;12.7;9.0;4.8;4.2;4.0
64;5124 +5125 Huiden, vellen, leder, tabak;1994;0.1;0.8;0.7;11.1;8.5;3.8;4.7;3.0
65;5124 +5125 Huiden, vellen, leder, tabak;1995;0.1;0.9;0.6;10.6;9.3;4.3;5.0;1.7
66;5124 +5125 Huiden, vellen, leder, tabak;1996;0.1;0.9;0.5;11.6;9.0;4.3;4.7;2.7
67;5124 +5125 Huiden, vellen, leder, tabak;1997;0.1;0.9;0.6;11.9;9.0;4.2;4.8;3.3
68;5124 +5125 Huiden, vellen, leder, tabak;1998;0.1;0.5;0.5;11.4;9.4;4.4;5.0;2.5
69;5124 +5125 Huiden, vellen, leder, tabak;1999;0.1;0.5;0.5;14.0;11.4;5.6;5.8;3.2
70;5151 Brandstoffen e.d.;1993;0.6;5.0;6.0;9.3;6.4;2.9;3.5;3.0
71;5151 Brandstoffen e.d.;1994;0.6;5.3;6.0;9.2;7.7;2.8;4.9;2.0
72;5151 Brandstoffen e.d.;1995;0.6;5.6;6.4;9.9;7.2;2.8;4.4;2.7
73;5151 Brandstoffen e.d.;1996;0.6;5.5;7.3;10.7;9.2;3.7;5.5;2.0
74;5151 Brandstoffen e.d.;1997;0.6;5.5;7.8;10.2;8.4;3.3;5.1;2.2
75;5151 Brandstoffen e.d.;1998;0.6;6.2;7.4;9.5;7.8;3.0;4.8;2.2
76;5151 Brandstoffen e.d.;1999;0.6;6.4;9.6;8.7;6.9;2.6;4.4;2.2
77;5152 Metalen en metaalertsen;1993;0.5;7.1;3.1;12.0;8.8;4.9;3.9;3.4
78;5152 Metalen en metaalertsen;1994;0.5;7.5;3.5;12.4;9.6;5.3;4.3;3.0
79;5152 Metalen en metaalertsen;1995;0.6;8.1;3.9;11.8;8.9;4.5;4.4;3.3
80;5152 Metalen en metaalertsen;1996;0.6;8.0;4.3;11.7;9.2;4.6;4.6;2.7
81;5152 Metalen en metaalertsen;1997;0.6;8.3;4.4;11.9;9.0;4.6;4.4;3.3
82;5152 Metalen en metaalertsen;1998;0.7;8.8;4.7;11.6;9.2;4.8;4.4;2.7
83;5152 Metalen en metaalertsen;1999;0.6;9.0;6.3;12.1;10.0;5.4;4.6;2.5
84;5153 Hout en bouwmaterialen;1993;4.8;44.5;12.1;22.9;17.5;9.9;7.6;5.8
85;5153 Hout en bouwmaterialen;1994;4.6;43.0;12.4;22.9;18.8;9.7;9.1;4.5
86;5153 Hout en bouwmaterialen;1995;4.9;45.4;13.3;22.2;17.9;9.2;8.7;4.9
87;5153 Hout en bouwmaterialen;1996;5.0;49.4;13.2;22.9;19.2;9.6;9.6;4.2
88;5153 Hout en bouwmaterialen;1997;5.4;50.2;14.4;22.4;18.4;9.6;8.8;4.5
89;5153 Hout en bouwmaterialen;1998;5.7;55.2;15.4;22.8;19.0;9.9;9.1;4.3
90;5153 Hout en bouwmaterialen;1999;5.6;55.6;16.3;23.4;19.4;10.2;9.2;4.7
91;51531 Hout en plaatmateriaal;1993;0.8;9.8;2.8;24.1;17.4;10.3;7.1;7.0
92;51531 Hout en plaatmateriaal;1994;0.7;9.6;2.9;23.3;18.5;9.9;8.6;5.2
93;51531 Hout en plaatmateriaal;1995;0.8;10.3;3.0;22.1;18.4;9.6;8.8;4.3
94;51531 Hout en plaatmateriaal;1996;0.8;10.6;3.2;21.1;17.5;9.4;8.1;4.0
95;51531 Hout en plaatmateriaal;1997;1.0;10.4;3.7;19.4;16.0;8.5;7.5;3.9
96;51531 Hout en plaatmateriaal;1998;1.1;11.5;3.6;21.0;17.5;9.5;8.0;4.1
97;51531 Hout en plaatmateriaal;1999;1.0;11.7;3.6;21.6;17.6;9.6;8.0;4.6
98;51532 Verf en verfwaren;1993;0.3;2.8;0.5;32.1;25.9;14.6;11.3;6.7
99;51532 Verf en verfwaren;1994;0.3;2.7;0.5;31.3;27.0;13.2;13.8;4.9
100;51532 Verf en verfwaren;1995;0.3;2.8;0.5;30.6;24.7;12.5;12.2;6.5
101;51532 Verf en verfwaren;1996;0.3;2.9;0.5;32.2;27.0;14.1;12.9;5.7
102;51532 Verf en verfwaren;1997;0.3;2.9;0.6;31.1;26.2;13.7;12.5;5.6
103;51532 Verf en verfwaren;1998;0.3;3.2;0.7;31.5;26.5;13.6;12.9;5.5
104;51532 Verf en verfwaren;1999;0.3;3.5;0.7;31.5;27.1;14.6;12.5;5.2
105;51534 Zand en grind;1993;0.4;1.9;0.6;19.9;13.1;5.7;7.4;7.1
106;51534 Zand en grind;1994;0.4;1.6;0.8;18.4;13.3;5.2;8.1;5.5
107;51534 Zand en grind;1995;0.4;1.5;0.8;17.3;12.4;4.9;7.5;5.6
108;51534 Zand en grind;1996;0.3;1.7;0.7;28.0;23.8;8.3;15.5;4.4
109;51534 Zand en grind;1997;0.3;1.7;0.7;22.7;18.9;6.9;12.0;4.5
110;51534 Zand en grind;1998;0.3;1.9;0.8;22.4;18.5;6.9;11.6;4.6
111;51534 Zand en grind;1999;0.3;1.9;0.9;22.5;20.1;7.7;12.4;5.5
112;51536 Sanitaire artikelen;1993;0.2;2.3;0.6;24.6;18.9;11.1;7.8;5.9
113;51536 Sanitaire artikelen;1994;0.2;2.4;0.6;24.1;21.6;11.4;10.2;2.7
114;51536 Sanitaire artikelen;1995;0.2;2.7;0.7;24.8;20.7;10.5;10.2;4.5
115;51536 Sanitaire artikelen;1996;0.3;3.0;0.7;22.5;18.4;9.8;8.6;4.3
116;51536 Sanitaire artikelen;1997;0.3;3.1;0.9;23.8;19.6;10.1;9.5;4.5
117;51536 Sanitaire artikelen;1998;0.3;3.4;1.0;24.7;21.0;10.5;10.5;3.9
118;51536 Sanitaire artikelen;1999;0.3;3.4;0.9;23.1;19.6;10.1;9.5;3.6
119;51533+51535+51537 Overige bouwmaterialen;1993;1.2;9.3;2.6;20.7;16.7;9.4;7.3;4.3
120;51533+51535+51537 Overige bouwmaterialen;1994;1.2;8.8;2.7;20.8;17.1;8.7;8.4;4.1
121;51533+51535+51537 Overige bouwmaterialen;1995;1.5;10.2;3.0;20.9;16.6;8.4;8.3;4.7
122;51533+51535+51537 Overige bouwmaterialen;1996;1.6;10.8;2.9;23.2;19.7;9.5;10.2;3.8
123;51533+51535+51537 Overige bouwmaterialen;1997;1.7;11.7;3.0;23.9;19.3;10.1;9.2;5.1
124;51533+51535+51537 Overige bouwmaterialen;1998;1.8;13.7;3.6;23.2;19.1;10.0;9.1;4.6
125;51533+51535+51537 Overige bouwmaterialen;1999;1.8;13.6;3.8;24.4;19.6;10.3;9.3;5.3
126;51538 Bouwmaterialen algemeen assortimen;1993;0.8;8.3;2.8;18.7;14.9;7.9;7.0;4.2
127;51538 Bouwmaterialen algemeen assortimen;1994;0.8;7.9;2.6;19.7;17.0;8.2;8.8;3.3
128;51538 Bouwmaterialen algemeen assortimen;1995;0.8;7.9;2.7;18.5;15.7;7.9;7.8;3.5
129;51538 Bouwmaterialen algemeen assortimen;1996;0.8;8.6;2.6;18.5;16.2;8.0;8.2;3.0
130;51538 Bouwmaterialen algemeen assortimen;1997;0.8;8.9;2.8;18.1;15.4;8.3;7.1;3.1
131;51538 Bouwmaterialen algemeen assortimen;1998;0.8;9.2;2.9;17.9;15.6;8.5;7.1;2.7
