ID;PrognoseInterval;Perioden;Bevolkingsomvang_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;TotaleDruk_8;GroeneDruk_9;GrijzeDruk_10;Levendgeborenen_11;TotaalVruchtbaarheidscijfer_12;Overledenen_13;Totaal_14;Mannen_15;Vrouwen_16;Totaal_17;Mannen_18;Vrouwen_19;Immigratie_20;EmigratieInclusiefCorrecties_21;MigratiesaldoInclusiefCorrecties_22
0;Prognose;2015;;;;;;;;;;;170025.0;1.65;147237.0;81.4;79.66;83.04;19.67;18.27;20.93;197730.0;147050.0;50680.0
1;Prognose;2016;16974192.0;3814773.0;10074127.0;3085293.0;22.5;59.3;18.2;68.5;37.9;30.6;172724.0;1.66;148043.0;81.59;79.85;83.26;19.8;18.4;21.06;239236.0;151010.0;88226.0
2;Prognose;2017;17087100.0;3817804.0;10109143.0;3160151.0;22.3;59.2;18.5;69.0;37.8;31.3;176531.0;1.68;148958.0;81.79;80.04;83.47;19.92;18.53;21.19;236139.0;155758.0;80381.0
3;Prognose;2018;17195054.0;3819934.0;10135309.0;3239811.0;22.2;58.9;18.8;69.7;37.7;32.0;179826.0;1.69;149875.0;81.99;80.24;83.69;20.05;18.67;21.32;208498.0;160174.0;48323.0
4;Prognose;2019;17273328.0;3808215.0;10148811.0;3316302.0;22.0;58.8;19.2;70.2;37.5;32.7;183168.0;1.7;150803.0;82.2;80.45;83.89;20.18;18.82;21.45;195662.0;163537.0;32124.0
5;Prognose;2020;17337816.0;3793142.0;10151218.0;3393458.0;21.9;58.5;19.6;70.8;37.4;33.4;185311.0;1.71;151762.0;82.41;80.67;84.09;20.33;18.97;21.58;193398.0;165088.0;28310.0
6;Prognose;2021;17399676.0;3774464.0;10153797.0;3471416.0;21.7;58.4;20.0;71.4;37.2;34.2;187276.0;1.72;152812.0;82.61;80.89;84.29;20.47;19.13;21.72;190754.0;165858.0;24896.0
7;Prognose;2022;17459036.0;3760283.0;10146295.0;3552459.0;21.5;58.1;20.3;72.1;37.1;35.0;189216.0;1.72;154674.0;82.78;81.07;84.45;20.58;19.26;21.81;187788.0;166784.0;21004.0
8;Prognose;2023;17514580.0;3748571.0;10131884.0;3634126.0;21.4;57.8;20.7;72.9;37.0;35.9;190936.0;1.73;156655.0;82.94;81.25;84.6;20.69;19.39;21.9;185426.0;167711.0;17715.0
9;Prognose;2024;17566576.0;3738499.0;10110786.0;3717293.0;21.3;57.6;21.2;73.7;37.0;36.8;192420.0;1.74;158739.0;83.1;81.43;84.75;20.79;19.52;22.0;184582.0;168531.0;16051.0
10;Prognose;2025;17616310.0;3736382.0;10076610.0;3803319.0;21.2;57.2;21.6;74.8;37.1;37.7;193472.0;1.74;160893.0;83.26;81.6;84.9;20.9;19.64;22.1;184609.0;169265.0;15344.0
11;Prognose;2026;17664232.0;3741105.0;10035427.0;3887701.0;21.2;56.8;22.0;76.0;37.3;38.7;194207.0;1.75;163066.0;83.42;81.77;85.06;21.01;19.76;22.2;184523.0;169811.0;14711.0
12;Prognose;2027;17710086.0;3748247.0;9986535.0;3975305.0;21.2;56.4;22.4;77.3;37.5;39.8;194733.0;1.75;165213.0;83.59;81.93;85.22;21.13;19.89;22.32;184570.0;170183.0;14387.0
