ID;SamenwerkingMetDerden;RolVanICT;BedrijfstakkenBranchesSBI93;Perioden;SamenwerkingBijInkoop_1;SamenwerkingBijProductie_2;SamenwerkingBijVerkoop_3;SamenwerkingBijOntwikkelingInnovatie_4
0;Binnen het eigen concern;Onmisbaar;1;2006;241;267;301;267
1;Binnen het eigen concern;Onmisbaar;1;2007;265;311;266;231
2;Binnen het eigen concern;Onmisbaar;1;2008;240;277;226;207
3;Binnen het eigen concern;Onmisbaar;2;2006;87;79;80;92
4;Binnen het eigen concern;Onmisbaar;2;2007;86;108;68;86
5;Binnen het eigen concern;Onmisbaar;2;2008;62;85;64;67
6;Binnen het eigen concern;Onmisbaar;3;2006;47;30;48;31
7;Binnen het eigen concern;Onmisbaar;3;2007;59;26;35;12
8;Binnen het eigen concern;Onmisbaar;3;2008;44;28;35;14
9;Binnen het eigen concern;Onmisbaar;4;2006;14;26;25;18
10;Binnen het eigen concern;Onmisbaar;4;2007;22;38;33;21
11;Binnen het eigen concern;Onmisbaar;4;2008;21;20;13;20
12;Binnen het eigen concern;Onmisbaar;5;2006;8;14;18;10
13;Binnen het eigen concern;Onmisbaar;5;2007;13;11;26;8
14;Binnen het eigen concern;Onmisbaar;5;2008;19;12;21;7
15;Binnen het eigen concern;Onmisbaar;6;2006;39;61;71;50
16;Binnen het eigen concern;Onmisbaar;6;2007;26;62;53;61
17;Binnen het eigen concern;Onmisbaar;6;2008;29;48;40;54
18;Binnen het eigen concern;Onmisbaar;7;2006;47;59;59;67
19;Binnen het eigen concern;Onmisbaar;7;2007;59;65;52;43
20;Binnen het eigen concern;Onmisbaar;7;2008;65;84;54;46
21;Binnen het eigen concern;Speelt mee;1;2006;436;303;259;280
22;Binnen het eigen concern;Speelt mee;1;2007;414;285;288;244
23;Binnen het eigen concern;Speelt mee;1;2008;485;306;281;292
24;Binnen het eigen concern;Speelt mee;2;2006;135;130;79;110
25;Binnen het eigen concern;Speelt mee;2;2007;133;104;86;77
26;Binnen het eigen concern;Speelt mee;2;2008;169;119;93;101
27;Binnen het eigen concern;Speelt mee;3;2006;45;25;30;28
28;Binnen het eigen concern;Speelt mee;3;2007;46;22;24;19
29;Binnen het eigen concern;Speelt mee;3;2008;66;34;28;30
30;Binnen het eigen concern;Speelt mee;4;2006;28;7;11;6
31;Binnen het eigen concern;Speelt mee;4;2007;35;16;21;13
32;Binnen het eigen concern;Speelt mee;4;2008;22;15;16;13
33;Binnen het eigen concern;Speelt mee;5;2006;13;7;8;14
34;Binnen het eigen concern;Speelt mee;5;2007;17;9;9;5
35;Binnen het eigen concern;Speelt mee;5;2008;7;7;8;15
36;Binnen het eigen concern;Speelt mee;6;2006;66;48;45;46
37;Binnen het eigen concern;Speelt mee;6;2007;71;37;61;42
38;Binnen het eigen concern;Speelt mee;6;2008;72;48;55;42
39;Binnen het eigen concern;Speelt mee;7;2006;148;86;85;76
40;Binnen het eigen concern;Speelt mee;7;2007;112;97;87;88
41;Binnen het eigen concern;Speelt mee;7;2008;148;84;82;91
42;Binnen het eigen concern;Onbelangrijk;1;2006;144;124;172;159
43;Binnen het eigen concern;Onbelangrijk;1;2007;172;60;56;79
44;Binnen het eigen concern;Onbelangrijk;1;2008;194;83;89;93
45;Binnen het eigen concern;Onbelangrijk;2;2006;36;34;54;54
46;Binnen het eigen concern;Onbelangrijk;2;2007;54;22;16;40
47;Binnen het eigen concern;Onbelangrijk;2;2008;48;34;22;37
48;Binnen het eigen concern;Onbelangrijk;3;2006;17;9;19;20
49;Binnen het eigen concern;Onbelangrijk;3;2007;21;6;6;9
50;Binnen het eigen concern;Onbelangrijk;3;2008;27;10;6;13
51;Binnen het eigen concern;Onbelangrijk;4;2006;12;14;9;9
52;Binnen het eigen concern;Onbelangrijk;4;2007;10;4;7;10
53;Binnen het eigen concern;Onbelangrijk;4;2008;17;2;6;0
54;Binnen het eigen concern;Onbelangrijk;5;2006;0;0;0;0
55;Binnen het eigen concern;Onbelangrijk;5;2007;0;0;0;0
56;Binnen het eigen concern;Onbelangrijk;5;2008;5;0;0;0
57;Binnen het eigen concern;Onbelangrijk;6;2006;23;16;31;26
58;Binnen het eigen concern;Onbelangrijk;6;2007;28;6;3;7
59;Binnen het eigen concern;Onbelangrijk;6;2008;22;8;19;15
60;Binnen het eigen concern;Onbelangrijk;7;2006;55;51;59;50
61;Binnen het eigen concern;Onbelangrijk;7;2007;59;22;24;14
62;Binnen het eigen concern;Onbelangrijk;7;2008;75;29;37;28
63;Buiten het eigen concern;Onmisbaar;1;2006;95;213;215;155
64;Buiten het eigen concern;Onmisbaar;1;2007;93;230;179;154
65;Buiten het eigen concern;Onmisbaar;1;2008;91;200;175;158
66;Buiten het eigen concern;Onmisbaar;2;2006;19;44;26;34
67;Buiten het eigen concern;Onmisbaar;2;2007;12;51;25;41
68;Buiten het eigen concern;Onmisbaar;2;2008;12;46;29;23
69;Buiten het eigen concern;Onmisbaar;3;2006;20;8;25;16
70;Buiten het eigen concern;Onmisbaar;3;2007;23;16;16;4
71;Buiten het eigen concern;Onmisbaar;3;2008;27;20;25;10
72;Buiten het eigen concern;Onmisbaar;4;2006;11;18;18;10
73;Buiten het eigen concern;Onmisbaar;4;2007;10;17;20;16
74;Buiten het eigen concern;Onmisbaar;4;2008;3;19;9;18
75;Buiten het eigen concern;Onmisbaar;5;2006;0;19;29;4
76;Buiten het eigen concern;Onmisbaar;5;2007;8;12;24;8
77;Buiten het eigen concern;Onmisbaar;5;2008;2;16;23;10
78;Buiten het eigen concern;Onmisbaar;6;2006;15;58;51;38
79;Buiten het eigen concern;Onmisbaar;6;2007;12;66;47;32
80;Buiten het eigen concern;Onmisbaar;6;2008;7;41;45;39
81;Buiten het eigen concern;Onmisbaar;7;2006;29;67;66;54
82;Buiten het eigen concern;Onmisbaar;7;2007;28;69;46;53
83;Buiten het eigen concern;Onmisbaar;7;2008;41;59;45;58
84;Buiten het eigen concern;Speelt mee;1;2006;311;310;281;276
85;Buiten het eigen concern;Speelt mee;1;2007;269;316;282;275
86;Buiten het eigen concern;Speelt mee;1;2008;276;272;231;237
87;Buiten het eigen concern;Speelt mee;2;2006;75;95;69;77
88;Buiten het eigen concern;Speelt mee;2;2007;62;83;46;74
89;Buiten het eigen concern;Speelt mee;2;2008;67;73;34;51
90;Buiten het eigen concern;Speelt mee;3;2006;30;26;48;17
91;Buiten het eigen concern;Speelt mee;3;2007;34;12;39;17
92;Buiten het eigen concern;Speelt mee;3;2008;27;19;29;16
93;Buiten het eigen concern;Speelt mee;4;2006;14;5;10;13
94;Buiten het eigen concern;Speelt mee;4;2007;7;15;18;10
95;Buiten het eigen concern;Speelt mee;4;2008;8;11;7;8
96;Buiten het eigen concern;Speelt mee;5;2006;8;17;7;8
97;Buiten het eigen concern;Speelt mee;5;2007;13;19;11;0
98;Buiten het eigen concern;Speelt mee;5;2008;7;8;8;10
99;Buiten het eigen concern;Speelt mee;6;2006;30;56;57;68
100;Buiten het eigen concern;Speelt mee;6;2007;22;45;61;55
101;Buiten het eigen concern;Speelt mee;6;2008;33;39;54;49
102;Buiten het eigen concern;Speelt mee;7;2006;154;111;91;94
103;Buiten het eigen concern;Speelt mee;7;2007;131;142;108;119
104;Buiten het eigen concern;Speelt mee;7;2008;136;122;100;104
105;Buiten het eigen concern;Onbelangrijk;1;2006;126;164;270;156
106;Buiten het eigen concern;Onbelangrijk;1;2007;236;117;106;80
107;Buiten het eigen concern;Onbelangrijk;1;2008;184;125;109;86
108;Buiten het eigen concern;Onbelangrijk;2;2006;40;61;79;55
109;Buiten het eigen concern;Onbelangrijk;2;2007;72;42;29;29
110;Buiten het eigen concern;Onbelangrijk;2;2008;52;43;30;30
111;Buiten het eigen concern;Onbelangrijk;3;2006;16;13;35;13
112;Buiten het eigen concern;Onbelangrijk;3;2007;23;15;13;1
113;Buiten het eigen concern;Onbelangrijk;3;2008;14;15;9;7
114;Buiten het eigen concern;Onbelangrijk;4;2006;4;10;10;8
115;Buiten het eigen concern;Onbelangrijk;4;2007;8;5;6;4
116;Buiten het eigen concern;Onbelangrijk;4;2008;7;0;2;0
117;Buiten het eigen concern;Onbelangrijk;5;2006;7;2;8;5
118;Buiten het eigen concern;Onbelangrijk;5;2007;3;0;0;2
119;Buiten het eigen concern;Onbelangrijk;5;2008;5;0;0;0
120;Buiten het eigen concern;Onbelangrijk;6;2006;12;17;56;24
121;Buiten het eigen concern;Onbelangrijk;6;2007;23;20;13;9
122;Buiten het eigen concern;Onbelangrijk;6;2008;22;23;26;15
123;Buiten het eigen concern;Onbelangrijk;7;2006;48;61;81;52
124;Buiten het eigen concern;Onbelangrijk;7;2007;106;34;45;36
125;Buiten het eigen concern;Onbelangrijk;7;2008;84;44;42;34
