ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersInternetomzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;Detailhandel geen tankstations en apoth.;2014 januari;77.1;8.4
1;Detailhandel geen tankstations en apoth.;2014 februari;67.3;8.2
2;Detailhandel geen tankstations en apoth.;2014 maart;76.0;11.8
3;Detailhandel geen tankstations en apoth.;2014 1e kwartaal;73.5;9.5
4;Detailhandel geen tankstations en apoth.;2014 april;79.7;19.9
5;Detailhandel geen tankstations en apoth.;2014 mei;80.3;10.5
6;Detailhandel geen tankstations en apoth.;2014 juni;80.3;11.0
7;Detailhandel geen tankstations en apoth.;2014 2e kwartaal;80.1;13.6
8;Detailhandel geen tankstations en apoth.;2014 juli;77.7;8.7
9;Detailhandel geen tankstations en apoth.;2014 augustus;76.6;13.6
10;Detailhandel geen tankstations en apoth.;2014 september;81.0;4.8
11;Detailhandel geen tankstations en apoth.;2014 3e kwartaal;78.4;8.8
12;Detailhandel geen tankstations en apoth.;2014 oktober;85.0;10.9
13;Detailhandel geen tankstations en apoth.;2014 november;91.8;11.9
14;Detailhandel geen tankstations en apoth.;2014 december;110.2;21.1
15;Detailhandel geen tankstations en apoth.;2014 4e kwartaal;95.7;15.0
16;Detailhandel geen tankstations en apoth.;2014;81.9;11.9
17;Detailhandel geen tankstations en apoth.;2015 januari;91.0;18.0
18;Detailhandel geen tankstations en apoth.;2015 februari;78.2;16.1
19;Detailhandel geen tankstations en apoth.;2015 maart;90.5;19.1
20;Detailhandel geen tankstations en apoth.;2015 1e kwartaal;86.5;17.8
21;Detailhandel geen tankstations en apoth.;2015 april;93.6;17.5
22;Detailhandel geen tankstations en apoth.;2015 mei;90.7;12.9
23;Detailhandel geen tankstations en apoth.;2015 juni;102.9;28.2
24;Detailhandel geen tankstations en apoth.;2015 2e kwartaal;95.7;19.5
25;Detailhandel geen tankstations en apoth.;2015 juli;97.0;24.8
26;Detailhandel geen tankstations en apoth.;2015 augustus;92.9;21.2
27;Detailhandel geen tankstations en apoth.;2015 september;104.1;28.5
28;Detailhandel geen tankstations en apoth.;2015 3e kwartaal;98.0;24.9
29;Detailhandel geen tankstations en apoth.;2015 oktober;105.2;23.8
30;Detailhandel geen tankstations en apoth.;2015 november;116.3;26.7
31;Detailhandel geen tankstations en apoth.;2015 december;137.7;24.9
32;Detailhandel geen tankstations en apoth.;2015 4e kwartaal;119.7;25.1
33;Detailhandel geen tankstations en apoth.;2015;100.0;22.1
34;Detailhandel geen tankstations en apoth.;2016 januari;112.8;23.9
35;Detailhandel geen tankstations en apoth.;2016 februari;98.3;25.7
36;Detailhandel geen tankstations en apoth.;2016 maart;110.8;22.5
37;Detailhandel geen tankstations en apoth.;2016 1e kwartaal;107.3;24.0
38;Detailhandel geen tankstations en apoth.;2016 april;109.0;16.5
39;Detailhandel geen tankstations en apoth.;2016 mei;115.6;27.4
40;Detailhandel geen tankstations en apoth.;2016 juni;123.7;20.2
41;Detailhandel geen tankstations en apoth.;2016 2e kwartaal;116.1;21.2
42;Detailhandel geen tankstations en apoth.;2016 juli;112.7;16.2
43;Detailhandel geen tankstations en apoth.;2016 augustus;110.9;19.4
44;Detailhandel geen tankstations en apoth.;2016 september;117.5;12.9
45;Detailhandel geen tankstations en apoth.;2016 3e kwartaal;113.7;16.0
46;Detailhandel geen tankstations en apoth.;2016 oktober;127.0;20.7
47;Detailhandel geen tankstations en apoth.;2016 november;147.1;26.6
48;Detailhandel geen tankstations en apoth.;2016 december;156.1;13.3
49;Detailhandel geen tankstations en apoth.;2016 4e kwartaal;143.4;19.8
50;Detailhandel geen tankstations en apoth.;2016;120.1;20.1
51;Detailhandel geen tankstations en apoth.;2017 januari;133.1;18.0
52;Detailhandel geen tankstations en apoth.;2017 februari;113.9;15.9
53;Detailhandel geen tankstations en apoth.;2017 maart;126.7;14.3
54;Detailhandel geen tankstations en apoth.;2017 1e kwartaal;124.6;16.1
55;Detailhandel geen tankstations en apoth.;2017 april;129.3;18.6
56;Detailhandel geen tankstations en apoth.;2017 mei;143.9;24.5
57;Detailhandel geen tankstations en apoth.;2017 juni;146.9;18.8
58;Detailhandel geen tankstations en apoth.;2017 2e kwartaal;140.0;20.6
59;Detailhandel geen tankstations en apoth.;2017 juli;136.5;21.1
60;Detailhandel geen tankstations en apoth.;2017 augustus;131.2;18.3
61;Detailhandel geen tankstations en apoth.;2017 september;145.4;23.7
62;Detailhandel geen tankstations en apoth.;2017 3e kwartaal;137.7;21.1
63;Detailhandel geen tankstations en apoth.;2017 oktober;147.7;16.2
64;Detailhandel geen tankstations en apoth.;2017 november;180.7;22.8
65;Detailhandel geen tankstations en apoth.;2017 december;193.5;24.0
66;Detailhandel geen tankstations en apoth.;2017 4e kwartaal;174.0;21.3
67;Detailhandel geen tankstations en apoth.;2017;144.1;19.9
68;Detailhandel geen tankstations en apoth.;2018  januari;163.2;22.7
69;Detailhandel geen tankstations en apoth.;2018 februari;133.1;16.8
70;Detailhandel geen tankstations en apoth.;2018 maart;156.2;23.2
71;Detailhandel geen tankstations en apoth.;2018 1e kwartaal;150.8;21.1
72;Detailhandel geen tankstations en apoth.;2018 april;158.5;22.6
73;Detailhandel geen tankstations en apoth.;2018 mei;163.9;13.9
74;Detailhandel geen tankstations en apoth.;2018 juni;173.4;18.0
75;Detailhandel geen tankstations en apoth.;2018 2e kwartaal;165.3;18.0
76;Detailhandel geen tankstations en apoth.;2018 juli;165.7;21.4
77;Detailhandel geen tankstations en apoth.;2018 augustus;156.2;19.1
78;Detailhandel geen tankstations en apoth.;2018 september;164.4;13.1
79;Detailhandel geen tankstations en apoth.;2018 3e kwartaal;162.1;17.7
80;Detailhandel geen tankstations en apoth.;2018 oktober;175.9;19.1
81;Detailhandel geen tankstations en apoth.;2018 november;216.9;20.0
82;Detailhandel geen tankstations en apoth.;2018 december;210.6;8.8
83;Detailhandel geen tankstations en apoth.;2018 4e kwartaal;201.1;15.6
84;Detailhandel geen tankstations en apoth.;2018;169.8;17.9
85;Detailhandel geen tankstations en apoth.;2019 januari;189.4;16.0
86;Detailhandel geen tankstations en apoth.;2019 februari;156.2;17.4
87;Detailhandel geen tankstations en apoth.;2019 maart;182.1;16.6
88;Detailhandel geen tankstations en apoth.;2019 1e kwartaal;175.9;16.6
89;Detailhandel geen tankstations en apoth.;2019 april;184.7;16.5
90;Detailhandel geen tankstations en apoth.;2019 mei;199.1;21.5
91;Detailhandel geen tankstations en apoth.;2019 juni;203.0;17.1
92;Detailhandel geen tankstations en apoth.;2019 2e kwartaal;195.6;18.4
93;Detailhandel geen tankstations en apoth.;2019 juli;191.8;15.8
94;Detailhandel geen tankstations en apoth.;2019 augustus;180.0;15.3
95;Detailhandel geen tankstations en apoth.;2019 september;200.1;21.7
96;Detailhandel geen tankstations en apoth.;2019 3e kwartaal;190.7;17.6
97;Detailhandel geen tankstations en apoth.;2019 oktober;199.8;13.6
98;Detailhandel geen tankstations en apoth.;2019 november;234.7;8.2
99;Detailhandel geen tankstations en apoth.;2019 december;263.5;25.1
100;Detailhandel geen tankstations en apoth.;2019 4e kwartaal;232.7;15.7
101;Detailhandel geen tankstations en apoth.;2019;198.7;17.0
102;Detailhandel geen tankstations en apoth.;2020 januari;212.1;11.9
103;Detailhandel geen tankstations en apoth.;2020 februari;184.2;17.9
104;Detailhandel geen tankstations en apoth.;2020 maart;245.7;34.9
105;Detailhandel geen tankstations en apoth.;2020 1e kwartaal;214.0;21.6
106;Detailhandel geen tankstations en apoth.;2020 april;312.6;69.6
107;Detailhandel geen tankstations en apoth.;2020 mei;301.8;51.6
108;Detailhandel geen tankstations en apoth.;2020 juni;296.3;46.2
109;Detailhandel geen tankstations en apoth.;2020 2e kwartaal;303.6;55.4
110;Detailhandel geen tankstations en apoth.;2020 juli;266.3;38.8
111;Detailhandel geen tankstations en apoth.;2020 augustus;254.4;41.1
112;Detailhandel geen tankstations en apoth.;2020 september;269.3;34.7
113;Detailhandel geen tankstations en apoth.;2020 3e kwartaal;263.4;38.1
114;Detailhandel geen tankstations en apoth.;2020 oktober;299.2;50.1
115;Detailhandel geen tankstations en apoth.;2020 november;368.2;56.9
116;Detailhandel geen tankstations en apoth.;2020 december;413.6;56.9
117;Detailhandel geen tankstations en apoth.;2020 4e kwartaal;360.4;55.0
118;Detailhandel geen tankstations en apoth.;2020;285.3;43.6
119;Detailhandel geen tankstations en apoth.;2021 januari;404.1;90.5
120;Detailhandel geen tankstations en apoth.;2021 februari;375.0;103.5
121;Detailhandel geen tankstations en apoth.;2021 maart;412.1;67.7
122;Detailhandel geen tankstations en apoth.;2021 1e kwartaal;397.1;85.5
123;Detailhandel geen tankstations en apoth.;2021 april;371.2;18.7
124;Detailhandel geen tankstations en apoth.;2021 mei;348.9;15.6
