ID;Bestedingscategorieen;Perioden;JaarmutatieHICP_1;Wegingscoefficient_2;BijdrageAanDeJaarmutatieHICP_3;ImpactOpDeJaarmutatieHICP_4
0;000000 Alle bestedingen;2016 januari;0.2;100000;;
1;000000 Alle bestedingen;2016 februari;0.3;100000;;
2;000000 Alle bestedingen;2016 maart;0.5;100000;;
3;000000 Alle bestedingen;2016 april;-0.2;100000;;
4;000000 Alle bestedingen;2016 mei;-0.2;100000;;
5;000000 Alle bestedingen;2016 juni;-0.2;100000;;
6;000000 Alle bestedingen;2016 juli;-0.6;100000;;
7;000000 Alle bestedingen;2016 augustus;0.1;100000;;
8;000000 Alle bestedingen;2016 september;-0.1;100000;;
9;000000 Alle bestedingen;2016 oktober;0.3;100000;;
10;000000 Alle bestedingen;2016 november;0.4;100000;;
11;000000 Alle bestedingen;2016 december;0.7;100000;;
12;000000 Alle bestedingen;2016;0.1;100000;;
13;000000 Alle bestedingen;2017 januari;1.6;100000;;
14;000000 Alle bestedingen;2017 februari;1.7;100000;;
15;000000 Alle bestedingen;2017 maart;0.6;100000;;
16;000000 Alle bestedingen;2017 april;1.4;100000;;
17;000000 Alle bestedingen;2017 mei;0.7;100000;;
18;000000 Alle bestedingen;2017 juni;1.0;100000;;
19;000000 Alle bestedingen;2017 juli;1.5;100000;;
20;000000 Alle bestedingen;2017 augustus;1.5;100000;;
21;000000 Alle bestedingen;2017 september;1.4;100000;;
22;000000 Alle bestedingen;2017 oktober;1.3;100000;;
23;000000 Alle bestedingen;2017 november;1.5;100000;;
24;000000 Alle bestedingen;2017 december;1.2;100000;;
25;000000 Alle bestedingen;2017;1.3;100000;;
26;000000 Alle bestedingen;2018 januari;1.5;100000;;
27;000000 Alle bestedingen;2018 februari;1.3;100000;;
28;000000 Alle bestedingen;2018 maart;1.0;100000;;
29;000000 Alle bestedingen;2018 april;1.0;100000;;
30;000000 Alle bestedingen;2018 mei;1.9;100000;;
31;000000 Alle bestedingen;2018 juni;1.7;100000;;
32;000000 Alle bestedingen;2018 juli;1.9;100000;;
33;000000 Alle bestedingen;2018 augustus;1.9;100000;;
34;000000 Alle bestedingen;2018 september;1.6;100000;;
35;000000 Alle bestedingen;2018 oktober;1.9;100000;;
36;000000 Alle bestedingen;2018 november;1.8;100000;;
37;000000 Alle bestedingen;2018 december;1.8;100000;;
38;000000 Alle bestedingen;2018;1.6;100000;;
39;000000 Alle bestedingen;2019 januari;2.0;100000;;
40;000000 Alle bestedingen;2019 februari;2.6;100000;;
41;000000 Alle bestedingen;2019 maart;2.9;100000;;
