ID;SBI1993;TotaleArbeidskosten_1;PerVoltijdeenheid_2;PerGewerktUur_3;PerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaleStructuur_6;Lonen_7;WettelijkeSocialeLasten_8;ContractuelePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
0;0;120.5;37.9;22.99;18.69;1647.0;100.0;78.0;10.9;4.7;4.8;1.6
1;1;0.5;64.1;37.79;31.08;1695.0;100.0;80.2;8.0;3.2;5.9;2.7
2;10 Turfwinning;;;;;;;;;;;
3;11 Aardolie- en aardgaswinning;0.4;72.5;43.43;35.62;1670.0;100.0;80.7;7.1;2.6;6.4;3.3
4;14 Zand-, grind-, klei- en zoutwinning;0.1;43.3;24.66;20.41;1757.0;100.0;78.2;11.8;5.9;3.7;0.3
5;2;31.7;38.9;24.11;19.35;1615.0;100.0;77.3;11.1;4.9;5.2;1.6
6;15 Voedingsmidd.- en drankenindustrie;4.4;39.5;23.91;19.32;1652.0;100.0;75.8;11.3;6.5;4.8;1.6
7;16 Tabakverwerkende industrie;0.3;52.4;33.57;26.65;1562.0;100.0;74.5;9.8;8.6;5.5;1.7
8;17 Textielindustrie;0.6;35.8;22.45;17.98;1594.0;100.0;76.5;11.3;6.4;4.7;1.1
9;18 Kleding- en bontindustrie;0.1;28.8;18.05;14.6;1595.0;100.0;78.3;11.2;6.0;4.6;-0.2
10;19 Leer-, lederw.- en schoenindustrie;0.1;32.6;20.21;16.08;1613.0;100.0;78.0;12.5;5.1;4.8;-0.3
11;20 Houtindustrie (excl. meubels);0.5;32.6;19.74;16.06;1653.0;100.0;78.3;12.3;4.3;4.0;1.1
12;21 Papier- en kartonnindustrie;1.0;43.0;26.84;21.57;1601.0;100.0;76.8;11.3;5.3;5.2;1.4
13;22 Grafische industrie;3.0;45.4;28.3;22.93;1605.0;100.0;77.0;10.1;5.7;5.4;1.8
14;23 Aardolie-, steenkoolverwerk. ind.;0.3;63.7;38.49;31.91;1655.0;100.0;80.9;7.9;3.1;5.8;2.3
15;24 Chemische industrie;3.4;52.0;32.0;25.95;1626.0;100.0;78.3;9.6;5.7;4.7;1.6
16;25 Rubber- en kunststofproducten ind.;1.2;37.7;23.14;18.6;1629.0;100.0;77.3;11.9;4.6;4.9;1.3
17;26 Glas- en bouwmaterialenindustrie;1.2;40.7;24.6;19.81;1656.0;100.0;75.7;11.8;6.1;4.7;1.7
18;27 Basismetaalindustrie;1.1;49.6;30.59;24.29;1622.0;100.0;72.5;10.3;10.4;5.0;1.8
19;28 Metaalproductenindustrie;3.0;36.4;21.71;17.7;1679.0;100.0;77.4;11.6;5.3;4.0;1.6
20;29 Machine- en apparatenindustrie;3.2;40.1;23.92;19.58;1674.0;100.0;77.8;10.7;5.8;4.0;1.7
21;30 Kantoormachine- en computerind.;0.3;40.8;25.14;20.11;1623.0;100.0;77.1;10.7;5.7;5.0;1.4
22;31 Overige electrische apparatenind.;0.7;39.7;24.46;19.76;1624.0;100.0;77.7;10.8;5.3;4.6;1.5
23;32 Audio-, video- en telecom.- app.;;;;;;;;;;;
24;33 Medische en optische apparatenind.;0.7;38.4;23.25;19.09;1651.0;100.0;79.4;10.6;4.9;4.1;1.0
25;34 Auto-, aanhangwagen-, opleggerind.;1.0;39.0;24.57;19.31;1586.0;100.0;75.6;11.5;4.8;6.0;2.1
26;35 Overige transportmiddelenindustrie;1.0;39.9;24.79;19.84;1608.0;100.0;76.8;11.1;4.2;5.9;2.0
27;36 Meubel- en ov. industrie n.e.g.;3.2;26.4;17.98;13.72;1470.0;100.0;72.9;12.2;5.5;8.7;0.7
28;37 Voorbereiding tot recycling;;;;;;;;;;;
29;3;1.8;53.6;33.59;26.62;1595.0;100.0;74.1;7.6;6.9;9.8;1.6
30;40 Openbare energievoorzieningsbedr.;1.5;54.7;34.06;26.99;1605.0;100.0;74.1;7.6;7.1;9.6;1.7
31;41 Waterleidingbedrijven;0.3;49.3;31.67;25.12;1556.0;100.0;73.8;7.9;6.1;10.9;1.3
32;45 Bouwnijverheid;11.7;37.9;23.18;19.18;1634.0;100.0;76.8;11.9;5.0;3.8;2.6
33;5;20.8;32.3;19.48;15.99;1658.0;100.0;80.2;11.1;4.5;3.9;0.4
34;50 Handel, repar. auto's en motorfietsen;2.4;33.3;20.05;16.68;1659.0;100.0;79.5;11.5;5.1;3.2;0.7
35;51 Groothandel;12.0;40.4;24.02;19.72;1680.0;100.0;80.4;10.2;4.8;3.9;0.9
36;52 Detailhandel (incl. reparatie);6.3;23.2;14.23;11.63;1633.0;100.0;80.2;12.7;3.8;4.1;-0.8
37;55 Horeca;2.1;24.0;14.22;11.67;1688.0;100.0;79.4;13.7;3.5;3.9;-0.5
38;7;13.7;39.2;22.11;18.07;1773.0;100.0;76.9;11.2;4.9;5.1;1.9
39;60 Vervoer over land;5.3;36.1;18.81;15.76;1918.0;100.0;77.8;12.6;3.7;4.8;1.2
40;61 Vervoer over water;;;;;;;;;;;
41;62 Vervoer door de lucht;;;;;;;;;;;
42;63 Dienstverlening voor het vervoer;2.5;39.5;24.15;19.47;1635.0;100.0;78.0;10.4;5.2;5.0;1.4
43;64 Post en telecommunicatie;3.9;38.4;22.97;18.3;1672.0;100.0;75.6;11.1;5.0;5.6;2.8
44;8;10.5;52.2;32.79;26.43;1592.0;100.0;77.6;8.0;4.9;5.9;3.6
45;65 Finan. instel. (excl. verzekering);6.6;52.9;33.71;27.15;1571.0;100.0;78.3;7.8;4.2;5.9;3.8
46;66 Verzekeringswezen, pensioenfondsen;2.6;54.3;33.77;27.03;1607.0;100.0;74.7;8.6;6.1;6.8;3.7
47;67 Activiteiten t.b.v. finan. instel.;1.2;45.1;27.09;22.16;1665.0;100.0;79.7;8.1;6.3;3.8;2.1
48;9;27.6;37.6;23.06;18.71;1631.0;100.0;78.4;11.3;4.3;4.6;1.4
49;70 Verhuur van en handel in o.g.;1.4;43.1;27.51;22.21;1566.0;100.0;78.0;9.9;5.2;4.9;1.9
50;71 Verhuur van roerende goederen;0.5;38.5;22.64;18.47;1701.0;100.0;77.9;10.5;5.1;4.6;1.9
51;72 Computerservice, informatietechn.;4.2;48.3;28.29;23.29;1708.0;100.0;81.2;9.2;3.1;4.2;2.4
52;73 Speur- en ontwikkelingswerk;1.6;55.0;33.11;27.15;1660.0;100.0;78.9;8.1;4.8;5.5;2.8
53;74 Overige zakelijke dienstverlening;19.9;34.8;21.47;17.37;1620.0;100.0;77.8;12.2;4.4;4.6;1.1
