ID;Bromfietssoort;AantalVoertuigenInHuishouden;Huishoudkenmerken;Perioden;HuishoudensInBezitVanBromfiets_1;HuishoudensInBezitVanBromfiets_2
0;Snorfiets;Minimaal één voertuig;Particuliere huishoudens;2010;353500;4.8
1;Snorfiets;Minimaal één voertuig;Particuliere huishoudens;2011;392700;5.3
2;Snorfiets;Minimaal één voertuig;Particuliere huishoudens;2012;425200;5.7
3;Snorfiets;Minimaal één voertuig;Particuliere huishoudens;2013;453300;6.0
4;Snorfiets;Minimaal één voertuig;Particuliere huishoudens;2014;477000;6.3
5;Snorfiets;Minimaal één voertuig;Particuliere huishoudens;2015;502000;6.5
6;Snorfiets;Minimaal één voertuig;Type: Eenpersoonshuishouden;2010;67800;2.5
7;Snorfiets;Minimaal één voertuig;Type: Eenpersoonshuishouden;2011;75800;2.8
8;Snorfiets;Minimaal één voertuig;Type: Eenpersoonshuishouden;2012;83600;3.0
9;Snorfiets;Minimaal één voertuig;Type: Eenpersoonshuishouden;2013;90600;3.2
10;Snorfiets;Minimaal één voertuig;Type: Eenpersoonshuishouden;2014;96400;3.4
11;Snorfiets;Minimaal één voertuig;Type: Eenpersoonshuishouden;2015;103500;3.6
12;Snorfiets;Minimaal één voertuig;Type: Meerpersoonshuishouden;2010;285700;6.1
13;Snorfiets;Minimaal één voertuig;Type: Meerpersoonshuishouden;2011;316900;6.7
14;Snorfiets;Minimaal één voertuig;Type: Meerpersoonshuishouden;2012;341600;7.2
15;Snorfiets;Minimaal één voertuig;Type: Meerpersoonshuishouden;2013;362600;7.6
16;Snorfiets;Minimaal één voertuig;Type: Meerpersoonshuishouden;2014;380600;8.0
17;Snorfiets;Minimaal één voertuig;Type: Meerpersoonshuishouden;2015;398400;8.3
18;Snorfiets;Minimaal één voertuig;Type: Eenoudergezin;2010;26600;5.8
19;Snorfiets;Minimaal één voertuig;Type: Eenoudergezin;2011;31500;6.4
20;Snorfiets;Minimaal één voertuig;Type: Eenoudergezin;2012;35100;6.9
21;Snorfiets;Minimaal één voertuig;Type: Eenoudergezin;2013;37200;7.2
22;Snorfiets;Minimaal één voertuig;Type: Eenoudergezin;2014;39800;7.5
23;Snorfiets;Minimaal één voertuig;Type: Eenoudergezin;2015;42500;7.9
