ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
0;45 Sale and repair of motor vehicles;1995 1st quarter;;
1;45 Sale and repair of motor vehicles;1995 2nd quarter;;
2;45 Sale and repair of motor vehicles;1995 3rd quarter;;
3;45 Sale and repair of motor vehicles;1995 4th quarter;;
4;45 Sale and repair of motor vehicles;1995;;
5;45 Sale and repair of motor vehicles;1996 1st quarter;;
6;45 Sale and repair of motor vehicles;1996 2nd quarter;;
7;45 Sale and repair of motor vehicles;1996 3rd quarter;;
8;45 Sale and repair of motor vehicles;1996 4th quarter;;
9;45 Sale and repair of motor vehicles;1996;;
10;45 Sale and repair of motor vehicles;1997 1st quarter;;
11;45 Sale and repair of motor vehicles;1997 2nd quarter;;
12;45 Sale and repair of motor vehicles;1997 3rd quarter;;
13;45 Sale and repair of motor vehicles;1997 4th quarter;;
14;45 Sale and repair of motor vehicles;1997;;
15;45 Sale and repair of motor vehicles;1998 1st quarter;;
16;45 Sale and repair of motor vehicles;1998 2nd quarter;;
17;45 Sale and repair of motor vehicles;1998 3rd quarter;;
18;45 Sale and repair of motor vehicles;1998 4th quarter;;
19;45 Sale and repair of motor vehicles;1998;;
20;45 Sale and repair of motor vehicles;1999 1st quarter;;
21;45 Sale and repair of motor vehicles;1999 2nd quarter;;
22;45 Sale and repair of motor vehicles;1999 3rd quarter;;
23;45 Sale and repair of motor vehicles;1999 4th quarter;;
24;45 Sale and repair of motor vehicles;1999;;
25;45 Sale and repair of motor vehicles;2000 1st quarter;;
26;45 Sale and repair of motor vehicles;2000 2nd quarter;;
27;45 Sale and repair of motor vehicles;2000 3rd quarter;;
28;45 Sale and repair of motor vehicles;2000 4th quarter;;
29;45 Sale and repair of motor vehicles;2000;;
30;45 Sale and repair of motor vehicles;2001 1st quarter;;
31;45 Sale and repair of motor vehicles;2001 2nd quarter;;
32;45 Sale and repair of motor vehicles;2001 3rd quarter;;
33;45 Sale and repair of motor vehicles;2001 4th quarter;;
34;45 Sale and repair of motor vehicles;2001;;
35;45 Sale and repair of motor vehicles;2002 1st quarter;;
36;45 Sale and repair of motor vehicles;2002 2nd quarter;;
37;45 Sale and repair of motor vehicles;2002 3rd quarter;;
38;45 Sale and repair of motor vehicles;2002 4th quarter;;
39;45 Sale and repair of motor vehicles;2002;;
40;45 Sale and repair of motor vehicles;2003 1st quarter;106.7;
41;45 Sale and repair of motor vehicles;2003 2nd quarter;105.1;
42;45 Sale and repair of motor vehicles;2003 3rd quarter;94.3;
43;45 Sale and repair of motor vehicles;2003 4th quarter;92.7;
44;45 Sale and repair of motor vehicles;2003;99.7;
45;45 Sale and repair of motor vehicles;2004 1st quarter;105.8;-0.8
46;45 Sale and repair of motor vehicles;2004 2nd quarter;103.6;-1.4
47;45 Sale and repair of motor vehicles;2004 3rd quarter;93.5;-0.8
48;45 Sale and repair of motor vehicles;2004 4th quarter;96.9;4.5
49;45 Sale and repair of motor vehicles;2004;100.0;0.3
50;45 Sale and repair of motor vehicles;2005 1st quarter;103.5;-2.2
51;45 Sale and repair of motor vehicles;2005 2nd quarter;104.7;1.1
52;45 Sale and repair of motor vehicles;2005 3rd quarter;94.2;0.8
53;45 Sale and repair of motor vehicles;2005 4th quarter;97.6;0.7
54;45 Sale and repair of motor vehicles;2005;100.0;0.0
55;45 Sale and repair of motor vehicles;2006 1st quarter;111.9;8.2
56;45 Sale and repair of motor vehicles;2006 2nd quarter;109.2;4.2
57;45 Sale and repair of motor vehicles;2006 3rd quarter;98.7;4.8
58;45 Sale and repair of motor vehicles;2006 4th quarter;103.3;5.9
59;45 Sale and repair of motor vehicles;2006;105.8;5.8
60;45 Sale and repair of motor vehicles;2007 1st quarter;115.0;2.8
61;45 Sale and repair of motor vehicles;2007 2nd quarter;114.0;4.4
62;45 Sale and repair of motor vehicles;2007 3rd quarter;104.4;5.7
63;45 Sale and repair of motor vehicles;2007 4th quarter;106.6;3.2
64;45 Sale and repair of motor vehicles;2007;110.0;4.0
65;45 Sale and repair of motor vehicles;2008 1st quarter;117.3;2.0
66;45 Sale and repair of motor vehicles;2008 2nd quarter;110.6;-2.9
67;45 Sale and repair of motor vehicles;2008 3rd quarter;99.6;-4.6
68;45 Sale and repair of motor vehicles;2008 4th quarter;93.0;-12.8
69;45 Sale and repair of motor vehicles;2008;105.1;-4.4
70;45 Sale and repair of motor vehicles;2009 1st quarter;95.7;-18.4
71;45 Sale and repair of motor vehicles;2009 2nd quarter;89.6;-19.0
72;45 Sale and repair of motor vehicles;2009 3rd quarter;83.0;-16.7
73;45 Sale and repair of motor vehicles;2009 4th quarter;85.4;-8.1
74;45 Sale and repair of motor vehicles;2009;88.4;-15.9
75;45 Sale and repair of motor vehicles;2010 1st quarter;97.3;1.7
76;45 Sale and repair of motor vehicles;2010 2nd quarter;97.3;8.5
77;45 Sale and repair of motor vehicles;2010 3rd quarter;92.4;11.3
78;45 Sale and repair of motor vehicles;2010 4th quarter;97.4;14.1
79;45 Sale and repair of motor vehicles;2010;96.1;8.7
80;45 Sale and repair of motor vehicles;2011 1st quarter;109.1;12.1
81;45 Sale and repair of motor vehicles;2011 2nd quarter;106.4;9.4
82;45 Sale and repair of motor vehicles;2011 3rd quarter;97.2;5.2
83;45 Sale and repair of motor vehicles;2011 4th quarter;99.1;1.7
84;45 Sale and repair of motor vehicles;2011;103.0;7.1
85;45 Sale and repair of motor vehicles;2012 1st quarter;105.0;-3.7
86;45 Sale and repair of motor vehicles;2012 2nd quarter;109.7;3.1
87;45 Sale and repair of motor vehicles;2012 3rd quarter;85.9;-11.6
88;45 Sale and repair of motor vehicles;2012 4th quarter;90.3;-8.9
89;45 Sale and repair of motor vehicles;2012;97.7;-5.1
90;451 Sale and repair of motor vehicles;1995 1st quarter;;
91;451 Sale and repair of motor vehicles;1995 2nd quarter;;
92;451 Sale and repair of motor vehicles;1995 3rd quarter;;
93;451 Sale and repair of motor vehicles;1995 4th quarter;;
94;451 Sale and repair of motor vehicles;1995;;
95;451 Sale and repair of motor vehicles;1996 1st quarter;;
96;451 Sale and repair of motor vehicles;1996 2nd quarter;;
97;451 Sale and repair of motor vehicles;1996 3rd quarter;;
98;451 Sale and repair of motor vehicles;1996 4th quarter;;
99;451 Sale and repair of motor vehicles;1996;;
100;451 Sale and repair of motor vehicles;1997 1st quarter;;
101;451 Sale and repair of motor vehicles;1997 2nd quarter;;
102;451 Sale and repair of motor vehicles;1997 3rd quarter;;
103;451 Sale and repair of motor vehicles;1997 4th quarter;;
104;451 Sale and repair of motor vehicles;1997;;
105;451 Sale and repair of motor vehicles;1998 1st quarter;;
106;451 Sale and repair of motor vehicles;1998 2nd quarter;;
107;451 Sale and repair of motor vehicles;1998 3rd quarter;;
108;451 Sale and repair of motor vehicles;1998 4th quarter;;
109;451 Sale and repair of motor vehicles;1998;;
110;451 Sale and repair of motor vehicles;1999 1st quarter;;
111;451 Sale and repair of motor vehicles;1999 2nd quarter;;
112;451 Sale and repair of motor vehicles;1999 3rd quarter;;
113;451 Sale and repair of motor vehicles;1999 4th quarter;;
114;451 Sale and repair of motor vehicles;1999;;
115;451 Sale and repair of motor vehicles;2000 1st quarter;;
116;451 Sale and repair of motor vehicles;2000 2nd quarter;;
117;451 Sale and repair of motor vehicles;2000 3rd quarter;;
118;451 Sale and repair of motor vehicles;2000 4th quarter;;
119;451 Sale and repair of motor vehicles;2000;;
120;451 Sale and repair of motor vehicles;2001 1st quarter;;
121;451 Sale and repair of motor vehicles;2001 2nd quarter;;
122;451 Sale and repair of motor vehicles;2001 3rd quarter;;
123;451 Sale and repair of motor vehicles;2001 4th quarter;;
124;451 Sale and repair of motor vehicles;2001;;
125;451 Sale and repair of motor vehicles;2002 1st quarter;;
126;451 Sale and repair of motor vehicles;2002 2nd quarter;;
127;451 Sale and repair of motor vehicles;2002 3rd quarter;;
128;451 Sale and repair of motor vehicles;2002 4th quarter;;
129;451 Sale and repair of motor vehicles;2002;;
130;451 Sale and repair of motor vehicles;2003 1st quarter;109.5;
131;451 Sale and repair of motor vehicles;2003 2nd quarter;106.3;
132;451 Sale and repair of motor vehicles;2003 3rd quarter;95.4;
133;451 Sale and repair of motor vehicles;2003 4th quarter;93.4;
134;451 Sale and repair of motor vehicles;2003;101.2;
135;451 Sale and repair of motor vehicles;2004 1st quarter;107.8;-1.6
136;451 Sale and repair of motor vehicles;2004 2nd quarter;103.7;-2.5
137;451 Sale and repair of motor vehicles;2004 3rd quarter;93.6;-1.9
138;451 Sale and repair of motor vehicles;2004 4th quarter;97.4;4.2
139;451 Sale and repair of motor vehicles;2004;100.6;-0.5
140;451 Sale and repair of motor vehicles;2005 1st quarter;104.2;-3.3
141;451 Sale and repair of motor vehicles;2005 2nd quarter;104.3;0.6
142;451 Sale and repair of motor vehicles;2005 3rd quarter;93.9;0.3
143;451 Sale and repair of motor vehicles;2005 4th quarter;97.5;0.2
144;451 Sale and repair of motor vehicles;2005;100.0;-0.6
145;451 Sale and repair of motor vehicles;2006 1st quarter;112.9;8.3
146;451 Sale and repair of motor vehicles;2006 2nd quarter;108.2;3.7
147;451 Sale and repair of motor vehicles;2006 3rd quarter;98.0;4.3
148;451 Sale and repair of motor vehicles;2006 4th quarter;102.0;4.5
149;451 Sale and repair of motor vehicles;2006;105.3;5.3
150;451 Sale and repair of motor vehicles;2007 1st quarter;115.6;2.4
151;451 Sale and repair of motor vehicles;2007 2nd quarter;112.9;4.3
152;451 Sale and repair of motor vehicles;2007 3rd quarter;103.9;6.0
153;451 Sale and repair of motor vehicles;2007 4th quarter;105.4;3.4
154;451 Sale and repair of motor vehicles;2007;109.4;4.0
155;451 Sale and repair of motor vehicles;2008 1st quarter;117.4;1.6
156;451 Sale and repair of motor vehicles;2008 2nd quarter;108.7;-3.7
157;451 Sale and repair of motor vehicles;2008 3rd quarter;98.3;-5.3
158;451 Sale and repair of motor vehicles;2008 4th quarter;90.7;-13.9
159;451 Sale and repair of motor vehicles;2008;103.8;-5.2
160;451 Sale and repair of motor vehicles;2009 1st quarter;95.0;-19.1
161;451 Sale and repair of motor vehicles;2009 2nd quarter;86.1;-20.8
162;451 Sale and repair of motor vehicles;2009 3rd quarter;80.0;-18.7
163;451 Sale and repair of motor vehicles;2009 4th quarter;81.1;-10.7
164;451 Sale and repair of motor vehicles;2009;85.5;-17.6
165;451 Sale and repair of motor vehicles;2010 1st quarter;94.4;-0.6
166;451 Sale and repair of motor vehicles;2010 2nd quarter;93.0;8.0
167;451 Sale and repair of motor vehicles;2010 3rd quarter;88.4;10.5
168;451 Sale and repair of motor vehicles;2010 4th quarter;92.4;14.0
169;451 Sale and repair of motor vehicles;2010;92.1;7.6
170;451 Sale and repair of motor vehicles;2011 1st quarter;106.5;12.8
