ID;BibliothekenEnOmvangCollectie;Perioden;AantalBibliotheken_1;BibliothekenMetNieuweMedia_2;BibliothekenZonderNieuweMedia_3;StrekkendeMetersGedruktMateriaal_4;BandenGedruktMateriaal_5;StrekkendeMetersTijdschriften_6;BandenTijdschriften_7;FilmsSpoelen_8;FichesFysiekeEenheden_9;Titels_10;TotaalAbonnementen_11;BetaaldeAbonnementen_12;RuilAbonnementen_13;GratisAbonnementen_14;UitleningenEnLeverantiesInKopievorm_15;BibliothekenZonderTerminal_16;BibliothekenMetEenTerminalS_17;AantalUitgevoerdeRecherches_18;AantalAansluituren_19;TotaalMaterieleExploitatiekosten_20;KostenLopendeAbonnementen_21;KostenAndereAanwinsten_22;Bindkosten_23;KostenAanLiteratuurrecherches_24;TotaalAantalPersonen_25;TotaalFullTimers_26;TotaalPartTimers_27;Mensjaren_28;TotaalPersoneelInLoondienst_29;FullTimersInLoondienst_30;PartTimersInLoondienst_31;MensjarenPersoneelInLoondienst_32;TotaalStagiairesVrijwilligers_33;FullTimeStagiairesVrijwilligers_34;PartTimeStagiairesVrijwilligers_35;MensjarenStagiairesVrijwilligers_36
0;1;1995;1150;53;47.0;864;36887;521;13184;292.0;23251;530.5;571.1;417.9;33.6;119.6;8480;520.0;630;208601.0;;82138;52950;20026;4415;4747.0;6530;2842;3688;4805;6105;2751;3354;4595;424;91.0;333;210
1;1;1997;1109;51;49.0;874;37857;539;13440;151.0;21880;464.8;509.3;390.6;34.6;84.1;8344;389.0;720;316230.0;109538.0;93938;61724;22664;4391;5159.0;6679;2861;3818;5011;6176;2736;3440;4747;503;125.0;378;264
2;2;1995;1;100;;45;1979;17;377;43.0;437;15.3;15.3;6.8;;8.5;211;;1;607.0;;1398;619;549;229;2.0;348;195;153;245;326;182;144;230;22;13.0;9;15
3;2;1997;1;100;;45;2200;17;381;43.0;437;15.4;15.5;6.7;0.1;8.6;181;;1;;;1293;573;624;195;;307;154;153;249;300;154;146;245;7;;7;4
4;3;1995;1;100;;2;140;15;352;;2000;9.0;9.0;6.4;1.9;0.7;189;;1;350.0;;919;817;91;5;7.0;68;42;26;50;66;42;24;50;2;;2;0
5;3;1997;1;100;;2;75;20;482;;2200;8.0;9.0;7.4;1.0;0.6;191;;1;125.0;46.0;1032;953;68;5;7.0;166;73;93;106;152;69;83;93;14;4.0;10;13
6;4;1995;154;57;43.0;446;16163;276;7232;39.0;1764;153.1;154.1;120.9;8.4;24.8;3801;57.0;97;38541.0;;30200;20397;6668;2468;668.0;2312;992;1320;1770;2237;969;1268;1720;75;23.0;52;50
7;4;1997;139;50;50.0;432;16100;282;7386;37.0;2438;139.2;139.3;116.0;6.6;16.7;3735;26.0;113;59515.0;20509.0;32294;21740;7334;2376;844.0;2323;937;1386;1740;2159;903;1256;1653;164;34.0;130;88
8;5;1995;22;82;18.0;345;12417;209;5449;24.0;1637;100.9;101.6;82.3;4.2;15.1;2748;3.0;19;12369.0;;19960;13094;4659;1770;437.0;1629;805;824;1320;1584;792;792;1285;45;13.0;32;35
9;5;1997;22;86;14.0;336;12237;215;5663;25.0;1655;93.6;93.6;77.9;4.3;11.4;2592;3.0;19;11139.0;3660.0;20334;13435;4904;1537;458.0;1730;752;978;1321;1617;730;887;1258;113;22.0;91;63
10;6;1995;132;47;53.0;101;3746;67;1783;15.0;127;52.2;52.5;38.6;4.2;9.7;1053;54.0;78;26172.0;;10240;7302;2009;698;231.0;683;187;496;450;653;177;476;435;30;10.0;20;15
11;6;1997;117;44;56.0;96;3863;67;1723;12.0;783;45.6;45.7;38.1;2.3;5.3;1143;23.0;94;48376.0;16849.0;11959;8306;2430;839;386.0;593;185;408;419;542;173;369;395;51;12.0;39;25
12;7;1995;194;60;40.0;58;2913;12;180;9.0;32;31.2;31.5;26.0;0.0;5.5;1538;101.0;93;27246.0;;4291;1928;2081;114;169.0;602;174;428;380;561;163;398;365;40;11.0;29;15
13;7;1997;157;71;29.0;63;2902;15;234;6.0;2;29.8;30.0;25.6;0.2;4.2;1744;71.0;86;61955.0;25913.0;4882;2055;2492;147;189.0;666;196;470;450;612;181;431;418;54;15.0;39;32
14;8;1995;800;48;52.0;313;15692;200;5043;201.0;19018;321.9;361.2;257.8;23.2;80.2;2741;362.0;438;141857.0;;45330;29190;10638;1600;3903.0;3200;1439;1761;2360;2915;1395;1520;2230;285;44.0;241;130
15;8;1997;811;48;52.0;332;16580;205;4957;65.0;16804;272.6;315.5;234.9;26.7;53.9;2493;292.0;519;194634.0;63070.0;64337;36403;12155;1669;4119.0;3217;1501;1716;2465;2953;1429;1524;2338;264;72.0;192;127
16;9;1995;570;24;76.0;51;2290;35;572;4.0;795;102.9;105.1;75.8;4.1;25.2;844;297.0;273;46892.0;;12927;9348;2358;306;914.0;1175;279;897;640;987;270;717;570;189;9.0;180;70
17;9;1997;536;43;57.0;60;2160;30;456;6.0;353;92.1;92.7;72.4;3.4;17.0;1077;213.0;323;42749.0;23166.0;14388;9676;3633;306;774.0;1073;417;656;700;918;368;550;634;155;49.0;106;66
18;10 000 tot 100 000 banden;1995;505;58;42.0;236;10833;140;3347;166.0;8639;223.2;247.7;183.5;10.9;53.3;3187;204.0;301;127646.0;;35268;22621;8926;1227;2494.0;2363;1036;1327;1780;2233;993;1240;1715;130;43.0;87;65
19;10 000 tot 100 000 banden;1997;497;56;44.0;259;12132;152;3375;29.0;6327;178.9;206.7;166.1;11.6;29.0;3026;159.0;338;226195.0;72366.0;42808;28371;9774;1597;3066.0;2516;986;1530;1901;2338;954;1384;1810;178;32.0;146;91
20;100 000 en meer banden;1995;75;80;20.0;577;23764;346;9265;122.0;13817;204.4;218.3;158.7;18.5;41.1;4449;19.0;56;33973.0;;33942;20980;8743;2882;1339.0;2991;1527;1464;2385;2886;1488;1398;2310;106;39.0;67;75
21;100 000 en meer banden;1997;76;87;13.0;555;23566;357;9609;115.0;15200;193.9;209.9;152.1;19.7;38.1;4241;17.0;59;47893.0;14082.0;36742;23677;9257;2488;1319.0;3090;1458;1632;2410;2920;1414;1506;2304;170;44.0;126;106
