ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;M-N Business services;2005 1st quarter;74.0;
1;M-N Business services;2005 2nd quarter;84.0;
2;M-N Business services;2005 3rd quarter;83.0;
3;M-N Business services;2005 4th quarter;95.2;
4;M-N Business services;2005;84.0;
5;M-N Business services;2006 1st quarter;82.2;11.2
6;M-N Business services;2006 2nd quarter;91.7;9.2
7;M-N Business services;2006 3rd quarter;91.2;9.9
8;M-N Business services;2006 4th quarter;105.5;10.8
9;M-N Business services;2006;92.6;10.3
10;M-N Business services;2007 1st quarter;91.0;10.7
11;M-N Business services;2007 2nd quarter;100.2;9.3
12;M-N Business services;2007 3rd quarter;98.5;8.0
13;M-N Business services;2007 4th quarter;113.5;7.6
14;M-N Business services;2007;100.8;8.8
15;M-N Business services;2008 1st quarter;97.8;7.5
16;M-N Business services;2008 2nd quarter;107.5;7.3
17;M-N Business services;2008 3rd quarter;104.7;6.4
18;M-N Business services;2008 4th quarter;118.4;4.3
19;M-N Business services;2008;107.1;6.3
20;M-N Business services;2009 1st quarter;99.1;1.3
21;M-N Business services;2009 2nd quarter;102.8;-4.3
22;M-N Business services;2009 3rd quarter;99.2;-5.3
23;M-N Business services;2009 4th quarter;109.4;-7.6
24;M-N Business services;2009;102.6;-4.2
25;M-N Business services;2010 1st quarter;91.7;-7.5
26;M-N Business services;2010 2nd quarter;99.1;-3.6
27;M-N Business services;2010 3rd quarter;99.0;-0.2
28;M-N Business services;2010 4th quarter;110.3;0.8
29;M-N Business services;2010;100.0;-2.6
30;M-N Business services;2011 1st quarter;94.2;2.8
31;M-N Business services;2011 2nd quarter;102.0;2.9
32;M-N Business services;2011 3rd quarter;99.3;0.3
33;M-N Business services;2011 4th quarter;109.7;-0.5
34;M-N Business services;2011;101.3;1.3
35;M-N Business services;2012 1st quarter;95.0;0.9
36;M-N Business services;2012 2nd quarter;103.3;1.3
37;M-N Business services;2012 3rd quarter;102.1;2.8
38;M-N Business services;2012 4th quarter;108.3;-1.3
39;M-N Business services;2012;102.2;0.9
40;M-N Business services;2013 1st quarter;93.1;-2.0
41;M-N Business services;2013 2nd quarter;103.0;-0.3
42;M-N Business services;2013 3rd quarter;101.1;-0.9
43;M-N Business services;2013 4th quarter;110.7;2.2
44;M-N Business services;2013;102.0;-0.2
45;M-N Business services;2014 1st quarter;95.4;2.5
46;M-N Business services;2014 2nd quarter;105.4;2.3
47;M-N Business services;2014 3rd quarter;105.1;3.9
48;M-N Business services;2014 4th quarter;116.5;5.2
49;M-N Business services;2014;105.6;3.5
50;M-N Business services;2015 1st quarter;100.8;5.6
51;M-N Business services;2015 2nd quarter;113.0;7.3
52;M-N Business services;2015 3rd quarter;114.5;9.0
53;M-N Business services;2015 4th quarter;126.7;8.8
54;M-N Business services;2015;113.8;7.8
55;M-N Business services;2016 1st quarter;109.2;8.3
56;M-N Business services;2016 2nd quarter;121.2;7.2
57;M-N Business services;2016 3rd quarter;121.7;6.3
58;M-N Business services;2016 4th quarter;133.5;5.4
59;M-N Business services;2016;121.4;6.7
60;M-N Business services;2017 1st quarter;116.6;6.9
61;M-N Business services;2017 2nd quarter;128.0;5.6
62;M-N Business services;2017 3rd quarter;129.1;6.1
63;M-N Business services;2017 4th quarter;141.3;5.8
64;M-N Business services;2017;128.8;6.1
65;69 Legal services, administration etc.;2005 1st quarter;83.4;
66;69 Legal services, administration etc.;2005 2nd quarter;90.3;
67;69 Legal services, administration etc.;2005 3rd quarter;80.1;
68;69 Legal services, administration etc.;2005 4th quarter;95.6;
69;69 Legal services, administration etc.;2005;87.4;
70;69 Legal services, administration etc.;2006 1st quarter;90.1;8.0
71;69 Legal services, administration etc.;2006 2nd quarter;92.1;2.0
72;69 Legal services, administration etc.;2006 3rd quarter;82.2;2.7
73;69 Legal services, administration etc.;2006 4th quarter;98.8;3.4
74;69 Legal services, administration etc.;2006;90.8;4.0
75;69 Legal services, administration etc.;2007 1st quarter;92.5;2.7
76;69 Legal services, administration etc.;2007 2nd quarter;96.6;4.8
77;69 Legal services, administration etc.;2007 3rd quarter;87.5;6.4
78;69 Legal services, administration etc.;2007 4th quarter;103.1;4.4
79;69 Legal services, administration etc.;2007;94.9;4.5
80;69 Legal services, administration etc.;2008 1st quarter;97.0;4.9
81;69 Legal services, administration etc.;2008 2nd quarter;101.8;5.4
82;69 Legal services, administration etc.;2008 3rd quarter;90.8;3.8
