ID;RegioS;VervoerwijzenEnMotieven;Perioden;AantalInwonersOp1Januari_1;Respondenten_2;VerplaatsingenPerPersoonPerDag_3;AfgelegdeAfstandPerPersoonPerDag_4;ReisduurPerPersoonPerDag_5
0;Nederland;1;1995/1996;15493889.0;320470.0;3.16;31.36;61.41
1;Nederland;1;1996/1997;15567107.0;296526.0;3.16;31.84;61.98
2;Nederland;1;1997/1998;15654192.0;281970.0;3.15;32.23;62.4
3;Nederland;1;1998/1999;15760225.0;284339.0;3.15;32.26;61.82
4;Nederland;1;1999/2000;15863950.0;292876.0;3.13;32.22;61.18
5;Nederland;1;2000/2001;15987075.0;276674.0;3.09;31.88;60.28
6;Nederland;1;2001/2002;16105285.0;230412.0;3.07;31.79;59.67
7;Nederland;1;2002/2003;16192572.0;177583.0;3.08;31.87;59.64
8;Nederland;2;1995/1996;;;0.95;14.66;20.35
9;Nederland;2;1996/1997;;;0.96;14.86;20.58
10;Nederland;2;1997/1998;;;0.97;15.11;20.94
11;Nederland;2;1998/1999;;;0.99;15.47;21.45
12;Nederland;2;1999/2000;;;1.0;15.67;21.53
13;Nederland;2;2000/2001;;;0.99;15.63;21.33
14;Nederland;2;2001/2002;;;1.0;15.72;21.37
15;Nederland;2;2002/2003;;;1.0;15.86;21.44
16;Nederland;3;1995/1996;;;0.53;8.63;11.5
17;Nederland;3;1996/1997;;;0.53;8.75;11.62
18;Nederland;3;1997/1998;;;0.53;8.76;11.77
19;Nederland;3;1998/1999;;;0.54;8.6;11.69
20;Nederland;3;1999/2000;;;0.52;8.44;11.37
21;Nederland;3;2000/2001;;;0.51;8.18;10.92
22;Nederland;3;2001/2002;;;0.5;8.13;10.79
23;Nederland;3;2002/2003;;;0.5;8.22;10.8
24;Nederland;4;1995/1996;;;0.05;2.4;4.16
25;Nederland;4;1996/1997;;;0.06;2.5;4.36
26;Nederland;4;1997/1998;;;0.06;2.65;4.56
27;Nederland;4;1998/1999;;;0.06;2.71;4.48
28;Nederland;4;1999/2000;;;0.06;2.74;4.45
29;Nederland;4;2000/2001;;;0.06;2.76;4.53
30;Nederland;4;2001/2002;;;0.06;2.73;4.49
31;Nederland;4;2002/2003;;;0.06;2.62;4.36
32;Nederland;5;1995/1996;;;0.1;1.45;3.91
33;Nederland;5;1996/1997;;;0.1;1.45;3.92
34;Nederland;5;1997/1998;;;0.1;1.44;3.87
35;Nederland;5;1998/1999;;;0.1;1.39;3.63
36;Nederland;5;1999/2000;;;0.09;1.35;3.39
37;Nederland;5;2000/2001;;;0.09;1.34;3.33
38;Nederland;5;2001/2002;;;0.08;1.3;3.23
39;Nederland;5;2002/2003;;;0.08;1.2;3.06
40;Nederland;6;1995/1996;;;0.03;0.19;0.49
41;Nederland;6;1996/1997;;;0.03;0.19;0.47
42;Nederland;6;1997/1998;;;0.03;0.19;0.46
43;Nederland;6;1998/1999;;;0.03;0.19;0.5
44;Nederland;6;1999/2000;;;0.03;0.18;0.51
45;Nederland;6;2000/2001;;;0.03;0.17;0.46
46;Nederland;6;2001/2002;;;0.03;0.16;0.43
47;Nederland;6;2002/2003;;;0.03;0.16;0.43
48;Nederland;7;1995/1996;;;0.81;2.47;11.42
49;Nederland;7;1996/1997;;;0.81;2.49;11.46
50;Nederland;7;1997/1998;;;0.81;2.48;11.45
51;Nederland;7;1998/1999;;;0.8;2.39;11.2
52;Nederland;7;1999/2000;;;0.8;2.39;11.27
53;Nederland;7;2000/2001;;;0.79;2.35;11.01
54;Nederland;7;2001/2002;;;0.78;2.32;10.77
55;Nederland;7;2002/2003;;;0.8;2.37;11.05
56;Nederland;8;1995/1996;;;0.64;0.65;8.07
57;Nederland;8;1996/1997;;;0.63;0.64;7.97
58;Nederland;8;1997/1998;;;0.61;0.62;7.74
59;Nederland;8;1998/1999;;;0.59;0.6;7.4
