ID;Perioden;BedrijvenMetBedrijfsopleiding_1;BedrijvenMetCursussen_2;Totaal_3;Mannen_4;Vrouwen_5;BesteedPerWerknemer_6;BesteedPerDeelnemer_7;AandeelInterneCursus_8;AandeelExterneCursus_9;BesteedPerWerknemer_10;BesteedPerDeelnemer_11;BesteedPerCursusuur_12;AandeelInArbeidskosten_13;BesteedPerWerknemer_14;BesteedPerDeelnemer_15;BesteedPerCursusuur_16;AandeelInArbeidskosten_17
0;1986;31;;;;;;;;;;;;;360;1360;;1.5
1;1990;39;;;;;;;;;;;;;420;1230;;1.7
2;1993;45;35.0;26.0;27.0;24.0;8.0;30.0;;;;;;;490;1850;;1.8
3;1999;87;80.0;41.0;44.0;35.0;15.0;37.0;40.0;60.0;500.0;1220.0;25.0;1.7;810;1980;41.0;2.7
4;2005;71;66.0;34.0;36.0;31.0;12.0;36.0;42.0;58.0;450.0;1320.0;37.0;1.2;810;2360;66.0;2.2
5;2010;77;69.0;39.0;40.0;37.0;14.0;35.0;53.0;47.0;460.0;1190.0;34.0;1.1;880;2270;64.0;2.1
6;2015;85;76.0;41.0;45.0;37.0;13.0;30.0;49.0;51.0;490.0;1180.0;39.0;1.2;880;2140;70.0;2.2
7;2020;77;65.0;39.0;40.0;38.0;15.0;38.0;50.0;50.0;530.0;1350.0;36.0;1.2;1020;2610;69.0;2.3
