ID;Perioden;TotaleCapaciteitInrichtingen_1;HuizenVanBewaring_2;BijzondereInrichtingen_3;GeslotenInrichtingen_4;HalfopenInrichtingen_5;OpenInrichtingen_6;GecombineerdeInrichtingenVoorMannen_7;PenitentiaireInrichtingenVoorVrouwen_8
0;1994;8567;4505;173;1487;483;202;1303;414
1;1995;10208;6323;168;1088;563;193;1459;414
2;1996;11992;7736;172;1180;703;299;1425;477
3;1997;12250;7110;176;1872;905;376;1378;433
4;1998;12491;7908;178;1516;443;573;1361;512
5;1999;12401;6933;35;2210;871;237;1407;708
6;2000;12279;7502;279;1415;518;271;1646;648
7;2001;12534;7030;186;1201;407;388;2566;756
8;2002;13233;7281;152;1201;487;471;2823;818
9;2003;14184;7820;165;1295;487;635;2882;900
