ID;AfzetEnInvoer;ProductenVolgensPRODCOMLijst;Perioden;PrijsindexcijfersExclusiefAccijns_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3
0;Totale afzet;B Winning van delfstoffen;2000 januari;55.4;;
1;Totale afzet;B Winning van delfstoffen;2000 februari;56.3;1.7;
2;Totale afzet;B Winning van delfstoffen;2000 maart;57.2;1.6;
3;Totale afzet;B Winning van delfstoffen;2000 april;64.1;12.0;
4;Totale afzet;B Winning van delfstoffen;2000 mei;66.8;4.2;
5;Totale afzet;B Winning van delfstoffen;2000 juni;67.6;1.1;
6;Totale afzet;B Winning van delfstoffen;2000 juli;72.8;7.7;
7;Totale afzet;B Winning van delfstoffen;2000 augustus;73.8;1.4;
8;Totale afzet;B Winning van delfstoffen;2000 september;74.6;1.1;
9;Totale afzet;B Winning van delfstoffen;2000 oktober;77.5;3.9;
10;Totale afzet;B Winning van delfstoffen;2000 november;77.9;0.6;
11;Totale afzet;B Winning van delfstoffen;2000 december;79.1;1.5;
12;Totale afzet;B Winning van delfstoffen;2000;68.6;;
13;Totale afzet;B Winning van delfstoffen;2001 januari;82.8;4.7;49.5
14;Totale afzet;B Winning van delfstoffen;2001 februari;85.4;3.1;51.6
15;Totale afzet;B Winning van delfstoffen;2001 maart;85.5;0.1;49.3
16;Totale afzet;B Winning van delfstoffen;2001 april;81.7;-4.4;27.4
17;Totale afzet;B Winning van delfstoffen;2001 mei;82.3;0.8;23.2
18;Totale afzet;B Winning van delfstoffen;2001 juni;83.3;1.2;23.2
19;Totale afzet;B Winning van delfstoffen;2001 juli;81.8;-1.8;12.3
20;Totale afzet;B Winning van delfstoffen;2001 augustus;78.8;-3.7;6.8
21;Totale afzet;B Winning van delfstoffen;2001 september;76.9;-2.4;3.1
22;Totale afzet;B Winning van delfstoffen;2001 oktober;74.7;-2.9;-3.7
23;Totale afzet;B Winning van delfstoffen;2001 november;73.2;-1.9;-6.0
24;Totale afzet;B Winning van delfstoffen;2001 december;72.3;-1.3;-8.6
25;Totale afzet;B Winning van delfstoffen;2001;79.9;;16.4
26;Totale afzet;B Winning van delfstoffen;2002 januari;70.2;-2.9;-15.2
27;Totale afzet;B Winning van delfstoffen;2002 februari;71.1;1.3;-16.7
28;Totale afzet;B Winning van delfstoffen;2002 maart;70.3;-1.1;-17.7
29;Totale afzet;B Winning van delfstoffen;2002 april;70.8;0.6;-13.3
30;Totale afzet;B Winning van delfstoffen;2002 mei;70.4;-0.6;-14.5
31;Totale afzet;B Winning van delfstoffen;2002 juni;68.8;-2.2;-17.3
32;Totale afzet;B Winning van delfstoffen;2002 juli;71.8;4.4;-12.1
33;Totale afzet;B Winning van delfstoffen;2002 augustus;71.6;-0.3;-9.1
34;Totale afzet;B Winning van delfstoffen;2002 september;71.2;-0.6;-7.5
35;Totale afzet;B Winning van delfstoffen;2002 oktober;74.3;4.5;-0.4
36;Totale afzet;B Winning van delfstoffen;2002 november;75.4;1.4;3.0
37;Totale afzet;B Winning van delfstoffen;2002 december;77.5;2.8;7.2
38;Totale afzet;B Winning van delfstoffen;2002;72.0;;-9.9
39;Totale afzet;B Winning van delfstoffen;2003 januari;80.2;3.5;14.3
40;Totale afzet;B Winning van delfstoffen;2003 februari;80.5;0.3;13.1
41;Totale afzet;B Winning van delfstoffen;2003 maart;79.9;-0.7;13.5
42;Totale afzet;B Winning van delfstoffen;2003 april;81.0;1.4;14.4
43;Totale afzet;B Winning van delfstoffen;2003 mei;82.1;1.4;16.7
