ID;Regions;SIC93;Periods;OutputBasicPrices_1;IntermediateConsumption_2;GrossValueAdded_3;CompensationOfEmployees_4;TaxesNotProductRelated_5;SubsidiesNotProductRelated_6;GrossOperatingSurplus_7;LabourInputOfEmployees_8
0;The Netherlands;Total economic activities;1995;552314.96;270851.43;281463.53;154779.89;3304.88;1001.04;124379.8;4917.8
1;The Netherlands;Total economic activities;1996;581981.3;290464.26;291517.03;160741.2;3426.49;1744.33;129093.66;5035.4
2;The Netherlands;Total economic activities;1997;619059.0;311654.0;307406.0;168035.0;3446.0;3241.0;139166.0;5200.5
3;The Netherlands;Total economic activities;1998;653092.0;327330.0;325762.0;179991.0;3587.0;3057.0;145241.0;5384.0
4;The Netherlands;Total economic activities;1999;690084.0;346062.0;344022.0;192347.0;4008.0;3447.0;151114.0;5546.8
5;The Netherlands;Total economic activities;2000;758825.0;387772.0;371053.0;205691.0;4305.0;3464.0;164521.0;5662.8
6;The Netherlands;Total economic activities;2001;799801.0;405611.0;394190.0;220417.0;4765.0;3898.0;172906.0;5753.2
7;The Netherlands;A+B Agriculture hunting forestry fishing;1995;20340.24;10400.19;9940.06;1850.97;353.95;179.24;7914.38;81.4
8;The Netherlands;A+B Agriculture hunting forestry fishing;1996;20699.64;10852.15;9847.48;1920.85;361.66;307.21;7872.18;80.7
9;The Netherlands;A+B Agriculture hunting forestry fishing;1997;20499.0;10897.0;9602.0;1963.0;375.0;1299.0;8564.0;82.4
10;The Netherlands;A+B Agriculture hunting forestry fishing;1998;20863.0;10881.0;9982.0;2094.0;373.0;301.0;7816.0;83.7
11;The Netherlands;A+B Agriculture hunting forestry fishing;1999;20670.0;11055.0;9615.0;2231.0;386.0;335.0;7333.0;86.7
12;The Netherlands;A+B Agriculture hunting forestry fishing;2000;21863.0;11600.0;10263.0;2336.0;411.0;146.0;7662.0;86.6
13;The Netherlands;A+B Agriculture hunting forestry fishing;2001;22605.0;12022.0;10583.0;2507.0;472.0;279.0;7883.0;89.1
14;The Netherlands;C-F Industry;1995;226826.0;148450.0;78376.0;42490.0;626.0;235.0;35495.0;1330.2
15;The Netherlands;C-F Industry;1996;238350.0;157968.0;80383.0;43028.0;630.0;331.0;37056.0;1325.7
16;The Netherlands;C-F Industry;1997;252234.0;169192.0;83042.0;44458.0;646.0;500.0;38439.0;1344.4
17;The Netherlands;C-F Industry;1998;259069.0;173359.0;85710.0;46905.0;616.0;762.0;38951.0;1357.5
