ID;Regions;Periods;GDPMarketPrices_1;GDPPerCapita_2;GDPVolumeChanges_3;GrossValueAddedVolumeChanges_4;ValueAddedAtBasicPrices_5;CompensationOfEmployees_6;FullTimeEquivalentFteTotal_7;FullTimeEquivalentFteEmployee_8;FullTimeEquivalentFteSelfEmployed_9;EmployedPersonsTotal_10;Employee_11;SelfEmployed_12;HoursWorkedTotal_13;HoursWorkedEmployee_14;HoursWorkedSelfEmployed_15
0;The Netherlands;1995;330032;21349.0;;;299747;165560;5948.5;4999.5;949.0;7280.6;5960.2;1320.4;10855.7;8541.6;2314.2
1;The Netherlands;1996;345300;22234.0;3.4;3.1;311993;171981;6087.2;5112.2;975.0;7433.8;6103.9;1329.8;11196.1;8794.1;2401.9
2;The Netherlands;1997;369660;23680.0;4.2;4.4;333529;181634;6274.2;5277.2;997.0;7660.6;6307.4;1353.2;11428.8;9013.4;2415.3
3;The Netherlands;1998;394839;25137.0;4.6;4.6;355882;194666;6453.1;5470.2;982.9;7840.0;6523.3;1316.7;11670.3;9299.3;2371.0
4;The Netherlands;1999;420143;26571.0;5.0;4.8;376540;209646;6617.4;5644.1;973.3;8066.2;6767.9;1298.3;11993.0;9612.6;2380.4
5;The Netherlands;2000;452191;28394.0;4.2;4.4;405973;226797;6719.4;5770.3;949.0;8214.5;6947.4;1267.1;12103.4;9750.9;2352.5
6;The Netherlands;2001;482941;30097.0;2.3;2.4;430475;239194;6825.0;5889.5;935.5;8377.0;7118.1;1258.9;12260.2;9959.6;2300.6
7;The Netherlands;2002;502901;31141.0;0.2;0.2;449144;251188;6813.2;5886.8;926.4;8435.9;7171.9;1264.0;12197.7;9943.4;2254.3
8;The Netherlands;2003;514901;31734.0;0.1;0.1;459576;257981;6732.7;5812.1;920.6;8387.6;7137.0;1250.6;12055.0;9850.9;2204.1
9;The Netherlands;2004;531573;32648.0;2.0;2.1;473572;261726;6683.6;5740.3;943.3;8293.2;7026.4;1266.8;12092.7;9825.3;2267.4
10;The Netherlands;2005;553122;33893.0;2.0;2.1;492241;265911;6700.1;5733.6;966.5;8346.4;7058.6;1287.8;12054.0;9733.1;2320.8
11;The Netherlands;2006;587444;35938.0;3.5;3.5;522057;274752;6846.0;5834.9;1011.2;8526.8;7191.1;1335.7;12283.2;9857.4;2425.8
12;The Netherlands;2007;622775;38017.0;3.9;4.0;554653;290622;7034.4;5977.4;1057.1;8776.6;7396.3;1380.3;12634.6;10110.0;2524.5
13;The Netherlands;2008;651299;39603.0;2.1;2.4;580170;307808;7160.2;6088.6;1071.6;8918.5;7528.2;1390.3;12834.6;10310.9;2523.7
