ID;Geslacht;Leeftijd;Migratieachtergrond;VoornaamsteInkomstenbron;Opleidingsniveau;Perioden;TotaalAantalVrijwilligers_1;SchoolJeugdEnBuurthuisScouting_2;VerzorgingOfVerpleging_3;SportHobbyOfCultuur_4;KerkOfLevensbeschouwing_5;VakbondPolitiekOfActiegroep_6;AndereOrganisatie_7;TotaalUrenVrijwilligerswerk_8;SchoolJeugdEnBuurthuisScouting_9;VerzorgingOfVerpleging_10;SportHobbyOfCultuur_11;KerkOfLevensbeschouwing_12;VakbondPolitiekOfActiegroep_13;AndereOrganisatie_14;PercentageVrijwilligers_15
0;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2001;2278.0;488.0;331.0;743.0;508.0;125.0;327.0;5.2;3.9;4.9;4.8;4.8;5.5;5.3;19.0
1;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2002;2434.0;486.0;347.0;777.0;537.0;108.0;455.0;5.1;3.5;4.8;4.8;4.3;4.7;5.3;20.0
2;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2003;2509.0;514.0;365.0;833.0;555.0;102.0;457.0;4.9;3.3;4.6;4.6;4.2;4.4;5.0;20.0
3;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2004;2603.0;507.0;377.0;905.0;557.0;108.0;470.0;5.0;3.3;4.5;4.7;4.2;4.6;5.2;21.0
4;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2005;2589.0;520.0;390.0;936.0;522.0;96.0;445.0;5.0;3.5;4.7;4.7;4.3;4.5;5.1;21.0
5;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2006;2760.0;541.0;421.0;991.0;570.0;114.0;485.0;5.0;3.4;4.6;4.7;4.2;4.7;5.2;22.0
6;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2007;2681.0;504.0;414.0;940.0;542.0;104.0;507.0;5.0;3.3;4.7;4.7;4.1;4.6;5.3;21.0
7;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2008;2759.0;505.0;420.0;971.0;566.0;102.0;550.0;4.9;3.2;4.8;4.4;4.1;4.3;4.9;22.0
8;1100;Totaal 18 jaar of ouder;1000;0;Totaal opleidingsniveau;2009;2838.0;529.0;432.0;1010.0;584.0;103.0;549.0;4.9;3.3;4.5;4.4;4.0;4.9;5.0;22.0
9;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2001;668.0;119.0;138.0;198.0;153.0;21.0;92.0;5.4;4.3;5.0;5.4;4.5;5.8;5.4;14.0
10;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2002;689.0;119.0;143.0;194.0;154.0;20.0;126.0;5.3;3.9;5.0;5.1;4.2;5.3;5.8;14.0
11;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2003;685.0;122.0;141.0;198.0;157.0;15.0;116.0;5.2;3.7;4.9;5.2;4.2;5.2;5.6;15.0
12;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2004;708.0;122.0;148.0;216.0;156.0;19.0;124.0;5.2;3.9;4.8;4.9;3.8;4.9;5.8;16.0
13;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2005;688.0;112.0;158.0;220.0;142.0;11.0;108.0;5.2;4.1;5.0;5.0;4.3;4.3;5.2;16.0
14;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2006;705.0;115.0;164.0;216.0;156.0;16.0;122.0;5.4;4.3;4.8;5.4;3.9;4.1;5.8;16.0
15;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2007;640.0;99.0;148.0;196.0;130.0;11.0;116.0;5.3;3.8;5.2;5.2;3.8;4.0;5.7;15.0
16;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2008;675.0;90.0;160.0;199.0;142.0;13.0;140.0;5.1;3.8;5.2;4.8;4.0;4.5;5.0;15.0
17;1100;Totaal 18 jaar of ouder;1000;0;Lager opleidingsniveau;2009;679.0;108.0;156.0;199.0;138.0;15.0;128.0;5.2;4.0;5.1;5.0;3.8;6.1;5.4;16.0
18;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2001;1010.0;242.0;131.0;343.0;211.0;53.0;138.0;5.1;3.8;4.9;4.8;4.6;4.9;5.3;21.0
19;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2002;1081.0;238.0;141.0;363.0;229.0;43.0;190.0;5.0;3.6;4.7;4.8;4.2;4.8;5.3;22.0
20;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2003;1117.0;250.0;149.0;390.0;233.0;42.0;200.0;4.8;3.2;4.5;4.6;4.0;4.2;4.9;22.0
21;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2004;1070.0;232.0;138.0;384.0;228.0;39.0;181.0;4.9;3.4;4.3;4.8;4.1;5.0;4.9;22.0
22;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2005;1097.0;249.0;148.0;401.0;214.0;39.0;183.0;5.0;3.5;4.8;4.7;4.4;4.1;5.2;22.0
23;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2006;1172.0;256.0;162.0;425.0;233.0;45.0;190.0;4.8;3.3;4.6;4.5;4.2;5.2;4.9;23.0
24;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2007;1150.0;251.0;172.0;405.0;228.0;42.0;196.0;4.9;3.2;4.4;4.7;4.0;4.8;5.4;22.0
25;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2008;1153.0;246.0;163.0;426.0;228.0;39.0;200.0;4.9;3.3;4.7;4.5;4.4;4.7;4.7;23.0
26;1100;Totaal 18 jaar of ouder;1000;0;Middelbaar opleidingsniveau;2009;1196.0;243.0;178.0;453.0;243.0;39.0;209.0;4.9;3.4;4.4;4.4;3.9;4.3;5.3;24.0
27;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2001;596.0;127.0;60.0;199.0;143.0;50.0;96.0;5.3;3.5;4.7;4.3;5.3;6.1;5.2;25.0
28;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2002;660.0;129.0;63.0;219.0;154.0;45.0;137.0;4.8;3.0;4.2;4.5;4.5;4.2;4.8;26.0
29;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2003;703.0;141.0;73.0;243.0;164.0;46.0;140.0;4.7;3.0;4.1;4.2;4.4;4.3;4.8;26.0
30;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2004;819.0;153.0;89.0;303.0;171.0;50.0;163.0;4.8;2.8;4.1;4.5;4.5;4.1;5.0;27.0
31;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2005;798.0;159.0;84.0;313.0;164.0;46.0;153.0;4.9;3.1;3.9;4.4;4.3;4.8;5.0;27.0
32;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2006;875.0;169.0;93.0;347.0;179.0;54.0;172.0;4.9;2.9;4.1;4.4;4.3;4.6;5.0;29.0
33;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2007;883.0;151.0;93.0;337.0;183.0;50.0;193.0;4.9;3.1;4.6;4.3;4.3;4.6;5.0;28.0
34;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2008;928.0;168.0;98.0;344.0;194.0;50.0;210.0;4.6;2.9;4.3;4.1;4.0;4.0;4.9;28.0
35;1100;Totaal 18 jaar of ouder;1000;0;Hoger opleidingsniveau;2009;960.0;178.0;97.0;358.0;202.0;49.0;211.0;4.6;2.9;3.7;4.1;4.3;5.0;4.4;29.0
36;1100;Totaal 18 jaar of ouder;1000;0;Opleidingsniveau onbekend;2001;;;;;;;;;;;;;;;
37;1100;Totaal 18 jaar of ouder;1000;0;Opleidingsniveau onbekend;2002;5.0;;;;;;;;;;;;;;
