ID;Periods;TotalRevenues_1;TotalRevenuesCurrentAccounts_2;Levies_3;OtherRevenues_4;RevenuesCapitalAccounts_5;TotalExpenditure_6;ExpenditureCurrentAccounts_7;ExpenditureCapitalAccounts_8;BalanceOfRevenuesAndExpenditure_9;TotalDebtAtYearEnd_10;LongTermDebt_11;ShortTermDebt_12
0;1900;158;43;12;31;115;161;52;108;-3;160;118;42
1;1901;166;36;10;26;130;167;59;109;-1;147;114;32
2;1902;181;38;14;25;142;174;62;111;7;161;123;38
3;1903;184;42;13;29;141;179;66;112;5;172;131;41
4;1904;187;48;13;35;139;182;70;113;5;184;140;44
5;1905;197;54;15;39;143;186;67;119;11;208;154;55
6;1906;205;57;16;41;148;195;77;118;10;217;163;54
7;1907;211;64;16;48;147;196;78;117;15;231;173;58
8;1908;217;72;16;55;145;199;82;117;18;247;184;63
9;1909;232;77;20;58;154;206;89;116;26;255;183;72
10;1910;234;85;18;67;149;211;94;117;23;260;191;68
11;1911;241;96;21;75;145;216;99;117;26;301;216;84
12;1912;256;105;24;81;151;222;102;120;33;324;232;92
13;1913;259;115;25;90;144;233;111;122;26;363;262;101
14;1914;259;103;26;78;155;247;126;122;11;410;297;112
15;1915;261;122;24;98;139;274;147;127;-13;358;264;94
16;1916;287;143;35;108;143;295;151;144;-9;435;320;115
17;1917;301;156;43;113;145;306;177;129;-5;514;376;138
18;1918;303;161;39;122;142;334;195;140;-31;528;395;133
19;1919;394;171;86;85;222;386;203;183;8;530;376;153
20;1920;405;187;104;83;218;390;211;179;15;605;446;158
21;1921;453;187;69;118;266;397;217;181;56;662;447;215
22;1922;405;195;70;126;210;395;220;175;10;772;547;225
23;1923;380;207;74;134;172;407;244;164;-28;828;600;228
24;1924;356;218;76;142;138;430;259;171;-74;991;724;267
25;1925;384;196;97;99;189;502;270;232;-118;1201;886;315
26;1926;378;211;92;120;167;459;310;149;-81;1073;787;286
27;1927;385;228;95;133;157;475;332;143;-90;1137;840;297
28;1928;403;237;60;177;166;481;284;197;-78;1208;896;313
29;1929;423;257;65;192;166;486;296;190;-63;1277;937;340
30;1930;435;297;116;181;138;477;369;108;-42;1503;1072;432
31;1931;440;314;78;236;126;449;318;131;-8;1403;1000;403
32;1932;445;342;84;258;103;438;346;92;8;1528;1090;439
33;1933;441;380;81;299;61;443;374;69;-2;1595;1150;445
34;1934;472;384;68;317;88;440;372;68;32;1634;1166;468
35;1935;508;429;76;353;79;491;444;47;17;1688;1171;517
36;1936;481;391;70;321;90;496;445;51;-15;1695;1202;493
37;1937;518;398;73;325;120;507;421;86;11;1710;1208;502
38;1938;519;411;76;335;108;514;433;81;5;1726;1214;511
39;1939;538;433;77;356;105;542;464;78;-4;1737;1234;503
40;1940;580;472;79;393;108;575;492;83;5;1789;1252;537
41;1941;622;515;60;455;107;628;516;112;-6;1767;1223;544
42;1942;631;526;74;452;105;599;515;84;32;1755;1195;560
43;1943;572;452;76;376;120;592;510;82;-20;1760;1199;561
44;1944;664;564;66;498;100;699;626;73;-35;1770;1191;579
45;1945;861;756;72;684;105;992;884;108;-132;1869;1192;677
46;1946;941;779;113;666;161;1019;869;149;-78;1894;1170;724
47;1947;990;560;87;473;429;1125;860;265;-136;1981;1313;668
48;1948;1162;766;94;672;396;1390;1004;386;-228;2209;1465;744
49;1949;1064;564;103;461;500;1265;855;410;-201;2545;1671;875
50;1950;1114;690;139;551;424;1428;863;565;-313;2935;1904;1031
51;1951;1200;852;67;785;348;1621;901;719;-421;3222;1916;1306
52;1952;1486;1214;69;1145;272;1862;988;874;-376;3399;2567;832
53;1953;1488;1114;92;1022;374;1572;1045;527;-84;3890;2841;1049
54;1954;1665;1287;87;1200;377;1758;1186;573;-94;4354;3140;1213
55;1955;1842;1461;88;1373;380;1945;1327;618;-103;4823;3440;1383
56;1956;1901;1531;78;1453;370;2186;1441;744;-285;5527;3732;1795
57;1957;1960;1601;81;1520;359;2426;1555;871;-466;6487;3801;2685
58;1958;2173;1724;87;1637;449;2550;1684;866;-377;7356;4801;2556
59;1959;2313;1855;91;1764;458;2731;1815;916;-418;8202;5575;2628
60;1960;2596;2085;98;1987;511;2894;1958;935;-298;9004;6479;2525
61;1961;2869;2275;109;2166;595;3133;2117;1016;-264;9693;7066;2627
