ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;TotaleOppervlakte_4;TotaalVerkeersterrein_5;Spoorterrein_6;Wegverkeersterrein_7;Vliegveld_8;TotaalBebouwdTerrein_9;Woonterrein_10;TerreinVoorDetailhandelEnHoreca_11;TerreinVoorOpenbareVoorzieningen_12;TerreinVoorSociaalCultureleVoorz_13;Bedrijventerrein_14;TotaalSemiBebouwdTerrein_15;Stortplaats_16;Wrakkenopslagplaats_17;Begraafplaats_18;Delfstofwinplaats_19;Bouwterrein_20;SemiVerhardOverigTerrein_21;TotaalRecreatieterrein_22;ParkEnPlantsoen_23;Sportterrein_24;Volkstuin_25;DagrecreatiefTerrein_26;VerblijfsrecreatiefTerrein_27;TotaalAgrarischTerrein_28;TerreinVoorGlastuinbouw_29;OverigAgrarischTerrein_30;TotaalBosEnOpenNatuurlijkTerrein_31;Bos_32;OpenDroogNatuurlijkTerrein_33;OpenNatNatuurlijkTerrein_34;TotaalBinnenwater_35;IJsselmeerMarkermeer_36;AfgeslotenZeearm_37;RijnEnMaas_38;Randmeer_39;Spaarbekken_40;RecreatiefBinnenwater_41;BinnenwaterVoorDelfstofwinning_42;VloeiEnOfSlibveld_43;OverigBinnenwater_44;TotaalBuitenwater_45;WaddenzeeEemsDollard_46;Oosterschelde_47;Westerschelde_48;Noordzee_49
0;Nederland;Nederland                               ;Land      ;NL00      ;4154302;115108;8845;103836;2426;370140;241408;12028;12057;16463;88184;39221;1930;429;4540;3147;25046;4129;108335;32863;36288;3608;11526;24051;2230445;15766;2214680;501461;340646;93780;67035;374381;182893;31982;18178;15514;1240;11104;2976;484;110008;415211;254432;34578;29812;96389
1;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;27887;597;0;597;0;972;753;13;17;79;109;91;0;0;52;23;15;0;569;29;162;6;9;363;18749;0;18749;6628;5085;907;636;281;0;0;0;0;0;71;25;4;180;0;0;0;0;0
2;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1478;34;0;34;0;120;106;1;4;2;6;0;0;0;0;0;0;0;23;5;11;0;0;7;1195;0;1195;93;53;0;40;13;0;0;0;0;0;0;0;0;13;0;0;0;0;0
3;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;252;7;0;7;0;112;102;1;0;2;6;0;0;0;0;0;0;0;13;5;8;0;0;0;117;0;117;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;1226;27;0;27;0;8;3;0;4;0;0;0;0;0;0;0;0;0;10;0;3;0;0;7;1078;0;1078;90;49;0;40;13;0;0;0;0;0;0;0;0;13;0;0;0;0;0
5;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1789;43;0;43;0;52;48;0;3;0;1;29;0;0;29;0;0;0;66;0;13;0;0;52;1141;0;1141;454;398;20;36;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
6;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;171;7;0;7;0;48;47;0;0;0;1;1;0;0;1;0;0;0;10;0;4;0;0;5;100;0;100;4;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
7;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;1618;36;0;36;0;4;0;0;3;0;0;28;0;0;28;0;0;0;56;0;9;0;0;47;1041;0;1041;450;394;20;36;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
8;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;816;14;0;14;0;16;16;0;0;0;0;3;0;0;3;0;0;0;9;2;0;0;0;7;496;0;496;278;248;30;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;57;2;0;2;0;14;14;0;0;0;0;3;0;0;3;0;0;0;1;0;0;0;0;1;37;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;759;12;0;12;0;1;1;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;5;459;0;459;278;248;30;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;914;12;0;12;0;20;20;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;668;0;668;204;82;46;75;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0
12;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;54;2;0;2;0;20;20;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;22;0;22;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
