ID;Persoonskenmerken;WerkzameBeroepsbevolking_1;Cursusdeelnemers_2;NietCursusdeelnemers_3;Cursusdeelnemers_4
0;1;6669;2370.0;4299;35.5
1;2;3880;1416.0;2464;36.5
2;3;2789;955.0;1834;34.2
3;4;1749;730.0;1019;41.7
4;5;2128;738.0;1390;34.7
5;6;1855;621.0;1234;33.5
6;7;937;281.0;656;29.9
7;8;5976;2132.0;3844;35.7
8;9;467;181.0;286;38.7
9;10;226;57.0;169;25.3
10;11;1331;210.0;1121;15.8
11;12;2853;904.0;1949;31.7
12;13;2440;1248.0;1192;51.1
13;14;45;8.0;37;18.0
14;15;5281;1981.0;3300;37.5
15;16;382;82.0;301;21.4
16;17;1006;308.0;698;30.6
17;18;628;135.0;493;21.5
18;19;1124;346.0;778;30.8
19;20;829;333.0;496;40.2
20;21;4088;1556.0;2532;38.1
21;22;34;;34;
22;23;1595;580.0;1015;36.3
23;24;983;395.0;588;40.2
24;25;1657;556.0;1102;33.5
25;26;2400;840.0;1560;35.0
26;27;184;34.0;150;18.5
27;28;953;272.0;681;28.5
28;29;485;108.0;377;22.2
29;30;747;188.0;559;25.2
30;31;149;10.0;139;7.0
31;32;412;97.0;315;23.6
32;33;237;134.0;103;56.4
33;34;848;342.0;507;40.3
34;35;570;312.0;259;54.6
35;36;460;235.0;225;51.1
36;37;1140;473.0;667;41.5
37;38;206;80.0;126;38.6
38;39;2;;2;
39;40;1215;340.0;875;28.0
40;41;1183;333.0;850;28.1
41;42;4169;1667.0;2502;40.0
42;43;101;30.0;71;29.5
