ID;Leeftijd;Perioden;TotaalAantalHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;k_2Personen_4;k_3Personen_5;k_4Personen_6;k_5OfMeerPersonen_7
0;Totaal over alle leeftijden;2007;7199519;2556154;4643365;2335159;896248;972100;439858
1;Totaal over alle leeftijden;2008;7246925;2599010;4647915;2340956;893957;976697;436305
2;Totaal over alle leeftijden;2009;7295896;2642453;4653443;2346612;893838;980645;432348
3;Totaal over alle leeftijden;2010;7346499;2686484;4660015;2353653;895323;983408;427631
4;Totaal over alle leeftijden;2011;7398130;2730786;4667344;2362245;897476;984925;422698
5;Totaal over alle leeftijden;2012;7450228;2775192;4675036;2372257;899753;985535;417491
6;Totaal over alle leeftijden;2013;7502026;2819240;4682786;2383480;901783;985194;412329
7;Totaal over alle leeftijden;2014;7552535;2862349;4690186;2395940;903258;984159;406829
8;Totaal over alle leeftijden;2015;7601343;2904423;4696920;2408479;904277;982764;401400
9;Totaal over alle leeftijden;2016;7648480;2945577;4702903;2420198;905241;981322;396142
10;Totaal over alle leeftijden;2017;7694051;2986107;4707944;2430013;906235;980461;391235
11;Totaal over alle leeftijden;2018;7738052;3026050;4712002;2438673;907060;979674;386595
12;Totaal over alle leeftijden;2019;7780463;3065316;4715147;2445467;908014;979122;382544
13;Totaal over alle leeftijden;2020;7820760;3103466;4717294;2452236;908562;977719;378777
14;Totaal over alle leeftijden;2021;7859056;3140506;4718550;2458420;908508;976038;375584
15;Totaal over alle leeftijden;2022;7895836;3176652;4719184;2464657;907449;974029;373049
16;Totaal over alle leeftijden;2023;7930416;3211330;4719086;2471883;904790;971391;371022
17;Totaal over alle leeftijden;2024;7962408;3244168;4718240;2479399;900514;968717;369610
18;Totaal over alle leeftijden;2025;7991615;3275068;4716547;2486350;895060;966412;368725
19;Totaal over alle leeftijden;2026;8017994;3304066;4713928;2492095;888853;964638;368342
20;Totaal over alle leeftijden;2027;8041428;3331183;4710245;2495943;882339;963561;368402
21;Totaal over alle leeftijden;2028;8061840;3356453;4705387;2497542;875794;963267;368784
22;Totaal over alle leeftijden;2029;8079246;3379873;4699373;2496774;869486;963696;369417
23;Totaal over alle leeftijden;2030;8093557;3401353;4692204;2493754;863515;964752;370183
24;Totaal over alle leeftijden;2031;8104890;3420813;4684077;2488776;857934;966350;371017
25;Totaal over alle leeftijden;2032;8113425;3438449;4674976;2481962;852783;968367;371864
26;Totaal over alle leeftijden;2033;8119394;3454098;4665296;2473909;848067;970649;372671
