ID;GeslachtWerknemer;Dienstverband;CaoSector;Bedrijfsgrootte;Perioden;Banen_1;Arbeidsvolume_2;Uurloon_3;MaandloonInclusiefOverwerk_4;MaandloonExclusiefOverwerk_5;JaarloonInclusiefBijzondereBeloning_6;JaarloonExclusiefBijzondereBeloning_7;BijzondereBeloning_8;BijtellingAutoVanDeZaak_9;PerBaanPerWeekInclusiefOverwerk_10;PerBaanPerWeekExclusiefOverwerk_11;PerBaanPerJaar_12;PerArbeidsjaar_13
0;Totaal;Totaal;Totaal;Totaal;2006;7532.0;5715.0;18.39;2061.0;2027.0;28280.0;24730.0;3550.0;420.0;29.2;28.8;1322.0;1743.0
1;Totaal;Totaal;Totaal;Totaal;2007;7757.0;5904.0;18.9;2104.0;2068.0;28990.0;25250.0;3740.0;440.0;29.3;28.9;1313.0;1725.0
2;Totaal;Totaal;Totaal;Totaal;2008;7881.0;6010.0;19.5;2171.0;2136.0;29960.0;26050.0;3910.0;510.0;29.3;28.9;1314.0;1724.0
3;Totaal;Totaal;Totaal;Totaal;2009;7819.0;5923.0;20.01;2229.0;2198.0;30700.0;26750.0;3950.0;510.0;29.2;28.8;1318.0;1740.0
4;Totaal;Totaal;Totaal;Minder dan 10 werknemers;2006;1246.0;854.0;17.61;1787.0;1770.0;23450.0;21450.0;2000.0;750.0;26.5;26.3;1206.0;1759.0
5;Totaal;Totaal;Totaal;Minder dan 10 werknemers;2007;1255.0;862.0;18.03;1813.0;1794.0;23770.0;21760.0;2010.0;750.0;26.5;26.2;1194.0;1740.0
6;Totaal;Totaal;Totaal;Minder dan 10 werknemers;2008;1001.0;720.0;19.63;2075.0;2057.0;27280.0;24900.0;2380.0;1010.0;27.8;27.6;1257.0;1749.0
7;Totaal;Totaal;Totaal;Minder dan 10 werknemers;2009;998.0;722.0;20.28;2172.0;2156.0;28420.0;26060.0;2350.0;1040.0;28.0;27.8;1275.0;1763.0
8;Totaal;Totaal;Totaal;10 tot 100 werknemers;2006;1908.0;1474.0;17.06;2006.0;1951.0;27210.0;24070.0;3140.0;530.0;30.5;29.9;1373.0;1777.0
9;Totaal;Totaal;Totaal;10 tot 100 werknemers;2007;1997.0;1545.0;17.5;2039.0;1983.0;27700.0;24470.0;3240.0;550.0;30.6;29.9;1360.0;1758.0
10;Totaal;Totaal;Totaal;10 tot 100 werknemers;2008;2033.0;1555.0;17.95;2064.0;2010.0;27980.0;24770.0;3220.0;630.0;30.1;29.5;1344.0;1757.0
