ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6;EmployedPersons_7;Jobs_8;EmployedPersonsSeasonalAdjusted_9;JobsSeasonalAdjusted_10
0;Total;A-U All economic activities;1995 1st quarter;7132.0;7215.0;7913.0;8000.0;2711.0;2651.0;;;;
1;Total;A-U All economic activities;1995 2nd quarter;7273.0;7249.0;8069.0;8043.0;2615.0;2708.0;;;34.0;42.0
2;Total;A-U All economic activities;1995 3rd quarter;7363.0;7297.0;8167.0;8097.0;2549.0;2758.0;;;48.0;54.0
3;Total;A-U All economic activities;1995 4th quarter;7351.0;7358.0;8158.0;8167.0;2980.0;2826.0;;;61.0;70.0
4;Total;A-U All economic activities;1995;7281.0;;8078.0;;10856.0;;;;;
5;Total;A-U All economic activities;1996 1st quarter;7281.0;7367.0;8097.0;8187.0;2800.0;2761.0;149.0;185.0;9.0;20.0
6;Total;A-U All economic activities;1996 2nd quarter;7436.0;7410.0;8270.0;8241.0;2702.0;2793.0;163.0;201.0;43.0;54.0
7;Total;A-U All economic activities;1996 3rd quarter;7522.0;7452.0;8360.0;8286.0;2628.0;2819.0;159.0;193.0;43.0;45.0
8;Total;A-U All economic activities;1996 4th quarter;7494.0;7508.0;8326.0;8341.0;3066.0;2888.0;143.0;168.0;56.0;55.0
9;Total;A-U All economic activities;1996;7434.0;;8264.0;;11196.0;;153.0;186.0;;
10;Total;A-U All economic activities;1997 1st quarter;7485.0;7569.0;8290.0;8383.0;2851.0;2859.0;204.0;193.0;61.0;42.0
11;Total;A-U All economic activities;1997 2nd quarter;7658.0;7629.0;8475.0;8444.0;2830.0;2892.0;222.0;205.0;60.0;61.0
12;Total;A-U All economic activities;1997 3rd quarter;7766.0;7694.0;8590.0;8512.0;2685.0;2886.0;244.0;230.0;65.0;69.0
13;Total;A-U All economic activities;1997 4th quarter;7729.0;7739.0;8553.0;8564.0;3063.0;2896.0;236.0;226.0;45.0;52.0
14;Total;A-U All economic activities;1997;7661.0;;8478.0;;11429.0;;227.0;214.0;;
15;Total;A-U All economic activities;1998 1st quarter;7679.0;7773.0;8521.0;8622.0;2957.0;2928.0;193.0;230.0;35.0;58.0
16;Total;A-U All economic activities;1998 2nd quarter;7853.0;7820.0;8714.0;8679.0;2848.0;2933.0;195.0;239.0;47.0;57.0
17;Total;A-U All economic activities;1998 3rd quarter;7937.0;7865.0;8807.0;8728.0;2738.0;2950.0;171.0;217.0;45.0;49.0
18;Total;A-U All economic activities;1998 4th quarter;7888.0;7908.0;8755.0;8782.0;3127.0;2936.0;158.0;202.0;43.0;54.0
19;Total;A-U All economic activities;1998;7840.0;;8700.0;;11670.0;;179.0;222.0;;
20;Total;A-U All economic activities;1999 1st quarter;7912.0;7999.0;8774.0;8866.0;3015.0;2976.0;233.0;253.0;91.0;83.0
21;Total;A-U All economic activities;1999 2nd quarter;8080.0;8046.0;8960.0;8924.0;2914.0;2997.0;227.0;246.0;47.0;58.0
22;Total;A-U All economic activities;1999 3rd quarter;8156.0;8083.0;9043.0;8962.0;2789.0;3013.0;219.0;236.0;38.0;38.0
23;Total;A-U All economic activities;1999 4th quarter;8113.0;8122.0;8996.0;9001.0;3275.0;3048.0;226.0;241.0;38.0;39.0
24;Total;A-U All economic activities;1999;8066.0;;8944.0;;11993.0;;226.0;244.0;;
25;Total;A-U All economic activities;2000 1st quarter;8045.0;8142.0;8902.0;9012.0;3151.0;3044.0;133.0;128.0;20.0;11.0
26;Total;A-U All economic activities;2000 2nd quarter;8229.0;8193.0;9102.0;9064.0;2996.0;3084.0;149.0;142.0;51.0;52.0
27;Total;A-U All economic activities;2000 3rd quarter;8314.0;8241.0;9191.0;9109.0;2775.0;3030.0;157.0;148.0;48.0;46.0
28;Total;A-U All economic activities;2000 4th quarter;8269.0;8283.0;9136.0;9146.0;3182.0;3048.0;155.0;141.0;42.0;37.0
29;Total;A-U All economic activities;2000;8214.0;;9083.0;;12103.0;;148.0;139.0;;
30;Total;A-U All economic activities;2001 1st quarter;8236.0;8329.0;9061.0;9170.0;3159.0;3077.0;191.0;159.0;46.0;23.0
31;Total;A-U All economic activities;2001 2nd quarter;8399.0;8364.0;9233.0;9195.0;2996.0;3089.0;170.0;131.0;34.0;25.0
32;Total;A-U All economic activities;2001 3rd quarter;8470.0;8398.0;9307.0;9226.0;2834.0;3094.0;157.0;116.0;35.0;32.0
33;Total;A-U All economic activities;2001 4th quarter;8400.0;8419.0;9228.0;9246.0;3271.0;3101.0;131.0;92.0;21.0;20.0
34;Total;A-U All economic activities;2001;8377.0;;9208.0;;12260.0;;163.0;125.0;;
35;Total;A-U All economic activities;2002 1st quarter;8343.0;8430.0;9160.0;9259.0;3131.0;3078.0;107.0;99.0;11.0;14.0
36;Total;A-U All economic activities;2002 2nd quarter;8478.0;8440.0;9309.0;9265.0;2977.0;3079.0;78.0;76.0;9.0;5.0
37;Total;A-U All economic activities;2002 3rd quarter;8505.0;8444.0;9337.0;9268.0;2856.0;3080.0;35.0;30.0;4.0;3.0
38;Total;A-U All economic activities;2002 4th quarter;8417.0;8446.0;9237.0;9267.0;3234.0;3067.0;17.0;9.0;2.0;-1.0
39;Total;A-U All economic activities;2002;8436.0;;9261.0;;12198.0;;59.0;53.0;;
40;Total;A-U All economic activities;2003 1st quarter;8357.0;8421.0;9158.0;9232.0;3120.0;3062.0;15.0;-2.0;-25.0;-35.0
41;Total;A-U All economic activities;2003 2nd quarter;8426.0;8395.0;9240.0;9202.0;2933.0;3046.0;-52.0;-69.0;-26.0;-30.0
42;Total;A-U All economic activities;2003 3rd quarter;8428.0;8369.0;9242.0;9179.0;2821.0;3036.0;-77.0;-94.0;-27.0;-23.0
43;Total;A-U All economic activities;2003 4th quarter;8339.0;8362.0;9147.0;9176.0;3181.0;3017.0;-78.0;-90.0;-7.0;-3.0
44;Total;A-U All economic activities;2003;8388.0;;9197.0;;12055.0;;-48.0;-64.0;;
45;Total;A-U All economic activities;2004 1st quarter;8220.0;8291.0;9060.0;9137.0;3122.0;3029.0;-137.0;-98.0;-71.0;-39.0
46;Total;A-U All economic activities;2004 2nd quarter;8330.0;8296.0;9182.0;9144.0;2905.0;3027.0;-96.0;-58.0;6.0;7.0
47;Total;A-U All economic activities;2004 3rd quarter;8360.0;8304.0;9219.0;9159.0;2821.0;3029.0;-68.0;-24.0;8.0;15.0
48;Total;A-U All economic activities;2004 4th quarter;8262.0;8293.0;9118.0;9154.0;3245.0;3019.0;-76.0;-28.0;-11.0;-5.0
49;Total;A-U All economic activities;2004;8293.0;;9145.0;;12093.0;;-94.0;-52.0;;
50;Total;A-U All economic activities;2005 1st quarter;8263.0;8321.0;9138.0;9194.0;3075.0;3007.0;43.0;78.0;29.0;40.0
51;Total;A-U All economic activities;2005 2nd quarter;8377.0;8342.0;9262.0;9222.0;2949.0;3021.0;47.0;81.0;21.0;28.0
52;Total;A-U All economic activities;2005 3rd quarter;8408.0;8360.0;9298.0;9249.0;2830.0;3032.0;49.0;79.0;18.0;27.0
53;Total;A-U All economic activities;2005 4th quarter;8335.0;8370.0;9216.0;9262.0;3200.0;3042.0;73.0;98.0;10.0;13.0
54;Total;A-U All economic activities;2005;8346.0;;9229.0;;12054.0;;53.0;84.0;;
55;Total;A-U All economic activities;2006 1st quarter;8402.0;8448.0;9299.0;9347.0;3209.0;3071.0;139.0;161.0;78.0;85.0
56;Total;A-U All economic activities;2006 2nd quarter;8514.0;8478.0;9432.0;9390.0;2953.0;3062.0;137.0;170.0;30.0;42.0
57;Total;A-U All economic activities;2006 3rd quarter;8578.0;8536.0;9511.0;9465.0;2866.0;3094.0;170.0;213.0;57.0;76.0
58;Total;A-U All economic activities;2006 4th quarter;8610.0;8640.0;9548.0;9586.0;3255.0;3129.0;275.0;332.0;104.0;120.0
59;Total;A-U All economic activities;2006;8527.0;;9448.0;;12283.0;;180.0;220.0;;
60;Total;A-U All economic activities;2007 1st quarter;8634.0;8680.0;9589.0;9634.0;3275.0;3164.0;232.0;289.0;40.0;49.0
61;Total;A-U All economic activities;2007 2nd quarter;8789.0;8758.0;9760.0;9726.0;3041.0;3188.0;275.0;327.0;79.0;92.0
62;Total;A-U All economic activities;2007 3rd quarter;8855.0;8812.0;9839.0;9792.0;2960.0;3189.0;277.0;329.0;54.0;66.0
63;Total;A-U All economic activities;2007 4th quarter;8825.0;8845.0;9807.0;9835.0;3358.0;3198.0;215.0;258.0;33.0;44.0
64;Total;A-U All economic activities;2007;8777.0;;9749.0;;12635.0;;250.0;301.0;;
65;Total;A-U All economic activities;2008 1st quarter;8847.0;8895.0;9845.0;9893.0;3307.0;3226.0;214.0;257.0;49.0;57.0
66;Total;A-U All economic activities;2008 2nd quarter;8940.0;8919.0;9953.0;9922.0;3106.0;3232.0;151.0;194.0;24.0;30.0
67;Total;A-U All economic activities;2008 3rd quarter;8969.0;8928.0;9988.0;9946.0;3032.0;3223.0;115.0;149.0;9.0;24.0
68;Total;A-U All economic activities;2008 4th quarter;8916.0;8917.0;9930.0;9943.0;3390.0;3228.0;91.0;123.0;-11.0;-4.0
69;Total;A-U All economic activities;2008;8919.0;;9929.0;;12835.0;;142.0;180.0;;
70;Total;A-U All economic activities;2009 1st quarter;8847.0;8899.0;9875.0;9924.0;3287.0;3215.0;-1.0;29.0;-18.0;-19.0
71;Total;A-U All economic activities;2009 2nd quarter;8866.0;8844.0;9893.0;9857.0;3022.0;3182.0;-74.0;-60.0;-55.0;-67.0
72;Total;A-U All economic activities;2009 3rd quarter;8844.0;8808.0;9864.0;9833.0;2983.0;3152.0;-125.0;-124.0;-36.0;-24.0
73;Total;A-U All economic activities;2009 4th quarter;8802.0;8801.0;9824.0;9836.0;3355.0;3163.0;-114.0;-106.0;-7.0;3.0
74;Total;A-U All economic activities;2009;8840.0;;9864.0;;12647.0;;-79.0;-66.0;;
75;Total;A-U All economic activities;2010 1st quarter;8689.0;8746.0;9727.0;9780.0;3180.0;3123.0;-157.0;-148.0;-55.0;-56.0
76;Total;A-U All economic activities;2010 2nd quarter;8800.0;8778.0;9876.0;9837.0;2952.0;3141.0;-66.0;-17.0;33.0;57.0
77;Total;A-U All economic activities;2010 3rd quarter;8821.0;8789.0;9875.0;9846.0;3027.0;3179.0;-23.0;11.0;11.0;9.0
78;Total;A-U All economic activities;2010 4th quarter;8804.0;8802.0;9850.0;9860.0;3396.0;3176.0;2.0;26.0;13.0;15.0
79;Total;A-U All economic activities;2010;8779.0;;9832.0;;12555.0;;-61.0;-31.0;;
80;Total;A-U All economic activities;2011 1st quarter;8779.0;8820.0;9876.0;9915.0;3246.0;3169.0;90.0;149.0;17.0;55.0
81;Total;A-U All economic activities;2011 2nd quarter;8858.0;8849.0;9989.0;9959.0;3018.0;3142.0;58.0;113.0;29.0;44.0
82;Total;A-U All economic activities;2011 3rd quarter;8897.0;8858.0;10002.0;9972.0;3051.0;3192.0;76.0;128.0;9.0;13.0
83;Total;A-U All economic activities;2011 4th quarter;8863.0;8855.0;9976.0;9970.0;3347.0;3202.0;59.0;126.0;-3.0;-2.0
84;Total;A-U All economic activities;2011;8850.0;;9961.0;;12662.0;;71.0;129.0;;
85;Total;A-U All economic activities;2012 1st quarter;8791.0;8856.0;9885.0;9964.0;3281.0;3179.0;11.0;9.0;1.0;-6.0
86;Total;A-U All economic activities;2012 2nd quarter;8862.0;8843.0;9992.0;9944.0;3030.0;3173.0;4.0;3.0;-13.0;-19.0
87;Total;A-U All economic activities;2012 3rd quarter;8843.0;8815.0;9932.0;9911.0;2978.0;3144.0;-54.0;-70.0;-28.0;-33.0
88;Total;A-U All economic activities;2012 4th quarter;8813.0;8783.0;9900.0;9870.0;3261.0;3128.0;-50.0;-76.0;-31.0;-41.0
89;Total;A-U All economic activities;2012;8827.0;;9927.0;;12549.0;;-22.0;-34.0;;
90;Total;A-U All economic activities;2013 1st quarter;8670.0;8744.0;9730.0;9817.0;3157.0;3121.0;-121.0;-155.0;-39.0;-54.0
91;Total;A-U All economic activities;2013 2nd quarter;8739.0;8724.0;9832.0;9795.0;3016.0;3146.0;-123.0;-160.0;-21.0;-22.0
92;Total;A-U All economic activities;2013 3rd quarter;8756.0;8714.0;9821.0;9782.0;2997.0;3137.0;-87.0;-111.0;-10.0;-13.0
93;Total;A-U All economic activities;2013 4th quarter;8710.0;8705.0;9765.0;9769.0;3270.0;3140.0;-103.0;-134.0;-9.0;-13.0
94;Total;A-U All economic activities;2013;8719.0;;9787.0;;12439.0;;-108.0;-140.0;;
95;Total;A-U All economic activities;2014 1st quarter;8610.0;8690.0;9665.0;9754.0;3182.0;3150.0;-60.0;-64.0;-16.0;-14.0
96;Total;A-U All economic activities;2014 2nd quarter;8725.0;8701.0;9824.0;9769.0;3024.0;3114.0;-14.0;-8.0;11.0;15.0
97;Total;A-U All economic activities;2014 3rd quarter;8731.0;8710.0;9794.0;9788.0;3020.0;3165.0;-25.0;-27.0;9.0;19.0
98;Total;A-U All economic activities;2014 4th quarter;8755.0;8722.0;9846.0;9816.0;3297.0;3166.0;45.0;81.0;12.0;29.0
99;Total;A-U All economic activities;2014;8706.0;;9783.0;;12524.0;;-13.0;-4.0;;
100;Total;A-U All economic activities;2015 1st quarter;8653.0;8738.0;9745.0;9844.0;3180.0;3153.0;43.0;80.0;16.0;28.0
101;Total;A-U All economic activities;2015 2nd quarter;8784.0;8761.0;9923.0;9877.0;3019.0;3161.0;59.0;99.0;23.0;32.0
