ID;Perioden;Omzetindices_1;VoortschrijdendeIndices_2;Omzetontwikkeling_3;CumulatieveOmzetontwikkeling_4
0;1995 1e kwartaal;37;;;
1;1995 2e kwartaal;37;;;
2;1995 3e kwartaal;37;;;
3;1995 4e kwartaal;45;39.0;;
4;1995;39;;;
5;1996 1e kwartaal;46;41.0;25.3;25.3
6;1996 2e kwartaal;46;43.0;22.8;24.0
7;1996 3e kwartaal;47;46.0;25.7;24.6
8;1996 4e kwartaal;55;48.0;22.1;23.9
9;1996;48;;23.9;23.9
10;1997 1e kwartaal;57;51.0;24.5;24.5
11;1997 2e kwartaal;60;55.0;32.2;28.3
12;1997 3e kwartaal;62;58.0;32.2;29.6
13;1997 4e kwartaal;75;63.0;36.1;31.5
14;1997;63;;31.5;31.5
15;1998 1e kwartaal;69;66.0;20.4;20.4
16;1998 2e kwartaal;75;70.0;25.2;22.9
17;1998 3e kwartaal;76;74.0;23.3;23.0
18;1998 4e kwartaal;91;78.0;21.5;22.6
19;1998;78;;22.6;22.6
20;1999 1e kwartaal;85;82.0;24.2;24.2
21;1999 2e kwartaal;87;85.0;15.5;19.6
22;1999 3e kwartaal;88;88.0;16.1;18.4
23;1999 4e kwartaal;99;90.0;9.0;15.7
24;1999;90;;15.7;15.7
25;2000 1e kwartaal;95;92.0;11.6;11.6
26;2000 2e kwartaal;97;95.0;11.3;11.5
27;2000 3e kwartaal;93;96.0;5.3;9.4
28;2000 4e kwartaal;115;100.0;15.9;11.2
29;2000;100;;11.2;11.2
30;2001 1e kwartaal;109;103.0;13.8;13.8
31;2001 2e kwartaal;110;107.0;13.3;13.5
32;2001 3e kwartaal;104;109.0;12.0;13.0
33;2001 4e kwartaal;117;110.0;2.0;9.9
34;2001;110;;9.9;9.9
35;2002 1e kwartaal;106;109.0;-2.3;-2.3
36;2002 2e kwartaal;107;108.0;-3.0;-2.6
37;2002 3e kwartaal;103;108.0;-1.4;-2.2
38;2002 4e kwartaal;111;106.0;-5.6;-3.1
39;2002;106;;-3.1;-3.1
40;2003 1e kwartaal;104;106.0;-1.9;-1.9
41;2003 2e kwartaal;103;105.0;-3.5;-2.7
42;2003 3e kwartaal;95;103.0;-7.1;-4.1
43;2003 4e kwartaal;111;103.0;0.5;-2.9
44;2003;103;;-2.9;-2.9
45;2004 1e kwartaal;103;103.0;-0.7;-0.7
46;2004 2e kwartaal;104;103.0;0.9;0.1
47;2004 3e kwartaal;100;104.0;4.5;1.5
48;2004 4e kwartaal;119;106.0;6.9;3.0
49;2004;106;;3.0;3.0
50;2005 1e kwartaal;108;108.0;4.7;4.7
51;2005 2e kwartaal;111;109.0;7.2;5.9
52;2005 3e kwartaal;108;112.0;8.8;6.9
53;2005 4e kwartaal;129;114.0;8.3;7.3
54;2005;114;;7.3;7.3
55;2006 1e kwartaal;122;117.0;12.4;12.4
56;2006 2e kwartaal;124;121.0;11.2;11.8
57;2006 3e kwartaal;120;124.0;10.8;11.5
58;2006 4e kwartaal;146;128.0;13.1;11.9
59;2006;128;;11.9;11.9
60;2007 1e kwartaal;138;132.0;13.4;13.4
61;2007 2e kwartaal;140;136.0;13.4;13.4
62;2007 3e kwartaal;138;140.0;14.5;13.7
63;2007 4e kwartaal;159;144.0;9.3;12.5
64;2007;144;;12.5;12.5
65;2008 1e kwartaal;148;146.0;7.6;7.6
66;2008 2e kwartaal;153;150.0;9.2;8.4
67;2008 3e kwartaal;149;152.0;8.1;8.3
68;2008 4e kwartaal;167;154.0;5.0;7.4
69;2008;154;;7.4;7.4
