ID;BedrijfstakkenEnSectoren;TypeKapitaalgoederen;Perioden;KapitaalgoederenvoorraadBeginbalans_1;Herwaardering_2;InvestInVasteActivaProdEnInvoer_3;Afschrijvingen_4;HandelEnOverigeMutaties_5;StatistischVerschil_6;KapitaalgoederenvoorraadEindbalans_7;VolumeIndexcijfers2021100_8
0;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1995;961421.0;32796.0;69719.0;52833.0;-1268.0;0.0;1009835.0;66.6
1;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1996;1009835.0;24921.0;75047.0;54636.0;-1177.0;-1.0;1053989.0;67.8
2;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1997;1053989.0;19491.0;80777.0;57022.0;-1351.0;-1.0;1095883.0;69.2
3;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1998;1095883.0;24066.0;87287.0;59840.0;-1357.0;0.0;1146039.0;70.8
4;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1999;1146039.0;32246.0;97195.0;63647.0;-1381.0;0.0;1210452.0;72.8
5;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2000;1210452.0;55834.0;102972.0;69100.0;-1318.0;0.0;1298840.0;74.6
6;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2001;1298840.0;64924.0;108426.0;74568.0;-1975.0;0.0;1395647.0;76.4
7;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2002;1395647.0;64723.0;107485.0;79465.0;-1937.0;0.0;1486453.0;77.7
8;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2003;1486453.0;45594.0;107773.0;82836.0;-2266.0;-1.0;1554717.0;78.9
9;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2004;1554717.0;31623.0;109457.0;85821.0;-2366.0;1.0;1607611.0;80.0
10;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2005;1607611.0;31645.0;115566.0;88841.0;-3387.0;0.0;1662594.0;81.1
11;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2006;1662594.0;50478.0;125946.0;92764.0;-3269.0;0.0;1742985.0;82.5
12;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2007;1742985.0;37429.0;146945.0;97501.0;-3242.0;-1.0;1826615.0;84.6
13;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2008;1826615.0;55890.0;145874.0;102874.0;-3187.0;0.0;1922318.0;86.4
14;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2009;1922318.0;48256.0;136293.0;106739.0;-3645.0;-1.0;1996482.0;87.6
