ID;SBI93;Bestemming;Perioden;Omzetontwikkeling_1;Aandeel_2
0;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 januari;7;96
1;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 februari;6;96
2;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 maart;4;96
3;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 1e kwartaal;6;96
4;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 april;13;96
5;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 mei;5;96
6;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 juni;13;96
7;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 2e kwartaal;10;96
8;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 juli;12;96
9;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 augustus;6;96
10;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 september;12;96
11;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 3e kwartaal;10;96
12;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 oktober;11;96
13;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 november;8;96
14;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 december;15;96
15;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997 4e kwartaal;11;95
16;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1997;10;95
17;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 januari;7;95
18;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 februari;8;95
19;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 maart;12;95
20;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 1e kwartaal;10;95
21;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 april;4;95
22;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 mei;2;95
23;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 juni;2;95
24;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 2e kwartaal;3;95
25;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 juli;4;95
26;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 augustus;-2;95
27;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 september;-1;96
28;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 3e kwartaal;0;95
29;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 oktober;-5;95
30;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 november;-3;96
31;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 december;-8;95
32;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998 4e kwartaal;-5;95
33;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1998;2;94
34;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 januari;-8;97
35;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 februari;-8;97
36;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 maart;1;97
37;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 1e kwartaal;-5;97
38;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 april;-5;97
39;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 mei;-3;96
40;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 juni;4;96
41;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 2e kwartaal;-1;96
42;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 juli;-3;96
43;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 augustus;5;96
44;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 september;4;96
45;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 3e kwartaal;2;96
46;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 oktober;2;96
47;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 november;14;96
48;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 december;25;96
49;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999 4e kwartaal;14;96
50;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;1999;3;95
51;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 januari;11;97
52;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 februari;22;97
53;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 maart;13;97
54;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 1e kwartaal;15;97
55;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 april;8;98
56;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 mei;29;98
57;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 juni;8;98
58;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 2e kwartaal;15;97
59;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 juli;7;98
60;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 augustus;24;98
61;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 september;13;98
62;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 3e kwartaal;14;98
63;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 oktober;17;98
64;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 november;15;98
65;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 december;1;98
66;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000 4e kwartaal;11;98
67;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2000;14;95
68;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 januari;13;98
69;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 februari;4;98
70;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 maart;0;98
71;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 1e kwartaal;5;98
72;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 april;6;98
73;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 mei;1;98
74;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 juni;4;98
75;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 2e kwartaal;4;98
76;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 juli;4;98
77;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 augustus;-2;98
78;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 september;-7;98
79;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 3e kwartaal;-2;98
80;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 oktober;-4;98
81;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 november;-10;98
82;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 december;-10;97
83;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001 4e kwartaal;-8;97
84;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2001;0;96
85;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 januari;-5;97
86;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 februari;-7;96
87;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 maart;-5;96
88;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 1e kwartaal;-6;96
89;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 april;1;96
90;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 mei;-6;96
91;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 juni;-6;95
92;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 2e kwartaal;-4;96
93;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 juli;-1;96
94;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 augustus;-5;96
95;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 september;3;95
96;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 3e kwartaal;-1;95
97;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 oktober;2;94
98;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 november;-1;93
99;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 december;3;93
100;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002 4e kwartaal;1;93
101;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2002;-2;94
102;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 januari;3;94
103;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 februari;4;94
104;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 maart;1;93
105;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 1e kwartaal;3;93
106;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 april;0;94
107;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 mei;-4;93
108;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 juni;-2;93
109;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 2e kwartaal;-2;93
110;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 juli;-1;93
111;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 augustus;-6;93
112;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 september;0;93
113;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 3e kwartaal;-2;93
114;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 oktober;-2;93
115;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 november;-5;93
116;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 december;3;93
117;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003 4e kwartaal;-1;93
118;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2003;-1;91
119;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 januari;-2;95
120;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 februari;0;94
121;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 maart;9;94
122;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 1e kwartaal;3;93
123;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 april;5;93
124;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 mei;1;92
125;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 juni;14;93
126;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 2e kwartaal;7;92
127;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 juli;8;93
128;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 augustus;9;93
129;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 september;9;94
130;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 3e kwartaal;9;93
131;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 oktober;1;94
132;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 november;15;94
133;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 december;13;93
134;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004 4e kwartaal;9;93
135;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2004;7;90
136;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 januari;6;95
137;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 februari;6;95
138;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 maart;3;95
139;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 1e kwartaal;5;94
140;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 april;6;96
141;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 mei;8;97
142;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 juni;8;96
143;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 2e kwartaal;8;96
144;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 juli;2;97
145;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 augustus;11;97
146;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 september;8;97
147;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 3e kwartaal;8;96
148;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 oktober;6;96
149;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 november;6;97
150;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 december;3;96
151;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005 4e kwartaal;5;96
152;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2005;6;92
153;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2006 januari;9;97
154;1500d Industrie (geen soc. werkplaatsen);Bestemming totaal;2006 februari;9;96
155;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 januari;8;95
156;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 februari;6;95
157;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 maart;4;96
158;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 1e kwartaal;6;95
159;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 april;13;95
160;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 mei;3;95
161;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 juni;10;95
162;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 2e kwartaal;9;95
163;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 juli;7;96
164;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 augustus;3;95
165;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 september;9;96
