ID;Countries;Periods;GDPTotal_1;GDPPerCapita_2;ExportOfGoodsAndServices_3;ExportOfHighTechGoods_4;ForeignDirectInvestments_5;ValueAddedInServices_6;PopulationSize_7
0;Austria;1990;164847.0;20080.0;37.0;8.0;653.0;64.0;7.7
1;Austria;1991;172166.0;21200.0;36.0;9.0;360.0;65.0;7.8
2;Austria;1992;193097.0;24140.0;34.0;9.0;1442.0;66.0;7.8
3;Austria;1993;188289.0;24210.0;33.0;9.0;1129.0;67.0;7.9
4;Austria;1994;201192.0;25530.0;33.0;10.0;2117.0;67.0;7.9
5;Austria;1995;238314.0;27490.0;35.0;9.0;1901.0;67.0;8.0
6;Austria;1996;234143.0;29500.0;36.0;9.0;4485.0;67.0;8.0
7;Austria;1997;206878.0;28810.0;39.0;11.0;2624.0;67.0;8.0
8;Austria;1998;212151.0;27100.0;41.0;11.0;4661.0;67.0;8.0
9;Austria;1999;210930.0;26200.0;42.0;12.0;3009.0;67.0;8.0
10;Austria;2000;191200.0;25840.0;46.0;14.0;8525.0;67.0;8.0
11;Austria;2001;190155.0;24210.0;48.0;14.0;5906.0;68.0;8.0
12;Austria;2002;205955.0;23910.0;49.0;16.0;318.0;69.0;8.1
13;Austria;2003;252034.0;26810.0;49.0;15.0;7098.0;69.0;8.1
14;Austria;2004;289039.0;32240.0;52.0;16.0;3892.0;69.0;8.2
15;Austria;2005;302921.0;36910.0;54.0;14.0;81648.0;69.0;8.2
16;Austria;2006;322340.0;39260.0;57.0;13.0;2477.0;69.0;8.3
17;Austria;2007;372291.0;42190.0;59.0;11.0;63972.0;68.0;8.3
18;Austria;2008;414671.0;46250.0;59.0;11.0;6602.0;68.0;8.3
19;Austria;2009;381084.0;46450.0;51.0;;8714.0;69.0;8.4
20;Belgium;1990;202563.0;18940.0;67.0;;8047.0;67.0;10.0
21;Belgium;1991;207673.0;20190.0;66.0;;9363.0;69.0;10.0
22;Belgium;1992;231616.0;22720.0;64.0;;11286.0;69.0;10.0
23;Belgium;1993;221692.0;22960.0;61.0;;10750.0;70.0;10.1
24;Belgium;1994;241582.0;24610.0;64.0;;8514.0;70.0;10.1
25;Belgium;1995;284142.0;26550.0;65.0;;10689.0;70.0;10.1
26;Belgium;1996;275433.0;28050.0;66.0;;14064.0;70.0;10.2
27;Belgium;1997;249438.0;27940.0;70.0;;11998.0;70.0;10.2
28;Belgium;1998;255268.0;26000.0;70.0;;22690.0;71.0;10.2
29;Belgium;1999;254175.0;25530.0;70.0;9.0;142703.0;72.0;10.2
30;Belgium;2000;232371.0;25400.0;78.0;10.0;214941.0;72.0;10.3
31;Belgium;2001;232155.0;23900.0;78.0;11.0;73635.0;73.0;10.3
32;Belgium;2002;252452.0;23400.0;77.0;8.0;18081.0;73.0;10.3
33;Belgium;2003;311192.0;26350.0;74.0;9.0;34544.0;74.0;10.4
34;Belgium;2004;361110.0;31980.0;77.0;8.0;44415.0;74.0;10.4
35;Belgium;2005;376617.0;36530.0;80.0;9.0;34040.0;75.0;10.5
36;Belgium;2006;399114.0;38780.0;82.0;8.0;56744.0;75.0;10.5
37;Belgium;2007;458620.0;41360.0;83.0;7.0;120626.0;75.0;10.6
38;Belgium;2008;505374.0;44720.0;86.0;8.0;106093.0;76.0;10.7
39;Belgium;2009;471161.0;45270.0;73.0;;-38860.0;78.0;10.8
40;Bulgaria;1990;20726.0;2260.0;33.0;;4.0;34.0;8.7
41;Bulgaria;1991;10944.0;1620.0;43.0;;56.0;39.0;8.6
42;Bulgaria;1992;10372.0;1430.0;47.0;;42.0;44.0;8.5
43;Bulgaria;1993;10832.0;1250.0;38.0;;40.0;52.0;8.5
44;Bulgaria;1994;9705.0;1250.0;45.0;;105.0;52.0;8.4
45;Bulgaria;1995;13069.0;1360.0;52.0;;90.0;56.0;8.4
46;Bulgaria;1996;8890.0;1160.0;59.0;4.0;109.0;61.0;8.4
47;Bulgaria;1997;10053.0;1170.0;59.0;4.0;505.0;47.0;8.3
48;Bulgaria;1998;13061.0;1240.0;59.0;3.0;537.0;54.0;8.3
49;Bulgaria;1999;13228.0;1450.0;56.0;3.0;819.0;59.0;8.2
50;Bulgaria;2000;12904.0;1640.0;50.0;3.0;1002.0;61.0;8.1
51;Bulgaria;2001;13869.0;1760.0;49.0;3.0;813.0;60.0;7.9
52;Bulgaria;2002;15979.0;1900.0;47.0;4.0;905.0;61.0;7.9
53;Bulgaria;2003;20668.0;2300.0;49.0;4.0;2097.0;61.0;7.8
54;Bulgaria;2004;25283.0;2960.0;52.0;4.0;2662.0;62.0;7.8
55;Bulgaria;2005;28895.0;3640.0;41.0;5.0;4312.0;62.0;7.7
56;Bulgaria;2006;33209.0;4080.0;61.0;6.0;7758.0;62.0;7.7
57;Bulgaria;2007;42114.0;4530.0;59.0;6.0;13215.0;62.0;7.7
58;Bulgaria;2008;51825.0;5700.0;58.0;7.0;9205.0;63.0;7.6
59;Bulgaria;2009;48722.0;6060.0;48.0;;4595.0;64.0;7.6
60;Croatia;1990;24782.0;;;;;53.0;4.8
61;Croatia;1991;18156.0;;78.0;;;55.0;4.5
62;Croatia;1992;10241.0;3150.0;60.0;5.0;13.0;52.0;4.5
63;Croatia;1993;10903.0;2490.0;52.0;5.0;144.0;50.0;4.6
64;Croatia;1994;14578.0;2600.0;46.0;5.0;114.0;55.0;4.7
65;Croatia;1995;22119.0;3540.0;33.0;6.0;108.0;59.0;4.7
66;Croatia;1996;23380.0;4730.0;36.0;7.0;493.0;60.0;4.5
67;Croatia;1997;23601.0;5430.0;36.0;9.0;541.0;60.0;4.6
68;Croatia;1998;25239.0;5400.0;35.0;8.0;941.0;61.0;4.5
69;Croatia;1999;23035.0;5050.0;37.0;8.0;1452.0;62.0;4.6
70;Croatia;2000;21320.0;5170.0;42.0;8.0;1110.0;63.0;4.4
71;Croatia;2001;22873.0;5090.0;44.0;10.0;1582.0;63.0;4.4
72;Croatia;2002;26452.0;5370.0;41.0;12.0;1100.0;64.0;4.4
73;Croatia;2003;33857.0;6330.0;43.0;12.0;2049.0;65.0;4.4
74;Croatia;2004;40692.0;8080.0;43.0;13.0;1079.0;64.0;4.4
75;Croatia;2005;44437.0;9630.0;43.0;12.0;1788.0;65.0;4.4
76;Croatia;2006;49049.0;10660.0;43.0;10.0;3457.0;65.0;4.4
77;Croatia;2007;58558.0;12000.0;43.0;9.0;4996.0;66.0;4.4
78;Croatia;2008;69332.0;13580.0;42.0;9.0;5995.0;65.0;4.4
79;Croatia;2009;63034.0;13720.0;36.0;;2906.0;66.0;4.4
80;Czech Republic;1990;34880.0;;45.0;;;45.0;10.4
81;Czech Republic;1991;25572.0;;53.0;;;45.0;10.3
82;Czech Republic;1992;29954.0;2900.0;54.0;;;44.0;10.3
83;Czech Republic;1993;34381.0;2980.0;56.0;3.0;654.0;52.0;10.3
84;Czech Republic;1994;41090.0;3530.0;50.0;4.0;878.0;51.0;10.3
85;Czech Republic;1995;55257.0;4470.0;51.0;5.0;2568.0;57.0;10.3
86;Czech Republic;1996;62011.0;5350.0;49.0;7.0;1435.0;53.0;10.3
87;Czech Republic;1997;57135.0;5650.0;52.0;7.0;1286.0;55.0;10.3
88;Czech Republic;1998;61847.0;5580.0;54.0;8.0;3700.0;57.0;10.3
89;Czech Republic;1999;60192.0;5600.0;55.0;8.0;6313.0;57.0;10.3
90;Czech Republic;2000;56721.0;5800.0;63.0;8.0;4987.0;58.0;10.3
91;Czech Republic;2001;61842.0;5760.0;65.0;10.0;5641.0;58.0;10.2
92;Czech Republic;2002;75276.0;6020.0;60.0;14.0;8497.0;60.0;10.2
93;Czech Republic;2003;91358.0;7330.0;62.0;13.0;2021.0;61.0;10.2
94;Czech Republic;2004;109525.0;9270.0;70.0;13.0;4978.0;58.0;10.2
95;Czech Republic;2005;124549.0;11330.0;72.0;13.0;11602.0;59.0;10.2
96;Czech Republic;2006;142611.0;12890.0;76.0;14.0;5522.0;59.0;10.3
97;Czech Republic;2007;174215.0;14380.0;80.0;14.0;10606.0;59.0;10.3
98;Czech Republic;2008;216084.0;16670.0;77.0;14.0;6573.0;60.0;10.4
99;Czech Republic;2009;190274.0;17310.0;70.0;;2666.0;60.0;10.5
100;Cyprus;1990;5590.0;9520.0;52.0;6.0;127.0;67.0;0.7
101;Cyprus;1991;5769.0;9670.0;47.0;5.0;82.0;67.0;0.7
102;Cyprus;1992;6914.0;11230.0;49.0;5.0;107.0;69.0;0.7
103;Cyprus;1993;6589.0;11190.0;47.0;4.0;83.0;70.0;0.7
104;Cyprus;1994;7428.0;11900.0;48.0;4.0;75.0;72.0;0.7
105;Cyprus;1995;9254.0;12720.0;50.0;5.0;243.0;72.0;0.7
106;Cyprus;1996;9350.0;13600.0;51.0;6.0;234.0;73.0;0.7
107;Cyprus;1997;8903.0;13690.0;52.0;4.0;547.0;75.0;0.8
108;Cyprus;1998;9556.0;14770.0;50.0;4.0;345.0;75.0;0.8
109;Cyprus;1999;9780.0;13630.0;52.0;4.0;813.0;76.0;0.8
110;Cyprus;2000;9317.0;13440.0;55.0;2.0;855.0;77.0;0.8
111;Cyprus;2001;9678.0;13410.0;56.0;3.0;945.0;78.0;0.8
112;Cyprus;2002;10558.0;13590.0;51.0;3.0;1103.0;77.0;0.8
113;Cyprus;2003;13324.0;15480.0;47.0;5.0;908.0;77.0;0.8
114;Cyprus;2004;15823.0;18410.0;48.0;9.0;1119.0;77.0;0.8
115;Cyprus;2005;16996.0;21490.0;48.0;18.0;1162.0;78.0;0.8
116;Cyprus;2006;18424.0;22890.0;48.0;24.0;1871.0;79.0;0.8
117;Cyprus;2007;21447.0;24430.0;49.0;31.0;2295.0;79.0;0.9
118;Cyprus;2008;24910.0;26940.0;47.0;32.0;3854.0;78.0;0.9
119;Cyprus;2009;;;;;5908.0;;0.9
120;Denmark;1990;135838.0;24120.0;37.0;15.0;1132.0;70.0;5.1
121;Denmark;1991;136694.0;25290.0;39.0;15.0;1553.0;71.0;5.2
122;Denmark;1992;150195.0;28450.0;38.0;14.0;1017.0;71.0;5.2
123;Denmark;1993;140627.0;28300.0;37.0;15.0;1713.0;72.0;5.2
124;Denmark;1994;153593.0;30090.0;38.0;16.0;5006.0;72.0;5.2
125;Denmark;1995;181984.0;32310.0;38.0;15.0;4139.0;71.0;5.2
126;Denmark;1996;184436.0;34430.0;38.0;16.0;773.0;71.0;5.3
127;Denmark;1997;170435.0;34670.0;39.0;18.0;2792.0;71.0;5.3
128;Denmark;1998;173653.0;32960.0;38.0;18.0;6675.0;72.0;5.3
129;Denmark;1999;173945.0;32400.0;41.0;19.0;16848.0;72.0;5.3
130;Denmark;2000;160083.0;31850.0;47.0;21.0;36013.0;71.0;5.3
131;Denmark;2001;160476.0;30640.0;47.0;20.0;9286.0;71.0;5.4
132;Denmark;2002;173881.0;30070.0;47.0;22.0;4431.0;72.0;5.4
133;Denmark;2003;212622.0;33970.0;45.0;20.0;1185.0;73.0;5.4
134;Denmark;2004;244728.0;41590.0;45.0;20.0;-8804.0;73.0;5.4
135;Denmark;2005;257676.0;48620.0;49.0;22.0;12834.0;73.0;5.4
136;Denmark;2006;274377.0;52260.0;52.0;19.0;2420.0;73.0;5.4
137;Denmark;2007;310721.0;54680.0;52.0;17.0;11809.0;73.0;5.5
138;Denmark;2008;340801.0;58570.0;55.0;16.0;2606.0;73.0;5.5
139;Denmark;2009;309596.0;59060.0;48.0;;2905.0;77.0;5.5
140;Estonia;1990;5010.0;3190.0;;;;34.0;1.6
141;Estonia;1991;4784.0;3060.0;;;;42.0;1.6
142;Estonia;1992;3987.0;2590.0;60.0;;82.0;52.0;1.5
143;Estonia;1993;3860.0;2590.0;67.0;;162.0;59.0;1.5
144;Estonia;1994;3965.0;2690.0;72.0;;214.0;60.0;1.5
145;Estonia;1995;4353.0;3020.0;68.0;6.0;201.0;61.0;1.4
146;Estonia;1996;4729.0;3320.0;62.0;9.0;150.0;63.0;1.4
147;Estonia;1997;5052.0;3590.0;72.0;9.0;266.0;64.0;1.4
148;Estonia;1998;5598.0;3820.0;75.0;12.0;581.0;65.0;1.4
149;Estonia;1999;5705.0;3880.0;70.0;13.0;305.0;69.0;1.4
150;Estonia;2000;5676.0;4220.0;85.0;36.0;387.0;68.0;1.4
151;Estonia;2001;6240.0;4430.0;80.0;30.0;542.0;67.0;1.4
152;Estonia;2002;7324.0;4780.0;71.0;19.0;285.0;67.0;1.4
153;Estonia;2003;9845.0;5820.0;69.0;20.0;919.0;68.0;1.4
154;Estonia;2004;12031.0;7620.0;73.0;24.0;966.0;68.0;1.3
155;Estonia;2005;13903.0;9840.0;78.0;25.0;2941.0;68.0;1.3
156;Estonia;2006;16605.0;11500.0;80.0;20.0;1787.0;67.0;1.3
157;Estonia;2007;21384.0;13210.0;73.0;12.0;2728.0;67.0;1.3
158;Estonia;2008;23517.0;14410.0;76.0;10.0;1745.0;68.0;1.3
159;Estonia;2009;19084.0;14060.0;71.0;;1751.0;;1.3
160;Finland;1990;138845.0;25210.0;23.0;8.0;812.0;60.0;5.0
161;Finland;1991;125243.0;24330.0;22.0;7.0;-233.0;64.0;5.0
162;Finland;1992;110129.0;23450.0;26.0;9.0;396.0;65.0;5.0
163;Finland;1993;87323.0;20050.0;32.0;11.0;864.0;64.0;5.1
164;Finland;1994;100561.0;19590.0;35.0;13.0;1496.0;63.0;5.1
165;Finland;1995;130700.0;21340.0;37.0;15.0;1044.0;62.0;5.1
166;Finland;1996;128223.0;24160.0;37.0;16.0;1118.0;63.0;5.1
167;Finland;1997;122909.0;25790.0;39.0;19.0;2129.0;63.0;5.1
168;Finland;1998;129671.0;24840.0;39.0;22.0;12029.0;62.0;5.2
169;Finland;1999;130217.0;24980.0;39.0;24.0;4649.0;62.0;5.2
170;Finland;2000;121715.0;25430.0;44.0;27.0;9125.0;62.0;5.2
171;Finland;2001;124562.0;24790.0;42.0;24.0;3739.0;63.0;5.2
