ID;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3
0;2003 4e kwartaal;     100;        ;    
1;2004 1e kwartaal;   102,9;     2,9;    
2;2004 2e kwartaal;   104,0;     1,1;    
3;2004 3e kwartaal;   103,1;    -0,9;    
4;2004 4e kwartaal;   102,4;    -0,7; 2,4
5;2004 jaargemiddelde;   103,1;        ;    
6;2005 1e kwartaal;   102,5;     0,1;-0,4
7;2005 2e kwartaal;   105,0;     2,4; 1,0
8;2005 3e kwartaal;   104,8;    -0,2; 1,6
9;2005 4e kwartaal;   106,6;     1,7; 4,1
10;2005 jaargemiddelde;   104,7;        ; 1,6
11;2006 1e kwartaal;   108,9;     2,2; 6,2
12;2006 2e kwartaal;   110,0;     1,0; 4,8
13;2006 3e kwartaal;   110,0;     0,0; 5,0
14;2006 4e kwartaal;   111,3;     1,2; 4,4
15;2006 jaargemiddelde;   110,1;        ; 5,2
16;2007 1e kwartaal;   113,0;     1,5; 3,8
17;2007 2e kwartaal;   113,8;     0,7; 3,5
18;2007 3e kwartaal;   113,6;    -0,2; 3,3
19;2007 4e kwartaal;   114,2;     0,5; 2,6
20;2007 jaargemiddelde;   113,7;        ; 3,3
